time,San Antonio,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. B. Marjanovic (T. Parker gains possession),,,,Jump ball: N. Jokic vs. B. Marjanovic (T. Parker gains possession)
11:37.0,L. Aldridge misses 3-pt shot from 23 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Gallinari
11:30.0,,,0-2,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari)
11:04.0,L. Aldridge misses 2-pt shot from 12 ft,,0-2,,
11:03.0,Offensive rebound by B. Marjanovic,,0-2,,
10:53.0,K. Leonard misses 2-pt shot from 17 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by G. Harris
10:48.0,,,0-4,2,G. Harris makes 2-pt shot from 1 ft
10:48.0,Violation by D. Green (def goaltending),,0-4,,
10:35.0,,,0-4,,Personal foul by G. Harris (drawn by T. Parker)
10:25.0,D. Green misses 2-pt shot from 16 ft,,0-4,,
10:24.0,Offensive rebound by B. Marjanovic,,0-4,,
10:23.0,Shooting foul by N. Jokic (drawn by B. Marjanovic),,0-4,,
10:23.0,B. Marjanovic makes free throw 1 of 2,1,1-4,,
10:23.0,B. Marjanovic makes free throw 2 of 2,1,2-4,,
10:06.0,,,2-4,,D. Arthur misses 2-pt shot from 20 ft
10:06.0,,,2-4,,Offensive rebound by N. Jokic
10:00.0,,,2-4,,D. Gallinari misses 3-pt shot from 27 ft
9:59.0,,,2-4,,Offensive rebound by D. Arthur
9:39.0,,,2-4,,E. Mudiay misses 2-pt shot from 11 ft
9:38.0,Defensive rebound by B. Marjanovic,,2-4,,
9:22.0,L. Aldridge makes 2-pt shot from 1 ft (assist by B. Marjanovic),2,4-4,,
9:02.0,,,4-4,,Turnover by G. Harris (lost ball)
8:39.0,K. Leonard misses 2-pt shot from 21 ft,,4-4,,
8:38.0,,,4-4,,Defensive rebound by D. Arthur
8:32.0,,,4-7,3,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay)
8:13.0,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker),2,6-7,,
7:53.0,,,6-7,,Shooting foul by B. Marjanovic (drawn by E. Mudiay)
7:53.0,,,6-8,1,E. Mudiay makes free throw 1 of 2
7:53.0,,,6-9,1,E. Mudiay makes free throw 2 of 2
7:34.0,Turnover by K. Leonard (dbl dribble),,6-9,,
7:10.0,,,6-9,,N. Jokic misses 2-pt shot from 1 ft
7:10.0,Defensive rebound by B. Marjanovic,,6-9,,
6:50.0,K. Leonard misses 2-pt shot from 16 ft,,6-9,,
6:49.0,Offensive rebound by Team,,6-9,,
6:44.0,D. Green misses 2-pt shot from 5 ft,,6-9,,
6:43.0,,,6-9,,Defensive rebound by Team
6:36.0,Personal foul by B. Marjanovic (drawn by D. Gallinari),,6-9,,
6:26.0,,,6-9,,E. Mudiay misses 2-pt shot from 2 ft
6:24.0,Defensive rebound by T. Parker,,6-9,,
6:05.0,Turnover by T. Parker (traveling),,6-9,,
5:45.0,,,6-11,2,N. Jokic makes 2-pt shot from 8 ft (assist by G. Harris)
5:45.0,San Antonio full timeout,,6-11,,
5:45.0,K. Anderson enters the game for B. Marjanovic,,6-11,,
5:45.0,P. Mills enters the game for D. Green,,6-11,,
5:45.0,B. Diaw enters the game for T. Parker,,6-11,,
5:25.0,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Leonard),2,8-11,,
5:08.0,,,8-11,,Offensive foul by N. Jokic
5:08.0,,,8-11,,Turnover by N. Jokic (offensive foul)
5:08.0,,,8-11,,W. Barton enters the game for N. Jokic
4:54.0,L. Aldridge misses 2-pt shot from 13 ft,,8-11,,
4:54.0,,,8-11,,Defensive rebound by D. Gallinari
4:31.0,,,8-11,,E. Mudiay misses 2-pt shot from 2 ft (block by K. Leonard)
4:29.0,Defensive rebound by B. Diaw,,8-11,,
