time,Brooklyn,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. B. Lopez (P. Pierce gains possession),,,,Jump ball: D. Jordan vs. B. Lopez (P. Pierce gains possession)
11:34.0,,,0-0,,C. Paul misses 3-pt shot from 28 ft
11:33.0,,,0-0,,Offensive rebound by D. Jordan
11:30.0,,,0-0,,Turnover by D. Jordan (lost ball; steal by T. Young)
11:11.0,W. Ellington makes 3-pt shot from 27 ft (assist by B. Lopez),3,3-0,,
10:55.0,,,3-0,,J. Redick misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by B. Lopez,,3-0,,
10:35.0,T. Young misses 2-pt shot from 16 ft,,3-0,,
10:34.0,,,3-0,,Defensive rebound by P. Pierce
10:20.0,,,3-0,,Shooting foul by W. Ellington (drawn by J. Redick)
10:20.0,,,3-1,1,J. Redick makes free throw 1 of 2
10:20.0,,,3-2,1,J. Redick makes free throw 2 of 2
10:06.0,B. Lopez makes 2-pt shot from 9 ft (assist by T. Young),2,5-2,,
9:50.0,,,5-2,,J. Redick misses 2-pt shot from 22 ft
9:49.0,Defensive rebound by T. Young,,5-2,,
9:36.0,T. Young makes 2-pt shot from 2 ft,2,7-2,,
9:36.0,Shooting foul by L. Mbah a Moute (drawn by T. Young),,7-2,,
9:36.0,T. Young makes free throw 1 of 1,1,8-2,,
9:17.0,,,8-2,,L. Mbah a Moute misses 2-pt shot from 4 ft (block by B. Lopez)
9:13.0,Defensive rebound by D. Sloan,,8-2,,
9:06.0,B. Lopez makes 2-pt shot from 8 ft (assist by D. Sloan),2,10-2,,
8:53.0,,,10-2,,J. Redick misses 2-pt shot from 2 ft (block by B. Lopez)
8:51.0,,,10-2,,Offensive rebound by L. Mbah a Moute
8:50.0,,,10-4,2,L. Mbah a Moute makes 2-pt shot from 3 ft
8:32.0,T. Young misses 2-pt shot from 2 ft,,10-4,,
8:31.0,,,10-4,,Defensive rebound by C. Paul
8:25.0,,,10-6,2,P. Pierce makes 2-pt shot from 16 ft (assist by C. Paul)
8:04.0,B. Lopez misses 2-pt shot from 9 ft,,10-6,,
8:01.0,,,10-6,,Defensive rebound by C. Paul
7:56.0,,,10-9,3,P. Pierce makes 3-pt shot from 27 ft (assist by J. Redick)
7:40.0,W. Ellington makes 2-pt shot from 18 ft (assist by T. Young),2,12-9,,
