time,Portland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: S. Adams vs. M. Plumlee (D. Lillard gains possession)
11:41.0,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu),3,3-0,,
11:22.0,,,3-2,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
11:04.0,C. McCollum misses 3-pt shot from 22 ft,,3-2,,
11:04.0,,,3-2,,Defensive rebound by S. Ibaka
10:42.0,,,3-4,2,R. Westbrook makes 2-pt shot from 1 ft
10:21.0,C. McCollum makes 2-pt shot from 10 ft,2,5-4,,
10:07.0,,,5-4,,K. Durant misses 2-pt shot from 12 ft
10:06.0,Defensive rebound by N. Vonleh,,5-4,,
9:55.0,A. Aminu makes 2-pt shot from 1 ft (assist by N. Vonleh),2,7-4,,
9:38.0,,,7-4,,K. Durant misses 2-pt shot from 2 ft
9:38.0,,,7-4,,Offensive rebound by A. Roberson
9:28.0,,,7-6,2,R. Westbrook makes 2-pt shot from 12 ft
9:12.0,A. Aminu misses 3-pt shot from 24 ft,,7-6,,
9:11.0,Offensive rebound by M. Plumlee,,7-6,,
9:09.0,,,7-6,,Shooting block foul by S. Ibaka (drawn by A. Aminu)
9:09.0,A. Aminu makes free throw 1 of 2,1,8-6,,
9:09.0,A. Aminu makes free throw 2 of 2,1,9-6,,
9:00.0,,,9-8,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
8:48.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,12-8,,
8:32.0,,,12-10,2,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook)
8:11.0,Turnover by M. Plumlee (lost ball; steal by R. Westbrook),,12-10,,
8:00.0,,,12-10,,A. Roberson misses 3-pt shot from 22 ft
8:00.0,Defensive rebound by A. Aminu,,12-10,,
7:54.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,14-10,,
7:39.0,,,14-12,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
7:19.0,N. Vonleh misses 2-pt shot from 18 ft,,14-12,,
7:18.0,,,14-12,,Defensive rebound by S. Adams
7:08.0,,,14-14,2,S. Adams makes 2-pt shot from 8 ft (assist by K. Durant)
6:51.0,A. Aminu makes 3-pt shot from 22 ft (assist by M. Plumlee),3,17-14,,
6:35.0,,,17-14,,Turnover by K. Durant (bad pass)
6:35.0,,,17-14,,K. Singler enters the game for A. Roberson
6:18.0,M. Plumlee misses 2-pt shot at rim (block by S. Ibaka),,17-14,,
6:18.0,Offensive rebound by Team,,17-14,,
6:13.0,M. Plumlee misses 2-pt shot from 6 ft,,17-14,,
6:12.0,,,17-14,,Defensive rebound by K. Durant
6:01.0,,,17-14,,S. Ibaka misses 2-pt shot from 5 ft
6:00.0,Defensive rebound by M. Plumlee,,17-14,,
5:55.0,C. McCollum misses 2-pt shot from 18 ft,,17-14,,
5:54.0,,,17-14,,Defensive rebound by S. Adams
5:39.0,,,17-14,,R. Westbrook misses 2-pt shot from 5 ft
5:34.0,Defensive rebound by N. Vonleh,,17-14,,
5:31.0,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard),3,20-14,,
5:31.0,,,20-14,,Oklahoma City full timeout
5:18.0,,,20-14,,K. Durant misses 2-pt shot from 11 ft
5:17.0,,,20-14,,Offensive rebound by K. Singler
5:12.0,,,20-14,,K. Durant misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by M. Plumlee,,20-14,,
5:00.0,N. Vonleh misses 2-pt shot from 3 ft (block by S. Ibaka),,20-14,,
4:59.0,,,20-14,,Defensive rebound by R. Westbrook
4:53.0,,,20-16,2,R. Westbrook makes 2-pt shot at rim
4:47.0,D. Lillard misses 2-pt shot from 1 ft,,20-16,,
4:47.0,Offensive rebound by N. Vonleh,,20-16,,
4:46.0,N. Vonleh makes 2-pt shot from 1 ft,2,22-16,,
4:37.0,,,22-16,,S. Ibaka misses 3-pt shot from 24 ft
4:37.0,,,22-16,,Offensive rebound by R. Westbrook
4:28.0,,,22-16,,Shooting foul by A. Aminu (drawn by K. Durant)
4:28.0,,,22-17,1,K. Durant makes free throw 1 of 3
4:28.0,,,22-18,1,K. Durant makes free throw 2 of 3
4:28.0,M. Leonard enters the game for N. Vonleh,,22-18,,
4:28.0,A. Crabbe enters the game for M. Plumlee,,22-18,,
4:28.0,E. Davis enters the game for C. McCollum,,22-18,,
4:28.0,,,22-18,,E. Kanter enters the game for S. Adams
4:28.0,,,22-19,1,K. Durant makes free throw 3 of 3
4:12.0,A. Aminu misses 3-pt shot from 24 ft,,22-19,,
4:12.0,,,22-19,,Defensive rebound by R. Westbrook
4:05.0,,,22-19,,K. Durant misses 2-pt shot from 1 ft (block by M. Leonard)
4:03.0,,,22-19,,Offensive rebound by R. Westbrook
3:58.0,,,22-21,2,E. Kanter makes 2-pt shot from 3 ft (assist by R. Westbrook)
3:43.0,M. Leonard misses 2-pt shot from 16 ft,,22-21,,
3:42.0,,,22-21,,Defensive rebound by R. Westbrook
3:38.0,Personal foul by A. Crabbe,,22-21,,
3:38.0,,,22-21,,R. Foye enters the game for K. Durant
3:29.0,,,22-21,,E. Kanter misses 2-pt shot from 1 ft
3:28.0,,,22-21,,Offensive rebound by E. Kanter
