time,Oklahoma City,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (S. Ibaka gains possession)
11:40.0,S. Ibaka makes 2-pt shot from 13 ft (assist by R. Westbrook),2,2-0,,
11:26.0,,,2-2,2,V. Oladipo makes 2-pt shot from 2 ft (assist by T. Harris)
11:13.0,Turnover by A. Roberson (bad pass),,2-2,,
10:59.0,,,2-4,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton)
10:54.0,,,2-4,,Personal foul by E. Payton (drawn by R. Westbrook)
10:42.0,Turnover by A. Roberson (bad pass),,2-4,,
10:27.0,,,2-6,2,E. Payton makes 2-pt shot from 15 ft (assist by E. Fournier)
10:12.0,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook),2,4-6,,
10:02.0,,,4-6,,Turnover by E. Fournier (traveling)
9:53.0,R. Westbrook misses 2-pt shot from 2 ft,,4-6,,
9:47.0,,,4-6,,Defensive rebound by E. Fournier
9:42.0,,,4-8,2,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Fournier)
9:24.0,,,4-8,,Personal foul by E. Fournier (drawn by K. Durant)
9:17.0,K. Durant misses 2-pt shot from 17 ft,,4-8,,
9:16.0,,,4-8,,Defensive rebound by Team
9:16.0,Loose ball foul by S. Adams (drawn by N. Vucevic),,4-8,,
9:16.0,A. Morrow enters the game for A. Roberson,,4-8,,
9:05.0,,,4-8,,Turnover by N. Vucevic (lost ball; steal by A. Morrow)
9:02.0,Shooting foul by E. Payton (drawn by R. Westbrook),,4-8,,
9:02.0,R. Westbrook makes free throw 1 of 2,1,5-8,,
9:02.0,R. Westbrook makes free throw 2 of 2,1,6-8,,
8:41.0,,,6-11,3,T. Harris makes 3-pt shot from 22 ft (assist by V. Oladipo)
8:25.0,R. Westbrook makes 2-pt shot from 7 ft,2,8-11,,
8:13.0,,,8-11,,E. Fournier misses 2-pt shot from 21 ft
8:13.0,Defensive rebound by S. Ibaka,,8-11,,
8:03.0,S. Ibaka misses 2-pt shot at rim (block by N. Vucevic),,8-11,,
7:59.0,,,8-11,,Defensive rebound by T. Harris
7:56.0,,,8-13,2,N. Vucevic makes 2-pt shot from 1 ft (assist by T. Harris)
7:39.0,Turnover by S. Ibaka (bad pass; steal by V. Oladipo),,8-13,,
7:32.0,,,8-15,2,T. Harris makes 2-pt shot from 1 ft
7:25.0,Oklahoma City full timeout,,8-15,,
7:19.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,10-15,,
7:02.0,,,10-15,,T. Harris misses 2-pt shot from 10 ft
7:01.0,Defensive rebound by R. Westbrook,,10-15,,
6:48.0,R. Westbrook misses 2-pt shot from 13 ft,,10-15,,
