time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee,,,,Jump ball: D. Jordan vs. M. Plumlee
12:00.0,,,0-0,,Loose ball foul by D. Jordan (drawn by M. Plumlee)
11:44.0,C. McCollum makes 2-pt shot from 2 ft,2,2-0,,
11:30.0,Def 3 sec tech foul by M. Plumlee,,2-0,,
11:30.0,,,2-1,1,C. Paul makes technical free throw
11:20.0,Personal foul by A. Aminu,,2-1,,
11:11.0,,,2-1,,Turnover by B. Griffin (lost ball; steal by M. Harkless)
11:03.0,D. Lillard misses 2-pt shot from 19 ft,,2-1,,
11:03.0,,,2-1,,Defensive rebound by Team
11:03.0,Loose ball foul by M. Plumlee,,2-1,,
10:55.0,,,2-4,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
10:55.0,,,2-4,,Shooting foul by C. McCollum (drawn by J. Redick)
10:55.0,,,2-4,,J. Redick misses free throw 1 of 1
10:52.0,Defensive rebound by M. Harkless,,2-4,,
10:38.0,D. Lillard misses 2-pt shot from 15 ft,,2-4,,
10:37.0,Offensive rebound by M. Harkless,,2-4,,
10:35.0,M. Harkless misses 2-pt shot at rim,,2-4,,
10:34.0,,,2-4,,Defensive rebound by D. Jordan
10:34.0,Loose ball foul by M. Harkless,,2-4,,
10:24.0,,,2-6,2,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul)
10:06.0,D. Lillard misses 2-pt shot from 2 ft,,2-6,,
10:05.0,,,2-6,,Defensive rebound by B. Griffin
9:58.0,,,2-8,2,C. Paul makes 2-pt shot from 6 ft (assist by D. Jordan)
9:57.0,Portland full timeout,,2-8,,
9:50.0,M. Plumlee makes 2-pt shot from 2 ft,2,4-8,,
9:30.0,,,4-11,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
9:11.0,A. Aminu misses 3-pt shot from 25 ft,,4-11,,
9:10.0,,,4-11,,Defensive rebound by B. Griffin
9:05.0,,,4-11,,C. Paul misses 3-pt shot from 28 ft
9:01.0,Defensive rebound by A. Aminu,,4-11,,
8:53.0,A. Aminu misses 3-pt shot from 29 ft,,4-11,,
8:52.0,,,4-11,,Defensive rebound by D. Jordan
8:39.0,,,4-11,,J. Redick misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by D. Lillard,,4-11,,
8:30.0,Turnover by D. Lillard (lost ball; steal by L. Mbah a Moute),,4-11,,
8:06.0,,,4-11,,C. Paul misses 2-pt shot from 12 ft
8:05.0,,,4-11,,Offensive rebound by D. Jordan
8:05.0,,,4-11,,D. Jordan misses 2-pt shot from 3 ft
8:04.0,Defensive rebound by M. Plumlee,,4-11,,
7:58.0,C. McCollum misses 2-pt shot from 2 ft,,4-11,,
7:57.0,,,4-11,,Defensive rebound by Team
7:49.0,,,4-13,2,C. Paul makes 2-pt shot from 16 ft
7:28.0,C. McCollum misses 3-pt shot from 26 ft,,4-13,,
7:26.0,,,4-13,,Defensive rebound by C. Paul
7:15.0,,,4-13,,D. Jordan misses 2-pt shot from 3 ft
7:13.0,Defensive rebound by A. Aminu,,4-13,,
7:09.0,M. Plumlee misses 2-pt shot from 4 ft,,4-13,,
7:08.0,Offensive rebound by M. Plumlee,,4-13,,
7:08.0,M. Plumlee misses 2-pt shot from 4 ft,,4-13,,
7:07.0,Offensive rebound by M. Harkless,,4-13,,
7:07.0,M. Harkless makes 2-pt shot from 2 ft,2,6-13,,
6:55.0,,,6-13,,Turnover by L. Mbah a Moute (illegal screen)
6:40.0,D. Lillard makes 2-pt shot from 3 ft (assist by M. Plumlee),2,8-13,,
6:22.0,,,8-15,2,B. Griffin makes 2-pt shot from 3 ft
6:05.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,11-15,,
5:40.0,,,11-15,,J. Redick misses 2-pt shot from 19 ft
5:37.0,Defensive rebound by D. Lillard,,11-15,,
5:26.0,M. Harkless misses 2-pt shot from 1 ft,,11-15,,
5:24.0,,,11-15,,Defensive rebound by B. Griffin
5:19.0,,,11-18,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
5:04.0,C. McCollum makes 2-pt shot from 16 ft,2,13-18,,
4:54.0,,,13-18,,LA Clippers full timeout
4:54.0,C. Kaman enters the game for M. Harkless,,13-18,,
4:54.0,E. Davis enters the game for M. Plumlee,,13-18,,
4:43.0,,,13-18,,D. Jordan misses 2-pt shot from 3 ft
4:39.0,Defensive rebound by E. Davis,,13-18,,
4:20.0,E. Davis misses 2-pt shot from 4 ft (block by B. Griffin),,13-18,,
4:19.0,Offensive rebound by E. Davis,,13-18,,
4:19.0,Turnover by Team (shot clock),,13-18,,
4:10.0,,,13-18,,J. Redick misses 2-pt shot from 3 ft
4:09.0,Defensive rebound by C. Kaman,,13-18,,
4:01.0,D. Lillard misses 3-pt shot from 26 ft,,13-18,,
3:59.0,,,13-18,,Defensive rebound by C. Paul
3:47.0,,,13-18,,B. Griffin misses 2-pt shot from 7 ft
3:47.0,,,13-18,,Offensive rebound by Team
3:47.0,Loose ball foul by E. Davis,,13-18,,
3:47.0,,,13-19,1,B. Griffin makes free throw 1 of 2
3:47.0,,,13-19,,J. Crawford enters the game for L. Mbah a Moute
3:47.0,G. Henderson enters the game for C. McCollum,,13-19,,
3:47.0,,,13-20,1,B. Griffin makes free throw 2 of 2
3:30.0,D. Lillard misses 3-pt shot from 26 ft,,13-20,,
3:28.0,Offensive rebound by G. Henderson,,13-20,,
3:27.0,,,13-20,,W. Johnson enters the game for J. Redick
3:22.0,Turnover by D. Lillard (lost ball; steal by D. Jordan),,13-20,,
3:19.0,,,13-20,,Turnover by D. Jordan (lost ball; steal by A. Aminu)
3:13.0,A. Aminu makes 2-pt shot from 19 ft (assist by E. Davis),2,15-20,,
2:51.0,,,15-20,,C. Paul misses 2-pt shot from 21 ft
2:50.0,,,15-20,,Offensive rebound by D. Jordan
2:40.0,,,15-20,,B. Griffin misses 2-pt shot from 6 ft
2:39.0,Defensive rebound by C. Kaman,,15-20,,
2:31.0,C. Kaman misses 2-pt shot from 16 ft,,15-20,,
2:28.0,Offensive rebound by C. Kaman,,15-20,,
2:24.0,Turnover by C. Kaman (lost ball; steal by W. Johnson),,15-20,,
2:16.0,,,15-20,,LA Clippers full timeout
2:16.0,,,15-20,,J. Green enters the game for B. Griffin
2:16.0,,,15-20,,A. Rivers enters the game for C. Paul
2:16.0,A. Crabbe enters the game for A. Aminu,,15-20,,
2:07.0,,,15-20,,Turnover by J. Crawford (lost ball; steal by C. Kaman)
2:01.0,G. Henderson makes 2-pt shot from 18 ft,2,17-20,,
1:41.0,,,17-22,2,A. Rivers makes 2-pt shot from 11 ft
1:24.0,D. Lillard misses 2-pt shot from 2 ft (block by J. Green),,17-22,,
1:21.0,,,17-22,,Defensive rebound by D. Jordan
1:15.0,,,17-22,,W. Johnson misses 3-pt shot from 23 ft
1:13.0,Defensive rebound by E. Davis,,17-22,,
1:02.0,C. Kaman misses 2-pt shot from 7 ft,,17-22,,
1:00.0,,,17-22,,Defensive rebound by D. Jordan
0:54.0,,,17-22,,J. Crawford misses 2-pt shot from 14 ft
0:48.0,Defensive rebound by E. Davis,,17-22,,
0:36.0,,,17-22,,Personal foul by A. Rivers
0:36.0,,,17-22,,C. Aldrich enters the game for D. Jordan
0:36.0,M. Harkless enters the game for E. Davis,,17-22,,
0:27.0,A. Crabbe misses 2-pt shot from 17 ft,,17-22,,
0:24.0,,,17-22,,Defensive rebound by C. Aldrich
0:04.0,,,17-22,,J. Crawford misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by C. Kaman,,17-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,17-24,2,C. Aldrich makes 2-pt shot from 3 ft (assist by J. Crawford)
11:16.0,C. Kaman makes 2-pt shot from 3 ft,2,19-24,,
11:01.0,,,19-24,,C. Aldrich misses 2-pt shot from 8 ft
10:59.0,Defensive rebound by G. Henderson,,19-24,,
10:52.0,C. Kaman misses 2-pt shot from 14 ft,,19-24,,
10:51.0,,,19-24,,Defensive rebound by W. Johnson
10:40.0,,,19-26,2,A. Rivers makes 2-pt shot from 2 ft
10:25.0,C. McCollum misses 2-pt shot from 12 ft,,19-26,,
10:23.0,,,19-26,,Defensive rebound by C. Aldrich
10:03.0,,,19-26,,Shooting foul by C. Kaman (drawn by A. Rivers)
10:03.0,,,19-28,2,A. Rivers makes 2-pt shot from 3 ft
10:03.0,M. Plumlee enters the game for C. Kaman,,19-28,,
10:03.0,,,19-28,,A. Rivers misses free throw 1 of 1
10:01.0,,,19-28,,Offensive rebound by J. Green
9:53.0,,,19-30,2,J. Green makes 2-pt shot from 2 ft
9:37.0,C. McCollum misses 2-pt shot from 5 ft (block by C. Aldrich),,19-30,,
9:35.0,,,19-30,,Defensive rebound by W. Johnson
9:25.0,,,19-32,2,J. Crawford makes 2-pt shot from 14 ft
9:25.0,Portland full timeout,,19-32,,
9:25.0,M. Harkless enters the game for E. Davis,,19-32,,
9:03.0,G. Henderson misses 2-pt shot from 19 ft,,19-32,,
9:00.0,,,19-32,,Defensive rebound by C. Aldrich
8:45.0,,,19-34,2,C. Aldrich makes 2-pt shot from 3 ft (assist by J. Crawford)
8:33.0,Shooting foul by C. Aldrich (drawn by M. Plumlee),,19-34,,
8:33.0,M. Plumlee makes free throw 1 of 2,1,20-34,,
8:33.0,M. Plumlee makes free throw 2 of 2,1,21-34,,
8:33.0,,,21-34,,Violation by C. Aldrich (def goaltending)
8:16.0,,,21-34,,A. Rivers misses 2-pt shot from 2 ft
8:16.0,,,21-34,,Offensive rebound by C. Aldrich
8:16.0,,,21-34,,Shooting foul by M. Harkless (drawn by J. Green)
8:16.0,,,21-34,,J. Green misses free throw 1 of 2
8:16.0,,,21-34,,Offensive rebound by Team
8:16.0,,,21-35,1,J. Green makes free throw 2 of 2
8:09.0,,,21-35,,Personal foul by J. Crawford
8:01.0,M. Harkless misses 2-pt shot at rim (block by J. Green),,21-35,,
7:57.0,,,21-35,,Defensive rebound by C. Aldrich
7:52.0,,,21-35,,J. Green misses 2-pt shot from 1 ft
7:51.0,Defensive rebound by C. McCollum,,21-35,,
7:46.0,C. McCollum makes 2-pt shot from 1 ft,2,23-35,,
7:25.0,,,23-35,,J. Green misses 2-pt shot from 5 ft
7:22.0,Defensive rebound by M. Plumlee,,23-35,,
7:14.0,M. Harkless misses 3-pt shot from 24 ft,,23-35,,
7:13.0,,,23-35,,Defensive rebound by A. Rivers
7:02.0,,,23-37,2,C. Aldrich makes 2-pt shot from 5 ft (assist by J. Crawford)
7:02.0,Portland full timeout,,23-37,,
7:02.0,D. Lillard enters the game for C. McCollum,,23-37,,
7:02.0,A. Aminu enters the game for G. Henderson,,23-37,,
6:50.0,A. Aminu makes 2-pt shot at rim (assist by M. Plumlee),2,25-37,,
6:37.0,,,25-37,,Turnover by A. Rivers (lost ball; steal by M. Plumlee)
6:35.0,M. Plumlee makes 2-pt shot from 2 ft,2,27-37,,
6:35.0,Shooting foul by C. Aldrich (drawn by M. Plumlee),,27-37,,
6:35.0,,,27-37,,D. Jordan enters the game for W. Johnson
6:35.0,,,27-37,,B. Griffin enters the game for J. Green
6:35.0,,,27-37,,C. Paul enters the game for A. Rivers
6:35.0,,,27-37,,J. Redick enters the game for C. Aldrich
6:35.0,M. Plumlee makes free throw 1 of 1,1,28-37,,
