time,LA Clippers,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. D. Jordan (P. Pierce gains possession),,,,Jump ball: A. Johnson vs. D. Jordan (P. Pierce gains possession)
11:42.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,2-0,,
11:28.0,,,2-0,,J. Crowder misses 3-pt shot from 24 ft
11:27.0,,,2-0,,Offensive rebound by Team
11:22.0,,,2-2,2,A. Bradley makes 2-pt shot from 14 ft (assist by J. Sullinger)
11:05.0,J. Redick misses 2-pt shot from 1 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by J. Sullinger
10:57.0,,,2-2,,A. Bradley misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by D. Jordan,,2-2,,
10:47.0,C. Paul makes 2-pt shot from 18 ft,2,4-2,,
10:33.0,,,4-4,2,J. Sullinger makes 2-pt shot from 21 ft (assist by A. Johnson)
10:10.0,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul),3,7-4,,
10:01.0,,,7-4,,I. Thomas misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by D. Jordan,,7-4,,
9:43.0,J. Redick makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,10-4,,
9:25.0,,,10-4,,A. Johnson misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by C. Paul,,10-4,,
9:15.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by J. Crowder),,10-4,,
9:14.0,,,10-4,,Defensive rebound by J. Sullinger
9:02.0,,,10-7,3,J. Crowder makes 3-pt shot from 23 ft (assist by J. Sullinger)
8:38.0,,,10-7,,Personal foul by J. Crowder (drawn by D. Jordan)
8:30.0,D. Jordan misses 2-pt shot at rim,,10-7,,
8:29.0,Offensive rebound by D. Jordan,,10-7,,
8:29.0,D. Jordan makes 2-pt shot at rim,2,12-7,,
8:24.0,,,12-9,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
8:02.0,Turnover by C. Paul (bad pass; steal by I. Thomas),,12-9,,
7:57.0,,,12-11,2,I. Thomas makes 2-pt shot from 1 ft
7:49.0,C. Paul makes 2-pt shot from 20 ft,2,14-11,,
7:31.0,,,14-11,,I. Thomas misses 2-pt shot at rim
7:31.0,Defensive rebound by P. Pierce,,14-11,,
7:26.0,P. Pierce misses 3-pt shot from 25 ft,,14-11,,
7:23.0,,,14-11,,Defensive rebound by I. Thomas
7:18.0,,,14-11,,J. Sullinger misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by J. Redick,,14-11,,
7:07.0,C. Paul makes 2-pt shot from 16 ft,2,16-11,,
6:52.0,,,16-13,2,J. Sullinger makes 2-pt shot from 9 ft (assist by I. Thomas)
6:31.0,Turnover by P. Pierce (bad pass),,16-13,,
6:18.0,,,16-15,2,J. Sullinger makes 2-pt shot from 12 ft (assist by I. Thomas)
5:58.0,P. Pierce makes 3-pt shot from 23 ft (assist by C. Paul),3,19-15,,
5:45.0,,,19-17,2,J. Sullinger makes 2-pt shot from 17 ft (assist by J. Crowder)
5:18.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,19-17,,
5:17.0,,,19-17,,Defensive rebound by J. Sullinger
5:11.0,,,19-19,2,I. Thomas makes 2-pt shot at rim
4:46.0,,,19-19,,Def 3 sec tech foul by A. Johnson
4:46.0,,,19-19,,Boston full timeout
4:46.0,,,19-19,,E. Turner enters the game for A. Johnson
4:46.0,,,19-19,,M. Smart enters the game for A. Bradley
4:46.0,W. Johnson enters the game for P. Pierce,,19-19,,
4:46.0,C. Paul misses technical free throw,,19-19,,
4:46.0,Offensive rebound by Team,,19-19,,
4:35.0,W. Johnson makes 3-pt shot from 25 ft (assist by C. Paul),3,22-19,,
4:15.0,,,22-21,2,E. Turner makes 2-pt shot from 6 ft
3:53.0,J. Redick makes 2-pt shot from 22 ft (assist by D. Jordan),2,24-21,,
3:42.0,,,24-21,,I. Thomas misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by D. Jordan,,24-21,,
3:39.0,Turnover by D. Jordan (bad pass),,24-21,,
3:39.0,J. Crawford enters the game for L. Mbah a Moute,,24-21,,
3:33.0,,,24-21,,E. Turner misses 2-pt shot from 17 ft
3:32.0,Defensive rebound by D. Jordan,,24-21,,
3:17.0,C. Paul makes 2-pt shot from 13 ft,2,26-21,,
3:03.0,,,26-23,2,J. Sullinger makes 2-pt shot from 1 ft (assist by M. Smart)
2:48.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Crawford),2,28-23,,
2:48.0,,,28-23,,Shooting block foul by I. Thomas (drawn by D. Jordan)
2:48.0,LA Clippers full timeout,,28-23,,
2:48.0,,,28-23,,K. Olynyk enters the game for J. Sullinger
2:48.0,D. Jordan misses free throw 1 of 1,,28-23,,
2:48.0,,,28-23,,Defensive rebound by E. Turner
2:32.0,,,28-23,,M. Smart misses 3-pt shot from 22 ft
2:31.0,Defensive rebound by Team,,28-23,,
2:31.0,,,28-23,,Loose ball foul by K. Olynyk (drawn by D. Jordan)
2:07.0,D. Jordan misses 2-pt shot from 3 ft,,28-23,,
2:06.0,,,28-23,,Defensive rebound by Team
1:55.0,,,28-26,3,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas)
1:33.0,D. Jordan makes 2-pt shot at rim (assist by W. Johnson),2,30-26,,
1:21.0,Shooting block foul by W. Johnson (drawn by I. Thomas),,30-26,,
1:21.0,,,30-27,1,I. Thomas makes free throw 1 of 2
1:21.0,L. Stephenson enters the game for J. Redick,,30-27,,
1:21.0,,,30-28,1,I. Thomas makes free throw 2 of 2
1:14.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,32-28,,
1:14.0,,,32-28,,Shooting block foul by M. Smart (drawn by D. Jordan)
1:14.0,D. Jordan makes free throw 1 of 1,1,33-28,,
1:02.0,,,33-28,,Shooting foul by W. Johnson (drawn by I. Thomas)
1:02.0,,,33-29,1,I. Thomas makes free throw 1 of 3
1:02.0,,,33-30,1,I. Thomas makes free throw 2 of 3
1:02.0,,,33-30,,J. Jerebko enters the game for J. Crowder
1:02.0,,,33-31,1,I. Thomas makes free throw 3 of 3
1:01.0,,,33-31,,Personal take foul by J. Jerebko (drawn by D. Jordan)
1:01.0,D. Jordan makes free throw 1 of 2,1,34-31,,
1:01.0,D. Jordan makes free throw 2 of 2,1,35-31,,
