time,Golden State,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Bogut vs. B. Lopez (T. Young gains possession)
11:42.0,,,0-0,,J. Jack misses 3-pt shot from 25 ft
11:41.0,,,0-0,,Offensive rebound by B. Lopez
11:40.0,,,0-0,,B. Lopez misses 2-pt shot at rim
11:40.0,,,0-0,,Offensive rebound by B. Lopez
11:39.0,,,0-0,,B. Lopez misses 2-pt shot at rim
11:39.0,,,0-0,,Offensive rebound by Team
11:20.0,,,0-0,,T. Young misses 2-pt shot from 17 ft
11:19.0,Defensive rebound by S. Curry,,0-0,,
11:02.0,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green),2,2-0,,
10:43.0,,,2-0,,J. Johnson misses 2-pt shot from 4 ft
10:41.0,Defensive rebound by D. Green,,2-0,,
10:35.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,5-0,,
10:23.0,,,5-0,,B. Lopez misses 2-pt shot from 13 ft
10:22.0,Defensive rebound by A. Bogut,,5-0,,
10:18.0,Shooting foul by B. Lopez (drawn by D. Green),,5-0,,
10:18.0,D. Green misses free throw 1 of 2,,5-0,,
10:18.0,Offensive rebound by Team,,5-0,,
10:18.0,D. Green makes free throw 2 of 2,1,6-0,,
9:57.0,,,6-0,,J. Johnson misses 2-pt shot from 12 ft
9:55.0,Defensive rebound by K. Thompson,,6-0,,
9:47.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,9-0,,
9:46.0,,,9-0,,Brooklyn full timeout
9:27.0,,,9-2,2,J. Jack makes 2-pt shot from 6 ft
9:13.0,Turnover by K. Thompson (step out of bounds),,9-2,,
9:00.0,,,9-2,,J. Jack misses 2-pt shot from 20 ft
8:59.0,Defensive rebound by A. Bogut,,9-2,,
8:49.0,,,9-2,,Personal foul by B. Lopez (drawn by S. Curry)
8:49.0,S. Curry misses free throw 1 of 2,,9-2,,
8:49.0,Offensive rebound by Team,,9-2,,
8:49.0,S. Curry misses free throw 2 of 2,,9-2,,
8:47.0,,,9-2,,Defensive rebound by J. Jack
8:27.0,,,9-4,2,B. Lopez makes 2-pt shot from 1 ft
8:08.0,A. Bogut misses 2-pt shot from 6 ft,,9-4,,
8:07.0,,,9-4,,Defensive rebound by B. Bogdanovic
7:55.0,,,9-4,,Turnover by B. Lopez (3 sec)
7:36.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson),3,12-4,,
7:24.0,,,12-6,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
7:12.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,14-6,,
7:00.0,,,14-6,,Turnover by J. Jack (bad pass; steal by D. Green)
