time,Brooklyn,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,T. Ariza misses 3-pt shot from 23 ft
12:00.0,Jump ball: D. Howard vs. B. Lopez (T. Lawson gains possession),,,,Jump ball: D. Howard vs. B. Lopez (T. Lawson gains possession)
11:44.0,Defensive rebound by J. Johnson,,0-0,,
11:25.0,B. Lopez misses 2-pt shot from 4 ft (block by M. Thornton),,0-0,,
11:21.0,,,0-0,,Defensive rebound by D. Howard
11:15.0,,,0-0,,J. Harden misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by J. Jack,,0-0,,
10:52.0,B. Lopez misses 2-pt shot from 9 ft (block by D. Howard),,0-0,,
10:50.0,Offensive rebound by B. Lopez,,0-0,,
10:48.0,B. Lopez makes 2-pt shot from 8 ft,2,2-0,,
10:39.0,,,2-0,,M. Thornton misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by B. Lopez,,2-0,,
10:26.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,2-0,,
10:25.0,,,2-0,,Defensive rebound by D. Howard
10:20.0,,,2-0,,J. Harden misses 2-pt shot from 4 ft (block by R. Hollis-Jefferson)
10:20.0,,,2-0,,Offensive rebound by Team
10:13.0,,,2-0,,T. Lawson misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by J. Jack,,2-0,,
10:01.0,Shooting foul by J. Harden (drawn by T. Young),,2-0,,
10:01.0,T. Young makes free throw 1 of 2,1,3-0,,
10:01.0,T. Young makes free throw 2 of 2,1,4-0,,
9:42.0,,,4-3,3,J. Harden makes 3-pt shot from 25 ft (assist by M. Thornton)
9:35.0,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Thornton),,4-3,,
9:24.0,,,4-5,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
9:10.0,Turnover by T. Young (lost ball; steal by J. Harden),,4-5,,
8:57.0,,,4-5,,T. Lawson misses 3-pt shot from 25 ft
8:57.0,,,4-5,,Offensive rebound by Team
8:57.0,Loose ball foul by B. Lopez (drawn by D. Howard),,4-5,,
8:49.0,,,4-5,,Turnover by J. Harden (bad pass; steal by R. Hollis-Jefferson)
8:37.0,B. Lopez makes 2-pt shot from 19 ft,2,6-5,,
8:18.0,,,6-7,2,D. Howard makes 2-pt shot at rim (assist by M. Thornton)
7:59.0,J. Jack misses 2-pt shot from 13 ft,,6-7,,
7:58.0,,,6-7,,Defensive rebound by J. Harden
7:53.0,,,6-9,2,M. Thornton makes 2-pt shot from 2 ft (assist by J. Harden)
7:48.0,Brooklyn full timeout,,6-9,,
7:32.0,J. Johnson misses 2-pt shot from 2 ft,,6-9,,
7:32.0,Offensive rebound by T. Young,,6-9,,
7:32.0,T. Young makes 2-pt shot at rim,2,8-9,,
7:32.0,Shooting foul by J. Harden (drawn by T. Young),,8-9,,
7:32.0,T. Young makes free throw 1 of 1,1,9-9,,
7:26.0,,,9-9,,T. Ariza misses 2-pt shot from 22 ft
7:24.0,Defensive rebound by R. Hollis-Jefferson,,9-9,,
7:06.0,J. Jack makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,12-9,,
6:43.0,,,12-9,,D. Howard misses 2-pt shot from 2 ft
