time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (B. Rush gains possession),,,,Jump ball: A. Bogut vs. D. Howard (B. Rush gains possession)
11:40.0,D. Green misses 2-pt shot from 1 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Harden
11:29.0,,,0-0,,T. Ariza misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by D. Green,,0-0,,
11:14.0,K. Thompson misses 2-pt shot from 12 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by D. Howard
10:58.0,,,0-0,,Turnover by D. Howard (lost ball; steal by S. Livingston)
10:53.0,B. Rush misses 3-pt shot from 24 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by P. Beverley
10:37.0,,,0-2,2,D. Howard makes 2-pt shot from 6 ft
10:20.0,A. Bogut makes 2-pt shot from 7 ft (assist by S. Livingston),2,2-2,,
9:59.0,,,2-4,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
9:40.0,B. Rush misses 3-pt shot from 22 ft,,2-4,,
9:39.0,,,2-4,,Defensive rebound by C. Capela
9:33.0,,,2-7,3,J. Harden makes 3-pt shot from 24 ft
9:33.0,,,2-7,,Shooting foul by K. Thompson (drawn by J. Harden)
9:33.0,,,2-8,1,J. Harden makes free throw 1 of 1
9:17.0,S. Livingston makes 2-pt shot from 1 ft (assist by D. Green),2,4-8,,
9:00.0,,,4-8,,T. Ariza misses 3-pt shot from 24 ft
8:59.0,,,4-8,,Offensive rebound by Team
8:59.0,Loose ball foul by A. Bogut (drawn by D. Howard),,4-8,,
8:47.0,,,4-8,,Shooting foul by S. Livingston (drawn by P. Beverley)
8:47.0,,,4-9,1,P. Beverley makes free throw 1 of 2
8:47.0,,,4-10,1,P. Beverley makes free throw 2 of 2
8:31.0,K. Thompson misses 2-pt shot from 1 ft,,4-10,,
8:29.0,Offensive rebound by S. Livingston,,4-10,,
8:26.0,Turnover by S. Livingston (bad pass; steal by P. Beverley),,4-10,,
8:25.0,,,4-10,,Shooting foul by D. Green (drawn by P. Beverley)
8:25.0,,,4-11,1,P. Beverley makes free throw 1 of 2
8:25.0,,,4-12,1,P. Beverley makes free throw 2 of 2
8:14.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Livingston),3,7-12,,
8:02.0,,,7-12,,P. Beverley misses 2-pt shot from 4 ft
8:01.0,,,7-12,,Offensive rebound by D. Howard
7:53.0,,,7-12,,D. Howard misses 2-pt shot from 1 ft
7:51.0,Defensive rebound by B. Rush,,7-12,,
7:45.0,S. Livingston makes 2-pt shot from 8 ft (assist by D. Green),2,9-12,,
7:29.0,Personal foul by K. Thompson (drawn by J. Harden),,9-12,,
7:29.0,Golden State full timeout,,9-12,,
7:29.0,,,9-12,,T. Jones enters the game for C. Capela
7:29.0,,,9-13,1,J. Harden makes free throw 1 of 2
7:29.0,,,9-14,1,J. Harden makes free throw 2 of 2
7:09.0,B. Rush misses 2-pt shot from 3 ft (block by D. Howard),,9-14,,
7:08.0,,,9-14,,Defensive rebound by T. Ariza
7:00.0,,,9-14,,T. Ariza misses 3-pt shot from 24 ft
6:59.0,,,9-14,,Offensive rebound by T. Jones
6:45.0,,,9-14,,J. Harden misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by K. Thompson,,9-14,,
6:24.0,S. Livingston misses 2-pt shot from 2 ft (block by D. Howard),,9-14,,
6:24.0,Offensive rebound by Team,,9-14,,
6:24.0,A. Iguodala enters the game for B. Rush,,9-14,,
6:24.0,,,9-14,,Personal foul by J. Harden (drawn by A. Iguodala)
6:19.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,12-14,,
6:02.0,,,12-14,,P. Beverley misses 2-pt shot from 6 ft
6:01.0,Defensive rebound by A. Bogut,,12-14,,
5:59.0,Turnover by A. Bogut (bad pass; steal by J. Harden),,12-14,,
5:55.0,,,12-17,3,J. Harden makes 3-pt shot from 25 ft
5:40.0,K. Thompson makes 2-pt shot from 7 ft,2,14-17,,
5:31.0,,,14-17,,Turnover by J. Harden (bad pass)
5:31.0,,,14-17,,T. Lawson enters the game for P. Beverley
5:19.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Livingston),2,16-17,,
5:04.0,,,16-17,,J. Harden misses 2-pt shot from 17 ft
5:04.0,Defensive rebound by D. Green,,16-17,,
4:52.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Livingston),2,18-17,,
4:52.0,Shooting foul by T. Jones (drawn by K. Thompson),,18-17,,
4:52.0,,,18-17,,Houston full timeout
4:52.0,,,18-17,,C. Capela enters the game for D. Howard
4:52.0,K. Thompson misses free throw 1 of 1,,18-17,,
4:52.0,,,18-17,,Defensive rebound by T. Jones
4:34.0,,,18-17,,T. Jones misses 3-pt shot from 23 ft
4:32.0,Defensive rebound by K. Thompson,,18-17,,
4:23.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,20-17,,
4:00.0,,,20-17,,T. Jones misses 2-pt shot from 3 ft
4:00.0,Defensive rebound by A. Bogut,,20-17,,
3:51.0,Turnover by D. Green (bad pass; steal by T. Jones),,20-17,,
3:47.0,,,20-19,2,T. Jones makes 2-pt shot at rim
3:34.0,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala),2,22-19,,
3:25.0,Violation by A. Iguodala (kicked ball),,22-19,,
3:25.0,,,22-19,,C. Brewer enters the game for T. Ariza
3:18.0,,,22-19,,Flagrant foul type 1 by J. Harden (drawn by A. Bogut)
3:18.0,,,22-19,,Turnover by J. Harden (offensive foul)
3:18.0,I. Clark enters the game for S. Livingston,,22-19,,
3:18.0,A. Bogut misses flagrant free throw 1 of 2,,22-19,,
3:18.0,Offensive rebound by Team,,22-19,,
3:18.0,,,22-19,,M. Thornton enters the game for J. Harden
3:18.0,A. Bogut misses flagrant free throw 2 of 2,,22-19,,
3:18.0,Offensive rebound by Team,,22-19,,
3:12.0,K. Thompson makes 2-pt shot from 13 ft,2,24-19,,
2:47.0,,,24-22,3,C. Brewer makes 3-pt shot from 23 ft (assist by T. Lawson)
2:31.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,27-22,,
2:16.0,,,27-22,,M. Thornton misses 2-pt shot from 1 ft
2:15.0,,,27-22,,Offensive rebound by C. Capela
2:15.0,,,27-24,2,C. Capela makes 2-pt shot at rim
1:55.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,29-24,,
1:36.0,,,29-24,,C. Brewer misses 2-pt shot at rim
1:35.0,Defensive rebound by Team,,29-24,,
1:35.0,M. Speights enters the game for D. Green,,29-24,,
1:35.0,J. McAdoo enters the game for A. Bogut,,29-24,,
1:26.0,,,29-24,,Personal foul by T. Jones (drawn by M. Speights)
1:26.0,,,29-24,,D. Motiejunas enters the game for T. Jones
1:18.0,J. McAdoo makes 2-pt shot at rim (assist by M. Speights),2,31-24,,
1:04.0,,,31-26,2,D. Motiejunas makes 2-pt shot from 8 ft (assist by T. Lawson)
0:46.0,Turnover by K. Thompson (bad pass; steal by T. Lawson),,31-26,,
0:42.0,,,31-26,,Shooting foul by I. Clark (drawn by T. Lawson)
0:42.0,,,31-26,,T. Lawson misses free throw 1 of 2
0:42.0,,,31-26,,Offensive rebound by Team
0:42.0,,,31-27,1,T. Lawson makes free throw 2 of 2
0:22.0,Shooting foul by D. Motiejunas (drawn by J. McAdoo),,31-27,,
0:22.0,J. McAdoo makes free throw 1 of 2,1,32-27,,
0:22.0,B. Rush enters the game for K. Thompson,,32-27,,
0:22.0,,,32-27,,T. Ariza enters the game for C. Capela
0:22.0,J. McAdoo makes free throw 2 of 2,1,33-27,,
0:05.0,,,33-30,3,M. Thornton makes 3-pt shot from 25 ft (assist by T. Lawson)
0:01.0,Turnover by A. Iguodala (bad pass; steal by T. Lawson),,33-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,33-30,,Turnover by M. Thornton (bad pass; steal by J. McAdoo)
11:42.0,Shooting foul by D. Howard (drawn by J. McAdoo),,33-30,,
11:42.0,J. McAdoo makes free throw 1 of 2,1,34-30,,
11:42.0,J. McAdoo misses free throw 2 of 2,,34-30,,
11:41.0,,,34-30,,Defensive rebound by D. Howard
11:41.0,D. Green enters the game for J. McAdoo,,34-30,,
