time,Utah,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Withey (T. Lyles gains possession),,,,Jump ball: R. Hibbert vs. J. Withey (T. Lyles gains possession)
11:40.0,G. Hayward misses 2-pt shot from 1 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Randle
11:25.0,,,0-0,,K. Bryant misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by J. Withey,,0-0,,
11:12.0,R. Hood misses 2-pt shot from 8 ft,,0-0,,
11:09.0,Offensive rebound by J. Withey,,0-0,,
10:59.0,J. Withey makes 2-pt shot from 6 ft (assist by S. Mack),2,2-0,,
10:44.0,,,2-0,,K. Bryant misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by R. Hood,,2-0,,
10:28.0,Turnover by G. Hayward (lost ball),,2-0,,
10:10.0,,,2-0,,R. Hibbert misses 2-pt shot from 8 ft
10:05.0,Defensive rebound by J. Withey,,2-0,,
9:43.0,S. Mack makes 2-pt shot from 9 ft,2,4-0,,
9:29.0,,,4-0,,Turnover by R. Hibbert (bad pass)
9:09.0,T. Lyles misses 2-pt shot from 5 ft,,4-0,,
9:05.0,,,4-0,,Defensive rebound by J. Randle
8:59.0,,,4-0,,K. Bryant misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by T. Lyles,,4-0,,
8:50.0,S. Mack misses 2-pt shot from 6 ft,,4-0,,
8:47.0,Offensive rebound by R. Hood,,4-0,,
8:44.0,R. Hood makes 2-pt shot at rim,2,6-0,,
8:21.0,,,6-0,,D. Russell misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by J. Withey,,6-0,,
8:09.0,S. Mack misses 3-pt shot from 24 ft,,6-0,,
8:08.0,Offensive rebound by G. Hayward,,6-0,,
7:50.0,R. Hood misses 3-pt shot from 24 ft,,6-0,,
7:49.0,,,6-0,,Defensive rebound by K. Bryant
7:40.0,,,6-0,,K. Bryant misses 2-pt shot from 4 ft
7:37.0,Defensive rebound by J. Withey,,6-0,,
7:32.0,G. Hayward misses 3-pt shot from 25 ft,,6-0,,
7:29.0,,,6-0,,Defensive rebound by J. Clarkson
7:22.0,,,6-0,,J. Clarkson misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by S. Mack,,6-0,,
7:12.0,R. Hood misses 2-pt shot from 20 ft,,6-0,,
7:11.0,,,6-0,,Defensive rebound by K. Bryant
7:01.0,,,6-2,2,R. Hibbert makes 2-pt shot at rim (assist by D. Russell)
6:36.0,G. Hayward misses 2-pt shot from 18 ft,,6-2,,
6:31.0,,,6-2,,Defensive rebound by R. Hibbert
6:27.0,,,6-2,,Turnover by K. Bryant (lost ball; steal by R. Hood)
6:23.0,Turnover by R. Hood (lost ball),,6-2,,
6:03.0,,,6-2,,J. Clarkson misses 2-pt shot from 1 ft
5:59.0,,,6-2,,Offensive rebound by R. Hibbert
5:59.0,,,6-4,2,R. Hibbert makes 2-pt shot from 1 ft
5:57.0,Utah full timeout,,6-4,,
5:57.0,,,6-4,,M. Huertas enters the game for J. Clarkson
5:57.0,R. Neto enters the game for S. Mack,,6-4,,
5:57.0,T. Booker enters the game for T. Lyles,,6-4,,
5:53.0,J. Withey misses 2-pt shot from 7 ft,,6-4,,
5:50.0,,,6-4,,Defensive rebound by J. Randle
5:34.0,,,6-4,,K. Bryant misses 2-pt shot from 17 ft
5:32.0,Defensive rebound by T. Booker,,6-4,,
5:22.0,T. Booker misses 2-pt shot from 1 ft (block by K. Bryant),,6-4,,
5:20.0,,,6-4,,Defensive rebound by R. Hibbert
5:12.0,,,6-6,2,K. Bryant makes 2-pt shot from 10 ft
4:57.0,Shooting foul by R. Hibbert (drawn by J. Withey),,6-6,,
4:57.0,J. Withey makes free throw 1 of 2,1,7-6,,
4:57.0,,,7-6,,L. Nance enters the game for J. Randle
4:57.0,J. Withey misses free throw 2 of 2,,7-6,,
4:53.0,,,7-6,,Defensive rebound by L. Nance
4:45.0,,,7-8,2,K. Bryant makes 2-pt shot from 15 ft
4:27.0,R. Neto misses 2-pt shot from 16 ft,,7-8,,
4:24.0,,,7-8,,Defensive rebound by L. Nance
4:14.0,,,7-10,2,K. Bryant makes 2-pt shot from 2 ft
4:14.0,,,7-10,,Shooting foul by J. Withey (drawn by K. Bryant)
4:14.0,J. Ingles enters the game for G. Hayward,,7-10,,
4:14.0,,,7-10,,T. Black enters the game for R. Hibbert
4:14.0,,,7-11,1,K. Bryant makes free throw 1 of 1
