time,Minnesota,pts.away,score,pts.home,Portland
1:59.0,Defensive rebound by N. Bjelica,,18-26,,
1:46.0,A. Wiggins misses 2-pt shot from 1 ft,,18-26,,
1:45.0,Offensive rebound by A. Wiggins,,18-26,,
1:45.0,A. Wiggins misses 2-pt shot from 1 ft,,18-26,,
1:42.0,,,18-26,,Defensive rebound by N. Vonleh
1:40.0,,,18-26,,Offensive charge foul by G. Henderson
1:40.0,,,18-26,,Turnover by G. Henderson (offensive foul)
1:26.0,,,18-26,,Personal foul by D. Lillard
1:26.0,N. Bjelica makes free throw 1 of 2,1,19-26,,
1:26.0,T. Prince enters the game for A. Wiggins,,19-26,,
1:26.0,N. Bjelica misses free throw 2 of 2,,19-26,,
1:25.0,,,19-26,,Defensive rebound by N. Vonleh
1:09.0,,,19-26,,D. Lillard misses 2-pt shot from 2 ft
1:07.0,,,19-26,,Offensive rebound by E. Davis
1:07.0,,,19-26,,E. Davis misses 2-pt shot at rim
1:06.0,,,19-26,,Offensive rebound by N. Vonleh
1:05.0,,,19-28,2,N. Vonleh makes 2-pt shot at rim
1:04.0,,,19-28,,Technical foul by N. Vonleh
1:04.0,T. Jones makes technical free throw,1,20-28,,
0:49.0,S. Muhammad misses 2-pt shot from 6 ft,,20-28,,
0:48.0,Offensive rebound by S. Muhammad,,20-28,,
0:47.0,,,20-28,,Personal foul by E. Davis
0:47.0,S. Muhammad makes free throw 1 of 2,1,21-28,,
0:47.0,S. Muhammad misses free throw 2 of 2,,21-28,,
0:47.0,,,21-28,,Defensive rebound by Team
0:47.0,Loose ball foul by N. Bjelica,,21-28,,
0:25.0,,,21-28,,G. Henderson misses 2-pt shot from 16 ft
0:21.0,,,21-28,,Offensive rebound by E. Davis
0:02.0,,,21-28,,Turnover by A. Crabbe (lost ball; steal by N. Bjelica)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-28,,C. McCollum misses 2-pt shot from 18 ft
11:40.0,Jump ball: N. Bjelica vs. N. Vonleh (C. McCollum gains possession),,,,Jump ball: N. Bjelica vs. N. Vonleh (C. McCollum gains possession)
11:40.0,,,21-28,,Offensive rebound by Team
11:32.0,,,21-28,,Shooting foul by K. Towns (drawn by C. McCollum)
11:32.0,,,21-29,1,C. McCollum makes free throw 1 of 2
11:32.0,,,21-30,1,C. McCollum makes free throw 2 of 2
11:19.0,N. Bjelica makes 2-pt shot from 6 ft,2,23-30,,
10:57.0,,,23-30,,G. Henderson misses 3-pt shot from 22 ft
10:57.0,,,23-30,,Offensive rebound by E. Davis
10:54.0,,,23-30,,G. Henderson misses 2-pt shot from 13 ft
10:53.0,Defensive rebound by K. Towns,,23-30,,
10:40.0,K. Towns makes 2-pt shot from 18 ft (assist by N. Bjelica),2,25-30,,
10:17.0,,,25-30,,G. Henderson misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by T. Prince,,25-30,,
9:59.0,Shooting foul by E. Davis (drawn by K. Towns),,25-30,,
9:59.0,K. Towns misses free throw 1 of 2,,25-30,,
9:59.0,Offensive rebound by Team,,25-30,,
9:59.0,,,25-30,,A. Aminu enters the game for N. Vonleh
9:59.0,K. Towns makes free throw 2 of 2,1,26-30,,
9:41.0,,,26-32,2,A. Crabbe makes 2-pt shot from 22 ft
9:33.0,S. Muhammad misses 2-pt shot from 3 ft,,26-32,,
9:31.0,Offensive rebound by K. Towns,,26-32,,
9:30.0,K. Towns makes 2-pt shot at rim,2,28-32,,
9:10.0,,,28-34,2,E. Davis makes 2-pt shot from 2 ft (assist by A. Crabbe)
8:59.0,K. Towns makes 2-pt shot from 20 ft (assist by T. Jones),2,30-34,,
8:46.0,,,30-34,,C. McCollum misses 2-pt shot from 8 ft
8:46.0,Defensive rebound by N. Bjelica,,30-34,,
8:37.0,S. Muhammad misses 2-pt shot from 5 ft,,30-34,,
8:35.0,Offensive rebound by S. Muhammad,,30-34,,
8:33.0,S. Muhammad makes 2-pt shot from 5 ft,2,32-34,,
8:14.0,,,32-34,,C. McCollum misses 2-pt shot from 2 ft (block by K. Towns)
8:12.0,Defensive rebound by N. Bjelica,,32-34,,
8:08.0,S. Muhammad misses 2-pt shot from 1 ft,,32-34,,
8:08.0,,,32-34,,Defensive rebound by A. Crabbe
7:58.0,,,32-34,,G. Henderson misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by T. Prince,,32-34,,
7:54.0,Minnesota full timeout,,32-34,,
7:37.0,K. Towns misses 2-pt shot from 1 ft,,32-34,,
7:36.0,Offensive rebound by K. Towns,,32-34,,
7:36.0,K. Towns makes 2-pt shot from 1 ft,2,34-34,,
7:17.0,,,34-36,2,G. Henderson makes 2-pt shot from 14 ft
6:54.0,T. Prince makes 2-pt shot from 14 ft,2,36-36,,
6:30.0,,,36-36,,A. Aminu misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by N. Bjelica,,36-36,,
6:25.0,R. Rubio enters the game for T. Jones,,36-36,,
6:12.0,S. Muhammad makes 2-pt shot from 9 ft,2,38-36,,
5:55.0,,,38-38,2,A. Crabbe makes 2-pt shot from 20 ft (assist by C. McCollum)
5:31.0,T. Prince makes 2-pt shot from 9 ft,2,40-38,,
5:20.0,,,40-38,,Turnover by G. Henderson (step out of bounds)
5:20.0,Official timeout,,40-38,,
5:20.0,,,40-38,,D. Lillard enters the game for C. McCollum
5:20.0,,,40-38,,M. Plumlee enters the game for G. Henderson
5:20.0,,,40-38,,M. Harkless enters the game for E. Davis
5:20.0,Z. LaVine enters the game for S. Muhammad,,40-38,,
5:20.0,A. Wiggins enters the game for T. Prince,,40-38,,
5:02.0,A. Wiggins makes 2-pt shot from 8 ft,2,42-38,,
4:42.0,,,42-38,,A. Crabbe misses 2-pt shot from 17 ft
4:42.0,,,42-38,,Offensive rebound by Team
4:38.0,,,42-40,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
4:23.0,Turnover by R. Rubio (step out of bounds),,42-40,,
