time,New York,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Lopez (J. Calderon gains possession),,,,Jump ball: A. Bogut vs. R. Lopez (J. Calderon gains possession)
11:41.0,J. Calderon makes 2-pt shot from 19 ft (assist by C. Anthony),2,2-0,,
11:26.0,,,2-0,,Offensive foul by A. Bogut
11:26.0,,,2-0,,Turnover by A. Bogut (offensive foul)
11:11.0,C. Anthony misses 2-pt shot from 14 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by S. Curry
10:59.0,,,2-0,,S. Curry misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by C. Anthony,,2-0,,
10:42.0,K. Porzingis misses 2-pt shot from 20 ft (block by D. Green),,2-0,,
10:41.0,,,2-0,,Defensive rebound by A. Bogut
10:33.0,,,2-0,,K. Thompson misses 2-pt shot from 3 ft
10:31.0,,,2-0,,Offensive rebound by K. Thompson
10:31.0,,,2-0,,K. Thompson misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by C. Anthony,,2-0,,
10:23.0,C. Anthony misses 3-pt shot from 26 ft,,2-0,,
10:21.0,Offensive rebound by C. Anthony,,2-0,,
10:14.0,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Anthony),2,4-0,,
10:06.0,,,4-0,,H. Barnes misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by S. Vujacic,,4-0,,
9:49.0,R. Lopez misses 2-pt shot from 15 ft,,4-0,,
9:48.0,,,4-0,,Defensive rebound by H. Barnes
9:32.0,,,4-0,,Turnover by A. Bogut (lost ball; steal by R. Lopez)
9:16.0,Turnover by K. Porzingis (lost ball; steal by A. Bogut),,4-0,,
9:09.0,,,4-0,,K. Thompson misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by C. Anthony,,4-0,,
8:50.0,S. Vujacic misses 2-pt shot from 18 ft,,4-0,,
8:50.0,,,4-0,,Defensive rebound by K. Thompson
8:35.0,,,4-0,,K. Thompson misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by J. Calderon,,4-0,,
8:22.0,Turnover by R. Lopez (lost ball),,4-0,,
8:12.0,,,4-2,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
7:53.0,S. Vujacic misses 2-pt shot from 16 ft,,4-2,,
7:52.0,,,4-2,,Defensive rebound by H. Barnes
7:43.0,,,4-5,3,S. Curry makes 3-pt shot from 25 ft
7:24.0,C. Anthony misses 2-pt shot from 12 ft,,4-5,,
7:23.0,,,4-5,,Defensive rebound by D. Green
7:16.0,,,4-7,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
6:55.0,R. Lopez misses 2-pt shot from 6 ft,,4-7,,
6:54.0,,,4-7,,Defensive rebound by A. Bogut
6:43.0,,,4-7,,H. Barnes misses 2-pt shot from 21 ft
6:42.0,,,4-7,,Offensive rebound by A. Bogut
6:38.0,,,4-7,,S. Curry misses 3-pt shot from 32 ft
6:37.0,Defensive rebound by Team,,4-7,,
6:35.0,A. Afflalo enters the game for S. Vujacic,,4-7,,
6:35.0,D. Williams enters the game for K. Porzingis,,4-7,,
6:16.0,J. Calderon misses 2-pt shot from 13 ft (block by K. Thompson),,4-7,,
6:15.0,Offensive rebound by J. Calderon,,4-7,,
6:11.0,A. Afflalo misses 2-pt shot from 8 ft,,4-7,,
6:10.0,Offensive rebound by R. Lopez,,4-7,,
6:10.0,A. Afflalo makes 2-pt shot from 8 ft,2,6-7,,
6:10.0,Shooting foul by S. Curry (drawn by A. Afflalo),,6-7,,
6:10.0,A. Afflalo misses free throw 1 of 1,,6-7,,
6:09.0,,,6-7,,Defensive rebound by A. Bogut
5:52.0,,,6-7,,A. Bogut misses 2-pt shot at rim
5:51.0,,,6-7,,Offensive rebound by A. Bogut
5:51.0,,,6-9,2,A. Bogut makes 2-pt shot at rim
5:34.0,R. Lopez misses 2-pt shot from 5 ft,,6-9,,
5:33.0,,,6-9,,Defensive rebound by K. Thompson
5:26.0,,,6-9,,D. Green misses 3-pt shot from 29 ft
5:26.0,Defensive rebound by R. Lopez,,6-9,,
5:16.0,C. Anthony misses 2-pt shot from 18 ft,,6-9,,
5:15.0,,,6-9,,Defensive rebound by Team
5:15.0,,,6-9,,Golden State full timeout
5:15.0,,,6-9,,L. Barbosa enters the game for K. Thompson
5:05.0,,,6-11,2,S. Curry makes 2-pt shot from 10 ft (assist by D. Green)
4:37.0,J. Calderon misses 2-pt shot from 17 ft,,6-11,,
4:36.0,,,6-11,,Defensive rebound by D. Green
4:26.0,,,6-13,2,D. Green makes 2-pt shot from 1 ft
4:05.0,Shooting foul by A. Bogut (drawn by D. Williams),,6-13,,
