time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Jordan,,,,Jump ball: N. Jokic vs. D. Jordan
11:39.0,,,0-3,3,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul)
11:18.0,G. Harris misses 2-pt shot from 15 ft,,0-3,,
11:16.0,,,0-3,,Defensive rebound by D. Jordan
11:07.0,,,0-5,2,J. Redick makes 2-pt shot from 20 ft (assist by D. Jordan)
10:50.0,Turnover by D. Arthur (lost ball; steal by L. Mbah a Moute),,0-5,,
10:45.0,,,0-5,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by D. Arthur)
10:42.0,Defensive rebound by J. Sampson,,0-5,,
10:33.0,E. Mudiay misses 3-pt shot from 24 ft,,0-5,,
10:31.0,,,0-5,,Defensive rebound by D. Jordan
10:26.0,,,0-7,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
10:05.0,Turnover by E. Mudiay (lost ball; steal by J. Redick),,0-7,,
10:01.0,,,0-9,2,J. Redick makes 2-pt shot from 1 ft (assist by D. Jordan)
10:00.0,Denver full timeout,,0-9,,
9:42.0,D. Arthur misses 3-pt shot from 26 ft,,0-9,,
9:40.0,,,0-9,,Defensive rebound by P. Pierce
9:31.0,,,0-9,,D. Jordan misses 2-pt shot from 3 ft
9:28.0,Defensive rebound by J. Sampson,,0-9,,
9:24.0,D. Arthur misses 2-pt shot from 1 ft,,0-9,,
9:21.0,,,0-9,,Defensive rebound by P. Pierce
9:16.0,,,0-9,,J. Redick misses 2-pt shot from 15 ft
9:15.0,Defensive rebound by N. Jokic,,0-9,,
9:04.0,J. Sampson misses 3-pt shot from 23 ft,,0-9,,
9:02.0,,,0-9,,Defensive rebound by C. Paul
8:51.0,,,0-9,,Turnover by P. Pierce (lost ball; steal by E. Mudiay)
8:33.0,N. Jokic misses 2-pt shot from 6 ft,,0-9,,
8:30.0,,,0-9,,Defensive rebound by D. Jordan
8:26.0,,,0-9,,Turnover by C. Paul (lost ball; steal by G. Harris)
8:25.0,,,0-9,,Personal take foul by P. Pierce
8:17.0,E. Mudiay makes 2-pt shot from 15 ft,2,2-9,,
8:01.0,,,2-12,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
7:51.0,G. Harris misses 2-pt shot from 2 ft,,2-12,,
7:48.0,Offensive rebound by N. Jokic,,2-12,,
7:48.0,N. Jokic makes 2-pt shot from 2 ft,2,4-12,,
7:41.0,,,4-12,,Shooting foul by N. Jokic (drawn by D. Jordan)
7:41.0,,,4-13,1,D. Jordan makes free throw 1 of 2
7:41.0,,,4-13,,W. Johnson enters the game for P. Pierce
7:41.0,,,4-13,,D. Jordan misses free throw 2 of 2
7:40.0,Defensive rebound by N. Jokic,,4-13,,
7:26.0,G. Harris makes 3-pt shot from 24 ft (assist by D. Arthur),3,7-13,,
7:06.0,,,7-13,,W. Johnson misses 3-pt shot from 26 ft
7:05.0,,,7-13,,Offensive rebound by D. Jordan
7:02.0,,,7-15,2,D. Jordan makes 2-pt shot from 1 ft
6:48.0,E. Mudiay misses 2-pt shot from 4 ft (block by D. Jordan),,7-15,,
6:46.0,Offensive rebound by D. Arthur,,7-15,,
6:43.0,N. Jokic misses 2-pt shot from 13 ft,,7-15,,
6:40.0,,,7-15,,Defensive rebound by C. Paul
6:33.0,,,7-18,3,C. Paul makes 3-pt shot from 25 ft
6:12.0,D. Arthur makes 2-pt shot at rim (assist by N. Jokic),2,9-18,,
5:57.0,,,9-18,,Turnover by C. Paul (bad pass)
5:35.0,G. Harris misses 3-pt shot from 26 ft,,9-18,,
5:34.0,Offensive rebound by D. Arthur,,9-18,,
5:21.0,E. Mudiay misses 2-pt shot from 11 ft,,9-18,,
5:21.0,Offensive rebound by Team,,9-18,,
5:21.0,,,9-18,,Loose ball foul by J. Redick
5:10.0,E. Mudiay misses 3-pt shot from 25 ft,,9-18,,
5:09.0,,,9-18,,Defensive rebound by C. Paul
4:53.0,,,9-20,2,C. Paul makes 2-pt shot from 19 ft
4:36.0,Turnover by J. Sampson (lost ball; steal by J. Redick),,9-20,,
4:30.0,,,9-20,,Shooting foul by J. Sampson (drawn by C. Paul)
