time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Thompson (K. Love gains possession),,,,Jump ball: A. Bogut vs. T. Thompson (K. Love gains possession)
11:46.0,K. Irving makes 2-pt shot from 18 ft (assist by L. James),2,2-0,,
11:28.0,,,2-0,,H. Barnes misses 3-pt shot from 26 ft
11:27.0,Defensive rebound by L. James,,2-0,,
11:14.0,K. Irving misses 2-pt shot from 3 ft,,2-0,,
11:13.0,Offensive rebound by Team,,2-0,,
11:09.0,K. Irving makes 2-pt shot from 18 ft (assist by L. James),2,4-0,,
10:58.0,,,4-0,,D. Green misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by K. Love,,4-0,,
10:51.0,L. James misses 2-pt shot from 8 ft,,4-0,,
10:50.0,,,4-0,,Defensive rebound by S. Curry
10:42.0,,,4-0,,S. Curry misses 3-pt shot from 29 ft
10:41.0,Defensive rebound by K. Love,,4-0,,
10:23.0,K. Irving misses 3-pt shot from 25 ft,,4-0,,
10:22.0,Offensive rebound by Team,,4-0,,
9:59.0,J. Smith misses 3-pt shot from 26 ft,,4-0,,
9:57.0,,,4-0,,Defensive rebound by S. Curry
9:46.0,,,4-0,,S. Curry misses 3-pt shot from 26 ft
9:46.0,Defensive rebound by L. James,,4-0,,
9:39.0,K. Love misses 3-pt shot from 26 ft,,4-0,,
9:39.0,,,4-0,,Defensive rebound by H. Barnes
9:22.0,,,4-2,2,D. Green makes 2-pt shot from 13 ft
9:03.0,K. Love makes 2-pt shot from 2 ft,2,6-2,,
8:50.0,,,6-4,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
8:33.0,K. Love misses 2-pt shot from 3 ft (block by A. Bogut),,6-4,,
8:32.0,Offensive rebound by T. Thompson,,6-4,,
8:31.0,T. Thompson makes 2-pt shot at rim,2,8-4,,
8:20.0,,,8-4,,Turnover by S. Curry (lost ball; steal by L. James)
8:13.0,L. James misses 2-pt shot from 2 ft,,8-4,,
8:12.0,,,8-4,,Defensive rebound by H. Barnes
8:03.0,,,8-4,,Turnover by K. Thompson (back court)
7:50.0,Shooting foul by K. Thompson (drawn by J. Smith),,8-4,,
7:50.0,J. Smith misses free throw 1 of 2,,8-4,,
7:50.0,Offensive rebound by Team,,8-4,,
7:50.0,,,8-4,,A. Iguodala enters the game for H. Barnes
7:50.0,J. Smith misses free throw 2 of 2,,8-4,,
7:49.0,,,8-4,,Defensive rebound by D. Green
7:34.0,,,8-6,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
7:06.0,T. Thompson makes 2-pt shot from 2 ft (assist by L. James),2,10-6,,
6:57.0,,,10-6,,K. Thompson misses 3-pt shot from 26 ft
6:55.0,,,10-6,,Offensive rebound by A. Iguodala
6:44.0,,,10-6,,D. Green misses 2-pt shot from 9 ft
6:42.0,,,10-6,,Offensive rebound by S. Curry
6:39.0,,,10-8,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
6:16.0,L. James misses 2-pt shot from 5 ft (block by A. Bogut),,10-8,,
6:15.0,Offensive rebound by K. Irving,,10-8,,
6:12.0,K. Irving misses 2-pt shot from 15 ft,,10-8,,
6:10.0,,,10-8,,Defensive rebound by A. Bogut
5:54.0,,,10-8,,Golden State full timeout
5:40.0,,,10-8,,Turnover by A. Bogut (lost ball; steal by K. Irving)
5:34.0,T. Thompson misses 2-pt shot from 3 ft (block by A. Bogut),,10-8,,
5:33.0,,,10-8,,Defensive rebound by S. Curry
5:29.0,,,10-11,3,S. Curry makes 3-pt shot from 27 ft
5:10.0,L. James misses 3-pt shot from 25 ft,,10-11,,
5:10.0,,,10-11,,Defensive rebound by K. Thompson
5:01.0,,,10-11,,K. Thompson misses 2-pt shot from 3 ft
4:59.0,,,10-11,,Offensive rebound by A. Bogut
4:59.0,,,10-11,,A. Bogut misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by T. Thompson,,10-11,,
4:45.0,K. Love misses 2-pt shot from 2 ft (block by A. Bogut),,10-11,,
4:44.0,,,10-11,,Defensive rebound by S. Curry
4:37.0,,,10-11,,Turnover by S. Curry (lost ball; steal by L. James)
4:34.0,,,10-11,,Personal foul by A. Bogut
4:31.0,,,10-11,,Personal foul by S. Curry
4:31.0,,,10-11,,S. Livingston enters the game for K. Thompson
4:24.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,13-11,,
4:05.0,,,13-11,,D. Green misses 2-pt shot from 3 ft
4:03.0,,,13-11,,Offensive rebound by A. Bogut
4:03.0,,,13-11,,A. Bogut misses 2-pt shot from 2 ft
4:01.0,,,13-11,,Offensive rebound by A. Bogut
4:01.0,,,13-11,,A. Bogut misses 2-pt shot from 1 ft
3:58.0,,,13-11,,Offensive rebound by D. Green
3:58.0,,,13-13,2,D. Green makes 2-pt shot from 1 ft
3:50.0,,,13-13,,F. Ezeli enters the game for A. Bogut
3:50.0,R. Jefferson enters the game for L. James,,13-13,,
3:38.0,K. Irving misses 2-pt shot from 11 ft,,13-13,,
3:37.0,,,13-13,,Defensive rebound by A. Iguodala
3:36.0,Loose ball foul by T. Thompson,,13-13,,
3:36.0,,,13-13,,H. Barnes enters the game for D. Green
3:24.0,,,13-13,,S. Curry misses 3-pt shot from 26 ft
3:21.0,,,13-13,,Offensive rebound by F. Ezeli
3:21.0,,,13-15,2,F. Ezeli makes 2-pt shot at rim
3:09.0,J. Smith misses 3-pt shot from 27 ft,,13-15,,
3:08.0,,,13-15,,Defensive rebound by S. Curry
2:57.0,,,13-17,2,S. Curry makes 2-pt shot from 8 ft
2:57.0,Cleveland full timeout,,13-17,,
2:40.0,Shooting foul by S. Curry (drawn by R. Jefferson),,13-17,,
2:40.0,R. Jefferson makes free throw 1 of 2,1,14-17,,
2:40.0,R. Jefferson makes free throw 2 of 2,1,15-17,,
2:22.0,,,15-19,2,F. Ezeli makes 2-pt shot at rim (assist by H. Barnes)
1:55.0,R. Jefferson makes 2-pt shot from 2 ft (assist by K. Irving),2,17-19,,
1:33.0,,,17-19,,Turnover by H. Barnes (lost ball; steal by T. Thompson)
1:28.0,T. Thompson misses 2-pt shot from 3 ft,,17-19,,
1:28.0,Offensive rebound by T. Thompson,,17-19,,
1:28.0,,,17-19,,Personal foul by S. Livingston
1:28.0,T. Thompson makes free throw 1 of 2,1,18-19,,
1:28.0,,,18-19,,L. Barbosa enters the game for S. Curry
1:28.0,,,18-19,,D. Green enters the game for H. Barnes
1:28.0,L. James enters the game for K. Love,,18-19,,
1:28.0,T. Thompson makes free throw 2 of 2,1,19-19,,
1:00.0,,,19-19,,Turnover by A. Iguodala (lost ball; steal by L. James)
0:50.0,Offensive charge foul by L. James,,19-19,,
0:50.0,Turnover by L. James (offensive foul),,19-19,,
0:50.0,M. Dellavedova enters the game for K. Irving,,19-19,,
0:38.0,,,19-19,,S. Livingston misses 2-pt shot from 13 ft
0:37.0,Defensive rebound by L. James,,19-19,,
0:33.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,21-19,,
0:13.0,,,21-19,,A. Iguodala misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by T. Thompson,,21-19,,
0:02.0,L. James misses 2-pt shot from 5 ft (block by A. Iguodala),,21-19,,
0:02.0,Offensive rebound by Team,,21-19,,
0:01.0,M. Dellavedova misses 2-pt shot from 16 ft,,21-19,,
0:00.0,Offensive rebound by Team,,21-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-22,3,D. Green makes 3-pt shot from 27 ft (assist by S. Livingston)
11:27.0,,,21-22,,Personal foul by D. Green
11:16.0,I. Shumpert makes 3-pt shot from 26 ft (assist by L. James),3,24-22,,
10:53.0,,,24-22,,Turnover by H. Barnes (lost ball; steal by L. James)
10:39.0,L. James makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,26-22,,
10:38.0,,,26-22,,Golden State full timeout
10:20.0,,,26-22,,H. Barnes misses 2-pt shot from 4 ft (block by C. Frye)
10:19.0,Defensive rebound by C. Frye,,26-22,,
10:12.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,28-22,,
