time,Miami,pts.away,score,pts.home,Phoenix
0:58.0,,,100-91,,B. Knight misses 2-pt shot at rim
0:55.0,Defensive rebound by J. Winslow,,100-91,,
0:38.0,J. Winslow makes 2-pt shot at rim (assist by G. Green),2,102-91,,
0:28.0,,,102-91,,M. Teletovic misses 3-pt shot from 25 ft
0:26.0,,,102-91,,Offensive rebound by P. Tucker
0:24.0,,,102-94,3,M. Teletovic makes 3-pt shot from 24 ft (assist by P. Tucker)
0:21.0,,,102-94,,Personal take foul by B. Knight (drawn by D. Wade)
0:21.0,D. Wade misses free throw 1 of 2,,102-94,,
0:21.0,Offensive rebound by Team,,102-94,,
0:21.0,,,102-94,,J. Leuer enters the game for B. Knight
0:21.0,D. Wade makes free throw 2 of 2,1,103-94,,
0:21.0,,,103-94,,Phoenix full timeout
0:21.0,,,103-94,,B. Knight enters the game for T. Chandler
0:18.0,Personal foul by C. Bosh (drawn by J. Leuer),,103-94,,
0:16.0,Personal foul by G. Dragic (drawn by D. Booker),,103-94,,
0:16.0,,,103-94,,D. Booker misses free throw 1 of 2
0:16.0,,,103-94,,Offensive rebound by Team
0:16.0,,,103-95,1,D. Booker makes free throw 2 of 2
0:11.0,Miami full timeout,,103-95,,
0:11.0,Miami full timeout,,103-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
