time,Miami,pts.away,score,pts.home,Phoenix
1:20.0,Offensive rebound by J. Winslow,,19-20,,
1:20.0,J. Winslow makes 2-pt shot from 2 ft,2,21-20,,
1:05.0,,,21-20,,J. Leuer misses 2-pt shot from 14 ft
1:03.0,,,21-20,,Offensive rebound by A. Goodwin
1:00.0,,,21-20,,A. Goodwin misses 2-pt shot from 3 ft (block by A. Stoudemire)
0:58.0,,,21-20,,Offensive rebound by P. Tucker
0:56.0,,,21-20,,P. Tucker misses 3-pt shot from 23 ft
0:54.0,,,21-20,,Offensive rebound by J. Leuer
0:54.0,,,21-20,,J. Leuer misses 2-pt shot from 2 ft
0:52.0,Defensive rebound by J. Winslow,,21-20,,
0:47.0,T. Johnson misses 3-pt shot from 25 ft,,21-20,,
0:44.0,,,21-20,,Defensive rebound by T. Warren
0:31.0,,,21-20,,A. Len misses 2-pt shot from 19 ft
0:29.0,Defensive rebound by J. Winslow,,21-20,,
0:06.0,Turnover by Team (shot clock),,21-20,,
0:06.0,,,21-20,,B. Knight enters the game for A. Goodwin
0:06.0,,,21-20,,D. Booker enters the game for A. Len
0:06.0,L. Deng enters the game for A. Stoudemire,,21-20,,
0:00.0,,,21-20,,B. Knight misses 2-pt shot from 10 ft
0:00.0,,,21-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-20,,M. Morris misses 2-pt shot from 12 ft
11:40.0,Defensive rebound by C. Bosh,,21-20,,
11:28.0,Turnover by A. Stoudemire (traveling),,21-20,,
11:12.0,,,21-22,2,A. Goodwin makes 2-pt shot from 1 ft
10:53.0,G. Green makes 2-pt shot from 11 ft (assist by A. Stoudemire),2,23-22,,
10:33.0,,,23-24,2,T. Warren makes 2-pt shot from 12 ft
10:17.0,G. Green misses 2-pt shot from 20 ft,,23-24,,
10:15.0,,,23-24,,Defensive rebound by A. Len
10:05.0,,,23-26,2,A. Len makes 2-pt shot from 1 ft (assist by A. Goodwin)
9:49.0,C. Bosh makes 2-pt shot from 1 ft (assist by T. Johnson),2,25-26,,
9:31.0,,,25-26,,Shooting foul by T. Johnson (drawn by A. Goodwin)
9:31.0,,,25-27,1,A. Goodwin makes free throw 1 of 2
9:31.0,,,25-27,,A. Goodwin misses free throw 2 of 2
9:30.0,,,25-27,,Offensive rebound by M. Morris
9:22.0,,,25-27,,T. Warren misses 2-pt shot from 14 ft
9:20.0,Defensive rebound by A. Stoudemire,,25-27,,
9:11.0,Turnover by T. Johnson (bad pass; steal by D. Booker),,25-27,,
9:05.0,,,25-27,,A. Goodwin misses 2-pt shot from 3 ft (block by A. Stoudemire)
9:02.0,Defensive rebound by T. Johnson,,25-27,,
9:01.0,Shooting foul by D. Booker (drawn by G. Green),,25-27,,
9:01.0,G. Green makes free throw 1 of 2,1,26-27,,
9:01.0,G. Green makes free throw 2 of 2,1,27-27,,
8:41.0,,,27-27,,D. Booker misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by T. Johnson,,27-27,,
8:34.0,G. Green misses 3-pt shot from 26 ft,,27-27,,
8:33.0,,,27-27,,Defensive rebound by Team
8:33.0,Loose ball foul by J. Winslow (drawn by A. Goodwin),,27-27,,
8:33.0,Official timeout,,27-27,,
8:33.0,,,27-27,,M. Teletovic enters the game for A. Len
8:18.0,,,27-29,2,M. Morris makes 2-pt shot from 2 ft
7:59.0,,,27-29,,Personal foul by M. Morris (drawn by C. Bosh)
7:51.0,Shooting foul by M. Morris (drawn by C. Bosh),,27-29,,
7:51.0,C. Bosh makes free throw 1 of 2,1,28-29,,
7:51.0,G. Dragic enters the game for T. Johnson,,28-29,,
7:51.0,C. Bosh makes free throw 2 of 2,1,29-29,,
7:38.0,,,29-31,2,M. Teletovic makes 2-pt shot from 8 ft (assist by D. Booker)
7:27.0,Miami full timeout,,29-31,,
7:15.0,D. Wade enters the game for J. Winslow,,29-31,,
7:10.0,G. Green makes 2-pt shot from 13 ft,2,31-31,,
6:56.0,,,31-31,,Turnover by M. Morris (lost ball; steal by G. Green)
6:51.0,D. Wade makes 2-pt shot at rim (assist by G. Dragic),2,33-31,,
6:35.0,,,33-31,,M. Morris misses 2-pt shot at rim (block by A. Stoudemire)
6:34.0,,,33-31,,Offensive rebound by Team
6:24.0,,,33-31,,Turnover by D. Booker (bad pass; steal by D. Wade)
6:20.0,G. Green makes 2-pt shot at rim (assist by D. Wade),2,35-31,,
6:16.0,,,35-31,,Phoenix full timeout
6:16.0,,,35-31,,P. Tucker enters the game for D. Booker
6:16.0,,,35-31,,B. Knight enters the game for A. Goodwin
6:16.0,L. Deng enters the game for C. Bosh,,35-31,,
6:03.0,,,35-31,,Turnover by M. Teletovic (bad pass)
5:43.0,,,35-31,,Personal foul by M. Morris (drawn by L. Deng)
5:43.0,,,35-31,,T. Chandler enters the game for M. Morris
5:32.0,Shooting foul by T. Warren (drawn by D. Wade),,35-31,,
5:32.0,D. Wade makes free throw 1 of 2,1,36-31,,
5:32.0,H. Whiteside enters the game for A. Stoudemire,,36-31,,
5:32.0,D. Wade makes free throw 2 of 2,1,37-31,,
5:22.0,,,37-31,,T. Chandler misses 2-pt shot from 1 ft
5:20.0,Defensive rebound by G. Green,,37-31,,
5:12.0,D. Wade makes 2-pt shot from 11 ft,2,39-31,,
4:52.0,,,39-31,,B. Knight misses 3-pt shot from 25 ft
4:50.0,,,39-31,,Offensive rebound by M. Teletovic
4:48.0,,,39-33,2,M. Teletovic makes 2-pt shot from 13 ft
4:30.0,H. Whiteside misses 2-pt shot from 4 ft,,39-33,,
