time,Orlando,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Vucevic (M. Conley gains possession),,,,Jump ball: M. Gasol vs. N. Vucevic (M. Conley gains possession)
11:42.0,,,0-0,,C. Lee misses 3-pt shot from 23 ft
11:42.0,Defensive rebound by N. Vucevic,,0-0,,
11:28.0,V. Oladipo misses 3-pt shot from 24 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by T. Allen
11:17.0,,,0-0,,M. Gasol misses 2-pt shot from 13 ft
11:16.0,,,0-0,,Offensive rebound by T. Allen
10:56.0,,,0-0,,T. Allen misses 2-pt shot from 7 ft
10:54.0,Defensive rebound by N. Vucevic,,0-0,,
10:50.0,Shooting foul by M. Gasol (drawn by A. Gordon),,0-0,,
10:50.0,A. Gordon makes free throw 1 of 2,1,1-0,,
10:50.0,A. Gordon makes free throw 2 of 2,1,2-0,,
10:34.0,,,2-2,2,M. Gasol makes 2-pt shot from 17 ft (assist by C. Lee)
10:24.0,T. Harris misses 2-pt shot from 4 ft,,2-2,,
10:23.0,Offensive rebound by N. Vucevic,,2-2,,
10:23.0,N. Vucevic makes 2-pt shot from 2 ft,2,4-2,,
10:02.0,,,4-2,,Z. Randolph misses 2-pt shot from 3 ft
9:59.0,,,4-2,,Offensive rebound by Team
9:52.0,,,4-2,,Shooting foul by N. Vucevic (drawn by M. Gasol)
9:52.0,,,4-2,,M. Gasol misses free throw 1 of 2
9:52.0,,,4-2,,Offensive rebound by Team
9:52.0,,,4-3,1,M. Gasol makes free throw 2 of 2
9:44.0,Turnover by N. Vucevic (lost ball; steal by M. Conley),,4-3,,
9:36.0,,,4-5,2,C. Lee makes 2-pt shot from 10 ft (assist by M. Conley)
9:29.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,6-5,,
9:18.0,Personal foul by A. Gordon (drawn by Z. Randolph),,6-5,,
9:08.0,,,6-5,,Z. Randolph misses 2-pt shot from 2 ft
9:06.0,Defensive rebound by A. Gordon,,6-5,,
8:57.0,T. Harris makes 2-pt shot at rim (assist by N. Vucevic),2,8-5,,
8:36.0,,,8-8,3,M. Conley makes 3-pt shot from 23 ft (assist by M. Gasol)
8:23.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton),2,10-8,,
8:02.0,,,10-8,,M. Conley misses 2-pt shot from 2 ft (block by A. Gordon)
8:00.0,Defensive rebound by A. Gordon,,10-8,,
7:57.0,A. Gordon makes 2-pt shot from 2 ft,2,12-8,,
7:37.0,,,12-10,2,Z. Randolph makes 2-pt shot from 4 ft (assist by C. Lee)
7:21.0,T. Harris makes 2-pt shot from 3 ft,2,14-10,,
7:06.0,,,14-13,3,C. Lee makes 3-pt shot from 24 ft (assist by M. Conley)
6:56.0,E. Payton misses 2-pt shot from 2 ft,,14-13,,
6:51.0,,,14-13,,Defensive rebound by Z. Randolph
6:50.0,,,14-13,,Turnover by Z. Randolph (bad pass; steal by E. Payton)
6:48.0,E. Payton makes 2-pt shot at rim (assist by V. Oladipo),2,16-13,,
6:35.0,,,16-13,,M. Gasol misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by A. Gordon,,16-13,,
6:25.0,Turnover by E. Payton (step out of bounds),,16-13,,
6:12.0,,,16-13,,Shooting foul by T. Harris (drawn by T. Allen)
6:12.0,,,16-13,,T. Allen misses free throw 1 of 2
6:12.0,,,16-13,,Offensive rebound by Team
6:12.0,,,16-14,1,T. Allen makes free throw 2 of 2
5:57.0,N. Vucevic misses 2-pt shot from 9 ft,,16-14,,
5:55.0,,,16-14,,Defensive rebound by Z. Randolph
5:44.0,,,16-16,2,M. Gasol makes 2-pt shot from 1 ft
5:40.0,Turnover by E. Payton (bad pass),,16-16,,
5:40.0,,,16-16,,Memphis full timeout
5:40.0,,,16-16,,M. Chalmers enters the game for M. Conley
5:21.0,,,16-18,2,C. Lee makes 2-pt shot from 3 ft (assist by M. Gasol)
4:58.0,V. Oladipo misses 2-pt shot from 19 ft,,16-18,,
4:58.0,,,16-18,,Defensive rebound by T. Allen
4:44.0,,,16-18,,M. Gasol misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by A. Gordon,,16-18,,
4:37.0,A. Gordon misses 2-pt shot from 1 ft,,16-18,,
4:37.0,,,16-18,,Defensive rebound by Team
4:21.0,,,16-18,,Z. Randolph misses 2-pt shot from 16 ft
4:20.0,Defensive rebound by T. Harris,,16-18,,
4:07.0,A. Gordon makes 2-pt shot from 8 ft (assist by V. Oladipo),2,18-18,,
3:48.0,Personal foul by E. Payton (drawn by M. Chalmers),,18-18,,
3:48.0,,,18-18,,M. Barnes enters the game for Z. Randolph
3:48.0,E. Fournier enters the game for V. Oladipo,,18-18,,
3:38.0,,,18-20,2,M. Barnes makes 2-pt shot from 1 ft (assist by M. Gasol)
3:19.0,Turnover by T. Harris (bad pass; steal by M. Gasol),,18-20,,
3:13.0,,,18-22,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
3:05.0,E. Payton makes 2-pt shot from 2 ft,2,20-22,,
2:50.0,,,20-22,,M. Gasol misses 2-pt shot from 5 ft
2:48.0,Defensive rebound by A. Gordon,,20-22,,
2:39.0,E. Fournier makes 3-pt shot from 22 ft (assist by E. Payton),3,23-22,,
2:25.0,,,23-22,,M. Chalmers misses 2-pt shot from 2 ft
2:22.0,,,23-22,,Offensive rebound by M. Chalmers
2:20.0,,,23-25,3,C. Lee makes 3-pt shot from 22 ft (assist by M. Chalmers)
1:57.0,A. Gordon misses 3-pt shot from 22 ft,,23-25,,
1:56.0,Offensive rebound by N. Vucevic,,23-25,,
1:55.0,Orlando full timeout,,23-25,,
1:55.0,,,23-25,,J. Green enters the game for T. Allen
1:55.0,S. Napier enters the game for A. Gordon,,23-25,,
1:55.0,J. Smith enters the game for N. Vucevic,,23-25,,
1:55.0,M. Hezonja enters the game for E. Payton,,23-25,,
1:36.0,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris),3,26-25,,
1:22.0,Personal foul by M. Hezonja (drawn by J. Green),,26-25,,
1:22.0,,,26-26,1,J. Green makes free throw 1 of 2
1:22.0,,,26-26,,V. Carter enters the game for C. Lee
1:22.0,,,26-27,1,J. Green makes free throw 2 of 2
1:04.0,J. Smith makes 2-pt shot from 16 ft (assist by S. Napier),2,28-27,,
0:43.0,,,28-27,,Shooting foul by J. Smith (drawn by M. Gasol)
0:43.0,,,28-28,1,M. Gasol makes free throw 1 of 2
0:43.0,C. Frye enters the game for T. Harris,,28-28,,
0:43.0,,,28-29,1,M. Gasol makes free throw 2 of 2
0:32.0,S. Napier makes 3-pt shot from 24 ft,3,31-29,,
0:25.0,,,31-31,2,M. Gasol makes 2-pt shot at rim (assist by J. Green)
0:02.0,M. Hezonja makes 2-pt shot from 1 ft,2,33-31,,
0:02.0,J. Smith misses 2-pt shot from 21 ft,,33-31,,
0:02.0,Offensive rebound by M. Hezonja,,33-31,,
0:00.0,,,33-31,,J. Green misses 3-pt shot from 50 ft
0:00.0,,,33-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,M. Hezonja makes 3-pt shot from 25 ft (assist by J. Smith),3,36-31,,
11:23.0,,,36-33,2,J. Green makes 2-pt shot from 3 ft (assist by M. Barnes)
11:06.0,J. Smith misses 2-pt shot from 20 ft,,36-33,,
11:05.0,,,36-33,,Defensive rebound by J. Green
10:52.0,,,36-33,,Turnover by J. Green (bad pass)
10:35.0,S. Napier misses 2-pt shot from 20 ft,,36-33,,
10:32.0,Offensive rebound by C. Frye,,36-33,,
10:32.0,C. Frye misses 2-pt shot from 1 ft,,36-33,,
10:31.0,,,36-33,,Defensive rebound by V. Carter
10:24.0,,,36-33,,J. Green misses 2-pt shot from 2 ft
10:23.0,Defensive rebound by M. Hezonja,,36-33,,
10:14.0,S. Napier makes 3-pt shot from 23 ft (assist by E. Fournier),3,39-33,,
10:12.0,,,39-33,,Memphis full timeout
10:12.0,,,39-33,,M. Conley enters the game for M. Chalmers
9:51.0,,,39-33,,V. Carter misses 2-pt shot from 3 ft
9:50.0,Defensive rebound by J. Smith,,39-33,,
9:37.0,Turnover by J. Smith (bad pass; steal by M. Conley),,39-33,,
9:32.0,,,39-35,2,M. Conley makes 2-pt shot from 2 ft
9:11.0,,,39-35,,Personal foul by M. Barnes (drawn by E. Fournier)
9:11.0,,,39-35,,Z. Randolph enters the game for R. Hollins
9:04.0,E. Fournier misses 3-pt shot from 22 ft,,39-35,,
9:02.0,Offensive rebound by J. Smith,,39-35,,
8:57.0,E. Fournier makes 3-pt shot from 23 ft (assist by J. Smith),3,42-35,,
8:43.0,,,42-35,,M. Conley misses 2-pt shot from 1 ft (block by J. Smith)
8:42.0,,,42-35,,Offensive rebound by Z. Randolph
8:41.0,,,42-37,2,Z. Randolph makes 2-pt shot from 2 ft
8:27.0,C. Frye makes 2-pt shot from 2 ft (assist by E. Fournier),2,44-37,,
8:27.0,Shooting foul by V. Carter (drawn by C. Frye),,44-37,,
8:27.0,,,44-37,,T. Allen enters the game for V. Carter
8:27.0,C. Frye makes free throw 1 of 1,1,45-37,,
8:12.0,,,45-39,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Barnes)
7:56.0,M. Hezonja misses 3-pt shot from 26 ft,,45-39,,
7:54.0,Offensive rebound by E. Fournier,,45-39,,
7:54.0,C. Frye makes 2-pt shot at rim (assist by E. Fournier),2,47-39,,
7:54.0,Shooting foul by M. Barnes (drawn by C. Frye),,47-39,,
7:54.0,C. Frye makes free throw 1 of 1,1,48-39,,
7:39.0,,,48-41,2,J. Green makes 2-pt shot from 2 ft (assist by M. Conley)
7:25.0,Turnover by E. Fournier (bad pass; steal by J. Green),,48-41,,
7:18.0,,,48-41,,Shooting foul by J. Smith (drawn by J. Green)
7:18.0,,,48-43,2,J. Green makes 2-pt shot at rim
7:18.0,N. Vucevic enters the game for J. Smith,,48-43,,
7:18.0,A. Gordon enters the game for C. Frye,,48-43,,
7:18.0,,,48-43,,J. Green misses free throw 1 of 1
7:17.0,Defensive rebound by S. Napier,,48-43,,
7:07.0,E. Fournier misses 3-pt shot from 24 ft,,48-43,,
7:07.0,,,48-43,,Defensive rebound by Z. Randolph
6:55.0,,,48-43,,M. Barnes misses 3-pt shot from 26 ft
6:54.0,Defensive rebound by N. Vucevic,,48-43,,
6:42.0,N. Vucevic misses 2-pt shot from 16 ft,,48-43,,
6:41.0,,,48-43,,Defensive rebound by M. Barnes
6:29.0,,,48-43,,Z. Randolph misses 2-pt shot from 12 ft
6:29.0,Defensive rebound by M. Hezonja,,48-43,,
6:14.0,S. Napier misses 3-pt shot from 24 ft,,48-43,,
6:13.0,,,48-43,,Defensive rebound by Z. Randolph
6:05.0,,,48-43,,Shooting foul by N. Vucevic (drawn by J. Green)
6:05.0,,,48-44,1,J. Green makes free throw 1 of 2
6:05.0,T. Harris enters the game for E. Fournier,,48-44,,
6:05.0,V. Oladipo enters the game for M. Hezonja,,48-44,,
6:05.0,E. Payton enters the game for S. Napier,,48-44,,
6:05.0,,,48-45,1,J. Green makes free throw 2 of 2
5:48.0,T. Harris makes 3-pt shot from 23 ft (assist by N. Vucevic),3,51-45,,
5:25.0,,,51-45,,Z. Randolph misses 2-pt shot from 1 ft (block by N. Vucevic)
5:25.0,Defensive rebound by N. Vucevic,,51-45,,
5:25.0,,,51-45,,Loose ball foul by Z. Randolph (drawn by N. Vucevic)
5:25.0,Orlando full timeout,,51-45,,
5:25.0,,,51-45,,M. Gasol enters the game for M. Barnes
5:04.0,E. Payton makes 2-pt shot from 2 ft,2,53-45,,
4:47.0,,,53-45,,Offensive foul by T. Allen
4:47.0,,,53-45,,Turnover by T. Allen (offensive foul)
4:33.0,A. Gordon misses 3-pt shot from 24 ft,,53-45,,
4:32.0,,,53-45,,Defensive rebound by T. Allen
4:27.0,,,53-47,2,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Allen)
4:04.0,V. Oladipo misses 2-pt shot from 3 ft (block by J. Green),,53-47,,
4:03.0,,,53-47,,Defensive rebound by M. Conley
3:52.0,,,53-47,,M. Conley misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by V. Oladipo,,53-47,,
3:43.0,N. Vucevic makes 2-pt shot at rim (assist by T. Harris),2,55-47,,
3:28.0,,,55-49,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
3:09.0,Turnover by N. Vucevic (lost ball; steal by M. Gasol),,55-49,,
3:04.0,,,55-51,2,T. Allen makes 2-pt shot from 1 ft
2:48.0,Turnover by A. Gordon (bad pass; steal by M. Gasol),,55-51,,
2:40.0,,,55-53,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol)
2:37.0,Orlando full timeout,,55-53,,
2:37.0,,,55-53,,M. Chalmers enters the game for M. Conley
2:37.0,D. Dedmon enters the game for A. Gordon,,55-53,,
2:23.0,T. Harris makes 3-pt shot from 25 ft,3,58-53,,
2:23.0,Shooting foul by M. Chalmers (drawn by T. Harris),,58-53,,
2:23.0,T. Harris makes free throw 1 of 1,1,59-53,,
2:05.0,,,59-55,2,Z. Randolph makes 2-pt shot from 2 ft
1:38.0,T. Harris misses 3-pt shot from 22 ft,,59-55,,
1:36.0,,,59-55,,Defensive rebound by Z. Randolph
1:24.0,,,59-58,3,J. Green makes 3-pt shot from 22 ft (assist by M. Chalmers)
1:13.0,Shooting foul by T. Allen (drawn by V. Oladipo),,59-58,,
1:13.0,V. Oladipo makes free throw 1 of 3,1,60-58,,
1:13.0,V. Oladipo makes free throw 2 of 3,1,61-58,,
1:13.0,V. Oladipo makes free throw 3 of 3,1,62-58,,
0:53.0,,,62-60,2,J. Green makes 2-pt shot from 5 ft
0:53.0,,,62-60,,Shooting foul by D. Dedmon (drawn by J. Green)
0:53.0,,,62-61,1,J. Green makes free throw 1 of 1
0:41.0,Shooting foul by M. Chalmers (drawn by E. Payton),,62-61,,
0:41.0,E. Payton misses free throw 1 of 2,,62-61,,
0:41.0,Offensive rebound by Team,,62-61,,
0:41.0,J. Smith enters the game for N. Vucevic,,62-61,,
0:41.0,E. Payton makes free throw 2 of 2,1,63-61,,
0:25.0,,,63-64,3,J. Green makes 3-pt shot from 22 ft (assist by M. Chalmers)
0:06.0,J. Smith makes 2-pt shot from 17 ft (assist by V. Oladipo),2,65-64,,
0:00.0,,,65-64,,M. Chalmers misses 2-pt shot from 16 ft
0:00.0,,,65-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,N. Vucevic misses 2-pt shot from 7 ft,,65-64,,
11:43.0,,,65-64,,Defensive rebound by T. Allen
11:27.0,,,65-64,,C. Lee misses 2-pt shot from 11 ft
11:26.0,Defensive rebound by E. Payton,,65-64,,
11:14.0,V. Oladipo misses 2-pt shot from 18 ft (block by C. Lee),,65-64,,
11:13.0,,,65-64,,Defensive rebound by M. Conley
10:52.0,,,65-67,3,C. Lee makes 3-pt shot from 24 ft (assist by Z. Randolph)
10:30.0,N. Vucevic misses 2-pt shot from 15 ft,,65-67,,
10:29.0,,,65-67,,Defensive rebound by Z. Randolph
10:10.0,,,65-67,,Z. Randolph misses 2-pt shot from 3 ft
10:08.0,,,65-67,,Offensive rebound by Z. Randolph
10:08.0,,,65-69,2,Z. Randolph makes 2-pt shot from 1 ft
9:57.0,Turnover by T. Harris (lost ball; steal by T. Allen),,65-69,,
9:44.0,,,65-69,,M. Conley misses 2-pt shot from 4 ft (block by E. Payton)
9:43.0,,,65-69,,Offensive rebound by M. Conley
9:39.0,,,65-69,,M. Conley misses 2-pt shot from 2 ft
9:37.0,Defensive rebound by A. Gordon,,65-69,,
9:26.0,T. Harris misses 2-pt shot from 6 ft,,65-69,,
9:25.0,Offensive rebound by N. Vucevic,,65-69,,
9:23.0,Turnover by N. Vucevic (lost ball; steal by T. Allen),,65-69,,
9:18.0,,,65-69,,T. Allen misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by N. Vucevic,,65-69,,
9:11.0,V. Oladipo misses 2-pt shot from 12 ft,,65-69,,
9:10.0,,,65-69,,Defensive rebound by Z. Randolph
8:55.0,,,65-69,,M. Gasol misses 2-pt shot from 10 ft
8:53.0,Defensive rebound by A. Gordon,,65-69,,
8:46.0,,,65-69,,Personal foul by T. Allen (drawn by T. Harris)
8:46.0,E. Fournier enters the game for V. Oladipo,,65-69,,
8:37.0,T. Harris makes 3-pt shot from 24 ft (assist by E. Payton),3,68-69,,
8:13.0,,,68-69,,M. Gasol misses 2-pt shot from 14 ft
8:13.0,Defensive rebound by A. Gordon,,68-69,,
7:59.0,A. Gordon misses 3-pt shot from 22 ft,,68-69,,
7:57.0,Offensive rebound by E. Payton,,68-69,,
7:54.0,Turnover by A. Gordon (traveling),,68-69,,
7:35.0,,,68-69,,M. Conley misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by T. Harris,,68-69,,
7:23.0,N. Vucevic makes 2-pt shot from 1 ft,2,70-69,,
6:57.0,,,70-71,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
6:53.0,,,70-71,,Personal foul by C. Lee (drawn by T. Harris)
6:41.0,N. Vucevic misses 2-pt shot from 11 ft,,70-71,,
6:40.0,,,70-71,,Defensive rebound by Z. Randolph
6:32.0,,,70-71,,Turnover by C. Lee (lost ball)
