time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. S. Mejri (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. S. Mejri (S. Ibaka gains possession)
11:46.0,,,0-0,,K. Durant misses 2-pt shot from 6 ft
11:44.0,,,0-0,,Offensive rebound by S. Adams
11:44.0,,,0-0,,S. Adams misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by J. Barea,,0-0,,
11:26.0,W. Matthews misses 3-pt shot from 25 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by A. Roberson
11:15.0,,,0-3,3,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook)
11:06.0,Shooting foul by S. Adams (drawn by S. Mejri),,0-3,,
11:06.0,S. Mejri misses free throw 1 of 2,,0-3,,
11:06.0,Offensive rebound by Team,,0-3,,
11:06.0,S. Mejri misses free throw 2 of 2,,0-3,,
11:06.0,,,0-3,,Defensive rebound by S. Ibaka
10:54.0,,,0-5,2,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook)
10:43.0,Turnover by D. Williams (bad pass),,0-5,,
10:31.0,,,0-7,2,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook)
10:07.0,J. Barea misses 2-pt shot from 11 ft,,0-7,,
10:06.0,,,0-7,,Defensive rebound by K. Durant
9:56.0,,,0-9,2,A. Roberson makes 2-pt shot from 2 ft
9:56.0,Dallas full timeout,,0-9,,
9:44.0,D. Williams misses 2-pt shot from 2 ft (block by S. Ibaka),,0-9,,
9:44.0,Offensive rebound by Team,,0-9,,
9:42.0,D. Williams makes 2-pt shot from 19 ft (assist by J. Barea),2,2-9,,
9:31.0,,,2-9,,Turnover by R. Westbrook (lost ball)
9:24.0,D. Williams misses 2-pt shot from 4 ft,,2-9,,
9:24.0,Offensive rebound by Team,,2-9,,
9:24.0,,,2-9,,Loose ball foul by A. Roberson
9:14.0,D. Nowitzki misses 2-pt shot from 13 ft,,2-9,,
9:13.0,,,2-9,,Defensive rebound by K. Durant
9:03.0,,,2-12,3,R. Westbrook makes 3-pt shot from 26 ft (assist by K. Durant)
8:46.0,J. Barea misses 3-pt shot from 26 ft,,2-12,,
8:46.0,,,2-12,,Defensive rebound by A. Roberson
8:37.0,Personal foul by D. Nowitzki,,2-12,,
8:31.0,,,2-12,,R. Westbrook misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by Team,,2-12,,
