time,Oklahoma City,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. H. Whiteside (G. Green gains possession),,,,Jump ball: S. Adams vs. H. Whiteside (G. Green gains possession)
11:35.0,,,0-0,,Shooting foul by K. Durant (drawn by C. Bosh)
11:35.0,,,0-1,1,C. Bosh makes free throw 1 of 2
11:35.0,,,0-1,,C. Bosh misses free throw 2 of 2
11:34.0,Defensive rebound by S. Adams,,0-1,,
11:22.0,Turnover by S. Adams (lost ball; steal by D. Wade),,0-1,,
11:12.0,,,0-1,,Turnover by D. Wade (lost ball; steal by A. Roberson)
10:53.0,S. Ibaka misses 2-pt shot from 20 ft,,0-1,,
10:52.0,Offensive rebound by S. Adams,,0-1,,
10:49.0,S. Adams makes 2-pt shot from 5 ft,2,2-1,,
10:33.0,,,2-1,,C. Bosh misses 3-pt shot from 24 ft
10:32.0,,,2-1,,Offensive rebound by H. Whiteside
10:29.0,,,2-1,,Turnover by G. Green (step out of bounds)
10:18.0,K. Durant misses 2-pt shot from 12 ft,,2-1,,
10:17.0,Offensive rebound by S. Adams,,2-1,,
10:16.0,S. Adams misses 2-pt shot from 1 ft,,2-1,,
10:15.0,,,2-1,,Defensive rebound by G. Dragic
10:02.0,,,2-3,2,H. Whiteside makes 2-pt shot from 4 ft (assist by D. Wade)
9:51.0,Shooting foul by G. Dragic (drawn by R. Westbrook),,2-3,,
9:51.0,R. Westbrook makes free throw 1 of 2,1,3-3,,
9:51.0,R. Westbrook makes free throw 2 of 2,1,4-3,,
9:32.0,,,4-3,,Turnover by H. Whiteside (lost ball; steal by A. Roberson)
9:26.0,Turnover by R. Westbrook (bad pass; steal by C. Bosh),,4-3,,
9:14.0,,,4-5,2,H. Whiteside makes 2-pt shot from 6 ft (assist by C. Bosh)
8:59.0,K. Durant misses 2-pt shot from 1 ft,,4-5,,
8:58.0,,,4-5,,Defensive rebound by H. Whiteside
8:42.0,,,4-7,2,D. Wade makes 2-pt shot from 16 ft (assist by G. Dragic)
8:29.0,R. Westbrook makes 2-pt shot from 14 ft,2,6-7,,
8:13.0,,,6-10,3,G. Dragic makes 3-pt shot from 23 ft (assist by G. Green)
7:52.0,K. Durant makes 2-pt shot from 12 ft,2,8-10,,
7:40.0,Personal foul by S. Adams (drawn by H. Whiteside),,8-10,,
7:30.0,,,8-10,,Shooting foul by K. Durant (drawn by D. Wade)
7:30.0,,,8-10,,D. Wade misses free throw 1 of 2
7:30.0,,,8-10,,Offensive rebound by Team
7:30.0,D. Waiters enters the game for K. Durant,,8-10,,
7:30.0,,,8-11,1,D. Wade makes free throw 2 of 2
7:16.0,R. Westbrook misses 2-pt shot from 14 ft,,8-11,,
7:15.0,,,8-11,,Defensive rebound by D. Wade
7:09.0,,,8-11,,G. Dragic misses 2-pt shot from 6 ft
7:08.0,Defensive rebound by A. Roberson,,8-11,,
7:04.0,Turnover by R. Westbrook (lost ball),,8-11,,
6:59.0,,,8-11,,G. Green misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by S. Ibaka,,8-11,,
6:54.0,Shooting foul by G. Dragic (drawn by R. Westbrook),,8-11,,
6:54.0,R. Westbrook makes free throw 1 of 2,1,9-11,,
6:54.0,,,9-11,,T. Johnson enters the game for G. Dragic
6:54.0,R. Westbrook makes free throw 2 of 2,1,10-11,,
6:41.0,,,10-13,2,G. Green makes 2-pt shot from 14 ft (assist by C. Bosh)
6:25.0,R. Westbrook misses 2-pt shot from 1 ft (block by H. Whiteside),,10-13,,
6:24.0,Offensive rebound by S. Adams,,10-13,,
6:24.0,Shooting foul by T. Johnson (drawn by S. Adams),,10-13,,
6:24.0,S. Adams makes free throw 1 of 2,1,11-13,,
6:24.0,,,11-13,,J. Winslow enters the game for C. Bosh
6:24.0,S. Adams makes free throw 2 of 2,1,12-13,,
6:11.0,,,12-13,,G. Green misses 2-pt shot from 18 ft
6:10.0,Defensive rebound by S. Ibaka,,12-13,,
5:48.0,R. Westbrook makes 2-pt shot from 12 ft,2,14-13,,
5:31.0,,,14-15,2,D. Wade makes 2-pt shot from 3 ft
5:09.0,Shooting foul by G. Green (drawn by S. Adams),,14-15,,
5:09.0,,,14-15,,Miami full timeout
5:09.0,S. Adams makes free throw 1 of 2,1,15-15,,
5:09.0,S. Adams misses free throw 2 of 2,,15-15,,
5:08.0,,,15-15,,Defensive rebound by D. Wade
4:50.0,,,15-15,,D. Wade misses 2-pt shot from 18 ft
4:49.0,Defensive rebound by S. Adams,,15-15,,
4:32.0,,,15-15,,Violation by H. Whiteside (def goaltending)
4:32.0,S. Ibaka makes 2-pt shot from 8 ft (assist by R. Westbrook),2,17-15,,
4:20.0,,,17-17,2,T. Johnson makes 2-pt shot from 1 ft (assist by D. Wade)
4:03.0,D. Waiters misses 2-pt shot from 19 ft,,17-17,,
4:02.0,,,17-17,,Defensive rebound by G. Green
3:47.0,,,17-19,2,H. Whiteside makes 2-pt shot from 17 ft (assist by G. Green)
3:35.0,Shooting foul by T. Johnson (drawn by R. Westbrook),,17-19,,
3:35.0,R. Westbrook makes free throw 1 of 2,1,18-19,,
3:35.0,,,18-19,,J. Richardson enters the game for D. Wade
3:35.0,R. Westbrook makes free throw 2 of 2,1,19-19,,
3:20.0,A. Morrow enters the game for A. Roberson,,19-19,,
3:10.0,,,19-19,,G. Green misses 2-pt shot from 20 ft
3:09.0,Defensive rebound by S. Ibaka,,19-19,,
3:01.0,,,19-19,,Def 3 sec tech foul by G. Green
3:01.0,R. Westbrook makes technical free throw,1,20-19,,
3:01.0,E. Kanter enters the game for S. Adams,,20-19,,
3:01.0,,,20-19,,J. McRoberts enters the game for G. Green
2:52.0,,,20-19,,Violation by H. Whiteside (def goaltending)
2:52.0,E. Kanter makes 2-pt shot from 7 ft (assist by R. Westbrook),2,22-19,,
2:41.0,,,22-19,,Turnover by J. McRoberts (bad pass; steal by R. Westbrook)
2:37.0,R. Westbrook makes 2-pt shot at rim,2,24-19,,
2:25.0,,,24-19,,Shooting foul by A. Morrow (drawn by J. Winslow)
2:25.0,Oklahoma City full timeout,,24-19,,
2:25.0,N. Collison enters the game for S. Ibaka,,24-19,,
2:25.0,,,24-19,,C. Bosh enters the game for H. Whiteside
2:25.0,,,24-19,,J. Winslow misses free throw 1 of 2
2:25.0,,,24-19,,Offensive rebound by Team
2:25.0,,,24-19,,J. Winslow misses free throw 2 of 2
2:24.0,Defensive rebound by R. Westbrook,,24-19,,
2:13.0,Turnover by R. Westbrook (bad pass; steal by C. Bosh),,24-19,,
2:04.0,,,24-19,,T. Johnson misses 2-pt shot at rim
2:03.0,,,24-19,,Offensive rebound by J. McRoberts
1:50.0,,,24-19,,Shooting foul by E. Kanter (drawn by T. Johnson)
1:50.0,,,24-19,,T. Johnson misses free throw 1 of 2
1:50.0,,,24-19,,Offensive rebound by Team
1:50.0,,,24-20,1,T. Johnson makes free throw 2 of 2
1:35.0,E. Kanter misses 2-pt shot from 5 ft (block by J. McRoberts),,24-20,,
1:34.0,Offensive rebound by Team,,24-20,,
1:26.0,R. Westbrook makes 2-pt shot from 19 ft,2,26-20,,
1:07.0,Personal foul by N. Collison (drawn by J. Richardson),,26-20,,
1:07.0,,,26-20,,J. Richardson misses free throw 1 of 2
1:07.0,,,26-20,,Offensive rebound by Team
1:07.0,,,26-21,1,J. Richardson makes free throw 2 of 2
0:52.0,A. Morrow misses 2-pt shot from 14 ft,,26-21,,
0:51.0,,,26-21,,Defensive rebound by C. Bosh
0:42.0,,,26-23,2,C. Bosh makes 2-pt shot from 2 ft (assist by T. Johnson)
0:28.0,N. Collison misses 2-pt shot from 6 ft,,26-23,,
0:27.0,Offensive rebound by Team,,26-23,,
0:27.0,,,26-23,,Loose ball foul by C. Bosh (drawn by E. Kanter)
0:27.0,E. Kanter makes free throw 1 of 2,1,27-23,,
0:27.0,E. Kanter makes free throw 2 of 2,1,28-23,,
0:08.0,,,28-23,,Turnover by J. Winslow (step out of bounds)
0:02.0,Turnover by R. Westbrook (lost ball; steal by J. Winslow),,28-23,,
0:01.0,,,28-23,,J. Winslow misses 3-pt shot from 60 ft
0:00.0,,,28-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by K. Durant (bad pass; steal by T. Johnson),,28-23,,
11:43.0,,,28-25,2,T. Johnson makes 2-pt shot from 1 ft
11:20.0,A. Morrow misses 3-pt shot from 24 ft,,28-25,,
11:19.0,Offensive rebound by Team,,28-25,,
11:19.0,,,28-25,,Loose ball foul by T. Johnson (drawn by E. Kanter)
11:19.0,,,28-25,,G. Dragic enters the game for T. Johnson
11:09.0,K. Durant misses 2-pt shot from 16 ft,,28-25,,
11:08.0,,,28-25,,Defensive rebound by J. McRoberts
10:58.0,,,28-27,2,J. McRoberts makes 2-pt shot from 20 ft (assist by G. Dragic)
10:37.0,D. Waiters misses 2-pt shot from 11 ft,,28-27,,
10:36.0,,,28-27,,Defensive rebound by J. Richardson
10:21.0,,,28-27,,C. Bosh misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by K. Durant,,28-27,,
10:11.0,D. Waiters makes 2-pt shot from 1 ft (assist by K. Durant),2,30-27,,
9:57.0,,,30-27,,G. Dragic misses 2-pt shot at rim
9:56.0,Defensive rebound by K. Durant,,30-27,,
9:53.0,Turnover by K. Durant (lost ball; steal by G. Dragic),,30-27,,
9:48.0,,,30-29,2,J. McRoberts makes 2-pt shot from 2 ft
9:26.0,D. Waiters makes 2-pt shot from 20 ft,2,32-29,,
9:07.0,,,32-31,2,C. Bosh makes 2-pt shot from 1 ft (assist by G. Dragic)
8:49.0,A. Morrow misses 3-pt shot from 23 ft,,32-31,,
8:48.0,,,32-31,,Defensive rebound by J. Winslow
8:39.0,,,32-31,,C. Bosh misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by K. Durant,,32-31,,
8:29.0,D. Waiters misses 3-pt shot from 25 ft,,32-31,,
8:28.0,,,32-31,,Defensive rebound by C. Bosh
8:16.0,,,32-31,,C. Bosh misses 2-pt shot from 19 ft
8:15.0,Defensive rebound by D. Waiters,,32-31,,
8:03.0,K. Durant misses 3-pt shot from 24 ft,,32-31,,
8:02.0,,,32-31,,Defensive rebound by G. Dragic
7:57.0,,,32-33,2,G. Dragic makes 2-pt shot from 17 ft
7:49.0,Oklahoma City full timeout,,32-33,,
7:49.0,S. Ibaka enters the game for D. Waiters,,32-33,,
7:49.0,S. Adams enters the game for E. Kanter,,32-33,,
7:49.0,,,32-33,,D. Wade enters the game for J. Richardson
7:49.0,,,32-33,,H. Whiteside enters the game for C. Bosh
7:34.0,D. Augustin misses 2-pt shot from 14 ft,,32-33,,
7:33.0,,,32-33,,Defensive rebound by J. Winslow
7:23.0,,,32-35,2,J. McRoberts makes 2-pt shot from 19 ft (assist by J. Winslow)
6:56.0,A. Morrow misses 2-pt shot from 18 ft,,32-35,,
6:55.0,,,32-35,,Defensive rebound by J. McRoberts
6:48.0,,,32-35,,H. Whiteside misses 2-pt shot from 6 ft
6:47.0,Defensive rebound by S. Adams,,32-35,,
6:41.0,Shooting foul by J. Winslow (drawn by K. Durant),,32-35,,
6:41.0,K. Durant misses free throw 1 of 3,,32-35,,
6:41.0,Offensive rebound by Team,,32-35,,
6:41.0,K. Durant makes free throw 2 of 3,1,33-35,,
6:41.0,K. Durant makes free throw 3 of 3,1,34-35,,
6:25.0,,,34-35,,H. Whiteside misses 2-pt shot from 8 ft
6:24.0,Defensive rebound by S. Adams,,34-35,,
6:15.0,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant),2,36-35,,
5:57.0,,,36-35,,Shooting foul by S. Ibaka (drawn by J. McRoberts)
5:57.0,Official timeout,,36-35,,
5:57.0,R. Westbrook enters the game for A. Morrow,,36-35,,
5:57.0,A. Roberson enters the game for D. Augustin,,36-35,,
5:57.0,,,36-36,1,J. McRoberts makes free throw 1 of 2
5:57.0,,,36-37,1,J. McRoberts makes free throw 2 of 2
5:42.0,R. Westbrook makes 2-pt shot at rim (assist by K. Durant),2,38-37,,
5:19.0,,,38-39,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
5:05.0,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook),2,40-39,,
4:48.0,,,40-39,,D. Wade misses 2-pt shot from 10 ft
4:47.0,Defensive rebound by K. Durant,,40-39,,
4:41.0,A. Roberson misses 2-pt shot from 1 ft (block by H. Whiteside),,40-39,,
4:40.0,,,40-39,,Defensive rebound by D. Wade
4:34.0,,,40-41,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
4:27.0,S. Adams makes 2-pt shot from 11 ft (assist by R. Westbrook),2,42-41,,
4:08.0,,,42-41,,D. Wade misses 2-pt shot from 6 ft
4:08.0,,,42-41,,Offensive rebound by Team
4:08.0,Loose ball foul by S. Adams (drawn by H. Whiteside),,42-41,,
4:08.0,,,42-41,,C. Bosh enters the game for J. McRoberts
