time,Denver,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. Z. Pachulia (D. Williams gains possession),,,,Jump ball: N. Jokic vs. Z. Pachulia (D. Williams gains possession)
11:43.0,,,0-0,,C. Parsons misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by N. Jokic,,0-0,,
11:31.0,D. Arthur makes 2-pt shot from 5 ft,2,2-0,,
11:06.0,,,2-0,,C. Parsons misses 2-pt shot from 6 ft
11:05.0,Defensive rebound by D. Arthur,,2-0,,
10:57.0,R. Foye makes 3-pt shot from 24 ft (assist by D. Arthur),3,5-0,,
10:43.0,,,5-0,,W. Matthews misses 3-pt shot from 22 ft
10:41.0,Defensive rebound by D. Gallinari,,5-0,,
10:30.0,D. Arthur makes 2-pt shot from 16 ft (assist by R. Foye),2,7-0,,
10:07.0,,,7-2,2,Z. Pachulia makes 2-pt shot from 6 ft
9:48.0,D. Arthur misses 2-pt shot from 17 ft,,7-2,,
9:47.0,,,7-2,,Defensive rebound by D. Nowitzki
9:41.0,,,7-2,,W. Matthews misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by D. Gallinari,,7-2,,
9:27.0,E. Mudiay misses 3-pt shot from 24 ft,,7-2,,
9:26.0,,,7-2,,Defensive rebound by D. Nowitzki
9:04.0,,,7-2,,Z. Pachulia misses 2-pt shot from 5 ft (block by D. Gallinari)
9:02.0,Defensive rebound by N. Jokic,,7-2,,
8:42.0,D. Gallinari makes 2-pt shot at rim,2,9-2,,
8:27.0,,,9-4,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by D. Williams)
8:11.0,Turnover by D. Gallinari (bad pass; steal by D. Nowitzki),,9-4,,
8:06.0,,,9-4,,C. Parsons misses 2-pt shot from 1 ft (block by D. Arthur)
8:06.0,,,9-4,,Offensive rebound by Team
7:58.0,,,9-4,,W. Matthews misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by E. Mudiay,,9-4,,
7:50.0,E. Mudiay makes 2-pt shot from 16 ft,2,11-4,,
7:39.0,,,11-6,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams)
7:39.0,Shooting block foul by D. Arthur (drawn by Z. Pachulia),,11-6,,
7:39.0,,,11-7,1,Z. Pachulia makes free throw 1 of 1
7:22.0,D. Arthur misses 2-pt shot from 18 ft,,11-7,,
7:21.0,,,11-7,,Defensive rebound by D. Nowitzki
7:08.0,,,11-7,,C. Parsons misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by D. Gallinari,,11-7,,
6:47.0,Turnover by D. Gallinari (bad pass; steal by Z. Pachulia),,11-7,,
6:31.0,,,11-7,,Turnover by Z. Pachulia (lost ball; steal by N. Jokic)
6:24.0,Turnover by N. Jokic (bad pass; steal by D. Nowitzki),,11-7,,
6:13.0,,,11-7,,Z. Pachulia misses 2-pt shot from 14 ft
6:12.0,Defensive rebound by D. Gallinari,,11-7,,
5:54.0,D. Arthur makes 2-pt shot from 20 ft (assist by R. Foye),2,13-7,,
5:54.0,,,13-7,,Dallas full timeout
5:54.0,,,13-7,,D. Powell enters the game for D. Nowitzki
5:54.0,,,13-7,,R. Felton enters the game for W. Matthews
5:45.0,,,13-7,,Turnover by R. Felton (bad pass; steal by D. Arthur)
5:23.0,N. Jokic misses 2-pt shot at rim,,13-7,,
5:21.0,Offensive rebound by N. Jokic,,13-7,,
5:21.0,N. Jokic makes 2-pt shot at rim,2,15-7,,
5:09.0,,,15-7,,D. Powell misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by D. Gallinari,,15-7,,
4:59.0,Turnover by R. Foye (bad pass; steal by D. Powell),,15-7,,
4:51.0,,,15-9,2,D. Powell makes 2-pt shot at rim (assist by C. Parsons)
4:35.0,Turnover by D. Arthur (bad pass; steal by Z. Pachulia),,15-9,,
4:14.0,,,15-11,2,R. Felton makes 2-pt shot from 9 ft
4:13.0,Denver full timeout,,15-11,,
4:13.0,W. Barton enters the game for D. Arthur,,15-11,,
4:13.0,J. Lauvergne enters the game for N. Jokic,,15-11,,
4:00.0,D. Gallinari misses 2-pt shot from 15 ft,,15-11,,
3:59.0,,,15-11,,Defensive rebound by Z. Pachulia
3:59.0,Loose ball foul by J. Lauvergne (drawn by Z. Pachulia),,15-11,,
3:52.0,,,15-14,3,D. Williams makes 3-pt shot from 24 ft (assist by C. Parsons)
3:37.0,Turnover by D. Gallinari (bad pass),,15-14,,
3:37.0,J. Nelson enters the game for R. Foye,,15-14,,
3:26.0,,,15-14,,D. Williams misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by W. Barton,,15-14,,
3:15.0,E. Mudiay makes 2-pt shot from 22 ft,2,17-14,,
3:05.0,,,17-14,,Turnover by D. Williams (lost ball; steal by E. Mudiay)
2:47.0,Shooting foul by D. Williams (drawn by W. Barton),,17-14,,
2:47.0,W. Barton makes free throw 1 of 2,1,18-14,,
2:47.0,,,18-14,,D. Nowitzki enters the game for Z. Pachulia
2:47.0,,,18-14,,D. Harris enters the game for D. Williams
2:47.0,W. Barton makes free throw 2 of 2,1,19-14,,
2:31.0,,,19-16,2,C. Parsons makes 2-pt shot from 2 ft
2:09.0,Turnover by J. Lauvergne (lost ball; steal by C. Parsons),,19-16,,
1:55.0,,,19-16,,Shooting foul by J. Lauvergne (drawn by D. Nowitzki)
1:55.0,,,19-17,1,D. Nowitzki makes free throw 1 of 2
1:55.0,K. Faried enters the game for J. Lauvergne,,19-17,,
1:55.0,,,19-17,,W. Matthews enters the game for C. Parsons
1:55.0,,,19-18,1,D. Nowitzki makes free throw 2 of 2
1:43.0,E. Mudiay misses 2-pt shot from 16 ft (block by D. Powell),,19-18,,
1:41.0,Offensive rebound by W. Barton,,19-18,,
1:38.0,D. Gallinari makes 3-pt shot from 23 ft (assist by W. Barton),3,22-18,,
1:22.0,,,22-18,,D. Harris misses 2-pt shot at rim (block by K. Faried)
1:20.0,Defensive rebound by D. Gallinari,,22-18,,
1:12.0,W. Barton misses 3-pt shot from 25 ft,,22-18,,
1:11.0,Offensive rebound by K. Faried,,22-18,,
1:11.0,M. Miller enters the game for E. Mudiay,,22-18,,
1:06.0,,,22-18,,Personal foul by D. Powell (drawn by D. Gallinari)
0:54.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Nelson),3,25-18,,
0:40.0,,,25-20,2,R. Felton makes 2-pt shot from 4 ft
0:24.0,K. Faried misses 2-pt shot from 19 ft,,25-20,,
0:23.0,,,25-20,,Defensive rebound by Team
0:01.0,,,25-22,2,D. Harris makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,K. Faried makes 2-pt shot from 4 ft (assist by J. Nelson),2,27-22,,
11:48.0,Shooting foul by D. Nowitzki (drawn by K. Faried),,27-22,,
11:48.0,K. Faried misses free throw 1 of 1,,27-22,,
11:47.0,,,27-22,,Defensive rebound by R. Felton
11:37.0,Personal foul by M. Miller (drawn by D. Nowitzki),,27-22,,
11:24.0,,,27-24,2,D. Nowitzki makes 2-pt shot from 1 ft
11:12.0,K. Faried makes 2-pt shot at rim (assist by W. Barton),2,29-24,,
10:57.0,Personal foul by M. Miller (drawn by D. Nowitzki),,29-24,,
10:46.0,D. Arthur enters the game for M. Miller,,29-24,,
10:42.0,,,29-24,,R. Felton misses 3-pt shot from 25 ft
10:41.0,,,29-24,,Offensive rebound by J. McGee
10:28.0,,,29-26,2,R. Felton makes 2-pt shot from 1 ft
10:15.0,D. Arthur misses 2-pt shot from 15 ft,,29-26,,
10:14.0,,,29-26,,Defensive rebound by J. McGee
10:10.0,,,29-26,,Shooting foul by W. Barton (drawn by J. Anderson)
10:10.0,,,29-26,,J. Anderson misses free throw 1 of 2
10:10.0,,,29-26,,Offensive rebound by Team
10:10.0,,,29-26,,J. Anderson misses free throw 2 of 2
10:09.0,Defensive rebound by W. Barton,,29-26,,
9:51.0,W. Barton misses 2-pt shot from 7 ft,,29-26,,
9:50.0,Offensive rebound by Team,,29-26,,
9:37.0,D. Arthur makes 2-pt shot from 18 ft (assist by R. Foye),2,31-26,,
9:18.0,,,31-28,2,R. Felton makes 2-pt shot from 2 ft (assist by D. Nowitzki)
9:18.0,,,31-28,,Shooting foul by K. Faried (drawn by R. Felton)
9:18.0,,,31-28,,R. Felton misses free throw 1 of 1
9:17.0,Defensive rebound by W. Barton,,31-28,,
9:14.0,Denver full timeout,,31-28,,
9:05.0,J. Nelson misses 2-pt shot from 20 ft,,31-28,,
9:04.0,,,31-28,,Defensive rebound by J. Anderson
8:50.0,,,31-28,,J. McGee misses 2-pt shot from 6 ft
8:49.0,Defensive rebound by K. Faried,,31-28,,
8:34.0,J. Nelson misses 3-pt shot from 24 ft,,31-28,,
