time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. I. Mahinmi (A. Afflalo gains possession),,,,Jump ball: R. Lopez vs. I. Mahinmi (A. Afflalo gains possession)
11:41.0,A. Afflalo misses 2-pt shot from 11 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by M. Ellis
11:27.0,,,0-0,,P. George misses 2-pt shot from 16 ft
11:26.0,,,0-0,,Offensive rebound by I. Mahinmi
11:24.0,,,0-0,,Turnover by I. Mahinmi (bad pass; steal by K. Porzingis)
11:16.0,K. Porzingis makes 2-pt shot from 2 ft (assist by C. Anthony),2,2-0,,
10:51.0,,,2-3,3,M. Ellis makes 3-pt shot from 24 ft (assist by G. Hill)
10:41.0,Shooting foul by M. Turner (drawn by K. Porzingis),,2-3,,
10:41.0,K. Porzingis makes free throw 1 of 2,1,3-3,,
10:41.0,K. Porzingis misses free throw 2 of 2,,3-3,,
10:41.0,,,3-3,,Defensive rebound by M. Turner
10:28.0,,,3-3,,M. Turner misses 2-pt shot from 1 ft (block by R. Lopez)
10:27.0,Defensive rebound by C. Anthony,,3-3,,
10:18.0,R. Lopez makes 2-pt shot from 5 ft,2,5-3,,
10:01.0,,,5-5,2,I. Mahinmi makes 2-pt shot from 5 ft
9:50.0,J. Calderon misses 2-pt shot from 16 ft,,5-5,,
9:49.0,,,5-5,,Defensive rebound by G. Hill
9:38.0,,,5-5,,M. Turner misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by Team,,5-5,,
9:16.0,K. Porzingis makes 3-pt shot from 25 ft (assist by R. Lopez),3,8-5,,
8:58.0,,,8-5,,Turnover by P. George (lost ball; steal by C. Anthony)
8:46.0,A. Afflalo makes 2-pt shot from 1 ft (assist by C. Anthony),2,10-5,,
8:30.0,,,10-8,3,M. Ellis makes 3-pt shot from 24 ft
8:14.0,Shooting foul by M. Ellis (drawn by A. Afflalo),,10-8,,
8:14.0,A. Afflalo makes free throw 1 of 2,1,11-8,,
8:14.0,A. Afflalo makes free throw 2 of 2,1,12-8,,
8:01.0,,,12-10,2,M. Turner makes 2-pt shot from 18 ft (assist by M. Ellis)
7:42.0,C. Anthony makes 3-pt shot from 25 ft (assist by A. Afflalo),3,15-10,,
7:36.0,,,15-10,,P. George misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by R. Lopez,,15-10,,
7:25.0,C. Anthony misses 2-pt shot from 17 ft,,15-10,,
