time,Philadelphia,pts.away,score,pts.home,Portland
2:02.0,,,21-26,2,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard)
1:41.0,R. Holmes makes 2-pt shot from 2 ft (assist by S. Weems),2,23-26,,
1:26.0,,,23-28,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
1:12.0,T. McConnell makes 2-pt shot from 8 ft,2,25-28,,
0:47.0,,,25-31,3,G. Henderson makes 3-pt shot from 22 ft (assist by D. Lillard)
0:33.0,R. Covington misses 3-pt shot from 25 ft,,25-31,,
0:32.0,,,25-31,,Defensive rebound by A. Crabbe
0:20.0,,,25-31,,Turnover by G. Henderson (lost ball)
0:20.0,J. Grant enters the game for R. Holmes,,25-31,,
0:20.0,H. Thompson enters the game for S. Weems,,25-31,,
0:00.0,T. McConnell makes 2-pt shot at rim,2,27-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by R. Covington (lost ball; steal by C. McCollum),,27-31,,
11:32.0,,,27-33,2,A. Crabbe makes 2-pt shot from 1 ft (assist by C. McCollum)
11:23.0,J. Grant makes 2-pt shot from 1 ft,2,29-33,,
11:06.0,,,29-33,,E. Davis misses 2-pt shot at rim
11:04.0,,,29-33,,Offensive rebound by N. Vonleh
10:57.0,,,29-35,2,G. Henderson makes 2-pt shot from 18 ft
10:41.0,S. Weems misses 3-pt shot from 23 ft,,29-35,,
10:40.0,,,29-35,,Defensive rebound by N. Vonleh
10:27.0,,,29-35,,C. McCollum misses 2-pt shot from 12 ft
10:25.0,Defensive rebound by J. Grant,,29-35,,
10:16.0,R. Covington misses 3-pt shot from 22 ft,,29-35,,
10:16.0,,,29-35,,Defensive rebound by C. McCollum
10:00.0,,,29-37,2,G. Henderson makes 2-pt shot from 19 ft (assist by C. McCollum)
9:37.0,J. Grant misses 3-pt shot from 24 ft,,29-37,,
9:36.0,,,29-37,,Defensive rebound by N. Vonleh
9:22.0,,,29-39,2,N. Vonleh makes 2-pt shot from 6 ft
9:21.0,Philadelphia full timeout,,29-39,,
9:21.0,H. Thompson enters the game for R. Covington,,29-39,,
9:21.0,C. Landry enters the game for S. Weems,,29-39,,
9:02.0,Turnover by T. McConnell (lost ball; steal by G. Henderson),,29-39,,
8:56.0,,,29-39,,A. Crabbe misses 3-pt shot from 22 ft
8:54.0,Defensive rebound by J. Grant,,29-39,,
8:42.0,H. Thompson misses 3-pt shot from 24 ft,,29-39,,
8:42.0,,,29-39,,Defensive rebound by E. Davis
8:29.0,,,29-39,,G. Henderson misses 2-pt shot from 16 ft
8:28.0,Defensive rebound by N. Stauskas,,29-39,,
8:21.0,N. Stauskas makes 3-pt shot from 24 ft,3,32-39,,
8:01.0,,,32-41,2,G. Henderson makes 2-pt shot from 15 ft
7:44.0,H. Thompson misses 3-pt shot from 24 ft,,32-41,,
7:41.0,,,32-41,,Defensive rebound by E. Davis
7:34.0,,,32-41,,Shooting foul by C. Landry (drawn by E. Davis)
7:34.0,,,32-41,,E. Davis misses free throw 1 of 2
7:34.0,,,32-41,,Offensive rebound by Team
7:34.0,I. Canaan enters the game for C. Landry,,32-41,,
7:34.0,I. Smith enters the game for N. Stauskas,,32-41,,
7:34.0,R. Covington enters the game for T. McConnell,,32-41,,
7:34.0,,,32-41,,E. Davis misses free throw 2 of 2
7:33.0,Defensive rebound by H. Thompson,,32-41,,
7:22.0,J. Grant makes 2-pt shot from 2 ft,2,34-41,,
7:22.0,Shooting foul by E. Davis (drawn by J. Grant),,34-41,,
7:22.0,J. Grant makes free throw 1 of 1,1,35-41,,
7:12.0,,,35-41,,Turnover by N. Vonleh (offensive foul)
7:12.0,,,35-41,,Offensive foul by N. Vonleh
6:58.0,R. Covington misses 2-pt shot from 3 ft (block by E. Davis),,35-41,,
6:56.0,,,35-41,,Defensive rebound by N. Vonleh
6:50.0,,,35-43,2,C. McCollum makes 2-pt shot from 5 ft
6:32.0,I. Canaan misses 3-pt shot from 24 ft,,35-43,,
6:30.0,,,35-43,,Defensive rebound by G. Henderson
6:22.0,,,35-43,,Turnover by G. Henderson (lost ball; steal by R. Covington)
6:14.0,H. Thompson makes 3-pt shot from 23 ft (assist by I. Smith),3,38-43,,
6:13.0,,,38-43,,Portland full timeout
6:13.0,,,38-43,,M. Harkless enters the game for G. Henderson
6:13.0,,,38-43,,A. Aminu enters the game for N. Vonleh
6:01.0,,,38-43,,Shooting foul by J. Grant (drawn by C. McCollum)
6:01.0,,,38-44,1,C. McCollum makes free throw 1 of 2
6:01.0,,,38-45,1,C. McCollum makes free throw 2 of 2
5:50.0,I. Smith misses 3-pt shot from 24 ft,,38-45,,
5:48.0,,,38-45,,Defensive rebound by Team
5:33.0,,,38-47,2,C. McCollum makes 2-pt shot from 18 ft (assist by A. Crabbe)
5:19.0,R. Covington misses 3-pt shot from 25 ft,,38-47,,
5:19.0,,,38-47,,Defensive rebound by A. Aminu
5:10.0,,,38-49,2,C. McCollum makes 2-pt shot from 18 ft
5:05.0,Philadelphia full timeout,,38-49,,
5:05.0,,,38-49,,D. Lillard enters the game for C. McCollum
5:05.0,,,38-49,,B. Roberts enters the game for A. Crabbe
4:51.0,H. Thompson misses 3-pt shot from 24 ft,,38-49,,
4:50.0,,,38-49,,Defensive rebound by E. Davis
4:29.0,,,38-49,,D. Lillard misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by I. Smith,,38-49,,
