time,Philadelphia,pts.away,score,pts.home,Portland
5:38.0,,,88-97,,Offensive rebound by M. Plumlee
5:38.0,,,88-97,,M. Plumlee misses 2-pt shot from 1 ft
5:37.0,Defensive rebound by J. Grant,,88-97,,
5:24.0,J. Grant makes 2-pt shot at rim (assist by H. Thompson),2,90-97,,
5:24.0,Shooting foul by M. Plumlee (drawn by J. Grant),,90-97,,
5:24.0,,,90-97,,M. Harkless enters the game for M. Plumlee
5:24.0,,,90-97,,E. Davis enters the game for G. Henderson
5:24.0,J. Grant misses free throw 1 of 1,,90-97,,
5:21.0,Offensive rebound by I. Smith,,90-97,,
5:17.0,H. Thompson misses 3-pt shot from 23 ft,,90-97,,
5:16.0,Offensive rebound by J. Grant,,90-97,,
5:10.0,R. Covington makes 2-pt shot from 1 ft,2,92-97,,
4:53.0,,,92-97,,D. Lillard misses 2-pt shot from 7 ft
4:52.0,Defensive rebound by R. Covington,,92-97,,
4:43.0,J. Grant misses 2-pt shot from 15 ft,,92-97,,
4:41.0,,,92-97,,Defensive rebound by A. Aminu
4:23.0,,,92-97,,C. McCollum misses 2-pt shot from 6 ft
4:23.0,Defensive rebound by I. Smith,,92-97,,
4:17.0,R. Covington makes 2-pt shot from 1 ft (assist by I. Smith),2,94-97,,
4:17.0,,,94-97,,Portland full timeout
3:59.0,,,94-97,,C. McCollum misses 2-pt shot from 6 ft
3:58.0,Defensive rebound by R. Covington,,94-97,,
3:43.0,H. Thompson makes 3-pt shot from 22 ft (assist by I. Smith),3,97-97,,
3:22.0,,,97-97,,D. Lillard misses 2-pt shot from 2 ft (block by J. Grant)
3:21.0,Defensive rebound by H. Thompson,,97-97,,
3:15.0,H. Thompson makes 3-pt shot from 24 ft (assist by K. Marshall),3,100-97,,
2:56.0,Shooting block foul by J. Grant (drawn by C. McCollum),,100-97,,
2:56.0,,,100-99,2,C. McCollum makes 2-pt shot from 1 ft
2:56.0,,,100-100,1,C. McCollum makes free throw 1 of 1
2:47.0,Turnover by K. Marshall (lost ball; steal by C. McCollum),,100-100,,
2:37.0,,,100-103,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
2:36.0,Philadelphia full timeout,,100-103,,
2:23.0,R. Covington misses 3-pt shot from 29 ft,,100-103,,
2:23.0,,,100-103,,Defensive rebound by M. Harkless
2:11.0,,,100-103,,D. Lillard misses 2-pt shot from 8 ft
2:09.0,Defensive rebound by R. Covington,,100-103,,
2:07.0,Turnover by R. Covington (lost ball; steal by E. Davis),,100-103,,
2:01.0,,,100-103,,A. Aminu misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by I. Smith,,100-103,,
1:50.0,K. Marshall misses 3-pt shot from 22 ft,,100-103,,
1:50.0,,,100-103,,Defensive rebound by A. Aminu
1:32.0,,,100-103,,C. McCollum misses 2-pt shot from 18 ft
1:32.0,,,100-103,,Offensive rebound by Team
1:32.0,Personal foul by H. Thompson,,100-103,,
1:32.0,,,100-104,1,M. Harkless makes free throw 1 of 2
1:32.0,N. Stauskas enters the game for K. Marshall,,100-104,,
1:32.0,,,100-104,,M. Harkless misses free throw 2 of 2
1:31.0,Defensive rebound by H. Thompson,,100-104,,
1:31.0,Philadelphia full timeout,,100-104,,
1:31.0,Philadelphia full timeout,,100-104,,
1:27.0,H. Thompson makes 3-pt shot from 27 ft (assist by I. Smith),3,103-104,,
1:11.0,,,103-104,,C. McCollum misses 2-pt shot from 22 ft
1:10.0,Defensive rebound by R. Covington,,103-104,,
0:59.0,R. Covington misses 2-pt shot from 1 ft,,103-104,,
0:59.0,,,103-104,,Defensive rebound by E. Davis
0:47.0,,,103-104,,A. Aminu misses 3-pt shot from 23 ft
0:47.0,,,103-104,,Offensive rebound by M. Harkless
0:47.0,,,103-104,,Shooting foul by N. Stauskas (drawn by M. Harkless)
0:47.0,,,103-105,1,M. Harkless makes free throw 1 of 2
0:47.0,,,103-105,,M. Harkless misses free throw 2 of 2
0:46.0,Defensive rebound by I. Smith,,103-105,,
0:36.0,J. Grant misses 2-pt shot from 1 ft (block by E. Davis),,103-105,,
0:36.0,Offensive rebound by Team,,103-105,,
0:24.0,I. Smith makes 2-pt shot from 14 ft,2,105-105,,
0:23.0,,,105-105,,Portland full timeout
0:23.0,,,105-105,,B. Roberts enters the game for M. Harkless
0:23.0,,,105-105,,A. Crabbe enters the game for A. Aminu
0:23.0,T. McConnell enters the game for N. Stauskas,,105-105,,
0:08.0,,,105-107,2,C. McCollum makes 2-pt shot at rim
0:08.0,,,105-107,,Shooting foul by R. Covington (drawn by C. McCollum)
0:08.0,,,105-107,,M. Harkless enters the game for B. Roberts
0:08.0,,,105-107,,A. Aminu enters the game for A. Crabbe
0:08.0,C. Landry enters the game for H. Thompson,,105-107,,
0:08.0,,,105-108,1,C. McCollum makes free throw 1 of 1
0:08.0,Philadelphia full timeout,,105-108,,
0:08.0,N. Stauskas enters the game for T. McConnell,,105-108,,
0:08.0,H. Thompson enters the game for C. Landry,,105-108,,
0:07.0,,,105-108,,Personal take foul by C. McCollum
0:07.0,J. Grant misses free throw 1 of 2,,105-108,,
0:07.0,Offensive rebound by Team,,105-108,,
0:07.0,T. McConnell enters the game for N. Stauskas,,105-108,,
0:07.0,,,105-108,,B. Roberts enters the game for M. Harkless
0:07.0,,,105-108,,A. Crabbe enters the game for E. Davis
0:07.0,J. Grant misses free throw 2 of 2,,105-108,,
0:07.0,,,105-108,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
