time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (D. Green gains possession),,,,Jump ball: S. Adams vs. A. Bogut (D. Green gains possession)
11:44.0,,,0-0,,Shooting foul by A. Roberson (drawn by D. Green)
11:44.0,,,0-0,,D. Green misses free throw 1 of 2
11:44.0,,,0-0,,Offensive rebound by Team
11:44.0,,,0-0,,D. Green misses free throw 2 of 2
11:42.0,Defensive rebound by R. Westbrook,,0-0,,
11:29.0,K. Durant makes 2-pt shot from 9 ft (assist by R. Westbrook),2,2-0,,
11:16.0,,,2-0,,S. Curry misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by S. Adams,,2-0,,
11:08.0,R. Westbrook misses 2-pt shot from 17 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by D. Green
10:54.0,,,2-3,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
10:36.0,S. Ibaka misses 2-pt shot from 3 ft (block by A. Bogut),,2-3,,
10:35.0,,,2-3,,Defensive rebound by H. Barnes
10:30.0,,,2-3,,S. Curry misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by K. Durant,,2-3,,
10:17.0,S. Adams misses 2-pt shot from 7 ft,,2-3,,
10:15.0,Offensive rebound by S. Ibaka,,2-3,,
10:12.0,S. Ibaka makes 2-pt shot from 5 ft,2,4-3,,
9:49.0,,,4-3,,K. Thompson misses 2-pt shot from 20 ft
9:48.0,Defensive rebound by R. Westbrook,,4-3,,
9:46.0,,,4-3,,Personal foul by A. Bogut (drawn by R. Westbrook)
9:41.0,Shooting foul by S. Curry (drawn by R. Westbrook),,4-3,,
9:41.0,R. Westbrook makes free throw 1 of 2,1,5-3,,
9:41.0,R. Westbrook misses free throw 2 of 2,,5-3,,
9:40.0,,,5-3,,Defensive rebound by H. Barnes
9:16.0,,,5-3,,H. Barnes misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by K. Durant,,5-3,,
9:07.0,S. Ibaka misses 2-pt shot from 12 ft,,5-3,,
9:06.0,,,5-3,,Defensive rebound by H. Barnes
8:43.0,,,5-5,2,S. Curry makes 2-pt shot from 2 ft
8:25.0,Turnover by R. Westbrook (bad pass; steal by H. Barnes),,5-5,,
8:14.0,,,5-5,,S. Curry misses 2-pt shot from 2 ft (block by R. Westbrook)
8:14.0,,,5-5,,Offensive rebound by D. Green
8:05.0,,,5-8,3,D. Green makes 3-pt shot from 25 ft (assist by H. Barnes)
7:54.0,K. Durant makes 2-pt shot from 2 ft,2,7-8,,
7:35.0,,,7-10,2,H. Barnes makes 2-pt shot from 12 ft (assist by D. Green)
7:20.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,9-10,,
7:02.0,,,9-10,,K. Thompson misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by K. Durant,,9-10,,
6:52.0,K. Durant makes 2-pt shot from 13 ft,2,11-10,,
6:36.0,,,11-10,,D. Green misses 2-pt shot at rim
6:36.0,Defensive rebound by Team,,11-10,,
6:20.0,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Durant),3,14-10,,
6:05.0,,,14-10,,H. Barnes misses 2-pt shot from 15 ft
6:04.0,Defensive rebound by R. Westbrook,,14-10,,
5:54.0,K. Durant misses 2-pt shot from 8 ft,,14-10,,
5:53.0,,,14-10,,Defensive rebound by D. Green
5:49.0,,,14-12,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
5:35.0,A. Roberson misses 3-pt shot from 25 ft,,14-12,,
5:34.0,,,14-12,,Defensive rebound by S. Curry
5:24.0,,,14-14,2,S. Curry makes 2-pt shot from 2 ft
5:13.0,R. Westbrook misses 2-pt shot from 15 ft,,14-14,,
5:12.0,,,14-14,,Defensive rebound by D. Green
5:06.0,,,14-16,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
4:56.0,Oklahoma City full timeout,,14-16,,
4:56.0,,,14-16,,B. Rush enters the game for H. Barnes
4:56.0,K. Singler enters the game for K. Durant,,14-16,,
4:48.0,K. Singler makes 2-pt shot from 6 ft (assist by R. Westbrook),2,16-16,,
4:26.0,,,16-16,,Offensive foul by A. Bogut
4:26.0,,,16-16,,Turnover by A. Bogut (offensive foul)
