time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. G. Monroe (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. G. Monroe (K. Humphries gains possession)
11:42.0,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal),2,2-0,,
11:20.0,,,2-2,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
11:12.0,,,2-2,,Personal foul by G. Antetokounmpo (drawn by O. Porter)
11:02.0,M. Gortat misses 2-pt shot from 4 ft,,2-2,,
11:01.0,,,2-2,,Defensive rebound by M. Carter-Williams
10:58.0,Shooting block foul by M. Gortat (drawn by G. Antetokounmpo),,2-2,,
10:58.0,,,2-3,1,G. Antetokounmpo makes free throw 1 of 2
10:58.0,,,2-4,1,G. Antetokounmpo makes free throw 2 of 2
10:48.0,Turnover by O. Porter (lost ball; steal by G. Antetokounmpo),,2-4,,
10:44.0,,,2-6,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
10:38.0,J. Wall makes 2-pt shot at rim (assist by B. Beal),2,4-6,,
10:22.0,,,4-8,2,G. Monroe makes 2-pt shot from 11 ft (assist by K. Middleton)
10:04.0,B. Beal misses 2-pt shot from 16 ft,,4-8,,
10:02.0,,,4-8,,Defensive rebound by G. Monroe
9:55.0,,,4-8,,Turnover by G. Antetokounmpo (lost ball)
9:55.0,Jump ball: G. Antetokounmpo vs. J. Wall (O. Porter gains possession),,,,Jump ball: G. Antetokounmpo vs. J. Wall (O. Porter gains possession)
9:47.0,B. Beal misses 2-pt shot from 5 ft,,4-8,,
9:47.0,Offensive rebound by K. Humphries,,4-8,,
9:47.0,K. Humphries misses 2-pt shot from 5 ft,,4-8,,
9:47.0,Offensive rebound by K. Humphries,,4-8,,
9:47.0,,,4-8,,Personal foul by J. O'Bryant (drawn by K. Humphries)
9:47.0,K. Humphries makes free throw 1 of 2,1,5-8,,
9:47.0,K. Humphries makes free throw 2 of 2,1,6-8,,
9:33.0,,,6-10,2,J. O'Bryant makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
9:27.0,,,6-10,,Violation by K. Middleton (kicked ball)
9:16.0,M. Gortat misses 2-pt shot from 13 ft,,6-10,,
9:14.0,,,6-10,,Defensive rebound by K. Middleton
8:59.0,,,6-10,,M. Carter-Williams misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by M. Gortat,,6-10,,
8:49.0,Turnover by B. Beal (bad pass),,6-10,,
8:32.0,,,6-10,,J. O'Bryant misses 2-pt shot from 15 ft
8:31.0,Defensive rebound by Team,,6-10,,
8:19.0,B. Beal makes 2-pt shot from 16 ft (assist by M. Gortat),2,8-10,,
7:55.0,,,8-12,2,G. Antetokounmpo makes 2-pt shot at rim
7:44.0,K. Humphries misses 3-pt shot from 27 ft,,8-12,,
7:42.0,Offensive rebound by M. Gortat,,8-12,,
7:40.0,M. Gortat misses 2-pt shot from 2 ft,,8-12,,
7:39.0,,,8-12,,Defensive rebound by M. Carter-Williams
7:33.0,,,8-12,,Turnover by G. Antetokounmpo (step out of bounds)
7:18.0,J. Wall misses 2-pt shot from 17 ft (block by M. Carter-Williams),,8-12,,
7:16.0,,,8-12,,Defensive rebound by G. Antetokounmpo
7:06.0,,,8-12,,Shooting foul by B. Beal (drawn by K. Middleton)
7:06.0,,,8-13,1,K. Middleton makes free throw 1 of 3
7:06.0,,,8-13,,K. Middleton misses free throw 2 of 3
7:06.0,,,8-13,,Offensive rebound by Team
7:06.0,,,8-14,1,K. Middleton makes free throw 3 of 3
6:54.0,B. Beal misses 2-pt shot from 11 ft,,8-14,,
6:52.0,,,8-14,,Defensive rebound by G. Antetokounmpo
6:43.0,,,8-14,,G. Antetokounmpo misses 3-pt shot from 27 ft
6:42.0,Defensive rebound by O. Porter,,8-14,,
6:39.0,Turnover by O. Porter (lost ball; steal by M. Carter-Williams),,8-14,,
6:32.0,,,8-14,,Turnover by G. Antetokounmpo (step out of bounds)
6:18.0,O. Porter misses 3-pt shot from 28 ft,,8-14,,
6:17.0,,,8-14,,Defensive rebound by G. Antetokounmpo
6:02.0,,,8-16,2,K. Middleton makes 2-pt shot from 13 ft (assist by G. Monroe)
5:49.0,K. Humphries misses 2-pt shot from 15 ft,,8-16,,
5:48.0,,,8-16,,Defensive rebound by G. Monroe
5:44.0,,,8-18,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
5:44.0,,,8-18,,Shooting foul by B. Beal (drawn by G. Antetokounmpo)
5:44.0,,,8-18,,Milwaukee full timeout
5:44.0,D. Gooden enters the game for K. Humphries,,8-18,,
5:44.0,G. Neal enters the game for B. Beal,,8-18,,
5:44.0,,,8-18,,C. Copeland enters the game for J. O'Bryant
5:44.0,,,8-19,1,G. Antetokounmpo makes free throw 1 of 1
5:24.0,J. Wall misses 3-pt shot from 28 ft,,8-19,,
5:22.0,,,8-19,,Defensive rebound by G. Antetokounmpo
5:06.0,,,8-19,,K. Middleton misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by O. Porter,,8-19,,
4:52.0,Shooting foul by C. Copeland (drawn by D. Gooden),,8-19,,
4:52.0,D. Gooden makes free throw 1 of 2,1,9-19,,
4:52.0,D. Gooden makes free throw 2 of 2,1,10-19,,
