time,Portland,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (M. Dellavedova gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (M. Dellavedova gains possession)
11:36.0,,,0-2,2,L. James makes 2-pt shot from 1 ft
11:14.0,C. McCollum makes 2-pt shot from 17 ft (assist by M. Plumlee),2,2-2,,
10:50.0,,,2-2,,L. James misses 2-pt shot at rim
10:48.0,Defensive rebound by A. Aminu,,2-2,,
10:41.0,M. Plumlee misses 2-pt shot from 5 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by K. Love
10:25.0,,,2-2,,J. Smith misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by D. Lillard,,2-2,,
10:12.0,C. McCollum misses 3-pt shot from 25 ft,,2-2,,
10:11.0,,,2-2,,Defensive rebound by M. Dellavedova
10:01.0,,,2-4,2,M. Dellavedova makes 2-pt shot from 4 ft
9:40.0,N. Vonleh makes 2-pt shot from 7 ft,2,4-4,,
9:21.0,,,4-4,,K. Love misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by Team,,4-4,,
9:00.0,Turnover by A. Aminu (lost ball; steal by K. Love),,4-4,,
8:53.0,,,4-4,,L. James misses 2-pt shot from 4 ft
8:51.0,Defensive rebound by A. Aminu,,4-4,,
8:43.0,C. McCollum makes 2-pt shot from 13 ft,2,6-4,,
8:24.0,,,6-6,2,M. Dellavedova makes 2-pt shot from 8 ft
8:04.0,D. Lillard makes 2-pt shot from 1 ft,2,8-6,,
7:43.0,,,8-6,,K. Love misses 2-pt shot from 6 ft
7:40.0,Defensive rebound by A. Aminu,,8-6,,
7:33.0,D. Lillard makes 2-pt shot from 13 ft,2,10-6,,
7:15.0,,,10-6,,K. Love misses 2-pt shot at rim (block by M. Plumlee)
7:14.0,Defensive rebound by M. Plumlee,,10-6,,
7:02.0,C. McCollum makes 2-pt shot from 19 ft (assist by D. Lillard),2,12-6,,
6:46.0,Personal foul by A. Aminu (drawn by L. James),,12-6,,
6:32.0,,,12-6,,L. James misses 2-pt shot from 9 ft
6:31.0,Defensive rebound by N. Vonleh,,12-6,,
6:24.0,D. Lillard makes 3-pt shot from 28 ft,3,15-6,,
6:23.0,,,15-6,,Cleveland full timeout
6:03.0,,,15-6,,J. Smith misses 2-pt shot from 8 ft
6:01.0,Defensive rebound by D. Lillard,,15-6,,
5:52.0,D. Lillard makes 3-pt shot from 26 ft,3,18-6,,
5:37.0,,,18-6,,L. James misses 2-pt shot from 5 ft
5:37.0,Defensive rebound by N. Vonleh,,18-6,,
5:24.0,M. Plumlee misses 2-pt shot from 9 ft,,18-6,,
5:23.0,,,18-6,,Defensive rebound by K. Love
5:18.0,Personal foul by M. Plumlee (drawn by T. Mozgov),,18-6,,
5:18.0,,,18-6,,T. Thompson enters the game for K. Love
4:59.0,,,18-6,,Turnover by Team (shot clock)
4:59.0,A. Crabbe enters the game for C. McCollum,,18-6,,
4:59.0,,,18-6,,A. Varejao enters the game for T. Mozgov
4:55.0,D. Lillard misses 3-pt shot from 27 ft,,18-6,,
4:54.0,Offensive rebound by N. Vonleh,,18-6,,
4:42.0,Shooting foul by A. Varejao (drawn by M. Plumlee),,18-6,,
4:42.0,M. Plumlee misses free throw 1 of 2,,18-6,,
4:42.0,Offensive rebound by Team,,18-6,,
4:42.0,M. Plumlee makes free throw 2 of 2,1,19-6,,
4:30.0,Personal foul by A. Crabbe (drawn by J. Smith),,19-6,,
4:30.0,M. Leonard enters the game for N. Vonleh,,19-6,,
4:30.0,E. Davis enters the game for M. Plumlee,,19-6,,
4:25.0,,,19-9,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by A. Varejao)
3:58.0,D. Lillard makes 2-pt shot from 17 ft (assist by M. Leonard),2,21-9,,
3:44.0,,,21-11,2,J. Smith makes 2-pt shot from 14 ft (assist by L. James)
