time,Golden State,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Jokic (J. Thompson gains possession),,,,Jump ball: A. Bogut vs. N. Jokic (J. Thompson gains possession)
11:42.0,Shooting foul by N. Jokic (drawn by A. Bogut),,0-0,,
11:42.0,A. Bogut misses free throw 1 of 2,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:42.0,A. Bogut makes free throw 2 of 2,1,1-0,,
11:25.0,,,1-2,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
11:03.0,J. Thompson misses 2-pt shot from 2 ft,,1-2,,
11:02.0,,,1-2,,Defensive rebound by Team
10:50.0,,,1-2,,N. Jokic misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by S. Curry,,1-2,,
10:37.0,S. Curry misses 2-pt shot from 1 ft,,1-2,,
10:34.0,,,1-2,,Defensive rebound by N. Jokic
10:27.0,,,1-2,,Shooting foul by J. Thompson (drawn by D. Gallinari)
10:27.0,,,1-3,1,D. Gallinari makes free throw 1 of 2
10:27.0,,,1-4,1,D. Gallinari makes free throw 2 of 2
10:14.0,J. Thompson misses 2-pt shot from 4 ft,,1-4,,
10:13.0,,,1-4,,Defensive rebound by D. Gallinari
10:02.0,,,1-4,,N. Jokic misses 2-pt shot from 2 ft (block by A. Bogut)
10:01.0,Defensive rebound by J. Thompson,,1-4,,
9:58.0,Turnover by S. Curry (bad pass; steal by J. Nelson),,1-4,,
9:51.0,,,1-4,,J. Nelson misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by A. Bogut,,1-4,,
9:43.0,S. Curry misses 3-pt shot from 25 ft,,1-4,,
9:42.0,,,1-4,,Defensive rebound by N. Jokic
9:22.0,,,1-4,,G. Harris misses 3-pt shot from 24 ft
9:21.0,,,1-4,,Offensive rebound by N. Jokic
9:18.0,,,1-6,2,N. Jokic makes 2-pt shot from 2 ft
9:06.0,Turnover by S. Curry (bad pass; steal by N. Jokic),,1-6,,
9:00.0,,,1-6,,G. Harris misses 2-pt shot from 1 ft
8:58.0,Defensive rebound by J. Thompson,,1-6,,
8:56.0,,,1-6,,Personal foul by N. Jokic (drawn by K. Thompson)
8:56.0,,,1-6,,J. Nurkic enters the game for N. Jokic
8:47.0,K. Thompson makes 2-pt shot from 20 ft (assist by S. Curry),2,3-6,,
8:34.0,,,3-8,2,D. Gallinari makes 2-pt shot from 4 ft
8:34.0,Shooting block foul by B. Rush (drawn by D. Gallinari),,3-8,,
8:34.0,,,3-9,1,D. Gallinari makes free throw 1 of 1
8:23.0,S. Curry makes 3-pt shot from 25 ft,3,6-9,,
8:09.0,,,6-11,2,G. Harris makes 2-pt shot from 10 ft (assist by J. Nelson)
7:58.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,9-11,,
7:46.0,,,9-11,,Shooting foul by A. Bogut (drawn by D. Gallinari)
7:46.0,,,9-12,1,D. Gallinari makes free throw 1 of 2
7:46.0,,,9-13,1,D. Gallinari makes free throw 2 of 2
7:35.0,A. Bogut makes 2-pt shot from 5 ft (assist by S. Curry),2,11-13,,
7:18.0,,,11-15,2,K. Faried makes 2-pt shot at rim (assist by J. Nurkic)
7:03.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,13-15,,
6:40.0,,,13-15,,D. Gallinari misses 2-pt shot from 22 ft
6:39.0,Defensive rebound by B. Rush,,13-15,,
6:29.0,K. Thompson makes 2-pt shot from 1 ft,2,15-15,,
6:29.0,Shooting foul by K. Faried (drawn by K. Thompson),,15-15,,
6:29.0,K. Thompson misses free throw 1 of 1,,15-15,,
6:27.0,,,15-15,,Defensive rebound by J. Nurkic
6:15.0,,,15-15,,J. Nelson misses 2-pt shot from 20 ft
6:13.0,,,15-15,,Offensive rebound by K. Faried
6:12.0,,,15-15,,K. Faried misses 2-pt shot from 1 ft (block by J. Thompson)
6:11.0,,,15-15,,Offensive rebound by Team
5:54.0,,,15-15,,J. Nelson misses 3-pt shot from 25 ft
5:54.0,,,15-15,,Offensive rebound by J. Nurkic
5:51.0,,,15-15,,J. Nurkic misses 2-pt shot from 2 ft
5:50.0,,,15-15,,Offensive rebound by G. Harris
5:42.0,Loose ball foul by J. Thompson (drawn by J. Nelson),,15-15,,
5:42.0,,,15-15,,Denver full timeout
5:42.0,H. Barnes enters the game for B. Rush,,15-15,,
5:42.0,A. Iguodala enters the game for J. Thompson,,15-15,,
5:35.0,,,15-18,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Nelson)
5:15.0,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry),2,17-18,,
4:59.0,,,17-20,2,J. Nurkic makes 2-pt shot from 4 ft (assist by J. Nelson)
4:50.0,H. Barnes misses 2-pt shot from 18 ft,,17-20,,
4:49.0,,,17-20,,Defensive rebound by G. Harris
4:35.0,,,17-20,,D. Gallinari misses 2-pt shot from 5 ft (block by A. Iguodala)
4:34.0,Defensive rebound by A. Iguodala,,17-20,,
4:29.0,H. Barnes misses 2-pt shot from 1 ft (block by K. Faried),,17-20,,
