time,New Orleans,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. T. Duncan (D. Cunningham gains possession),,,,Jump ball: A. Ajinca vs. T. Duncan (D. Cunningham gains possession)
11:44.0,A. Ajinca makes 2-pt shot from 2 ft (assist by D. Cunningham),2,2-0,,
11:28.0,,,2-0,,Shooting foul by O. Asik (drawn by L. Aldridge)
11:28.0,,,2-0,,L. Aldridge misses free throw 1 of 2
11:28.0,,,2-0,,Offensive rebound by Team
11:28.0,,,2-1,1,L. Aldridge makes free throw 2 of 2
11:03.0,T. Douglas misses 2-pt shot from 20 ft,,2-1,,
11:02.0,,,2-1,,Defensive rebound by D. Green
10:55.0,,,2-4,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
10:39.0,J. Hamilton makes 3-pt shot from 25 ft,3,5-4,,
10:25.0,,,5-6,2,K. Leonard makes 2-pt shot from 17 ft
10:09.0,A. Ajinca misses 2-pt shot from 15 ft,,5-6,,
10:08.0,,,5-6,,Defensive rebound by T. Duncan
10:02.0,,,5-6,,D. Green misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by O. Asik,,5-6,,
9:49.0,J. Hamilton makes 2-pt shot from 19 ft,2,7-6,,
9:29.0,,,7-9,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
9:09.0,A. Ajinca misses 2-pt shot from 17 ft,,7-9,,
9:08.0,Offensive rebound by D. Cunningham,,7-9,,
8:55.0,T. Douglas misses 2-pt shot from 19 ft,,7-9,,
8:54.0,,,7-9,,Defensive rebound by T. Duncan
8:39.0,,,7-11,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker)
8:24.0,J. Hamilton misses 2-pt shot from 21 ft,,7-11,,
8:23.0,,,7-11,,Defensive rebound by K. Leonard
8:10.0,,,7-11,,L. Aldridge misses 2-pt shot from 19 ft
8:09.0,Defensive rebound by J. Hamilton,,7-11,,
8:02.0,Turnover by D. Cunningham (lost ball),,7-11,,
7:46.0,Shooting block foul by A. Ajinca (drawn by T. Duncan),,7-11,,
7:46.0,,,7-12,1,T. Duncan makes free throw 1 of 2
7:46.0,,,7-13,1,T. Duncan makes free throw 2 of 2
7:32.0,T. Douglas makes 3-pt shot from 24 ft (assist by J. Hamilton),3,10-13,,
7:18.0,,,10-13,,T. Duncan misses 2-pt shot from 19 ft
7:17.0,Defensive rebound by T. Douglas,,10-13,,
7:07.0,D. Cunningham misses 2-pt shot from 8 ft (block by K. Leonard),,10-13,,
7:06.0,,,10-13,,Defensive rebound by D. Green
6:53.0,,,10-13,,L. Aldridge misses 2-pt shot from 3 ft
6:52.0,Defensive rebound by Team,,10-13,,
6:36.0,Turnover by J. Hamilton (lost ball; steal by K. Leonard),,10-13,,
6:31.0,,,10-15,2,D. Green makes 2-pt shot from 1 ft (assist by K. Leonard)
6:24.0,Shooting foul by D. Green (drawn by O. Asik),,10-15,,
6:24.0,O. Asik misses free throw 1 of 2,,10-15,,
6:24.0,Offensive rebound by Team,,10-15,,
6:24.0,O. Asik misses free throw 2 of 2,,10-15,,
6:23.0,,,10-15,,Defensive rebound by K. Leonard
6:05.0,,,10-18,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
5:50.0,O. Asik misses 2-pt shot from 2 ft (block by T. Duncan),,10-18,,
5:49.0,Offensive rebound by O. Asik,,10-18,,
5:45.0,J. Hamilton misses 3-pt shot from 24 ft,,10-18,,
5:43.0,,,10-18,,Defensive rebound by T. Duncan
5:36.0,,,10-18,,K. Leonard misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by O. Asik,,10-18,,
5:31.0,New Orleans full timeout,,10-18,,
5:19.0,D. Cunningham misses 2-pt shot from 21 ft,,10-18,,
5:18.0,,,10-18,,Defensive rebound by K. Leonard
5:00.0,,,10-18,,T. Duncan misses 2-pt shot from 6 ft
4:59.0,Defensive rebound by J. Hamilton,,10-18,,
4:53.0,J. Hamilton misses 2-pt shot from 1 ft (block by T. Duncan),,10-18,,
4:52.0,,,10-18,,Defensive rebound by T. Duncan
4:45.0,,,10-18,,K. Leonard misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by D. Cunningham,,10-18,,
4:31.0,T. Douglas makes 3-pt shot from 23 ft,3,13-18,,
4:30.0,,,13-18,,San Antonio full timeout
4:30.0,,,13-18,,K. Anderson enters the game for K. Leonard
4:30.0,,,13-18,,B. Diaw enters the game for T. Duncan
4:30.0,K. Perkins enters the game for O. Asik,,13-18,,
4:30.0,,,13-18,,M. Ginobili enters the game for D. Green
4:11.0,,,13-18,,Turnover by M. Ginobili (lost ball; steal by D. Cunningham)
4:05.0,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Douglas),2,15-18,,
3:43.0,,,15-21,3,M. Ginobili makes 3-pt shot from 23 ft (assist by K. Anderson)
3:26.0,A. Ajinca makes 2-pt shot from 18 ft (assist by J. Hamilton),2,17-21,,
3:11.0,,,17-21,,Turnover by T. Parker (step out of bounds)
3:11.0,L. Babbitt enters the game for D. Cunningham,,17-21,,
3:11.0,,,17-21,,B. Marjanovic enters the game for L. Aldridge
3:11.0,,,17-21,,P. Mills enters the game for T. Parker
3:00.0,A. Ajinca makes 2-pt shot from 16 ft (assist by J. Hamilton),2,19-21,,
2:41.0,,,19-21,,M. Ginobili misses 2-pt shot from 15 ft
2:40.0,Defensive rebound by A. Ajinca,,19-21,,
2:25.0,A. Ajinca makes 2-pt shot from 20 ft (assist by T. Douglas),2,21-21,,
2:04.0,,,21-23,2,B. Diaw makes 2-pt shot from 17 ft (assist by K. Anderson)
1:38.0,T. Douglas makes 3-pt shot from 24 ft (assist by K. Perkins),3,24-23,,
1:17.0,,,24-25,2,B. Diaw makes 2-pt shot from 20 ft (assist by K. Anderson)
1:03.0,Turnover by A. Ajinca (bad pass),,24-25,,
1:03.0,T. Frazier enters the game for T. Douglas,,24-25,,
0:53.0,,,24-25,,K. Anderson misses 3-pt shot from 22 ft
0:52.0,,,24-25,,Offensive rebound by B. Marjanovic
0:48.0,,,24-25,,Turnover by B. Marjanovic (lost ball; steal by J. Hamilton)
0:34.0,,,24-25,,Personal foul by K. Anderson
