time,Miami,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. H. Whiteside (T. Lyles gains possession),,,,Jump ball: R. Gobert vs. H. Whiteside (T. Lyles gains possession)
11:41.0,,,0-0,,Turnover by G. Hayward (bad pass)
11:21.0,G. Dragic makes 2-pt shot from 14 ft,2,2-0,,
11:03.0,,,2-0,,R. Neto misses 2-pt shot from 16 ft
11:02.0,,,2-0,,Offensive rebound by R. Gobert
11:01.0,,,2-2,2,R. Gobert makes 2-pt shot at rim
10:32.0,H. Whiteside misses 2-pt shot from 5 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by T. Lyles
10:05.0,,,2-4,2,R. Gobert makes 2-pt shot from 3 ft
9:46.0,Turnover by G. Dragic (bad pass; steal by C. Johnson),,2-4,,
9:43.0,,,2-4,,Turnover by C. Johnson (lost ball)
9:27.0,L. Deng misses 2-pt shot from 2 ft,,2-4,,
9:26.0,,,2-4,,Defensive rebound by R. Neto
9:22.0,,,2-4,,Turnover by R. Gobert (lost ball)
9:11.0,G. Dragic makes 2-pt shot from 14 ft,2,4-4,,
8:58.0,,,4-6,2,G. Hayward makes 2-pt shot from 1 ft (assist by R. Gobert)
8:37.0,D. Wade makes 2-pt shot from 7 ft,2,6-6,,
8:12.0,,,6-6,,C. Johnson misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by H. Whiteside,,6-6,,
8:07.0,,,6-6,,Shooting block foul by R. Neto (drawn by G. Dragic)
8:07.0,G. Dragic makes free throw 1 of 2,1,7-6,,
8:07.0,G. Dragic makes free throw 2 of 2,1,8-6,,
7:53.0,,,8-6,,Turnover by C. Johnson (lost ball; steal by D. Wade)
7:47.0,G. Dragic misses 2-pt shot from 3 ft,,8-6,,
7:46.0,,,8-6,,Defensive rebound by C. Johnson
7:38.0,,,8-9,3,T. Lyles makes 3-pt shot from 22 ft (assist by R. Neto)
7:17.0,Turnover by D. Wade (bad pass; steal by T. Lyles),,8-9,,
7:16.0,Personal foul by G. Dragic (drawn by R. Neto),,8-9,,
7:06.0,,,8-9,,G. Hayward misses 2-pt shot from 4 ft
7:06.0,,,8-9,,Offensive rebound by Team
7:06.0,Personal foul by H. Whiteside (drawn by R. Gobert),,8-9,,
6:58.0,,,8-9,,G. Hayward misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by H. Whiteside,,8-9,,
6:48.0,H. Whiteside makes 2-pt shot at rim (assist by C. Bosh),2,10-9,,
6:20.0,,,10-9,,T. Lyles misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by C. Bosh,,10-9,,
6:09.0,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade),2,12-9,,
6:09.0,,,12-9,,Utah full timeout
6:09.0,G. Green enters the game for C. Bosh,,12-9,,
6:09.0,,,12-9,,J. Withey enters the game for R. Gobert
6:09.0,,,12-9,,J. Ingles enters the game for C. Johnson
5:52.0,,,12-11,2,R. Neto makes 2-pt shot from 14 ft
5:34.0,L. Deng makes 2-pt shot from 1 ft,2,14-11,,
5:18.0,,,14-11,,T. Lyles misses 2-pt shot from 2 ft (block by H. Whiteside)
5:17.0,Defensive rebound by L. Deng,,14-11,,
5:11.0,G. Dragic makes 3-pt shot from 23 ft (assist by D. Wade),3,17-11,,
4:47.0,,,17-11,,G. Hayward misses 2-pt shot from 9 ft (block by H. Whiteside)
4:45.0,,,17-11,,Offensive rebound by G. Hayward
4:43.0,,,17-13,2,G. Hayward makes 2-pt shot from 1 ft
4:27.0,Turnover by G. Green (step out of bounds),,17-13,,
4:27.0,,,17-13,,T. Booker enters the game for T. Lyles
4:10.0,,,17-15,2,R. Neto makes 2-pt shot from 2 ft
4:08.0,Miami full timeout,,17-15,,
4:08.0,J. Winslow enters the game for D. Wade,,17-15,,
4:04.0,Turnover by J. Winslow (bad pass; steal by R. Neto),,17-15,,
