time,New York,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Lopez,,,,Jump ball: S. Adams vs. R. Lopez
11:44.0,,,0-0,,S. Adams misses 2-pt shot from 3 ft (block by R. Lopez)
11:42.0,,,0-0,,Offensive rebound by S. Adams
11:39.0,,,0-0,,R. Westbrook misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by K. Porzingis,,0-0,,
11:30.0,K. Porzingis makes 3-pt shot from 24 ft (assist by R. Lopez),3,3-0,,
11:12.0,,,3-2,2,D. Waiters makes 2-pt shot from 18 ft (assist by A. Roberson)
10:52.0,K. Porzingis misses 3-pt shot from 26 ft,,3-2,,
10:51.0,Offensive rebound by R. Lopez,,3-2,,
10:40.0,Shooting foul by A. Roberson (drawn by C. Anthony),,3-2,,
10:40.0,C. Anthony makes free throw 1 of 2,1,4-2,,
10:40.0,C. Anthony makes free throw 2 of 2,1,5-2,,
10:27.0,,,5-2,,D. Waiters misses 2-pt shot from 2 ft
10:27.0,,,5-2,,Offensive rebound by Team
10:20.0,,,5-4,2,R. Westbrook makes 2-pt shot from 1 ft
10:14.0,A. Afflalo makes 2-pt shot from 16 ft (assist by J. Calderon),2,7-4,,
10:00.0,,,7-4,,S. Ibaka misses 2-pt shot from 17 ft
10:00.0,,,7-4,,Offensive rebound by R. Westbrook
9:51.0,,,7-6,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
9:33.0,C. Anthony misses 2-pt shot from 15 ft,,7-6,,
9:32.0,,,7-6,,Defensive rebound by R. Westbrook
9:22.0,,,7-6,,S. Adams misses 2-pt shot at rim (block by R. Lopez)
9:22.0,Defensive rebound by Team,,7-6,,
9:02.0,C. Anthony misses 2-pt shot from 12 ft,,7-6,,
9:02.0,Offensive rebound by Team,,7-6,,
9:02.0,,,7-6,,Loose ball foul by S. Adams (drawn by R. Lopez)
8:58.0,J. Calderon makes 2-pt shot from 17 ft,2,9-6,,
8:39.0,,,9-6,,R. Westbrook misses 2-pt shot from 14 ft
8:39.0,Defensive rebound by C. Anthony,,9-6,,
8:36.0,Turnover by C. Anthony (bad pass; steal by R. Westbrook),,9-6,,
8:32.0,,,9-6,,R. Westbrook misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by C. Anthony,,9-6,,
8:13.0,A. Afflalo misses 2-pt shot from 1 ft,,9-6,,
8:12.0,,,9-6,,Defensive rebound by S. Ibaka
8:03.0,,,9-8,2,D. Waiters makes 2-pt shot from 1 ft (assist by S. Ibaka)
7:58.0,,,9-8,,Violation by Team (delay of game)
7:36.0,C. Anthony misses 2-pt shot from 14 ft,,9-8,,
7:36.0,Offensive rebound by J. Calderon,,9-8,,
7:30.0,Turnover by C. Anthony (traveling),,9-8,,
7:12.0,,,9-10,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
7:01.0,J. Calderon misses 2-pt shot from 17 ft,,9-10,,
7:00.0,,,9-10,,Defensive rebound by A. Roberson
6:53.0,,,9-12,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:52.0,New York full timeout,,9-12,,
6:40.0,Shooting foul by S. Ibaka (drawn by K. Porzingis),,9-12,,
6:40.0,K. Porzingis misses free throw 1 of 2,,9-12,,
6:40.0,Offensive rebound by Team,,9-12,,
6:40.0,K. Porzingis makes free throw 2 of 2,1,10-12,,
6:33.0,,,10-12,,R. Westbrook misses 2-pt shot from 16 ft
6:33.0,Defensive rebound by C. Anthony,,10-12,,
6:11.0,C. Anthony misses 2-pt shot from 16 ft,,10-12,,
6:11.0,,,10-12,,Defensive rebound by S. Adams
5:59.0,,,10-12,,Turnover by D. Waiters (bad pass; steal by J. Calderon)
5:53.0,C. Anthony makes 2-pt shot from 1 ft (assist by A. Afflalo),2,12-12,,
5:29.0,,,12-12,,S. Adams misses 2-pt shot from 1 ft
5:29.0,Defensive rebound by J. Calderon,,12-12,,
5:19.0,R. Lopez misses 2-pt shot from 2 ft,,12-12,,
5:16.0,,,12-12,,Defensive rebound by S. Adams
5:12.0,,,12-12,,R. Westbrook misses 2-pt shot at rim
5:11.0,,,12-12,,Offensive rebound by R. Westbrook
5:08.0,,,12-12,,D. Waiters misses 3-pt shot from 24 ft
5:07.0,,,12-12,,Offensive rebound by A. Roberson
4:52.0,,,12-12,,S. Ibaka misses 2-pt shot from 1 ft (block by K. Porzingis)
4:52.0,Defensive rebound by K. Porzingis,,12-12,,
4:52.0,,,12-12,,Personal block foul by S. Adams (drawn by K. Porzingis)
4:52.0,,,12-12,,E. Kanter enters the game for S. Adams
