time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. M. Plumlee (S. Ibaka gains possession)
11:47.0,K. Durant misses 2-pt shot from 19 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by D. Lillard
11:39.0,,,0-0,,C. McCollum misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by R. Westbrook,,0-0,,
11:28.0,S. Ibaka makes 3-pt shot from 23 ft (assist by R. Westbrook),3,3-0,,
11:07.0,,,3-3,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee)
10:45.0,Turnover by S. Ibaka (lost ball; steal by N. Vonleh),,3-3,,
10:42.0,,,3-5,2,A. Aminu makes 2-pt shot at rim (assist by N. Vonleh)
10:20.0,Turnover by R. Westbrook (bad pass; steal by N. Vonleh),,3-5,,
10:12.0,,,3-5,,C. McCollum misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by S. Ibaka,,3-5,,
10:03.0,R. Westbrook misses 2-pt shot from 10 ft,,3-5,,
10:02.0,,,3-5,,Defensive rebound by Team
9:54.0,,,3-5,,Offensive foul by N. Vonleh
9:54.0,,,3-5,,Turnover by N. Vonleh (offensive foul)
9:38.0,K. Durant misses 2-pt shot from 15 ft,,3-5,,
9:37.0,,,3-5,,Defensive rebound by C. McCollum
9:31.0,,,3-5,,A. Aminu misses 2-pt shot from 22 ft
9:31.0,Defensive rebound by R. Westbrook,,3-5,,
9:25.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,5-5,,
9:01.0,,,5-5,,Turnover by Team (shot clock)
8:44.0,R. Westbrook makes 2-pt shot from 4 ft,2,7-5,,
8:35.0,Personal foul by R. Westbrook (drawn by D. Lillard),,7-5,,
8:26.0,,,7-5,,N. Vonleh misses 2-pt shot from 19 ft
8:26.0,Defensive rebound by R. Westbrook,,7-5,,
8:19.0,K. Durant makes 2-pt shot from 2 ft,2,9-5,,
8:06.0,,,9-5,,D. Lillard misses 3-pt shot from 23 ft
8:06.0,,,9-5,,Offensive rebound by Team
7:46.0,,,9-5,,Portland full timeout
7:40.0,,,9-5,,N. Vonleh misses 2-pt shot from 3 ft
7:40.0,Defensive rebound by K. Durant,,9-5,,
7:33.0,Turnover by K. Durant (traveling),,9-5,,
7:20.0,,,9-5,,M. Plumlee misses 2-pt shot from 2 ft
7:19.0,Defensive rebound by S. Ibaka,,9-5,,
7:04.0,S. Ibaka misses 2-pt shot from 3 ft (block by N. Vonleh),,9-5,,
7:04.0,,,9-5,,Defensive rebound by N. Vonleh
6:55.0,,,9-7,2,M. Plumlee makes 2-pt shot at rim
6:42.0,R. Westbrook misses 2-pt shot from 15 ft,,9-7,,
6:42.0,,,9-7,,Defensive rebound by N. Vonleh
6:32.0,,,9-7,,Shooting foul by S. Ibaka (drawn by C. McCollum)
6:32.0,,,9-8,1,C. McCollum makes free throw 1 of 2
6:32.0,,,9-9,1,C. McCollum makes free throw 2 of 2
6:17.0,Turnover by S. Adams (traveling),,9-9,,
6:06.0,,,9-9,,D. Lillard misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by Team,,9-9,,
5:58.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,11-9,,
5:41.0,,,11-12,3,D. Lillard makes 3-pt shot from 25 ft
5:28.0,R. Westbrook misses 2-pt shot at rim,,11-12,,
5:28.0,Offensive rebound by S. Adams,,11-12,,
5:23.0,K. Durant misses 2-pt shot from 12 ft,,11-12,,
5:22.0,Offensive rebound by A. Roberson,,11-12,,
5:22.0,A. Roberson makes 2-pt shot at rim,2,13-12,,
5:13.0,,,13-12,,Turnover by D. Lillard (bad pass; steal by R. Westbrook)
5:13.0,,,13-12,,Personal foul by A. Aminu (drawn by R. Westbrook)
5:13.0,,,13-12,,M. Leonard enters the game for N. Vonleh
5:13.0,,,13-12,,A. Crabbe enters the game for C. McCollum
5:07.0,,,13-12,,Personal foul by D. Lillard (drawn by R. Westbrook)
4:58.0,K. Durant misses 3-pt shot from 24 ft,,13-12,,
4:57.0,,,13-12,,Defensive rebound by D. Lillard
4:51.0,,,13-12,,Turnover by D. Lillard (traveling)
4:42.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,15-12,,
4:25.0,,,15-12,,A. Aminu misses 3-pt shot from 22 ft
4:23.0,Defensive rebound by A. Roberson,,15-12,,
4:14.0,R. Westbrook misses 2-pt shot from 2 ft,,15-12,,
4:12.0,,,15-12,,Defensive rebound by M. Leonard
4:09.0,,,15-14,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
4:09.0,,,15-14,,Shooting foul by S. Adams (drawn by M. Plumlee)
4:09.0,D. Waiters enters the game for A. Roberson,,15-14,,
4:09.0,,,15-15,1,M. Plumlee makes free throw 1 of 1
3:59.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,18-15,,
3:36.0,,,18-18,3,M. Leonard makes 3-pt shot from 24 ft (assist by A. Aminu)
3:12.0,R. Westbrook misses 3-pt shot from 24 ft,,18-18,,
3:11.0,,,18-18,,Defensive rebound by D. Lillard
3:02.0,,,18-18,,D. Lillard misses 2-pt shot from 2 ft
3:01.0,Defensive rebound by S. Adams,,18-18,,
2:56.0,,,18-18,,Personal foul by M. Plumlee (drawn by D. Waiters)
2:56.0,Oklahoma City full timeout,,18-18,,
2:56.0,E. Kanter enters the game for S. Ibaka,,18-18,,
2:56.0,,,18-18,,E. Davis enters the game for M. Plumlee
2:56.0,,,18-18,,M. Harkless enters the game for A. Aminu
2:56.0,,,18-18,,C. McCollum enters the game for D. Lillard
2:45.0,Shooting foul by E. Davis (drawn by E. Kanter),,18-18,,
2:45.0,E. Kanter misses free throw 1 of 2,,18-18,,
2:45.0,Offensive rebound by Team,,18-18,,
2:45.0,E. Kanter misses free throw 2 of 2,,18-18,,
2:44.0,Offensive rebound by S. Adams,,18-18,,
2:44.0,S. Adams makes 2-pt shot at rim,2,20-18,,
2:18.0,,,20-18,,A. Crabbe misses 2-pt shot from 15 ft
2:17.0,Defensive rebound by E. Kanter,,20-18,,
2:09.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,22-18,,
1:50.0,,,22-21,3,M. Harkless makes 3-pt shot from 22 ft (assist by C. McCollum)
1:36.0,Shooting foul by M. Leonard (drawn by K. Durant),,22-21,,
1:36.0,K. Durant makes free throw 1 of 2,1,23-21,,
1:36.0,C. Payne enters the game for R. Westbrook,,23-21,,
1:36.0,A. Morrow enters the game for S. Adams,,23-21,,
1:36.0,K. Durant makes free throw 2 of 2,1,24-21,,
1:20.0,,,24-21,,M. Harkless misses 2-pt shot from 2 ft
1:19.0,,,24-21,,Offensive rebound by E. Davis
1:19.0,,,24-21,,E. Davis misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by Team,,24-21,,
1:01.0,A. Morrow misses 3-pt shot from 24 ft,,24-21,,
1:00.0,,,24-21,,Defensive rebound by M. Harkless
0:50.0,,,24-21,,C. McCollum misses 2-pt shot from 1 ft
0:49.0,,,24-21,,Offensive rebound by E. Davis
0:49.0,,,24-23,2,E. Davis makes 2-pt shot from 1 ft
0:35.0,C. Payne misses 2-pt shot from 12 ft,,24-23,,
0:34.0,,,24-23,,Defensive rebound by E. Davis
0:22.0,,,24-26,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
0:01.0,C. Payne makes 3-pt shot from 22 ft (assist by K. Durant),3,27-26,,
0:00.0,,,27-26,,M. Leonard misses 3-pt shot from 24 ft
0:00.0,,,27-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,27-26,,E. Davis misses 2-pt shot from 6 ft
11:46.0,,,27-26,,Offensive rebound by E. Davis
11:46.0,,,27-28,2,E. Davis makes 2-pt shot from 1 ft
11:36.0,,,27-28,,Personal foul by A. Crabbe (drawn by D. Waiters)
11:33.0,,,27-28,,Personal foul by A. Crabbe (drawn by D. Waiters)
11:25.0,E. Kanter misses 2-pt shot from 1 ft,,27-28,,
11:24.0,,,27-28,,Defensive rebound by C. McCollum
11:16.0,,,27-28,,A. Crabbe misses 3-pt shot from 23 ft
11:15.0,,,27-28,,Offensive rebound by M. Leonard
11:11.0,,,27-28,,C. McCollum misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by E. Kanter,,27-28,,
11:02.0,D. Waiters makes 2-pt shot from 6 ft,2,29-28,,
10:43.0,,,29-28,,M. Leonard misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by E. Kanter,,29-28,,
10:31.0,Shooting foul by M. Leonard (drawn by D. Waiters),,29-28,,
10:31.0,D. Waiters makes free throw 1 of 2,1,30-28,,
10:31.0,D. Waiters misses free throw 2 of 2,,30-28,,
10:31.0,,,30-28,,Defensive rebound by A. Crabbe
10:19.0,,,30-28,,C. McCollum misses 2-pt shot from 7 ft
10:19.0,,,30-28,,Offensive rebound by E. Davis
10:13.0,,,30-30,2,C. McCollum makes 2-pt shot from 4 ft (assist by E. Davis)
9:56.0,C. Payne misses 2-pt shot from 20 ft,,30-30,,
9:55.0,,,30-30,,Defensive rebound by C. McCollum
9:46.0,,,30-32,2,A. Crabbe makes 2-pt shot from 18 ft (assist by E. Davis)
9:44.0,Oklahoma City full timeout,,30-32,,
9:44.0,,,30-32,,G. Henderson enters the game for A. Crabbe
9:25.0,D. Waiters makes 2-pt shot from 16 ft (assist by C. Payne),2,32-32,,
9:06.0,,,32-35,3,C. McCollum makes 3-pt shot from 23 ft
8:42.0,E. Kanter makes 2-pt shot from 9 ft (assist by N. Collison),2,34-35,,
8:25.0,,,34-37,2,G. Henderson makes 2-pt shot from 19 ft
8:06.0,N. Collison misses 2-pt shot from 17 ft,,34-37,,
8:05.0,,,34-37,,Defensive rebound by C. McCollum
8:01.0,,,34-37,,Turnover by C. McCollum (bad pass)
8:01.0,R. Westbrook enters the game for C. Payne,,34-37,,
7:48.0,A. Morrow misses 2-pt shot from 12 ft,,34-37,,
7:46.0,Offensive rebound by E. Kanter,,34-37,,
7:41.0,A. Morrow misses 3-pt shot from 22 ft,,34-37,,
7:39.0,Offensive rebound by E. Kanter,,34-37,,
7:35.0,Turnover by E. Kanter (traveling),,34-37,,
7:35.0,,,34-37,,D. Lillard enters the game for C. McCollum
7:17.0,,,34-37,,M. Leonard misses 3-pt shot from 22 ft
7:16.0,Defensive rebound by R. Westbrook,,34-37,,
7:10.0,Offensive foul by E. Kanter,,34-37,,
7:10.0,Turnover by E. Kanter (offensive foul),,34-37,,
7:10.0,Technical foul by E. Kanter,,34-37,,
7:10.0,,,34-37,,D. Lillard misses technical free throw
7:10.0,,,34-37,,Offensive rebound by Team
7:10.0,K. Durant enters the game for N. Collison,,34-37,,
7:10.0,S. Adams enters the game for E. Kanter,,34-37,,
6:59.0,,,34-37,,M. Harkless misses 2-pt shot at rim
6:59.0,Defensive rebound by S. Adams,,34-37,,
6:51.0,R. Westbrook misses 2-pt shot from 18 ft,,34-37,,
6:51.0,,,34-37,,Defensive rebound by E. Davis
6:40.0,,,34-37,,M. Leonard misses 3-pt shot from 23 ft
6:39.0,,,34-37,,Offensive rebound by D. Lillard
6:28.0,,,34-39,2,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard)
6:12.0,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook),2,36-39,,
6:12.0,Shooting foul by D. Lillard (drawn by K. Durant),,36-39,,
6:12.0,,,36-39,,A. Aminu enters the game for M. Leonard
6:12.0,K. Durant makes free throw 1 of 1,1,37-39,,
5:56.0,,,37-39,,Turnover by G. Henderson (lost ball; steal by A. Morrow)
5:53.0,Turnover by D. Waiters (lost ball),,37-39,,
5:53.0,Official timeout,,37-39,,
5:53.0,S. Ibaka enters the game for A. Morrow,,37-39,,
5:53.0,,,37-39,,M. Plumlee enters the game for E. Davis
5:41.0,,,37-41,2,G. Henderson makes 2-pt shot from 18 ft (assist by M. Plumlee)
5:23.0,Shooting foul by A. Aminu (drawn by S. Adams),,37-41,,
5:23.0,S. Adams makes free throw 1 of 2,1,38-41,,
5:23.0,K. Singler enters the game for D. Waiters,,38-41,,
5:23.0,S. Adams makes free throw 2 of 2,1,39-41,,
5:13.0,Personal foul by K. Singler (drawn by G. Henderson),,39-41,,
5:05.0,,,39-44,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
4:39.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook),2,41-44,,
4:30.0,,,41-44,,Turnover by D. Lillard (traveling)
4:30.0,,,41-44,,E. Davis enters the game for M. Harkless
4:12.0,K. Singler misses 2-pt shot from 14 ft,,41-44,,
4:11.0,,,41-44,,Defensive rebound by D. Lillard
3:59.0,,,41-44,,A. Aminu misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by S. Ibaka,,41-44,,
3:49.0,Turnover by R. Westbrook (bad pass; steal by D. Lillard),,41-44,,
3:43.0,Personal foul by R. Westbrook (drawn by D. Lillard),,41-44,,
3:30.0,,,41-46,2,A. Aminu makes 2-pt shot from 2 ft (assist by D. Lillard)
3:12.0,R. Westbrook misses 2-pt shot from 15 ft,,41-46,,
3:11.0,,,41-46,,Defensive rebound by M. Plumlee
3:06.0,,,41-48,2,A. Aminu makes 2-pt shot at rim (assist by G. Henderson)
3:06.0,,,41-48,,Shooting foul by K. Singler (drawn by A. Aminu)
3:06.0,Oklahoma City full timeout,,41-48,,
3:06.0,A. Roberson enters the game for K. Singler,,41-48,,
3:06.0,,,41-48,,A. Aminu misses free throw 1 of 1
3:05.0,Defensive rebound by A. Roberson,,41-48,,
2:52.0,K. Durant misses 2-pt shot from 9 ft,,41-48,,
2:51.0,,,41-48,,Defensive rebound by A. Aminu
2:38.0,,,41-50,2,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard)
2:22.0,K. Durant misses 3-pt shot from 26 ft,,41-50,,
2:21.0,,,41-50,,Defensive rebound by D. Lillard
2:05.0,,,41-50,,G. Henderson misses 3-pt shot from 22 ft
2:05.0,,,41-50,,Offensive rebound by M. Plumlee
1:41.0,,,41-50,,G. Henderson misses 2-pt shot from 15 ft
1:40.0,Defensive rebound by S. Adams,,41-50,,
1:31.0,K. Durant misses 2-pt shot from 1 ft,,41-50,,
1:30.0,,,41-50,,Defensive rebound by M. Plumlee
1:25.0,,,41-50,,Turnover by D. Lillard (bad pass; steal by A. Roberson)
1:20.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,43-50,,
1:20.0,Shooting foul by E. Davis (drawn by A. Roberson),,43-50,,
1:20.0,,,43-50,,C. McCollum enters the game for G. Henderson
1:20.0,A. Roberson makes free throw 1 of 1,1,44-50,,
1:06.0,,,44-50,,M. Plumlee misses 2-pt shot from 5 ft
1:06.0,,,44-50,,Offensive rebound by M. Plumlee
1:06.0,,,44-50,,Turnover by M. Plumlee (lost ball)
0:56.0,R. Westbrook misses 2-pt shot from 3 ft,,44-50,,
0:56.0,,,44-50,,Defensive rebound by C. McCollum
0:48.0,,,44-50,,A. Aminu misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by R. Westbrook,,44-50,,
0:43.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,46-50,,
0:30.0,,,46-50,,C. McCollum misses 2-pt shot from 4 ft (block by A. Roberson)
0:30.0,,,46-50,,Offensive rebound by E. Davis
0:30.0,,,46-50,,Shooting foul by S. Ibaka (drawn by E. Davis)
0:30.0,,,46-51,1,E. Davis makes free throw 1 of 2
0:30.0,,,46-51,,G. Henderson enters the game for D. Lillard
0:30.0,,,46-52,1,E. Davis makes free throw 2 of 2
0:12.0,Turnover by K. Durant (step out of bounds),,46-52,,
0:12.0,,,46-52,,D. Lillard enters the game for G. Henderson
0:12.0,,,46-52,,M. Leonard enters the game for E. Davis
