time,New York,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: T. Chandler vs. R. Lopez (K. Porzingis gains possession)
11:39.0,C. Anthony misses 2-pt shot from 19 ft,,0-0,,
11:37.0,Offensive rebound by R. Lopez,,0-0,,
11:37.0,R. Lopez misses 2-pt shot from 1 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Team
11:25.0,,,0-0,,Turnover by T. Chandler (traveling)
11:04.0,R. Lopez misses 2-pt shot from 8 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by A. Len
10:48.0,,,0-0,,R. Price misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by K. Porzingis,,0-0,,
10:32.0,S. Vujacic makes 2-pt shot from 22 ft (assist by J. Calderon),2,2-0,,
10:16.0,,,2-2,2,D. Booker makes 2-pt shot at rim
9:54.0,R. Lopez misses 2-pt shot from 7 ft,,2-2,,
9:52.0,,,2-2,,Defensive rebound by T. Chandler
9:31.0,,,2-2,,A. Len misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by C. Anthony,,2-2,,
9:12.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Calderon),3,5-2,,
8:52.0,,,5-2,,Turnover by A. Len (traveling)
8:33.0,R. Lopez makes 2-pt shot from 6 ft,2,7-2,,
8:16.0,,,7-2,,D. Booker misses 2-pt shot from 11 ft
8:15.0,Defensive rebound by R. Lopez,,7-2,,
8:07.0,J. Calderon misses 3-pt shot from 25 ft,,7-2,,
8:07.0,Offensive rebound by Team,,7-2,,
8:07.0,,,7-2,,Loose ball foul by A. Len
7:49.0,K. Porzingis misses 2-pt shot from 4 ft,,7-2,,
7:48.0,,,7-2,,Defensive rebound by A. Len
7:41.0,,,7-4,2,P. Tucker makes 2-pt shot at rim
7:28.0,Shooting foul by A. Len (drawn by S. Vujacic),,7-4,,
7:28.0,S. Vujacic misses free throw 1 of 2,,7-4,,
7:28.0,Offensive rebound by Team,,7-4,,
7:28.0,,,7-4,,M. Teletovic enters the game for A. Len
7:28.0,S. Vujacic makes free throw 2 of 2,1,8-4,,
7:13.0,,,8-4,,Shooting foul by S. Vujacic (drawn by M. Teletovic)
7:13.0,,,8-4,,M. Teletovic misses free throw 1 of 2
7:13.0,,,8-4,,Offensive rebound by Team
7:13.0,,,8-4,,M. Teletovic misses free throw 2 of 2
7:12.0,Defensive rebound by R. Lopez,,8-4,,
6:59.0,Shooting foul by D. Booker (drawn by K. Porzingis),,8-4,,
6:59.0,K. Porzingis makes free throw 1 of 2,1,9-4,,
6:59.0,K. Porzingis makes free throw 2 of 2,1,10-4,,
6:37.0,,,10-4,,P. Tucker misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by S. Vujacic,,10-4,,
6:32.0,,,10-4,,Personal foul by P. Tucker
6:22.0,R. Lopez makes 2-pt shot from 5 ft,2,12-4,,
6:00.0,,,12-4,,P. Tucker misses 2-pt shot from 18 ft
5:59.0,Defensive rebound by J. Calderon,,12-4,,
5:53.0,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon),3,15-4,,
5:53.0,,,15-4,,Phoenix full timeout
5:38.0,,,15-7,3,D. Booker makes 3-pt shot from 25 ft
5:16.0,K. Porzingis misses 2-pt shot from 6 ft,,15-7,,
5:15.0,Offensive rebound by R. Lopez,,15-7,,
5:13.0,R. Lopez makes 2-pt shot from 2 ft,2,17-7,,
4:51.0,,,17-7,,D. Booker misses 3-pt shot from 26 ft
4:51.0,Defensive rebound by Team,,17-7,,
4:33.0,C. Anthony makes 2-pt shot from 18 ft,2,19-7,,
4:21.0,,,19-7,,Shooting foul by K. Porzingis (drawn by D. Booker)
4:21.0,,,19-7,,D. Booker misses free throw 1 of 2
4:21.0,,,19-7,,Offensive rebound by Team
4:21.0,L. Galloway enters the game for S. Vujacic,,19-7,,
4:21.0,,,19-8,1,D. Booker makes free throw 2 of 2
4:08.0,Turnover by J. Calderon (lost ball; steal by R. Price),,19-8,,
4:04.0,,,19-10,2,R. Price makes 2-pt shot at rim
3:47.0,J. Calderon makes 2-pt shot from 9 ft,2,21-10,,
3:24.0,,,21-10,,M. Teletovic misses 3-pt shot from 28 ft
3:23.0,Defensive rebound by Team,,21-10,,
3:09.0,K. Porzingis misses 2-pt shot from 21 ft,,21-10,,
3:08.0,,,21-10,,Defensive rebound by T. Chandler
3:04.0,,,21-12,2,M. Teletovic makes 2-pt shot from 2 ft
3:04.0,Shooting block foul by K. Porzingis (drawn by M. Teletovic),,21-12,,
3:04.0,D. Williams enters the game for K. Porzingis,,21-12,,
3:04.0,K. O'Quinn enters the game for R. Lopez,,21-12,,
3:04.0,,,21-13,1,M. Teletovic makes free throw 1 of 1
2:53.0,L. Galloway misses 2-pt shot from 20 ft,,21-13,,
2:52.0,,,21-13,,Defensive rebound by T. Chandler
2:40.0,Personal foul by L. Galloway,,21-13,,
2:40.0,New York full timeout,,21-13,,
2:34.0,,,21-13,,Turnover by R. Price (lost ball; steal by K. O'Quinn)
2:26.0,C. Anthony makes 2-pt shot from 17 ft,2,23-13,,
2:08.0,,,23-13,,M. Teletovic misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by K. O'Quinn,,23-13,,
1:52.0,Offensive foul by K. O'Quinn,,23-13,,
1:52.0,Turnover by K. O'Quinn (offensive foul),,23-13,,
1:52.0,,,23-13,,A. Goodwin enters the game for R. Price
1:52.0,S. Vujacic enters the game for C. Anthony,,23-13,,
1:41.0,,,23-15,2,D. Booker makes 2-pt shot from 20 ft
1:19.0,Turnover by S. Vujacic (lost ball; steal by M. Teletovic),,23-15,,
1:12.0,,,23-15,,M. Teletovic misses 2-pt shot from 19 ft
1:10.0,Defensive rebound by L. Galloway,,23-15,,
1:06.0,S. Vujacic makes 3-pt shot from 26 ft (assist by L. Galloway),3,26-15,,
0:51.0,,,26-17,2,D. Booker makes 2-pt shot at rim
0:36.0,D. Williams misses 2-pt shot from 4 ft,,26-17,,
0:35.0,,,26-17,,Defensive rebound by Team
0:22.0,,,26-19,2,A. Goodwin makes 2-pt shot from 1 ft
0:02.0,S. Vujacic makes 3-pt shot from 24 ft (assist by J. Calderon),3,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,29-19,,D. Booker misses 3-pt shot from 24 ft
11:47.0,Defensive rebound by K. O'Quinn,,29-19,,
11:28.0,L. Galloway misses 2-pt shot from 18 ft,,29-19,,
11:27.0,Offensive rebound by Team,,29-19,,
11:24.0,Shooting foul by M. Teletovic (drawn by K. O'Quinn),,29-19,,
11:24.0,K. O'Quinn makes free throw 1 of 2,1,30-19,,
11:24.0,K. O'Quinn makes free throw 2 of 2,1,31-19,,
11:11.0,,,31-19,,A. Len misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by D. Williams,,31-19,,
11:02.0,Turnover by D. Williams (traveling),,31-19,,
10:49.0,,,31-19,,M. Teletovic misses 2-pt shot from 17 ft
10:46.0,Defensive rebound by L. Galloway,,31-19,,
10:40.0,Shooting foul by A. Goodwin (drawn by J. Grant),,31-19,,
10:40.0,J. Grant makes free throw 1 of 2,1,32-19,,
10:40.0,J. Grant makes free throw 2 of 2,1,33-19,,
10:21.0,,,33-21,2,A. Len makes 2-pt shot from 4 ft
10:06.0,,,33-21,,Personal foul by J. Jenkins
9:57.0,J. Grant makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,35-21,,
9:53.0,Personal foul by K. O'Quinn,,35-21,,
9:49.0,,,35-21,,A. Len misses 2-pt shot from 19 ft
9:48.0,Defensive rebound by J. Grant,,35-21,,
9:27.0,L. Galloway misses 2-pt shot from 18 ft,,35-21,,
9:25.0,,,35-21,,Defensive rebound by M. Teletovic
9:12.0,Personal foul by J. Grant,,35-21,,
9:12.0,R. Lopez enters the game for K. O'Quinn,,35-21,,
9:12.0,J. Calderon enters the game for L. Galloway,,35-21,,
9:12.0,C. Anthony enters the game for D. Williams,,35-21,,
9:06.0,,,35-21,,M. Teletovic misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by S. Vujacic,,35-21,,
8:58.0,Shooting foul by M. Teletovic (drawn by R. Lopez),,35-21,,
8:58.0,Official timeout,,35-21,,
8:58.0,,,35-21,,R. Price enters the game for D. Booker
8:58.0,,,35-21,,J. Leuer enters the game for M. Teletovic
8:58.0,R. Lopez makes free throw 1 of 2,1,36-21,,
8:58.0,R. Lopez misses free throw 2 of 2,,36-21,,
8:57.0,,,36-21,,Defensive rebound by A. Goodwin
8:38.0,,,36-21,,Shooting foul by R. Lopez (drawn by A. Len)
8:38.0,,,36-22,1,A. Len makes free throw 1 of 2
8:38.0,K. Porzingis enters the game for S. Vujacic,,36-22,,
8:38.0,,,36-23,1,A. Len makes free throw 2 of 2
8:22.0,K. Porzingis misses 2-pt shot from 10 ft,,36-23,,
8:21.0,Offensive rebound by C. Anthony,,36-23,,
8:19.0,C. Anthony makes 2-pt shot from 1 ft,2,38-23,,
8:10.0,,,38-26,3,J. Jenkins makes 3-pt shot from 25 ft (assist by R. Price)
7:52.0,C. Anthony makes 2-pt shot from 3 ft,2,40-26,,
7:36.0,,,40-26,,A. Len misses 2-pt shot from 3 ft (block by R. Lopez)
7:35.0,Defensive rebound by R. Lopez,,40-26,,
7:26.0,J. Calderon misses 2-pt shot from 17 ft,,40-26,,
7:25.0,,,40-26,,Defensive rebound by J. Leuer
7:24.0,,,40-26,,Turnover by J. Leuer (traveling)
7:24.0,,,40-26,,P. Tucker enters the game for A. Goodwin
7:15.0,J. Grant makes 2-pt shot from 1 ft,2,42-26,,
7:00.0,,,42-28,2,J. Leuer makes 2-pt shot at rim
