time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Noel (D. Sloan gains possession),,,,Jump ball: B. Lopez vs. N. Noel (D. Sloan gains possession)
11:50.0,B. Lopez makes 2-pt shot at rim (assist by D. Sloan),2,2-0,,
11:30.0,,,2-0,,N. Noel misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by W. Ellington,,2-0,,
11:11.0,B. Lopez misses 2-pt shot at rim (block by N. Noel),,2-0,,
11:09.0,,,2-0,,Defensive rebound by J. Grant
10:56.0,,,2-0,,J. Grant misses 2-pt shot from 7 ft (block by B. Lopez)
10:54.0,Defensive rebound by D. Sloan,,2-0,,
10:51.0,W. Ellington misses 3-pt shot from 28 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by N. Noel
10:41.0,,,2-3,3,R. Covington makes 3-pt shot from 26 ft (assist by N. Noel)
10:27.0,M. Brown misses 2-pt shot from 1 ft,,2-3,,
10:26.0,,,2-3,,Defensive rebound by H. Thompson
10:15.0,,,2-6,3,H. Thompson makes 3-pt shot from 24 ft (assist by J. Grant)
9:59.0,T. Young misses 2-pt shot from 16 ft,,2-6,,
9:58.0,,,2-6,,Defensive rebound by N. Noel
9:44.0,,,2-8,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
9:34.0,D. Sloan misses 2-pt shot from 2 ft,,2-8,,
9:33.0,,,2-8,,Defensive rebound by I. Smith
9:27.0,,,2-8,,H. Thompson misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by T. Young,,2-8,,
9:18.0,M. Brown misses 2-pt shot from 2 ft,,2-8,,
9:17.0,,,2-8,,Defensive rebound by R. Covington
9:10.0,,,2-8,,H. Thompson misses 3-pt shot from 26 ft
9:08.0,Defensive rebound by B. Lopez,,2-8,,
8:41.0,T. Young misses 2-pt shot from 8 ft,,2-8,,
8:40.0,,,2-8,,Defensive rebound by N. Noel
8:31.0,,,2-8,,I. Smith misses 2-pt shot from 1 ft
8:30.0,,,2-8,,Offensive rebound by I. Smith
8:24.0,,,2-10,2,N. Noel makes 2-pt shot at rim (assist by H. Thompson)
8:24.0,Brooklyn full timeout,,2-10,,
8:09.0,B. Lopez makes 2-pt shot from 4 ft (assist by W. Ellington),2,4-10,,
7:55.0,,,4-13,3,R. Covington makes 3-pt shot from 27 ft (assist by I. Smith)
7:34.0,B. Lopez makes 2-pt shot from 18 ft,2,6-13,,
7:20.0,,,6-15,2,H. Thompson makes 2-pt shot from 20 ft (assist by I. Smith)
7:15.0,Turnover by W. Ellington (bad pass),,6-15,,
7:06.0,,,6-17,2,H. Thompson makes 2-pt shot from 1 ft (assist by N. Noel)
6:47.0,B. Lopez misses 2-pt shot from 14 ft,,6-17,,
6:45.0,,,6-17,,Defensive rebound by R. Covington
6:37.0,,,6-17,,Turnover by N. Noel (lost ball; steal by W. Ellington)
6:32.0,W. Ellington misses 2-pt shot from 1 ft,,6-17,,
6:30.0,Offensive rebound by T. Young,,6-17,,
6:30.0,T. Young makes 2-pt shot at rim,2,8-17,,
6:11.0,,,8-19,2,J. Grant makes 2-pt shot from 2 ft (assist by I. Smith)
5:58.0,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan),2,10-19,,
5:57.0,,,10-19,,Philadelphia full timeout
5:48.0,,,10-19,,Turnover by N. Noel (lost ball; steal by T. Young)
5:40.0,T. Young misses 2-pt shot from 20 ft,,10-19,,
5:39.0,,,10-19,,Defensive rebound by N. Noel
5:27.0,,,10-19,,N. Noel misses 2-pt shot from 14 ft
5:24.0,,,10-19,,Offensive rebound by H. Thompson
5:23.0,,,10-21,2,H. Thompson makes 2-pt shot at rim
5:08.0,T. Young misses 2-pt shot from 2 ft (block by J. Grant),,10-21,,
5:07.0,Offensive rebound by Team,,10-21,,
5:07.0,,,10-21,,I. Canaan enters the game for H. Thompson
5:02.0,B. Lopez misses 2-pt shot from 7 ft,,10-21,,
5:00.0,,,10-21,,Defensive rebound by N. Noel
4:47.0,,,10-21,,J. Grant misses 3-pt shot from 22 ft
4:46.0,Defensive rebound by M. Brown,,10-21,,
4:28.0,M. Brown makes 3-pt shot from 23 ft (assist by W. Ellington),3,13-21,,
4:14.0,,,13-21,,Shooting foul by T. Young (drawn by J. Grant)
4:14.0,,,13-22,1,J. Grant makes free throw 1 of 2
4:14.0,,,13-22,,N. Stauskas enters the game for R. Covington
4:14.0,,,13-22,,R. Holmes enters the game for N. Noel
4:14.0,,,13-23,1,J. Grant makes free throw 2 of 2
4:01.0,Turnover by T. Young (lost ball),,13-23,,
3:49.0,,,13-23,,J. Grant misses 2-pt shot from 17 ft
3:48.0,Defensive rebound by W. Ellington,,13-23,,
3:27.0,D. Sloan misses 3-pt shot from 25 ft,,13-23,,
3:25.0,,,13-23,,Defensive rebound by I. Canaan
3:14.0,,,13-23,,R. Holmes misses 2-pt shot from 1 ft (block by B. Lopez)
3:12.0,Defensive rebound by D. Sloan,,13-23,,
3:05.0,Shooting foul by J. Grant (drawn by T. Young),,13-23,,
3:05.0,T. Young makes free throw 1 of 2,1,14-23,,
3:05.0,,,14-23,,T. McConnell enters the game for I. Smith
3:05.0,S. Karasev enters the game for W. Ellington,,14-23,,
3:05.0,S. Kilpatrick enters the game for M. Brown,,14-23,,
3:05.0,S. Larkin enters the game for D. Sloan,,14-23,,
3:05.0,,,14-23,,C. Landry enters the game for J. Grant
3:05.0,T. Young makes free throw 2 of 2,1,15-23,,
2:59.0,,,15-23,,Offensive foul by R. Holmes
2:59.0,,,15-23,,Turnover by R. Holmes (offensive foul)
2:37.0,S. Karasev misses 2-pt shot from 20 ft,,15-23,,
2:35.0,,,15-23,,Defensive rebound by I. Canaan
2:30.0,,,15-25,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
2:11.0,Turnover by S. Karasev (lost ball; steal by R. Holmes),,15-25,,
2:05.0,,,15-25,,Turnover by N. Stauskas (bad pass)
1:47.0,S. Kilpatrick makes 2-pt shot from 11 ft,2,17-25,,
1:29.0,,,17-25,,R. Holmes misses 2-pt shot from 3 ft
1:27.0,Defensive rebound by S. Karasev,,17-25,,
1:26.0,Shooting foul by T. McConnell (drawn by S. Kilpatrick),,17-25,,
1:26.0,S. Kilpatrick makes free throw 1 of 2,1,18-25,,
1:26.0,T. Robinson enters the game for B. Lopez,,18-25,,
1:26.0,S. Kilpatrick makes free throw 2 of 2,1,19-25,,
1:08.0,,,19-27,2,T. McConnell makes 2-pt shot from 17 ft (assist by C. Landry)
0:46.0,T. Young misses 2-pt shot from 6 ft,,19-27,,
0:45.0,,,19-27,,Defensive rebound by I. Canaan
0:37.0,,,19-27,,I. Canaan misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by T. Robinson,,19-27,,
0:24.0,T. Young makes 2-pt shot from 17 ft (assist by S. Larkin),2,21-27,,
0:04.0,Personal foul by T. Robinson,,21-27,,
0:04.0,C. McCullough enters the game for T. Young,,21-27,,
0:00.0,,,21-27,,R. Holmes misses 2-pt shot from 2 ft
0:00.0,,,21-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,21-27,,Offensive foul by C. Landry
11:48.0,,,21-27,,Turnover by C. Landry (offensive foul)
11:31.0,S. Kilpatrick makes 2-pt shot from 17 ft,2,23-27,,
11:07.0,,,23-29,2,C. Landry makes 2-pt shot from 1 ft (assist by T. McConnell)
10:47.0,S. Larkin misses 2-pt shot from 3 ft,,23-29,,
10:45.0,,,23-29,,Defensive rebound by C. Landry
10:31.0,,,23-29,,Turnover by N. Stauskas (bad pass)
10:21.0,C. McCullough misses 2-pt shot from 13 ft,,23-29,,
10:19.0,,,23-29,,Defensive rebound by C. Landry
10:10.0,,,23-32,3,T. McConnell makes 3-pt shot from 25 ft
9:54.0,S. Larkin misses 3-pt shot from 25 ft,,23-32,,
9:52.0,,,23-32,,Defensive rebound by N. Stauskas
9:45.0,,,23-32,,Shooting foul by S. Karasev (drawn by N. Stauskas)
9:45.0,,,23-33,1,N. Stauskas makes free throw 1 of 2
9:45.0,,,23-33,,N. Noel enters the game for R. Holmes
9:45.0,,,23-34,1,N. Stauskas makes free throw 2 of 2
9:31.0,Turnover by S. Larkin (lost ball; steal by N. Noel),,23-34,,
9:24.0,,,23-36,2,I. Canaan makes 2-pt shot at rim (assist by T. McConnell)
9:24.0,Brooklyn full timeout,,23-36,,
9:10.0,Offensive foul by S. Kilpatrick,,23-36,,
9:10.0,Turnover by S. Kilpatrick (offensive foul),,23-36,,
8:56.0,,,23-36,,C. Landry misses 2-pt shot from 1 ft (block by C. McCullough)
8:56.0,,,23-36,,Offensive rebound by Team
8:55.0,Personal foul by S. Larkin,,23-36,,
8:41.0,,,23-36,,T. McConnell misses 2-pt shot from 16 ft
8:40.0,,,23-36,,Offensive rebound by T. McConnell
8:35.0,,,23-36,,Offensive charge foul by N. Noel
8:35.0,,,23-36,,Turnover by N. Noel (offensive foul)
8:22.0,T. Robinson misses 2-pt shot from 13 ft,,23-36,,
8:21.0,,,23-36,,Defensive rebound by C. Landry
8:10.0,,,23-36,,Turnover by N. Stauskas (lost ball; steal by S. Larkin)
8:03.0,S. Karasev makes 3-pt shot from 24 ft (assist by S. Larkin),3,26-36,,
7:44.0,,,26-36,,Shooting foul by T. Robinson (drawn by N. Stauskas)
7:44.0,,,26-36,,N. Stauskas misses free throw 1 of 2
7:44.0,,,26-36,,Offensive rebound by Team
7:44.0,,,26-36,,H. Thompson enters the game for I. Canaan
7:44.0,T. Young enters the game for C. McCullough,,26-36,,
7:44.0,,,26-37,1,N. Stauskas makes free throw 2 of 2
7:30.0,T. Young makes 2-pt shot from 17 ft (assist by S. Karasev),2,28-37,,
7:10.0,,,28-37,,N. Stauskas misses 3-pt shot from 27 ft
7:09.0,,,28-37,,Offensive rebound by Team
7:09.0,,,28-37,,R. Covington enters the game for N. Stauskas
7:09.0,,,28-37,,J. Grant enters the game for C. Landry
7:00.0,,,28-37,,H. Thompson misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by T. Robinson,,28-37,,
6:51.0,Turnover by S. Kilpatrick (lost ball; steal by H. Thompson),,28-37,,
6:47.0,M. Brown enters the game for S. Karasev,,28-37,,
6:41.0,,,28-40,3,R. Covington makes 3-pt shot from 24 ft (assist by J. Grant)
6:23.0,S. Larkin misses 2-pt shot from 17 ft,,28-40,,
6:22.0,,,28-40,,Defensive rebound by R. Covington
6:06.0,,,28-40,,H. Thompson misses 3-pt shot from 24 ft
6:04.0,,,28-40,,Offensive rebound by J. Grant
6:03.0,,,28-40,,J. Grant misses 2-pt shot from 3 ft
6:01.0,Defensive rebound by T. Young,,28-40,,
5:57.0,Shooting foul by H. Thompson (drawn by T. Young),,28-40,,
5:57.0,Official timeout,,28-40,,
5:57.0,,,28-40,,I. Smith enters the game for T. McConnell
5:57.0,B. Lopez enters the game for T. Robinson,,28-40,,
5:57.0,D. Sloan enters the game for S. Larkin,,28-40,,
5:57.0,T. Young misses free throw 1 of 2,,28-40,,
5:57.0,Offensive rebound by Team,,28-40,,
5:57.0,T. Young makes free throw 2 of 2,1,29-40,,
5:44.0,,,29-42,2,N. Noel makes 2-pt shot from 2 ft (assist by H. Thompson)
5:24.0,M. Brown makes 2-pt shot from 1 ft (assist by B. Lopez),2,31-42,,
5:11.0,,,31-44,2,I. Smith makes 2-pt shot from 4 ft
4:53.0,T. Young misses 2-pt shot from 4 ft (block by J. Grant),,31-44,,
4:51.0,,,31-44,,Defensive rebound by I. Smith
4:40.0,,,31-44,,J. Grant misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by D. Sloan,,31-44,,
4:28.0,D. Sloan misses 3-pt shot from 24 ft,,31-44,,
4:26.0,,,31-44,,Defensive rebound by N. Noel
4:12.0,,,31-47,3,R. Covington makes 3-pt shot from 24 ft (assist by H. Thompson)
3:54.0,T. Young misses 2-pt shot from 3 ft,,31-47,,
3:51.0,,,31-47,,Defensive rebound by I. Smith
3:36.0,,,31-47,,Turnover by J. Grant (lost ball; steal by T. Young)
3:31.0,T. Young misses 2-pt shot from 2 ft,,31-47,,
3:28.0,,,31-47,,Defensive rebound by R. Covington
3:23.0,,,31-47,,Philadelphia full timeout
3:23.0,W. Ellington enters the game for S. Kilpatrick,,31-47,,
3:13.0,,,31-47,,R. Covington misses 2-pt shot from 4 ft
3:12.0,,,31-47,,Offensive rebound by N. Noel
3:12.0,,,31-49,2,N. Noel makes 2-pt shot at rim
2:55.0,B. Lopez makes 2-pt shot from 17 ft (assist by D. Sloan),2,33-49,,
2:46.0,,,33-52,3,I. Smith makes 3-pt shot from 22 ft
2:25.0,D. Sloan makes 3-pt shot from 25 ft (assist by W. Ellington),3,36-52,,
2:14.0,,,36-52,,Shooting foul by M. Brown (drawn by J. Grant)
2:14.0,,,36-52,,J. Grant misses free throw 1 of 2
2:14.0,,,36-52,,Offensive rebound by Team
2:14.0,,,36-52,,I. Canaan enters the game for H. Thompson
2:14.0,,,36-52,,R. Holmes enters the game for N. Noel
2:14.0,,,36-53,1,J. Grant makes free throw 2 of 2
2:01.0,B. Lopez makes 2-pt shot from 19 ft (assist by D. Sloan),2,38-53,,
1:43.0,,,38-53,,Turnover by R. Holmes (bad pass)
1:34.0,D. Sloan makes 2-pt shot from 1 ft,2,40-53,,
1:34.0,Shooting foul by I. Smith (drawn by D. Sloan),,40-53,,
1:34.0,,,40-53,,H. Thompson enters the game for J. Grant
1:34.0,D. Sloan makes free throw 1 of 1,1,41-53,,
1:22.0,,,41-53,,I. Smith misses 2-pt shot from 12 ft
1:20.0,Defensive rebound by M. Brown,,41-53,,
1:13.0,D. Sloan makes 2-pt shot from 16 ft,2,43-53,,
0:55.0,,,43-53,,R. Covington misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by B. Lopez,,43-53,,
0:47.0,M. Brown misses 2-pt shot from 16 ft,,43-53,,
0:44.0,,,43-53,,Defensive rebound by H. Thompson
0:40.0,,,43-53,,Philadelphia full timeout
0:36.0,,,43-53,,R. Holmes misses 2-pt shot from 2 ft
0:34.0,Defensive rebound by D. Sloan,,43-53,,
0:30.0,W. Ellington makes 2-pt shot from 15 ft (assist by D. Sloan),2,45-53,,
0:06.0,,,45-53,,I. Smith misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by B. Lopez,,45-53,,
0:00.0,M. Brown misses 3-pt shot from 32 ft,,45-53,,
0:00.0,Offensive rebound by Team,,45-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,45-55,2,H. Thompson makes 2-pt shot from 22 ft (assist by I. Smith)
11:17.0,B. Lopez misses 2-pt shot from 11 ft,,45-55,,
11:15.0,,,45-55,,Defensive rebound by N. Noel
11:10.0,,,45-55,,R. Covington misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by D. Sloan,,45-55,,
11:03.0,,,45-55,,Personal foul by N. Noel
10:58.0,Turnover by M. Brown (bad pass),,45-55,,
10:46.0,,,45-55,,N. Noel misses 2-pt shot from 16 ft
10:44.0,Defensive rebound by M. Brown,,45-55,,
10:28.0,W. Ellington makes 2-pt shot from 17 ft,2,47-55,,
10:11.0,,,47-57,2,I. Smith makes 2-pt shot from 1 ft (assist by J. Grant)
9:52.0,T. Young misses 2-pt shot from 2 ft,,47-57,,
9:50.0,,,47-57,,Defensive rebound by I. Smith
9:44.0,,,47-57,,H. Thompson misses 2-pt shot from 20 ft
9:40.0,Defensive rebound by D. Sloan,,47-57,,
9:40.0,,,47-57,,Philadelphia full timeout
9:40.0,,,47-57,,C. Landry enters the game for J. Grant
9:40.0,,,47-57,,I. Canaan enters the game for R. Covington
9:40.0,,,47-57,,Personal foul by I. Smith
9:30.0,B. Lopez misses 2-pt shot from 7 ft,,47-57,,
9:28.0,,,47-57,,Defensive rebound by Team
9:05.0,,,47-59,2,C. Landry makes 2-pt shot from 18 ft (assist by I. Canaan)
8:55.0,,,47-59,,Personal foul by I. Canaan
8:42.0,W. Ellington misses 2-pt shot from 19 ft,,47-59,,
8:40.0,,,47-59,,Defensive rebound by H. Thompson
8:30.0,,,47-61,2,C. Landry makes 2-pt shot from 2 ft
8:16.0,,,47-61,,Personal foul by N. Noel
8:12.0,Shooting foul by I. Canaan (drawn by D. Sloan),,47-61,,
8:12.0,D. Sloan makes free throw 1 of 2,1,48-61,,
8:12.0,D. Sloan makes free throw 2 of 2,1,49-61,,
8:07.0,,,49-63,2,I. Canaan makes 2-pt shot from 1 ft (assist by I. Smith)
7:41.0,W. Ellington misses 2-pt shot from 18 ft,,49-63,,
7:40.0,,,49-63,,Defensive rebound by C. Landry
7:21.0,Personal foul by W. Ellington,,49-63,,
7:21.0,S. Karasev enters the game for M. Brown,,49-63,,
7:11.0,,,49-63,,Shooting foul by T. Young (drawn by N. Noel)
7:11.0,,,49-63,,N. Noel misses free throw 1 of 2
7:11.0,,,49-63,,Offensive rebound by Team
7:11.0,,,49-64,1,N. Noel makes free throw 2 of 2
7:00.0,S. Karasev misses 2-pt shot from 20 ft,,49-64,,
6:57.0,Offensive rebound by B. Lopez,,49-64,,
6:50.0,B. Lopez makes 2-pt shot from 1 ft (assist by T. Young),2,51-64,,
6:44.0,,,51-66,2,I. Smith makes 2-pt shot from 2 ft
6:20.0,B. Lopez makes 2-pt shot from 2 ft (assist by W. Ellington),2,53-66,,
6:07.0,,,53-66,,Turnover by N. Noel (lost ball; steal by D. Sloan)
6:02.0,S. Karasev misses 2-pt shot from 1 ft (block by N. Noel),,53-66,,
6:00.0,Offensive rebound by D. Sloan,,53-66,,
5:59.0,D. Sloan misses 2-pt shot from 2 ft (block by N. Noel),,53-66,,
5:57.0,Offensive rebound by T. Young,,53-66,,
5:49.0,B. Lopez misses 2-pt shot from 1 ft,,53-66,,
5:47.0,Offensive rebound by S. Karasev,,53-66,,
5:47.0,S. Karasev misses 2-pt shot from 1 ft,,53-66,,
5:46.0,,,53-66,,Defensive rebound by C. Landry
5:28.0,,,53-66,,H. Thompson misses 2-pt shot from 16 ft
5:26.0,,,53-66,,Offensive rebound by H. Thompson
5:22.0,,,53-66,,I. Canaan misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by T. Young,,53-66,,
5:19.0,,,53-66,,Personal foul by C. Landry
5:19.0,T. Young misses free throw 1 of 2,,53-66,,
5:19.0,Offensive rebound by Team,,53-66,,
5:19.0,,,53-66,,N. Stauskas enters the game for H. Thompson
5:19.0,T. Young makes free throw 2 of 2,1,54-66,,
5:07.0,,,54-66,,N. Noel misses 2-pt shot from 13 ft
5:05.0,Defensive rebound by D. Sloan,,54-66,,
4:52.0,Shooting foul by N. Noel (drawn by B. Lopez),,54-66,,
4:52.0,B. Lopez makes free throw 1 of 2,1,55-66,,
4:52.0,B. Lopez makes free throw 2 of 2,1,56-66,,
4:36.0,,,56-66,,N. Stauskas misses 2-pt shot at rim
4:35.0,,,56-66,,Offensive rebound by N. Stauskas
4:35.0,,,56-68,2,N. Stauskas makes 2-pt shot at rim
4:26.0,D. Sloan misses 2-pt shot from 2 ft,,56-68,,
4:24.0,Offensive rebound by W. Ellington,,56-68,,
4:18.0,B. Lopez makes 2-pt shot from 6 ft (assist by D. Sloan),2,58-68,,
4:18.0,Shooting foul by I. Smith (drawn by B. Lopez),,58-68,,
4:18.0,,,58-68,,R. Holmes enters the game for N. Noel
4:18.0,B. Lopez makes free throw 1 of 1,1,59-68,,
