time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. K. Towns (S. Ibaka gains possession)
11:45.0,S. Ibaka misses 2-pt shot from 15 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by K. Garnett
11:21.0,,,0-0,,Turnover by R. Rubio (lost ball; steal by R. Westbrook)
11:18.0,Shooting foul by K. Garnett (drawn by R. Westbrook),,0-0,,
11:18.0,R. Westbrook makes free throw 1 of 2,1,1-0,,
11:18.0,R. Westbrook misses free throw 2 of 2,,1-0,,
11:17.0,,,1-0,,Defensive rebound by T. Prince
11:03.0,,,1-0,,K. Towns misses 2-pt shot from 17 ft
11:02.0,Defensive rebound by K. Durant,,1-0,,
10:48.0,K. Durant misses 3-pt shot from 22 ft,,1-0,,
10:47.0,Offensive rebound by S. Adams,,1-0,,
10:42.0,S. Ibaka misses 2-pt shot from 21 ft,,1-0,,
10:41.0,,,1-0,,Defensive rebound by A. Wiggins
10:29.0,,,1-0,,A. Wiggins misses 2-pt shot from 20 ft
10:28.0,,,1-0,,Offensive rebound by K. Towns
10:26.0,,,1-2,2,K. Towns makes 2-pt shot from 1 ft
10:04.0,R. Westbrook makes 2-pt shot from 15 ft,2,3-2,,
9:49.0,,,3-2,,T. Prince misses 2-pt shot from 20 ft
9:48.0,Defensive rebound by S. Ibaka,,3-2,,
9:42.0,Shooting foul by T. Prince (drawn by S. Adams),,3-2,,
9:42.0,S. Adams makes free throw 1 of 2,1,4-2,,
9:42.0,S. Adams makes free throw 2 of 2,1,5-2,,
9:28.0,,,5-2,,K. Towns misses 2-pt shot from 15 ft
9:27.0,Defensive rebound by K. Durant,,5-2,,
9:20.0,K. Durant makes 2-pt shot from 17 ft,2,7-2,,
9:20.0,Shooting foul by K. Towns (drawn by K. Durant),,7-2,,
9:20.0,K. Durant makes free throw 1 of 1,1,8-2,,
