time,New York,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: D. Cousins vs. R. Lopez (K. Porzingis gains possession)
11:43.0,Turnover by J. Calderon (lost ball; steal by R. Rondo),,0-0,,
11:24.0,,,0-2,2,D. Cousins makes 2-pt shot from 20 ft
11:07.0,J. Calderon misses 2-pt shot from 14 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by R. Gay
10:43.0,,,0-2,,R. Rondo misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by K. Porzingis,,0-2,,
10:31.0,C. Anthony misses 2-pt shot from 21 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by D. Cousins
10:18.0,,,0-2,,Turnover by R. Gay (lost ball; steal by C. Anthony)
10:05.0,K. Porzingis misses 2-pt shot from 16 ft,,0-2,,
10:04.0,,,0-2,,Defensive rebound by D. Cousins
9:59.0,,,0-5,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins)
9:40.0,R. Lopez makes 2-pt shot from 14 ft (assist by C. Anthony),2,2-5,,
9:28.0,,,2-5,,D. Cousins misses 2-pt shot from 18 ft
9:27.0,Defensive rebound by K. Porzingis,,2-5,,
9:23.0,,,2-5,,Violation by R. Gay (kicked ball)
9:10.0,R. Lopez makes 2-pt shot from 18 ft (assist by A. Afflalo),2,4-5,,
8:58.0,,,4-5,,D. Cousins misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by A. Afflalo,,4-5,,
8:39.0,C. Anthony makes 2-pt shot from 17 ft,2,6-5,,
8:25.0,Personal foul by R. Lopez (drawn by D. Cousins),,6-5,,
8:16.0,,,6-7,2,D. Cousins makes 2-pt shot from 3 ft
8:07.0,Turnover by K. Porzingis (bad pass; steal by R. Rondo),,6-7,,
8:02.0,,,6-7,,O. Casspi misses 2-pt shot from 1 ft (block by K. Porzingis)
8:01.0,Defensive rebound by C. Anthony,,6-7,,
7:38.0,C. Anthony misses 2-pt shot from 21 ft,,6-7,,
7:37.0,,,6-7,,Defensive rebound by R. Rondo
7:20.0,,,6-7,,D. Cousins misses 2-pt shot from 21 ft
7:19.0,Defensive rebound by K. Porzingis,,6-7,,
7:12.0,A. Afflalo misses 3-pt shot from 24 ft,,6-7,,
7:11.0,,,6-7,,Defensive rebound by R. Rondo
7:05.0,,,6-7,,Shooting foul by K. Porzingis (drawn by O. Casspi)
7:05.0,,,6-7,,O. Casspi misses free throw 1 of 2
7:05.0,,,6-7,,Offensive rebound by Team
7:05.0,New York full timeout,,6-7,,
7:05.0,,,6-7,,O. Casspi misses free throw 2 of 2
7:03.0,Defensive rebound by R. Lopez,,6-7,,
6:48.0,C. Anthony misses 2-pt shot from 3 ft (block by R. Gay),,6-7,,
6:45.0,Offensive rebound by C. Anthony,,6-7,,
6:44.0,C. Anthony misses 2-pt shot from 1 ft,,6-7,,
6:42.0,,,6-7,,Defensive rebound by O. Casspi
6:34.0,,,6-7,,R. Gay misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by K. Porzingis,,6-7,,
6:24.0,J. Calderon makes 2-pt shot from 2 ft,2,8-7,,
6:01.0,,,8-9,2,O. Casspi makes 2-pt shot from 1 ft (assist by R. Gay)
5:39.0,A. Afflalo makes 2-pt shot from 10 ft (assist by J. Calderon),2,10-9,,
5:21.0,,,10-11,2,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo)
5:06.0,J. Calderon misses 3-pt shot from 24 ft,,10-11,,
5:06.0,,,10-11,,Defensive rebound by O. Casspi
4:59.0,,,10-11,,B. McLemore misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by C. Anthony,,10-11,,
4:40.0,A. Afflalo makes 2-pt shot from 7 ft,2,12-11,,
4:28.0,,,12-11,,O. Casspi misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by C. Anthony,,12-11,,
4:22.0,,,12-11,,Personal foul by O. Casspi (drawn by K. Porzingis)
4:22.0,,,12-11,,M. Belinelli enters the game for O. Casspi
4:22.0,,,12-11,,K. Koufos enters the game for B. McLemore
4:22.0,L. Thomas enters the game for K. Porzingis,,12-11,,
4:22.0,L. Galloway enters the game for J. Calderon,,12-11,,
4:13.0,Turnover by A. Afflalo (lost ball),,12-11,,
4:13.0,Loose ball foul by A. Afflalo (drawn by R. Gay),,12-11,,
4:00.0,,,12-13,2,M. Belinelli makes 2-pt shot from 11 ft (assist by R. Rondo)
3:38.0,Turnover by L. Thomas (bad pass),,12-13,,
3:30.0,Personal foul by A. Afflalo (drawn by M. Belinelli),,12-13,,
3:30.0,,,12-13,,D. Collison enters the game for D. Cousins
3:30.0,S. Vujacic enters the game for A. Afflalo,,12-13,,
3:21.0,,,12-16,3,R. Rondo makes 3-pt shot from 24 ft (assist by M. Belinelli)
3:00.0,L. Galloway misses 2-pt shot from 19 ft,,12-16,,
2:58.0,Offensive rebound by R. Lopez,,12-16,,
2:55.0,Turnover by R. Lopez (lost ball),,12-16,,
2:55.0,,,12-16,,Sacramento full timeout
2:55.0,K. O'Quinn enters the game for C. Anthony,,12-16,,
2:55.0,D. Williams enters the game for R. Lopez,,12-16,,
2:41.0,,,12-16,,R. Gay misses 2-pt shot from 16 ft
2:41.0,Defensive rebound by S. Vujacic,,12-16,,
2:29.0,S. Vujacic misses 3-pt shot from 23 ft,,12-16,,
2:29.0,,,12-16,,Defensive rebound by M. Belinelli
2:22.0,,,12-16,,D. Collison misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by K. O'Quinn,,12-16,,
2:14.0,D. Williams misses 2-pt shot from 3 ft,,12-16,,
2:13.0,,,12-16,,Defensive rebound by R. Rondo
2:05.0,,,12-18,2,K. Koufos makes 2-pt shot from 6 ft (assist by M. Belinelli)
1:57.0,Shooting foul by K. Koufos (drawn by L. Galloway),,12-18,,
1:57.0,L. Galloway makes free throw 1 of 2,1,13-18,,
1:57.0,L. Galloway makes free throw 2 of 2,1,14-18,,
1:44.0,,,14-18,,M. Belinelli misses 2-pt shot from 21 ft
1:44.0,Defensive rebound by D. Williams,,14-18,,
1:33.0,L. Galloway misses 3-pt shot from 25 ft,,14-18,,
1:32.0,,,14-18,,Defensive rebound by K. Koufos
1:19.0,,,14-18,,K. Koufos misses 2-pt shot from 9 ft
1:18.0,Defensive rebound by L. Galloway,,14-18,,
1:10.0,Shooting foul by K. Koufos (drawn by L. Thomas),,14-18,,
1:10.0,L. Thomas makes free throw 1 of 2,1,15-18,,
1:10.0,,,15-18,,O. Casspi enters the game for R. Gay
1:10.0,,,15-18,,D. Cousins enters the game for K. Koufos
1:10.0,L. Thomas makes free throw 2 of 2,1,16-18,,
1:02.0,,,16-20,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Rondo)
1:00.0,Turnover by L. Thomas (offensive foul),,16-20,,
1:00.0,Offensive foul by L. Thomas,,16-20,,
0:46.0,,,16-22,2,R. Rondo makes 2-pt shot from 2 ft
0:40.0,S. Vujacic misses 3-pt shot from 23 ft,,16-22,,
0:39.0,,,16-22,,Defensive rebound by D. Cousins
0:34.0,,,16-24,2,D. Collison makes 2-pt shot from 2 ft (assist by O. Casspi)
0:19.0,D. Williams misses 3-pt shot from 25 ft,,16-24,,
0:18.0,,,16-24,,Defensive rebound by O. Casspi
0:01.0,,,16-24,,D. Cousins misses 2-pt shot from 3 ft (block by K. O'Quinn)
0:01.0,,,16-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,16-24,,D. Collison misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by K. O'Quinn,,16-24,,
11:13.0,L. Thomas misses 2-pt shot from 22 ft,,16-24,,
11:12.0,Offensive rebound by J. Grant,,16-24,,
11:10.0,Turnover by J. Grant (bad pass; steal by B. McLemore),,16-24,,
11:04.0,,,16-26,2,D. Collison makes 2-pt shot from 2 ft
10:43.0,L. Thomas misses 2-pt shot from 13 ft,,16-26,,
10:42.0,,,16-26,,Defensive rebound by Team
10:21.0,,,16-26,,Offensive charge foul by D. Cousins
10:21.0,,,16-26,,Turnover by D. Cousins (offensive foul)
10:21.0,C. Anthony enters the game for L. Thomas,,16-26,,
10:05.0,C. Anthony misses 2-pt shot from 13 ft,,16-26,,
10:04.0,,,16-26,,Defensive rebound by D. Collison
9:47.0,,,16-26,,M. Belinelli misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by K. O'Quinn,,16-26,,
9:37.0,C. Anthony makes 2-pt shot from 3 ft (assist by K. O'Quinn),2,18-26,,
9:21.0,,,18-28,2,M. Belinelli makes 2-pt shot from 17 ft (assist by D. Collison)
9:08.0,Offensive foul by C. Anthony,,18-28,,
9:08.0,Turnover by C. Anthony (offensive foul),,18-28,,
8:57.0,,,18-28,,M. Belinelli misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by L. Galloway,,18-28,,
8:46.0,Turnover by J. Grant (bad pass),,18-28,,
8:46.0,Official timeout,,18-28,,
8:46.0,J. Calderon enters the game for L. Galloway,,18-28,,
8:46.0,A. Afflalo enters the game for K. O'Quinn,,18-28,,
8:46.0,K. Porzingis enters the game for D. Williams,,18-28,,
8:46.0,R. Lopez enters the game for J. Grant,,18-28,,
8:46.0,,,18-28,,R. Gay enters the game for B. McLemore
8:30.0,,,18-28,,D. Cousins misses 2-pt shot from 8 ft
8:30.0,Defensive rebound by C. Anthony,,18-28,,
8:19.0,C. Anthony makes 2-pt shot from 1 ft,2,20-28,,
7:55.0,,,20-30,2,O. Casspi makes 2-pt shot from 4 ft
7:33.0,R. Lopez misses 2-pt shot from 2 ft,,20-30,,
7:32.0,,,20-30,,Defensive rebound by O. Casspi
7:21.0,,,20-32,2,R. Gay makes 2-pt shot from 4 ft (assist by O. Casspi)
7:08.0,R. Lopez misses 2-pt shot from 6 ft,,20-32,,
7:07.0,,,20-32,,Defensive rebound by O. Casspi
7:02.0,,,20-32,,M. Belinelli misses 2-pt shot from 2 ft (block by K. Porzingis)
7:00.0,Defensive rebound by R. Lopez,,20-32,,
6:53.0,Turnover by K. Porzingis (bad pass; steal by D. Cousins),,20-32,,
6:48.0,,,20-34,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
6:29.0,C. Anthony misses 2-pt shot from 2 ft,,20-34,,
6:28.0,Offensive rebound by C. Anthony,,20-34,,
6:27.0,C. Anthony misses 2-pt shot from 1 ft (block by R. Gay),,20-34,,
6:27.0,Offensive rebound by C. Anthony,,20-34,,
6:27.0,Shooting foul by D. Cousins (drawn by C. Anthony),,20-34,,
6:27.0,C. Anthony makes free throw 1 of 2,1,21-34,,
6:27.0,C. Anthony misses free throw 2 of 2,,21-34,,
6:26.0,,,21-34,,Defensive rebound by R. Gay
6:14.0,,,21-36,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
5:55.0,J. Calderon makes 3-pt shot from 25 ft (assist by C. Anthony),3,24-36,,
5:34.0,,,24-36,,M. Belinelli misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by C. Anthony,,24-36,,
5:31.0,A. Afflalo makes 2-pt shot at rim (assist by C. Anthony),2,26-36,,
5:29.0,,,26-36,,Sacramento full timeout
5:29.0,,,26-36,,R. Rondo enters the game for D. Collison
5:21.0,,,26-36,,Shooting foul by R. Lopez (drawn by D. Cousins)
5:21.0,,,26-36,,D. Cousins misses free throw 1 of 2
5:21.0,,,26-36,,Offensive rebound by Team
5:21.0,,,26-37,1,D. Cousins makes free throw 2 of 2
5:03.0,Turnover by R. Lopez (traveling),,26-37,,
5:03.0,,,26-37,,K. Koufos enters the game for O. Casspi
4:49.0,,,26-39,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Rondo)
4:23.0,J. Calderon misses 3-pt shot from 24 ft (block by R. Gay),,26-39,,
4:23.0,Offensive rebound by Team,,26-39,,
4:23.0,Turnover by Team (shot clock),,26-39,,
4:06.0,,,26-39,,R. Gay misses 2-pt shot from 4 ft
4:06.0,Defensive rebound by R. Lopez,,26-39,,
3:51.0,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Calderon),3,29-39,,
3:31.0,,,29-39,,R. Gay misses 2-pt shot from 2 ft
3:30.0,Defensive rebound by R. Lopez,,29-39,,
3:26.0,,,29-39,,Personal foul by K. Koufos (drawn by K. Porzingis)
3:26.0,,,29-39,,Technical foul by K. Koufos (drawn by K. Porzingis)
3:26.0,C. Anthony misses technical free throw,,29-39,,
3:26.0,Offensive rebound by Team,,29-39,,
3:26.0,,,29-39,,O. Casspi enters the game for M. Belinelli
3:26.0,,,29-39,,B. McLemore enters the game for K. Koufos
3:19.0,,,29-39,,Personal foul by R. Rondo (drawn by C. Anthony)
3:17.0,,,29-39,,Personal foul by D. Cousins (drawn by R. Lopez)
3:17.0,,,29-39,,K. Koufos enters the game for D. Cousins
3:17.0,L. Thomas enters the game for R. Lopez,,29-39,,
3:01.0,A. Afflalo misses 3-pt shot from 24 ft,,29-39,,
2:59.0,,,29-39,,Defensive rebound by R. Rondo
2:57.0,,,29-41,2,O. Casspi makes 2-pt shot at rim (assist by R. Rondo)
2:40.0,J. Calderon makes 3-pt shot from 24 ft (assist by K. Porzingis),3,32-41,,
2:32.0,,,32-43,2,R. Rondo makes 2-pt shot from 1 ft
2:32.0,,,32-43,,Shooting foul by J. Calderon (drawn by R. Rondo)
2:32.0,New York full timeout,,32-43,,
2:32.0,,,32-44,1,R. Rondo makes free throw 1 of 1
2:15.0,K. Porzingis misses 2-pt shot from 15 ft,,32-44,,
2:14.0,,,32-44,,Defensive rebound by R. Gay
2:05.0,,,32-44,,O. Casspi misses 2-pt shot from 8 ft
2:05.0,Defensive rebound by L. Thomas,,32-44,,
1:52.0,A. Afflalo makes 2-pt shot from 19 ft (assist by L. Thomas),2,34-44,,
1:43.0,,,34-44,,Turnover by R. Rondo (bad pass; steal by J. Calderon)
1:23.0,C. Anthony makes 2-pt shot from 13 ft,2,36-44,,
1:11.0,,,36-46,2,R. Rondo makes 2-pt shot from 17 ft
1:00.0,L. Thomas makes 3-pt shot from 23 ft (assist by J. Calderon),3,39-46,,
0:53.0,,,39-46,,B. McLemore misses 2-pt shot from 12 ft
0:53.0,Defensive rebound by J. Calderon,,39-46,,
0:37.0,K. Porzingis misses 2-pt shot from 2 ft,,39-46,,
0:36.0,,,39-46,,Defensive rebound by B. McLemore
0:31.0,,,39-46,,R. Gay misses 2-pt shot from 2 ft (block by C. Anthony)
0:29.0,Defensive rebound by L. Thomas,,39-46,,
0:24.0,K. Porzingis misses 2-pt shot from 2 ft,,39-46,,
0:23.0,,,39-46,,Defensive rebound by K. Koufos
0:00.0,,,39-46,,R. Rondo misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by A. Afflalo,,39-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,39-48,2,R. Gay makes 2-pt shot from 8 ft
11:29.0,K. Porzingis makes 2-pt shot from 5 ft,2,41-48,,
11:14.0,,,41-48,,Shooting foul by K. Porzingis (drawn by O. Casspi)
11:14.0,,,41-49,1,O. Casspi makes free throw 1 of 2
11:14.0,,,41-49,,O. Casspi misses free throw 2 of 2
11:13.0,,,41-49,,Offensive rebound by O. Casspi
11:08.0,,,41-49,,O. Casspi misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by C. Anthony,,41-49,,
10:55.0,K. Porzingis misses 2-pt shot from 9 ft,,41-49,,
10:54.0,Offensive rebound by R. Lopez,,41-49,,
10:54.0,R. Lopez misses 2-pt shot from 4 ft,,41-49,,
10:53.0,,,41-49,,Defensive rebound by O. Casspi
10:42.0,,,41-49,,O. Casspi misses 2-pt shot from 4 ft
10:40.0,,,41-49,,Offensive rebound by R. Gay
10:40.0,,,41-49,,R. Gay misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by R. Lopez,,41-49,,
10:23.0,Turnover by C. Anthony (lost ball),,41-49,,
10:10.0,Personal foul by C. Anthony (drawn by D. Cousins),,41-49,,
10:10.0,Technical foul by Team,,41-49,,
10:10.0,,,41-50,1,R. Gay makes technical free throw
10:02.0,,,41-50,,D. Cousins misses 2-pt shot from 4 ft
10:02.0,Defensive rebound by K. Porzingis,,41-50,,
9:57.0,Shooting foul by R. Rondo (drawn by R. Lopez),,41-50,,
9:57.0,R. Lopez makes free throw 1 of 2,1,42-50,,
9:57.0,R. Lopez makes free throw 2 of 2,1,43-50,,
9:42.0,,,43-52,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
9:31.0,Shooting foul by O. Casspi (drawn by A. Afflalo),,43-52,,
9:31.0,A. Afflalo makes free throw 1 of 2,1,44-52,,
9:31.0,A. Afflalo makes free throw 2 of 2,1,45-52,,
9:14.0,,,45-52,,D. Cousins misses 2-pt shot from 15 ft
9:13.0,,,45-52,,Offensive rebound by R. Gay
9:13.0,,,45-52,,R. Gay misses 2-pt shot from 2 ft
9:11.0,,,45-52,,Offensive rebound by R. Rondo
9:09.0,,,45-54,2,D. Cousins makes 2-pt shot from 8 ft (assist by R. Rondo)
