time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession)
11:43.0,,,0-3,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston)
11:25.0,M. Harkless misses 3-pt shot from 26 ft,,0-3,,
11:24.0,,,0-3,,Defensive rebound by H. Barnes
11:15.0,,,0-3,,H. Barnes misses 3-pt shot from 27 ft
11:15.0,Defensive rebound by M. Harkless,,0-3,,
10:58.0,M. Plumlee misses 2-pt shot from 8 ft,,0-3,,
10:57.0,,,0-3,,Defensive rebound by A. Bogut
10:46.0,,,0-5,2,H. Barnes makes 2-pt shot from 4 ft (assist by S. Livingston)
10:29.0,D. Lillard misses 3-pt shot from 27 ft,,0-5,,
10:28.0,,,0-5,,Defensive rebound by S. Livingston
10:20.0,,,0-5,,D. Green misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by M. Plumlee,,0-5,,
10:08.0,A. Aminu makes 2-pt shot from 4 ft (assist by D. Lillard),2,2-5,,
9:51.0,,,2-8,3,K. Thompson makes 3-pt shot from 30 ft (assist by S. Livingston)
9:42.0,C. McCollum misses 3-pt shot from 23 ft,,2-8,,
9:41.0,,,2-8,,Defensive rebound by H. Barnes
9:35.0,,,2-10,2,K. Thompson makes 2-pt shot from 13 ft
9:18.0,D. Lillard misses 2-pt shot from 12 ft,,2-10,,
9:17.0,,,2-10,,Defensive rebound by H. Barnes
9:02.0,,,2-10,,S. Livingston misses 2-pt shot from 12 ft
9:01.0,,,2-10,,Offensive rebound by A. Bogut
9:00.0,,,2-10,,A. Bogut misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by C. McCollum,,2-10,,
8:53.0,A. Aminu misses 3-pt shot from 23 ft,,2-10,,
8:52.0,,,2-10,,Defensive rebound by A. Bogut
8:40.0,,,2-10,,K. Thompson misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by M. Plumlee,,2-10,,
8:17.0,Shooting foul by S. Livingston (drawn by C. McCollum),,2-10,,
8:17.0,C. McCollum makes free throw 1 of 2,1,3-10,,
8:17.0,C. McCollum makes free throw 2 of 2,1,4-10,,
7:53.0,,,4-12,2,A. Bogut makes 2-pt shot from 12 ft
7:40.0,Turnover by A. Aminu (lost ball; steal by A. Bogut),,4-12,,
7:31.0,,,4-14,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
7:31.0,Portland full timeout,,4-14,,
7:21.0,Turnover by A. Aminu (lost ball; steal by A. Bogut),,4-14,,
7:14.0,,,4-14,,K. Thompson misses 3-pt shot from 25 ft
7:13.0,,,4-14,,Offensive rebound by K. Thompson
7:12.0,,,4-14,,Turnover by K. Thompson (lost ball; steal by D. Lillard)
7:05.0,D. Lillard misses 3-pt shot from 26 ft,,4-14,,
7:05.0,,,4-14,,Defensive rebound by D. Green
6:44.0,,,4-14,,H. Barnes misses 3-pt shot from 24 ft
6:42.0,,,4-14,,Offensive rebound by A. Bogut
6:37.0,,,4-16,2,D. Green makes 2-pt shot from 7 ft (assist by K. Thompson)
6:24.0,C. McCollum misses 2-pt shot from 15 ft,,4-16,,
6:23.0,,,4-16,,Defensive rebound by A. Bogut
6:07.0,,,4-18,2,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green)
5:41.0,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard),3,7-18,,
5:27.0,,,7-20,2,A. Bogut makes 2-pt shot at rim (assist by S. Livingston)
5:04.0,M. Plumlee misses 2-pt shot at rim (block by A. Bogut),,7-20,,
5:03.0,Offensive rebound by A. Aminu,,7-20,,
5:01.0,A. Aminu misses 2-pt shot from 2 ft,,7-20,,
4:59.0,,,7-20,,Defensive rebound by D. Green
4:42.0,,,7-20,,Shooting foul by C. McCollum (drawn by S. Livingston)
4:42.0,,,7-21,1,S. Livingston makes free throw 1 of 2
4:42.0,,,7-21,,A. Iguodala enters the game for H. Barnes
4:42.0,,,7-22,1,S. Livingston makes free throw 2 of 2
4:26.0,Shooting foul by A. Bogut (drawn by D. Lillard),,7-22,,
4:26.0,D. Lillard makes free throw 1 of 2,1,8-22,,
4:26.0,,,8-22,,L. Barbosa enters the game for S. Livingston
