time,Miami,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. A. Stoudemire (T. Douglas gains possession),,,,Jump ball: O. Asik vs. A. Stoudemire (T. Douglas gains possession)
11:43.0,,,0-0,,J. Holiday misses 2-pt shot from 12 ft
11:40.0,Defensive rebound by D. Wade,,0-0,,
11:38.0,D. Wade misses 2-pt shot from 9 ft,,0-0,,
11:37.0,Offensive rebound by A. Stoudemire,,0-0,,
11:33.0,A. Stoudemire makes 2-pt shot from 18 ft (assist by L. Deng),2,2-0,,
11:12.0,,,2-0,,L. Babbitt misses 2-pt shot from 2 ft
11:11.0,,,2-0,,Offensive rebound by L. Babbitt
11:11.0,,,2-0,,L. Babbitt misses 2-pt shot from 2 ft
11:11.0,,,2-0,,Offensive rebound by Team
11:07.0,,,2-2,2,L. Babbitt makes 2-pt shot from 18 ft (assist by D. Cunningham)
10:48.0,A. Stoudemire misses 2-pt shot from 20 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by T. Douglas
10:26.0,,,2-2,,J. Holiday misses 2-pt shot from 20 ft
10:26.0,Defensive rebound by Team,,2-2,,
10:14.0,L. Deng makes 2-pt shot from 21 ft (assist by G. Dragic),2,4-2,,
10:02.0,,,4-4,2,J. Holiday makes 2-pt shot from 3 ft
9:45.0,G. Dragic misses 2-pt shot from 12 ft,,4-4,,
9:41.0,,,4-4,,Defensive rebound by T. Douglas
9:35.0,,,4-4,,D. Cunningham misses 2-pt shot from 4 ft (block by A. Stoudemire)
9:35.0,,,4-4,,Offensive rebound by O. Asik
9:35.0,Personal foul by A. Stoudemire,,4-4,,
9:35.0,,,4-4,,O. Asik misses free throw 1 of 2
9:35.0,,,4-4,,Offensive rebound by Team
9:35.0,,,4-4,,O. Asik misses free throw 2 of 2
9:32.0,,,4-4,,Offensive rebound by D. Cunningham
9:24.0,,,4-6,2,T. Douglas makes 2-pt shot from 18 ft (assist by D. Cunningham)
9:16.0,Shooting foul by D. Cunningham (drawn by A. Stoudemire),,4-6,,
9:16.0,A. Stoudemire makes free throw 1 of 2,1,5-6,,
9:16.0,A. Stoudemire makes free throw 2 of 2,1,6-6,,
9:05.0,,,6-6,,T. Douglas misses 2-pt shot from 16 ft
9:03.0,Defensive rebound by G. Dragic,,6-6,,
8:58.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic),2,8-6,,
8:48.0,,,8-8,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Holiday)
8:48.0,,,8-8,,Shooting foul by A. Stoudemire (drawn by O. Asik)
8:48.0,,,8-9,1,O. Asik makes free throw 1 of 1
8:35.0,L. Deng misses 2-pt shot from 6 ft,,8-9,,
8:32.0,,,8-9,,Defensive rebound by O. Asik
8:23.0,,,8-9,,J. Holiday misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by G. Dragic,,8-9,,
8:14.0,A. Stoudemire misses 2-pt shot from 1 ft,,8-9,,
8:12.0,Offensive rebound by A. Stoudemire,,8-9,,
8:07.0,A. Stoudemire makes 2-pt shot from 1 ft,2,10-9,,
8:03.0,Def 3 sec tech foul by A. Stoudemire,,10-9,,
8:03.0,,,10-10,1,L. Babbitt makes technical free throw
7:53.0,,,10-12,2,O. Asik makes 2-pt shot from 1 ft (assist by J. Holiday)
7:40.0,Turnover by G. Dragic (lost ball; steal by O. Asik),,10-12,,
7:25.0,,,10-12,,T. Douglas misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by A. Stoudemire,,10-12,,
7:12.0,D. Wade makes 2-pt shot from 10 ft,2,12-12,,
6:46.0,,,12-12,,J. Holiday misses 2-pt shot from 13 ft
6:44.0,Defensive rebound by A. Stoudemire,,12-12,,
6:44.0,Shooting foul by L. Babbitt (drawn by D. Wade),,12-12,,
6:44.0,D. Wade makes free throw 1 of 2,1,13-12,,
6:44.0,D. Wade makes free throw 2 of 2,1,14-12,,
6:31.0,,,14-12,,L. Babbitt misses 2-pt shot from 2 ft
6:21.0,,,14-12,,Offensive rebound by L. Babbitt
6:20.0,,,14-14,2,L. Babbitt makes 2-pt shot at rim (assist by J. Holiday)
6:17.0,G. Dragic misses 3-pt shot from 26 ft,,14-14,,
6:16.0,,,14-14,,Defensive rebound by T. Douglas
5:59.0,,,14-16,2,O. Asik makes 2-pt shot from 3 ft (assist by L. Babbitt)
5:58.0,Miami full timeout,,14-16,,
5:47.0,J. Johnson misses 2-pt shot from 22 ft,,14-16,,
5:44.0,Offensive rebound by A. Stoudemire,,14-16,,
5:38.0,A. Stoudemire makes 2-pt shot from 1 ft,2,16-16,,
5:29.0,,,16-18,2,J. Holiday makes 2-pt shot from 13 ft
5:12.0,,,16-18,,Personal foul by T. Douglas
5:12.0,J. Winslow enters the game for L. Deng,,16-18,,
5:12.0,J. Richardson enters the game for G. Dragic,,16-18,,
4:57.0,J. Winslow makes 2-pt shot from 18 ft (assist by J. Johnson),2,18-18,,
4:37.0,,,18-18,,L. Babbitt misses 2-pt shot from 5 ft
4:35.0,,,18-18,,Offensive rebound by T. Douglas
4:30.0,,,18-18,,T. Douglas misses 2-pt shot from 14 ft
4:29.0,Defensive rebound by D. Wade,,18-18,,
4:29.0,D. Wade makes 2-pt shot from 2 ft,2,20-18,,
4:29.0,Shooting foul by L. Babbitt (drawn by D. Wade),,20-18,,
4:29.0,H. Whiteside enters the game for A. Stoudemire,,20-18,,
4:29.0,,,20-18,,K. Perkins enters the game for O. Asik
4:29.0,,,20-18,,A. Gee enters the game for L. Babbitt
4:29.0,D. Wade misses free throw 1 of 1,,20-18,,
4:27.0,,,20-18,,Defensive rebound by D. Cunningham
4:08.0,,,20-20,2,T. Douglas makes 2-pt shot from 2 ft (assist by D. Cunningham)
3:53.0,D. Wade misses 2-pt shot from 19 ft,,20-20,,
3:51.0,,,20-20,,Defensive rebound by D. Cunningham
3:47.0,,,20-20,,T. Frazier enters the game for T. Douglas
3:41.0,,,20-20,,J. Holiday misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by J. Johnson,,20-20,,
3:27.0,D. Wade misses 2-pt shot from 6 ft,,20-20,,
3:27.0,Offensive rebound by D. Wade,,20-20,,
3:27.0,Shooting foul by A. Gee (drawn by D. Wade),,20-20,,
3:27.0,D. Wade makes 2-pt shot from 6 ft,2,22-20,,
3:27.0,D. Wade makes free throw 1 of 1,1,23-20,,
3:12.0,,,23-20,,Turnover by K. Perkins (traveling)
3:12.0,G. Dragic enters the game for D. Wade,,23-20,,
2:56.0,G. Dragic makes 3-pt shot from 22 ft (assist by J. Johnson),3,26-20,,
2:47.0,,,26-20,,Turnover by J. Holiday (lost ball; steal by J. Johnson)
2:37.0,J. Johnson makes 2-pt shot from 14 ft,2,28-20,,
2:31.0,,,28-20,,New Orleans full timeout
2:21.0,,,28-20,,J. Holiday misses 2-pt shot from 12 ft
2:18.0,,,28-20,,Offensive rebound by K. Perkins
2:12.0,,,28-20,,T. Frazier misses 2-pt shot from 19 ft
2:11.0,Defensive rebound by H. Whiteside,,28-20,,
1:52.0,,,28-20,,T. Douglas enters the game for J. Holiday
1:48.0,J. Richardson misses 2-pt shot from 16 ft,,28-20,,
1:47.0,Offensive rebound by H. Whiteside,,28-20,,
1:43.0,H. Whiteside makes 2-pt shot from 3 ft,2,30-20,,
1:31.0,,,30-20,,T. Frazier misses 2-pt shot from 5 ft
1:30.0,Defensive rebound by G. Dragic,,30-20,,
1:24.0,J. Winslow makes 2-pt shot from 1 ft,2,32-20,,
1:10.0,,,32-20,,T. Douglas misses 2-pt shot from 6 ft
1:09.0,Defensive rebound by H. Whiteside,,32-20,,
1:09.0,,,32-20,,Loose ball foul by T. Douglas
1:09.0,H. Whiteside misses free throw 1 of 2,,32-20,,
1:09.0,Offensive rebound by Team,,32-20,,
1:09.0,L. Deng enters the game for J. Johnson,,32-20,,
1:09.0,H. Whiteside makes free throw 2 of 2,1,33-20,,
1:04.0,Personal foul by J. Richardson,,33-20,,
1:04.0,,,33-20,,L. Babbitt enters the game for D. Cunningham
0:46.0,,,33-20,,T. Douglas misses 2-pt shot from 21 ft
0:44.0,Defensive rebound by J. Richardson,,33-20,,
0:38.0,G. Dragic misses 2-pt shot from 1 ft,,33-20,,
0:36.0,Offensive rebound by G. Dragic,,33-20,,
0:31.0,L. Deng misses 3-pt shot from 25 ft,,33-20,,
0:30.0,,,33-20,,Defensive rebound by L. Babbitt
0:30.0,,,33-20,,Shooting foul by J. Richardson (drawn by T. Douglas)
0:30.0,,,33-20,,T. Douglas misses free throw 1 of 2
0:30.0,,,33-20,,Offensive rebound by Team
0:30.0,,,33-21,1,T. Douglas makes free throw 2 of 2
0:19.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,35-21,,
0:00.0,,,35-21,,T. Douglas misses 3-pt shot from 25 ft
0:00.0,,,35-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Turnover by H. Whiteside (bad pass),,35-21,,
11:16.0,,,35-24,3,L. Babbitt makes 3-pt shot from 25 ft (assist by T. Frazier)
