time,New Orleans,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,E. Gordon misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: O. Asik vs. L. Nance (T. Evans gains possession),,,,Jump ball: O. Asik vs. L. Nance (T. Evans gains possession)
11:45.0,,,0-0,,Defensive rebound by L. Nance
11:37.0,,,0-0,,Turnover by K. Bryant (bad pass)
11:27.0,Turnover by T. Evans (bad pass; steal by J. Clarkson),,0-0,,
11:20.0,,,0-0,,J. Clarkson misses 2-pt shot from 3 ft (block by D. Cunningham)
11:18.0,Defensive rebound by D. Cunningham,,0-0,,
11:16.0,E. Gordon makes 2-pt shot from 13 ft,2,2-0,,
11:16.0,Shooting foul by L. Williams (drawn by E. Gordon),,2-0,,
11:16.0,E. Gordon makes free throw 1 of 1,1,3-0,,
10:53.0,,,3-2,2,R. Hibbert makes 2-pt shot from 13 ft (assist by K. Bryant)
10:35.0,R. Anderson makes 2-pt shot from 19 ft,2,5-2,,
10:18.0,,,5-4,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
10:04.0,Turnover by E. Gordon (bad pass),,5-4,,
9:45.0,,,5-4,,L. Williams misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by O. Asik,,5-4,,
9:31.0,T. Evans makes 2-pt shot from 2 ft,2,7-4,,
9:10.0,,,7-6,2,R. Hibbert makes 2-pt shot from 9 ft (assist by L. Williams)
8:53.0,R. Anderson makes 2-pt shot from 16 ft (assist by D. Cunningham),2,9-6,,
8:39.0,,,9-6,,J. Clarkson misses 2-pt shot at rim (block by O. Asik)
8:39.0,Defensive rebound by Team,,9-6,,
8:19.0,T. Evans misses 3-pt shot from 25 ft,,9-6,,
8:18.0,,,9-6,,Defensive rebound by L. Nance
8:02.0,,,9-6,,K. Bryant misses 3-pt shot from 22 ft
8:01.0,Defensive rebound by O. Asik,,9-6,,
7:52.0,T. Evans makes 3-pt shot from 24 ft,3,12-6,,
7:30.0,,,12-6,,R. Hibbert misses 2-pt shot from 18 ft
7:30.0,Defensive rebound by E. Gordon,,12-6,,
7:14.0,R. Anderson misses 2-pt shot from 20 ft,,12-6,,
7:11.0,,,12-6,,Defensive rebound by R. Hibbert
7:02.0,,,12-6,,J. Clarkson misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by O. Asik,,12-6,,
6:50.0,O. Asik misses 2-pt shot from 2 ft (block by R. Hibbert),,12-6,,
6:48.0,Offensive rebound by O. Asik,,12-6,,
6:42.0,Turnover by T. Evans (bad pass; steal by K. Bryant),,12-6,,
6:35.0,,,12-6,,K. Bryant misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by T. Evans,,12-6,,
6:10.0,T. Evans misses 2-pt shot at rim (block by R. Hibbert),,12-6,,
6:09.0,,,12-6,,Defensive rebound by R. Hibbert
6:04.0,,,12-6,,Shooting foul by D. Cunningham (drawn by K. Bryant)
6:04.0,,,12-7,1,K. Bryant makes free throw 1 of 2
6:04.0,,,12-7,,D. Russell enters the game for L. Williams
6:04.0,,,12-7,,K. Bryant misses free throw 2 of 2
6:03.0,,,12-7,,Offensive rebound by Team
5:48.0,,,12-7,,L. Nance misses 2-pt shot from 9 ft
