time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. I. Mahinmi (C. Miles gains possession),,,,Jump ball: D. Dedmon vs. I. Mahinmi (C. Miles gains possession)
11:45.0,,,0-2,2,P. George makes 2-pt shot from 20 ft (assist by I. Mahinmi)
11:27.0,T. Harris misses 2-pt shot from 12 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by G. Hill
11:10.0,,,0-4,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
10:45.0,E. Payton misses 2-pt shot from 1 ft,,0-4,,
10:45.0,,,0-4,,Defensive rebound by I. Mahinmi
10:38.0,,,0-4,,M. Ellis misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by D. Dedmon,,0-4,,
10:25.0,V. Oladipo makes 3-pt shot from 23 ft (assist by E. Payton),3,3-4,,
10:03.0,,,3-6,2,P. George makes 2-pt shot from 1 ft
9:45.0,D. Dedmon misses 2-pt shot from 18 ft,,3-6,,
9:44.0,Offensive rebound by T. Harris,,3-6,,
9:41.0,T. Harris misses 2-pt shot from 2 ft,,3-6,,
9:41.0,,,3-6,,Defensive rebound by I. Mahinmi
9:31.0,,,3-9,3,P. George makes 3-pt shot from 26 ft (assist by G. Hill)
9:19.0,,,3-9,,Violation by G. Hill (kicked ball)
9:13.0,E. Payton makes 2-pt shot from 7 ft,2,5-9,,
8:56.0,,,5-9,,P. George misses 2-pt shot from 16 ft
8:55.0,Defensive rebound by T. Harris,,5-9,,
8:51.0,Turnover by T. Harris (lost ball; steal by P. George),,5-9,,
8:47.0,,,5-11,2,P. George makes 2-pt shot from 3 ft
8:29.0,E. Fournier makes 2-pt shot from 16 ft,2,7-11,,
8:18.0,,,7-11,,P. George misses 2-pt shot from 11 ft
8:17.0,Defensive rebound by Team,,7-11,,
7:59.0,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Payton),2,9-11,,
7:59.0,Shooting foul by I. Mahinmi (drawn by D. Dedmon),,9-11,,
7:59.0,D. Dedmon misses free throw 1 of 1,,9-11,,
7:59.0,,,9-11,,Defensive rebound by I. Mahinmi
7:41.0,,,9-13,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
7:35.0,Orlando full timeout,,9-13,,
7:23.0,Shooting foul by C. Miles (drawn by T. Harris),,9-13,,
7:23.0,T. Harris misses free throw 1 of 2,,9-13,,
7:23.0,Offensive rebound by Team,,9-13,,
7:23.0,T. Harris makes free throw 2 of 2,1,10-13,,
7:10.0,,,10-13,,Turnover by C. Miles (bad pass; steal by V. Oladipo)
7:06.0,V. Oladipo makes 2-pt shot at rim,2,12-13,,
