time,Detroit,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (R. Jackson gains possession)
11:37.0,A. Drummond misses 2-pt shot from 7 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Johnson
11:28.0,,,0-2,2,J. Johnson makes 2-pt shot from 2 ft
11:03.0,A. Drummond makes 2-pt shot from 8 ft,2,2-2,,
10:44.0,,,2-4,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
10:29.0,Turnover by K. Caldwell-Pope (bad pass; steal by L. Scola),,2-4,,
10:23.0,,,2-6,2,L. Scola makes 2-pt shot from 1 ft
10:19.0,Detroit full timeout,,2-6,,
10:10.0,R. Jackson misses 2-pt shot from 9 ft,,2-6,,
10:10.0,,,2-6,,Defensive rebound by D. DeRozan
10:02.0,,,2-6,,Turnover by D. DeRozan (bad pass; steal by K. Caldwell-Pope)
9:56.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,4-6,,
9:40.0,,,4-8,2,J. Valanciunas makes 2-pt shot from 8 ft
9:10.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,6-8,,
8:49.0,,,6-8,,L. Scola misses 3-pt shot from 23 ft
8:49.0,,,6-8,,Offensive rebound by J. Valanciunas
8:46.0,,,6-8,,J. Valanciunas misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by A. Drummond,,6-8,,
8:39.0,Turnover by A. Drummond (lost ball; steal by D. DeRozan),,6-8,,
8:27.0,,,6-11,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. DeRozan)
8:14.0,Shooting foul by J. Valanciunas (drawn by R. Jackson),,6-11,,
8:14.0,R. Jackson makes free throw 1 of 2,1,7-11,,
8:14.0,R. Jackson misses free throw 2 of 2,,7-11,,
8:13.0,,,7-11,,Defensive rebound by J. Valanciunas
7:59.0,Def 3 sec tech foul by A. Tolliver,,7-11,,
7:59.0,,,7-12,1,D. DeRozan makes technical free throw
7:53.0,,,7-12,,D. DeRozan misses 2-pt shot from 6 ft
7:53.0,Defensive rebound by K. Caldwell-Pope,,7-12,,
7:47.0,Shooting foul by J. Johnson (drawn by A. Drummond),,7-12,,
7:47.0,A. Drummond misses free throw 1 of 2,,7-12,,
7:47.0,Offensive rebound by Team,,7-12,,
7:47.0,A. Drummond misses free throw 2 of 2,,7-12,,
7:47.0,,,7-12,,Defensive rebound by J. Valanciunas
7:34.0,Personal foul by R. Jackson (drawn by K. Lowry),,7-12,,
7:23.0,,,7-12,,D. DeRozan misses 2-pt shot from 3 ft
7:23.0,Defensive rebound by K. Caldwell-Pope,,7-12,,
7:15.0,M. Morris misses 2-pt shot from 3 ft,,7-12,,
7:15.0,Offensive rebound by A. Drummond,,7-12,,
7:15.0,Shooting foul by J. Valanciunas (drawn by A. Drummond),,7-12,,
7:15.0,A. Drummond misses free throw 1 of 2,,7-12,,
7:15.0,Offensive rebound by Team,,7-12,,
7:15.0,,,7-12,,B. Biyombo enters the game for J. Valanciunas
7:15.0,A. Drummond misses free throw 2 of 2,,7-12,,
7:14.0,,,7-12,,Defensive rebound by B. Biyombo
6:59.0,,,7-12,,D. DeRozan misses 2-pt shot from 11 ft
6:59.0,Defensive rebound by A. Drummond,,7-12,,
6:39.0,A. Drummond makes 2-pt shot from 5 ft,2,9-12,,
6:19.0,,,9-12,,L. Scola misses 2-pt shot from 8 ft
6:19.0,,,9-12,,Offensive rebound by L. Scola
6:14.0,,,9-14,2,L. Scola makes 2-pt shot from 2 ft
5:55.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,9-14,,
5:55.0,,,9-14,,Defensive rebound by J. Johnson
5:37.0,,,9-14,,L. Scola misses 2-pt shot from 2 ft
5:37.0,Defensive rebound by A. Tolliver,,9-14,,
5:25.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by M. Morris),3,12-14,,
5:17.0,,,12-14,,Toronto full timeout
5:17.0,,,12-14,,P. Patterson enters the game for L. Scola
5:17.0,S. Johnson enters the game for M. Morris,,12-14,,
5:10.0,,,12-14,,Shooting foul by S. Johnson (drawn by J. Johnson)
5:10.0,,,12-15,1,J. Johnson makes free throw 1 of 2
5:10.0,,,12-16,1,J. Johnson makes free throw 2 of 2
4:56.0,A. Tolliver misses 3-pt shot from 23 ft,,12-16,,
4:56.0,,,12-16,,Defensive rebound by J. Johnson
4:42.0,,,12-16,,K. Lowry misses 2-pt shot from 19 ft
4:42.0,Defensive rebound by S. Johnson,,12-16,,
4:32.0,S. Johnson misses 2-pt shot from 7 ft,,12-16,,
4:31.0,,,12-16,,Defensive rebound by J. Johnson
4:17.0,,,12-18,2,D. DeRozan makes 2-pt shot from 8 ft
4:04.0,R. Jackson makes 2-pt shot from 15 ft,2,14-18,,
3:43.0,,,14-20,2,B. Biyombo makes 2-pt shot from 2 ft (assist by P. Patterson)
3:21.0,A. Drummond misses 2-pt shot from 2 ft,,14-20,,
3:20.0,,,14-20,,Defensive rebound by Team
3:20.0,,,14-20,,T. Ross enters the game for J. Johnson
3:02.0,,,14-20,,D. DeRozan misses 2-pt shot from 4 ft
3:02.0,Defensive rebound by A. Drummond,,14-20,,
2:51.0,R. Jackson misses 2-pt shot from 1 ft,,14-20,,
2:51.0,Offensive rebound by A. Drummond,,14-20,,
2:48.0,A. Drummond makes 2-pt shot from 1 ft,2,16-20,,
2:26.0,,,16-22,2,B. Biyombo makes 2-pt shot from 10 ft
2:16.0,Shooting foul by K. Lowry (drawn by R. Jackson),,16-22,,
2:16.0,R. Jackson misses free throw 1 of 2,,16-22,,
2:16.0,Offensive rebound by Team,,16-22,,
2:16.0,,,16-22,,C. Joseph enters the game for K. Lowry
2:16.0,M. Morris enters the game for A. Tolliver,,16-22,,
2:16.0,R. Jackson makes free throw 2 of 2,1,17-22,,
2:02.0,,,17-24,2,D. DeRozan makes 2-pt shot from 19 ft
1:42.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,17-24,,
1:42.0,Offensive rebound by Team,,17-24,,
1:42.0,Turnover by K. Caldwell-Pope (traveling),,17-24,,
1:42.0,B. Jennings enters the game for R. Jackson,,17-24,,
1:25.0,,,17-26,2,D. DeRozan makes 2-pt shot from 15 ft
1:03.0,M. Morris misses 2-pt shot from 18 ft,,17-26,,
1:02.0,,,17-26,,Defensive rebound by B. Biyombo
0:41.0,,,17-26,,P. Patterson misses 2-pt shot from 13 ft
0:40.0,Defensive rebound by A. Drummond,,17-26,,
0:25.0,S. Johnson misses 3-pt shot from 24 ft,,17-26,,
0:24.0,,,17-26,,Defensive rebound by B. Biyombo
0:02.0,,,17-26,,P. Patterson misses 3-pt shot from 22 ft
0:02.0,Defensive rebound by B. Jennings,,17-26,,
0:00.0,B. Jennings misses 3-pt shot from 64 ft,,17-26,,
0:00.0,Offensive rebound by Team,,17-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,17-26,,C. Joseph misses 2-pt shot from 20 ft
11:41.0,Defensive rebound by M. Morris,,17-26,,
11:24.0,M. Morris makes 2-pt shot from 16 ft,2,19-26,,
11:07.0,,,19-28,2,C. Joseph makes 2-pt shot from 1 ft
11:07.0,,,19-28,,Shooting foul by B. Jennings (drawn by C. Joseph)
11:07.0,,,19-29,1,C. Joseph makes free throw 1 of 1
10:54.0,M. Morris misses 2-pt shot from 21 ft,,19-29,,
10:54.0,,,19-29,,Defensive rebound by Team
10:36.0,,,19-29,,J. Valanciunas misses 2-pt shot from 10 ft
10:36.0,Defensive rebound by M. Morris,,19-29,,
10:27.0,B. Jennings makes 3-pt shot from 24 ft,3,22-29,,
10:18.0,Personal foul by D. Hilliard (drawn by K. Lowry),,22-29,,
10:09.0,,,22-31,2,T. Ross makes 2-pt shot from 18 ft
9:46.0,M. Morris makes 2-pt shot from 13 ft,2,24-31,,
9:31.0,,,24-33,2,K. Lowry makes 2-pt shot from 19 ft
9:12.0,Turnover by D. Hilliard (lost ball; steal by K. Lowry),,24-33,,
9:08.0,,,24-33,,Turnover by J. Valanciunas (bad pass; steal by M. Morris)
9:02.0,Turnover by M. Morris (lost ball; steal by K. Lowry),,24-33,,
8:55.0,,,24-33,,K. Lowry misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by B. Jennings,,24-33,,
8:51.0,,,24-33,,Shooting block foul by K. Lowry (drawn by B. Jennings)
8:51.0,Official timeout,,24-33,,
8:51.0,B. Jennings misses free throw 1 of 2,,24-33,,
8:51.0,Offensive rebound by Team,,24-33,,
8:51.0,B. Jennings misses free throw 2 of 2,,24-33,,
8:50.0,,,24-33,,Defensive rebound by J. Valanciunas
8:37.0,,,24-35,2,C. Joseph makes 2-pt shot from 3 ft
8:21.0,S. Johnson misses 2-pt shot from 19 ft,,24-35,,
8:21.0,,,24-35,,Defensive rebound by K. Lowry
8:15.0,,,24-35,,C. Joseph misses 2-pt shot from 1 ft (block by B. Jennings)
8:15.0,Defensive rebound by Team,,24-35,,
8:07.0,A. Baynes misses 2-pt shot from 2 ft,,24-35,,
8:06.0,,,24-35,,Defensive rebound by J. Valanciunas
7:54.0,,,24-35,,Shooting foul by D. Hilliard (drawn by K. Lowry)
7:54.0,,,24-35,,K. Lowry misses free throw 1 of 2
7:54.0,,,24-35,,Offensive rebound by Team
7:54.0,A. Tolliver enters the game for S. Johnson,,24-35,,
7:54.0,K. Caldwell-Pope enters the game for D. Hilliard,,24-35,,
7:54.0,,,24-36,1,K. Lowry makes free throw 2 of 2
7:33.0,A. Baynes misses 2-pt shot from 20 ft,,24-36,,
7:32.0,,,24-36,,Defensive rebound by P. Patterson
7:18.0,,,24-36,,C. Joseph misses 2-pt shot from 6 ft
7:17.0,Defensive rebound by B. Jennings,,24-36,,
7:10.0,A. Tolliver misses 3-pt shot from 24 ft,,24-36,,
7:08.0,Offensive rebound by A. Tolliver,,24-36,,
7:05.0,A. Tolliver makes 2-pt shot from 2 ft,2,26-36,,
6:50.0,,,26-36,,T. Ross misses 3-pt shot from 23 ft
6:49.0,,,26-36,,Offensive rebound by K. Lowry
6:46.0,,,26-38,2,K. Lowry makes 2-pt shot from 2 ft
6:46.0,,,26-38,,Technical foul by K. Lowry
6:46.0,K. Caldwell-Pope misses technical free throw,,26-38,,
6:46.0,Offensive rebound by Team,,26-38,,
6:33.0,M. Morris makes 2-pt shot from 9 ft,2,28-38,,
6:25.0,,,28-38,,Turnover by J. Valanciunas (traveling)
6:25.0,,,28-38,,L. Scola enters the game for P. Patterson
6:25.0,,,28-38,,D. DeRozan enters the game for C. Joseph
6:09.0,Turnover by A. Tolliver (bad pass; steal by D. DeRozan),,28-38,,
5:57.0,,,28-38,,Turnover by L. Scola (lost ball; steal by K. Caldwell-Pope)
5:48.0,Shooting foul by D. DeRozan (drawn by B. Jennings),,28-38,,
5:48.0,,,28-38,,Toronto full timeout
5:48.0,A. Drummond enters the game for A. Baynes,,28-38,,
5:48.0,,,28-38,,J. Johnson enters the game for T. Ross
5:48.0,B. Jennings makes free throw 1 of 3,1,29-38,,
5:48.0,B. Jennings makes free throw 2 of 3,1,30-38,,
5:48.0,B. Jennings makes free throw 3 of 3,1,31-38,,
5:39.0,,,31-38,,Turnover by K. Lowry (bad pass; steal by B. Jennings)
5:33.0,B. Jennings makes 3-pt shot from 25 ft,3,34-38,,
5:25.0,,,34-38,,Turnover by K. Lowry (bad pass; steal by B. Jennings)
5:19.0,A. Drummond misses 2-pt shot from 2 ft,,34-38,,
5:19.0,,,34-38,,Defensive rebound by K. Lowry
5:16.0,,,34-38,,Shooting foul by K. Caldwell-Pope (drawn by K. Lowry)
5:16.0,,,34-39,1,K. Lowry makes free throw 1 of 2
5:16.0,,,34-40,1,K. Lowry makes free throw 2 of 2
5:03.0,B. Jennings makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope),3,37-40,,
4:41.0,,,37-42,2,D. DeRozan makes 2-pt shot from 1 ft
4:24.0,B. Jennings misses 3-pt shot from 24 ft,,37-42,,
4:22.0,Offensive rebound by Team,,37-42,,
