time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: D. Howard vs. D. Jordan (A. Rivers gains possession)
11:43.0,,,0-2,2,J. Redick makes 2-pt shot from 16 ft (assist by D. Jordan)
11:30.0,Shooting foul by D. Jordan (drawn by T. Ariza),,0-2,,
11:30.0,T. Ariza makes free throw 1 of 2,1,1-2,,
11:30.0,T. Ariza makes free throw 2 of 2,1,2-2,,
11:15.0,,,2-2,,J. Redick misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by T. Ariza,,2-2,,
10:57.0,Turnover by J. Harden (bad pass; steal by J. Redick),,2-2,,
10:46.0,,,2-2,,L. Stephenson misses 2-pt shot from 22 ft
10:45.0,,,2-2,,Offensive rebound by D. Jordan
10:40.0,,,2-4,2,B. Griffin makes 2-pt shot from 15 ft
10:26.0,D. Howard makes 2-pt shot at rim,2,4-4,,
10:14.0,,,4-4,,Shooting foul by J. Harden (drawn by B. Griffin)
10:14.0,,,4-5,1,B. Griffin makes free throw 1 of 2
10:14.0,,,4-6,1,B. Griffin makes free throw 2 of 2
10:04.0,T. Lawson misses 2-pt shot from 16 ft,,4-6,,
10:03.0,Offensive rebound by D. Howard,,4-6,,
9:59.0,D. Howard makes 2-pt shot from 1 ft,2,6-6,,
9:49.0,,,6-6,,A. Rivers misses 3-pt shot from 24 ft
9:48.0,,,6-6,,Offensive rebound by B. Griffin
9:42.0,,,6-6,,Shooting foul by D. Howard (drawn by J. Redick)
9:42.0,,,6-7,1,J. Redick makes free throw 1 of 2
9:42.0,,,6-7,,J. Redick misses free throw 2 of 2
9:41.0,Defensive rebound by J. Harden,,6-7,,
9:22.0,J. Harden misses 2-pt shot from 17 ft,,6-7,,
9:21.0,,,6-7,,Defensive rebound by D. Jordan
9:09.0,,,6-7,,B. Griffin misses 2-pt shot from 1 ft
9:09.0,,,6-7,,Offensive rebound by Team
9:01.0,,,6-9,2,B. Griffin makes 2-pt shot from 20 ft (assist by J. Redick)
8:47.0,Turnover by D. Howard (bad pass; steal by L. Stephenson),,6-9,,
8:28.0,,,6-9,,A. Rivers misses 2-pt shot from 11 ft
8:27.0,Defensive rebound by T. Ariza,,6-9,,
8:19.0,T. Lawson misses 3-pt shot from 25 ft,,6-9,,
8:19.0,Offensive rebound by D. Howard,,6-9,,
8:13.0,T. Ariza misses 3-pt shot from 25 ft,,6-9,,
8:12.0,Offensive rebound by D. Howard,,6-9,,
8:00.0,T. Ariza misses 3-pt shot from 27 ft,,6-9,,
8:00.0,,,6-9,,Defensive rebound by J. Redick
7:45.0,,,6-11,2,J. Redick makes 2-pt shot from 3 ft (assist by B. Griffin)
7:35.0,T. Lawson makes 2-pt shot from 1 ft,2,8-11,,
7:23.0,Violation by D. Howard (def goaltending),,8-11,,
7:23.0,,,8-13,2,A. Rivers makes 2-pt shot from 3 ft
7:10.0,M. Thornton misses 2-pt shot from 16 ft,,8-13,,
7:10.0,,,8-13,,Defensive rebound by B. Griffin
7:03.0,,,8-15,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
7:02.0,Houston full timeout,,8-15,,
6:48.0,J. Harden misses 3-pt shot from 25 ft,,8-15,,
6:48.0,,,8-15,,Defensive rebound by D. Jordan
6:36.0,,,8-15,,B. Griffin misses 2-pt shot from 14 ft
6:34.0,Defensive rebound by D. Howard,,8-15,,
6:25.0,T. Ariza misses 2-pt shot from 17 ft,,8-15,,
6:22.0,,,8-15,,Defensive rebound by B. Griffin
6:08.0,,,8-15,,A. Rivers misses 2-pt shot from 11 ft
6:07.0,Defensive rebound by T. Ariza,,8-15,,
6:00.0,J. Harden misses 2-pt shot from 4 ft (block by D. Jordan),,8-15,,
5:59.0,Offensive rebound by D. Howard,,8-15,,
5:50.0,D. Howard makes 2-pt shot from 2 ft (assist by M. Thornton),2,10-15,,
5:23.0,,,10-15,,A. Rivers misses 2-pt shot at rim (block by D. Howard)
5:22.0,Defensive rebound by J. Harden,,10-15,,
5:09.0,J. Harden makes 2-pt shot from 3 ft,2,12-15,,
5:09.0,Shooting foul by A. Rivers (drawn by J. Harden),,12-15,,
5:09.0,C. Capela enters the game for D. Howard,,12-15,,
5:09.0,J. Harden makes free throw 1 of 1,1,13-15,,
4:51.0,,,13-17,2,D. Jordan makes 2-pt shot from 3 ft (assist by J. Redick)
4:51.0,,,13-17,,Shooting foul by J. Harden (drawn by D. Jordan)
4:51.0,,,13-18,1,D. Jordan makes free throw 1 of 1
4:31.0,J. Harden makes 3-pt shot from 26 ft,3,16-18,,
4:15.0,,,16-20,2,J. Redick makes 2-pt shot from 3 ft (assist by D. Jordan)
4:10.0,J. Harden makes 2-pt shot from 1 ft,2,18-20,,
4:10.0,Shooting foul by A. Rivers (drawn by J. Harden),,18-20,,
4:10.0,C. Brewer enters the game for M. Thornton,,18-20,,
4:10.0,M. Harrell enters the game for T. Ariza,,18-20,,
4:10.0,,,18-20,,P. Prigioni enters the game for A. Rivers
4:10.0,J. Terry enters the game for T. Lawson,,18-20,,
4:10.0,J. Harden makes free throw 1 of 1,1,19-20,,
3:48.0,,,19-22,2,B. Griffin makes 2-pt shot from 18 ft (assist by P. Prigioni)
3:35.0,J. Harden makes 2-pt shot from 8 ft,2,21-22,,
3:35.0,Shooting foul by J. Redick (drawn by J. Harden),,21-22,,
3:35.0,,,21-22,,P. Pierce enters the game for L. Stephenson
3:35.0,J. Harden makes free throw 1 of 1,1,22-22,,
3:14.0,,,22-24,2,B. Griffin makes 2-pt shot from 20 ft
3:03.0,J. Harden misses 3-pt shot from 25 ft,,22-24,,
3:03.0,,,22-24,,Defensive rebound by P. Pierce
2:57.0,,,22-26,2,J. Redick makes 2-pt shot from 2 ft (assist by P. Pierce)
2:48.0,C. Brewer misses 2-pt shot from 1 ft,,22-26,,
2:46.0,,,22-26,,Defensive rebound by B. Griffin
2:40.0,,,22-29,3,P. Pierce makes 3-pt shot from 26 ft (assist by P. Prigioni)
2:18.0,J. Harden misses 3-pt shot from 27 ft,,22-29,,
2:18.0,,,22-29,,Defensive rebound by D. Jordan
2:03.0,,,22-29,,P. Prigioni misses 2-pt shot from 6 ft
2:01.0,Defensive rebound by C. Capela,,22-29,,
1:50.0,,,22-29,,Personal foul by B. Griffin (drawn by J. Harden)
1:50.0,,,22-29,,LA Clippers full timeout
1:50.0,,,22-29,,J. Crawford enters the game for J. Redick
1:50.0,,,22-29,,J. Smith enters the game for D. Jordan
1:50.0,J. Harden makes free throw 1 of 2,1,23-29,,
1:50.0,J. Harden makes free throw 2 of 2,1,24-29,,
1:43.0,Personal foul by C. Capela (drawn by B. Griffin),,24-29,,
1:41.0,,,24-31,2,B. Griffin makes 2-pt shot from 4 ft (assist by P. Pierce)
1:41.0,,,24-31,,Shooting foul by C. Capela (drawn by B. Griffin)
1:41.0,D. Howard enters the game for C. Capela,,24-31,,
1:41.0,,,24-32,1,B. Griffin makes free throw 1 of 1
1:25.0,J. Terry makes 2-pt shot from 5 ft (assist by J. Harden),2,26-32,,
1:11.0,,,26-32,,J. Smith misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by D. Howard,,26-32,,
1:00.0,J. Harden misses 2-pt shot from 18 ft,,26-32,,
1:00.0,Offensive rebound by D. Howard,,26-32,,
0:58.0,D. Howard makes 2-pt shot from 2 ft,2,28-32,,
0:49.0,,,28-32,,P. Prigioni misses 2-pt shot from 3 ft
0:44.0,Defensive rebound by D. Howard,,28-32,,
0:35.0,J. Harden makes 2-pt shot from 12 ft,2,30-32,,
0:15.0,,,30-32,,P. Pierce misses 3-pt shot from 27 ft
0:15.0,Defensive rebound by M. Harrell,,30-32,,
0:00.0,J. Harden makes 2-pt shot from 19 ft,2,32-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,32-32,,Personal foul by P. Prigioni (drawn by T. Lawson)
11:30.0,J. Terry misses 3-pt shot from 26 ft,,32-32,,
11:30.0,,,32-32,,Defensive rebound by P. Pierce
11:21.0,,,32-32,,J. Smith misses 2-pt shot from 20 ft
11:20.0,Defensive rebound by D. Howard,,32-32,,
11:17.0,Turnover by D. Howard (bad pass; steal by W. Johnson),,32-32,,
11:06.0,,,32-34,2,J. Smith makes 2-pt shot from 3 ft (assist by J. Crawford)
10:53.0,D. Howard misses 2-pt shot at rim,,32-34,,
10:50.0,,,32-34,,Defensive rebound by J. Smith
10:42.0,,,32-34,,W. Johnson misses 3-pt shot from 24 ft
10:42.0,,,32-34,,Offensive rebound by J. Smith
10:37.0,,,32-36,2,W. Johnson makes 2-pt shot from 2 ft (assist by J. Smith)
10:22.0,T. Lawson makes 2-pt shot from 19 ft (assist by T. Ariza),2,34-36,,
10:01.0,,,34-38,2,J. Smith makes 2-pt shot from 3 ft (assist by J. Crawford)
9:53.0,J. Terry misses 3-pt shot from 27 ft,,34-38,,
9:52.0,,,34-38,,Defensive rebound by P. Pierce
9:43.0,,,34-38,,P. Prigioni misses 3-pt shot from 27 ft
9:43.0,,,34-38,,Offensive rebound by Team
9:43.0,M. Thornton enters the game for J. Terry,,34-38,,
9:40.0,,,34-38,,J. Smith misses 2-pt shot from 14 ft
9:39.0,Defensive rebound by D. Howard,,34-38,,
9:20.0,C. Brewer misses 3-pt shot from 28 ft,,34-38,,
9:20.0,,,34-38,,Defensive rebound by Team
9:13.0,Personal foul by T. Ariza (drawn by P. Prigioni),,34-38,,
9:04.0,,,34-38,,P. Prigioni misses 3-pt shot from 26 ft
9:03.0,,,34-38,,Offensive rebound by W. Johnson
8:55.0,,,34-38,,Turnover by J. Crawford (lost ball)
8:55.0,Official timeout,,34-38,,
8:39.0,Turnover by M. Thornton (lost ball; steal by P. Prigioni),,34-38,,
8:35.0,,,34-38,,Shooting foul by C. Brewer (drawn by W. Johnson)
