time,New York,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (J. Calderon gains possession),,,,Jump ball: A. Horford vs. R. Lopez (J. Calderon gains possession)
11:44.0,A. Afflalo misses 2-pt shot from 16 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by P. Millsap
11:26.0,,,0-0,,P. Millsap misses 2-pt shot from 17 ft
11:25.0,Defensive rebound by A. Afflalo,,0-0,,
11:07.0,R. Lopez misses 2-pt shot from 9 ft,,0-0,,
11:04.0,Offensive rebound by K. Porzingis,,0-0,,
11:04.0,K. Porzingis makes 2-pt shot at rim,2,2-0,,
10:48.0,,,2-0,,J. Teague misses 3-pt shot from 23 ft
10:45.0,,,2-0,,Offensive rebound by P. Millsap
10:42.0,,,2-0,,Turnover by K. Bazemore (lost ball)
10:24.0,C. Anthony misses 3-pt shot from 24 ft,,2-0,,
10:22.0,,,2-0,,Defensive rebound by J. Teague
10:16.0,,,2-2,2,J. Teague makes 2-pt shot from 1 ft
10:03.0,C. Anthony makes 2-pt shot at rim (assist by J. Calderon),2,4-2,,
9:43.0,,,4-2,,K. Korver misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by C. Anthony,,4-2,,
9:34.0,Turnover by C. Anthony (bad pass; steal by K. Bazemore),,4-2,,
9:30.0,,,4-4,2,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap)
9:14.0,K. Porzingis misses 3-pt shot from 25 ft,,4-4,,
9:13.0,,,4-4,,Defensive rebound by K. Bazemore
9:03.0,,,4-4,,P. Millsap misses 2-pt shot from 1 ft
9:01.0,Defensive rebound by K. Porzingis,,4-4,,
8:50.0,C. Anthony misses 2-pt shot from 15 ft,,4-4,,
8:48.0,,,4-4,,Defensive rebound by K. Bazemore
8:31.0,,,4-4,,K. Bazemore misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by A. Afflalo,,4-4,,
8:17.0,J. Calderon makes 2-pt shot from 18 ft,2,6-4,,
8:01.0,Def 3 sec tech foul by K. Porzingis,,6-4,,
8:01.0,,,6-4,,K. Korver misses technical free throw
8:01.0,,,6-4,,Offensive rebound by Team
7:56.0,,,6-7,3,K. Bazemore makes 3-pt shot from 23 ft (assist by K. Korver)
7:38.0,C. Anthony misses 3-pt shot from 24 ft,,6-7,,
7:35.0,Offensive rebound by K. Porzingis,,6-7,,
7:35.0,K. Porzingis makes 2-pt shot at rim,2,8-7,,
7:20.0,,,8-7,,Turnover by P. Millsap (lost ball)
7:04.0,Shooting foul by K. Bazemore (drawn by C. Anthony),,8-7,,
7:04.0,C. Anthony makes free throw 1 of 2,1,9-7,,
7:04.0,,,9-7,,T. Sefolosha enters the game for K. Bazemore
7:04.0,C. Anthony makes free throw 2 of 2,1,10-7,,
6:52.0,,,10-7,,T. Sefolosha misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by K. Porzingis,,10-7,,
6:42.0,,,10-7,,Personal foul by T. Sefolosha (drawn by C. Anthony)
