time,Atlanta,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Horford (D. Favors gains possession),,,,Jump ball: R. Gobert vs. A. Horford (D. Favors gains possession)
11:48.0,,,0-2,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
11:30.0,K. Bazemore misses 2-pt shot from 2 ft (block by G. Hayward),,0-2,,
11:29.0,,,0-2,,Defensive rebound by R. Gobert
11:20.0,,,0-5,3,R. Hood makes 3-pt shot from 24 ft (assist by S. Mack)
10:59.0,J. Teague makes 2-pt shot from 16 ft,2,2-5,,
10:43.0,,,2-5,,S. Mack misses 2-pt shot from 8 ft
10:42.0,,,2-5,,Offensive rebound by R. Gobert
10:41.0,,,2-5,,R. Gobert misses 2-pt shot from 1 ft
10:40.0,,,2-5,,Offensive rebound by R. Gobert
10:32.0,,,2-5,,R. Hood misses 2-pt shot from 3 ft
10:32.0,,,2-5,,Offensive rebound by Team
10:26.0,,,2-7,2,D. Favors makes 2-pt shot from 2 ft (assist by S. Mack)
10:26.0,,,2-7,,Shooting foul by P. Millsap (drawn by D. Favors)
10:26.0,,,2-8,1,D. Favors makes free throw 1 of 1
10:12.0,Turnover by K. Bazemore (step out of bounds),,2-8,,
9:50.0,,,2-8,,R. Hood misses 2-pt shot from 3 ft
9:49.0,Defensive rebound by P. Millsap,,2-8,,
9:43.0,J. Teague misses 2-pt shot from 2 ft,,2-8,,
9:42.0,,,2-8,,Defensive rebound by S. Mack
9:26.0,,,2-8,,S. Mack misses 2-pt shot from 4 ft
9:26.0,Defensive rebound by K. Korver,,2-8,,
9:15.0,P. Millsap makes 2-pt shot from 18 ft,2,4-8,,
8:59.0,,,4-8,,G. Hayward misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by K. Korver,,4-8,,
8:45.0,J. Teague misses 2-pt shot from 16 ft,,4-8,,
8:45.0,,,4-8,,Defensive rebound by Team
8:26.0,,,4-8,,R. Hood misses 3-pt shot from 23 ft
8:24.0,Defensive rebound by J. Teague,,4-8,,
8:17.0,K. Bazemore misses 3-pt shot from 24 ft,,4-8,,
8:16.0,,,4-8,,Defensive rebound by R. Gobert
7:58.0,,,4-10,2,G. Hayward makes 2-pt shot from 16 ft
7:46.0,P. Millsap misses 2-pt shot at rim,,4-10,,
7:46.0,,,4-10,,Defensive rebound by S. Mack
7:42.0,,,4-10,,Turnover by S. Mack (bad pass)
7:42.0,Atlanta full timeout,,4-10,,
7:24.0,P. Millsap makes 2-pt shot from 10 ft (assist by J. Teague),2,6-10,,
7:05.0,,,6-10,,D. Favors misses 2-pt shot from 4 ft
7:05.0,Defensive rebound by A. Horford,,6-10,,
6:55.0,Turnover by P. Millsap (lost ball; steal by R. Gobert),,6-10,,
6:38.0,,,6-12,2,G. Hayward makes 2-pt shot from 2 ft
6:21.0,Shooting foul by D. Favors (drawn by P. Millsap),,6-12,,
6:21.0,P. Millsap makes free throw 1 of 2,1,7-12,,
6:21.0,K. Humphries enters the game for A. Horford,,7-12,,
6:21.0,T. Sefolosha enters the game for K. Bazemore,,7-12,,
6:21.0,P. Millsap misses free throw 2 of 2,,7-12,,
6:20.0,,,7-12,,Defensive rebound by R. Gobert
5:57.0,,,7-15,3,S. Mack makes 3-pt shot from 23 ft (assist by G. Hayward)
5:49.0,J. Teague misses 2-pt shot from 1 ft (block by D. Favors),,7-15,,
5:48.0,,,7-15,,Defensive rebound by D. Favors
5:31.0,,,7-15,,Turnover by S. Mack (lost ball; steal by P. Millsap)
5:24.0,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague),3,10-15,,
5:11.0,,,10-15,,R. Neto enters the game for S. Mack
5:11.0,,,10-15,,J. Ingles enters the game for R. Hood
5:11.0,D. Schroder enters the game for J. Teague,,10-15,,
5:11.0,,,10-15,,T. Booker enters the game for D. Favors
5:11.0,M. Scott enters the game for P. Millsap,,10-15,,
5:01.0,,,10-17,2,R. Gobert makes 2-pt shot from 2 ft
