time,Golden State,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Johnson (S. Curry gains possession),,,,Jump ball: A. Bogut vs. A. Johnson (S. Curry gains possession)
11:38.0,I. Clark misses 2-pt shot from 1 ft (block by A. Johnson),,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Sullinger
11:22.0,,,0-0,,Turnover by I. Thomas (bad pass; steal by D. Green)
11:17.0,B. Rush makes 2-pt shot from 2 ft (assist by D. Green),2,2-0,,
10:54.0,,,2-0,,I. Thomas misses 2-pt shot from 22 ft
10:53.0,,,2-0,,Offensive rebound by J. Sullinger
10:50.0,,,2-0,,J. Sullinger misses 2-pt shot from 10 ft
10:49.0,Defensive rebound by B. Rush,,2-0,,
10:32.0,A. Bogut misses 2-pt shot at rim,,2-0,,
10:31.0,Offensive rebound by A. Bogut,,2-0,,
10:27.0,I. Clark misses 2-pt shot from 1 ft (block by A. Johnson),,2-0,,
10:26.0,Offensive rebound by Team,,2-0,,
10:19.0,S. Curry misses 2-pt shot from 20 ft,,2-0,,
10:18.0,,,2-0,,Defensive rebound by J. Crowder
10:10.0,,,2-0,,J. Sullinger misses 2-pt shot from 20 ft
10:09.0,Defensive rebound by A. Bogut,,2-0,,
9:58.0,D. Green misses 2-pt shot at rim,,2-0,,
9:57.0,Offensive rebound by D. Green,,2-0,,
9:57.0,D. Green makes 2-pt shot at rim,2,4-0,,
9:45.0,,,4-3,3,A. Bradley makes 3-pt shot from 26 ft (assist by J. Sullinger)
9:23.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,7-3,,
9:07.0,,,7-5,2,A. Bradley makes 2-pt shot from 20 ft (assist by J. Sullinger)
8:56.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,10-5,,
8:43.0,Personal block foul by I. Clark (drawn by I. Thomas),,10-5,,
8:31.0,,,10-7,2,A. Bradley makes 2-pt shot at rim
8:23.0,S. Curry misses 2-pt shot from 2 ft,,10-7,,
8:22.0,,,10-7,,Defensive rebound by J. Crowder
8:17.0,,,10-10,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
8:00.0,B. Rush misses 3-pt shot from 22 ft,,10-10,,
7:59.0,,,10-10,,Defensive rebound by A. Johnson
7:51.0,,,10-10,,I. Thomas misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by S. Curry,,10-10,,
7:45.0,S. Curry misses 3-pt shot from 27 ft,,10-10,,
7:44.0,,,10-10,,Defensive rebound by J. Sullinger
7:28.0,,,10-12,2,A. Bradley makes 2-pt shot from 17 ft (assist by I. Thomas)
7:08.0,D. Green misses 3-pt shot from 25 ft,,10-12,,
7:07.0,,,10-12,,Defensive rebound by J. Crowder
6:53.0,,,10-12,,Turnover by I. Thomas (lost ball; steal by D. Green)
6:37.0,B. Rush misses 3-pt shot from 23 ft,,10-12,,
6:35.0,Offensive rebound by Team,,10-12,,
6:29.0,,,10-12,,Personal foul by J. Crowder (drawn by A. Bogut)
6:13.0,D. Green misses 2-pt shot from 6 ft (block by A. Johnson),,10-12,,
6:11.0,Offensive rebound by S. Curry,,10-12,,
6:09.0,S. Curry misses 3-pt shot from 26 ft,,10-12,,
6:08.0,,,10-12,,Defensive rebound by I. Thomas
6:01.0,,,10-12,,A. Bradley misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by B. Rush,,10-12,,
5:42.0,S. Curry misses 2-pt shot from 5 ft,,10-12,,
5:40.0,,,10-12,,Defensive rebound by J. Sullinger
5:34.0,,,10-15,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas)
5:34.0,Golden State full timeout,,10-15,,
5:34.0,A. Iguodala enters the game for B. Rush,,10-15,,
5:34.0,Violation by Team (delay of game),,10-15,,
5:17.0,D. Green makes 3-pt shot from 24 ft (assist by A. Iguodala),3,13-15,,
4:59.0,,,13-15,,I. Thomas misses 2-pt shot from 1 ft
4:58.0,,,13-15,,Offensive rebound by I. Thomas
4:56.0,,,13-18,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
4:45.0,,,13-18,,E. Turner enters the game for J. Crowder
4:45.0,,,13-18,,K. Olynyk enters the game for J. Sullinger
4:38.0,S. Curry misses 2-pt shot from 7 ft,,13-18,,
4:37.0,,,13-18,,Defensive rebound by A. Johnson
4:30.0,F. Ezeli enters the game for A. Bogut,,13-18,,
4:24.0,,,13-18,,A. Bradley misses 2-pt shot from 7 ft
4:23.0,Defensive rebound by F. Ezeli,,13-18,,
4:13.0,A. Iguodala misses 3-pt shot from 22 ft,,13-18,,
4:12.0,,,13-18,,Defensive rebound by K. Olynyk
4:01.0,,,13-18,,Turnover by E. Turner (lost ball; steal by A. Iguodala)
3:56.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala),2,15-18,,
3:34.0,,,15-18,,A. Bradley misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by D. Green,,15-18,,
3:25.0,F. Ezeli misses 2-pt shot at rim,,15-18,,
3:24.0,Offensive rebound by A. Iguodala,,15-18,,
3:17.0,I. Clark misses 3-pt shot from 25 ft,,15-18,,
3:16.0,Offensive rebound by A. Iguodala,,15-18,,
