time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. T. Duncan (T. Parker gains possession),,,,Jump ball: C. Andersen vs. T. Duncan (T. Parker gains possession)
11:35.0,,,0-2,2,K. Anderson makes 2-pt shot from 8 ft (assist by T. Duncan)
11:19.0,J. Farmar makes 2-pt shot at rim (assist by C. Andersen),2,2-2,,
11:03.0,,,2-2,,K. Martin misses 2-pt shot from 17 ft (block by M. Barnes)
11:02.0,Defensive rebound by M. Barnes,,2-2,,
11:00.0,Turnover by M. Barnes (lost ball; steal by K. Anderson),,2-2,,
10:54.0,,,2-2,,Turnover by K. Martin (lost ball; steal by J. Farmar)
10:46.0,C. Andersen makes 2-pt shot at rim (assist by J. Farmar),2,4-2,,
10:34.0,,,4-4,2,T. Parker makes 2-pt shot from 1 ft
10:15.0,J. Green misses 2-pt shot from 17 ft,,4-4,,
10:15.0,,,4-4,,Defensive rebound by T. Duncan
10:03.0,,,4-6,2,T. Duncan makes 2-pt shot from 4 ft (assist by T. Parker)
9:47.0,J. Green makes 2-pt shot from 19 ft,2,6-6,,
9:29.0,,,6-8,2,T. Duncan makes 2-pt shot from 5 ft
9:10.0,C. Andersen misses 2-pt shot from 2 ft (block by T. Parker),,6-8,,
9:09.0,Offensive rebound by M. Barnes,,6-8,,
9:06.0,C. Andersen misses 2-pt shot from 10 ft,,6-8,,
9:06.0,,,6-8,,Defensive rebound by T. Duncan
8:51.0,,,6-10,2,L. Aldridge makes 2-pt shot from 1 ft
8:39.0,M. Barnes misses 2-pt shot from 13 ft,,6-10,,
8:38.0,,,6-10,,Defensive rebound by L. Aldridge
8:21.0,,,6-10,,Turnover by L. Aldridge (lost ball; steal by M. Barnes)
8:17.0,Turnover by M. Barnes (lost ball; steal by T. Duncan),,6-10,,
8:09.0,Personal foul by J. Green,,6-10,,
7:53.0,,,6-10,,K. Anderson misses 3-pt shot from 23 ft
7:52.0,Defensive rebound by M. Barnes,,6-10,,
7:43.0,J. Green misses 2-pt shot from 20 ft,,6-10,,
7:42.0,,,6-10,,Defensive rebound by T. Parker
7:29.0,,,6-12,2,L. Aldridge makes 2-pt shot from 8 ft
7:15.0,M. Barnes makes 3-pt shot from 24 ft (assist by J. Green),3,9-12,,
7:04.0,Personal foul by J. Farmar,,9-12,,
6:57.0,,,9-12,,K. Martin misses 2-pt shot from 16 ft
6:56.0,,,9-12,,Offensive rebound by L. Aldridge
6:56.0,,,9-12,,Shooting foul by M. Barnes (drawn by L. Aldridge)
6:56.0,,,9-13,1,L. Aldridge makes free throw 1 of 2
6:56.0,,,9-14,1,L. Aldridge makes free throw 2 of 2
6:44.0,C. Andersen makes 2-pt shot from 19 ft (assist by J. Green),2,11-14,,
6:43.0,,,11-14,,San Antonio full timeout
6:25.0,,,11-16,2,L. Aldridge makes 2-pt shot from 8 ft (assist by T. Parker)
5:57.0,J. Green makes 2-pt shot from 13 ft,2,13-16,,
5:43.0,,,13-16,,T. Parker misses 2-pt shot from 16 ft
5:42.0,,,13-16,,Offensive rebound by T. Duncan
5:31.0,,,13-19,3,K. Martin makes 3-pt shot from 25 ft (assist by T. Duncan)
5:17.0,J. Green makes 2-pt shot from 17 ft (assist by C. Andersen),2,15-19,,
4:52.0,,,15-21,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Duncan)
4:40.0,Shooting foul by T. Parker (drawn by M. Barnes),,15-21,,
4:40.0,M. Barnes makes free throw 1 of 2,1,16-21,,
4:40.0,,,16-21,,M. Ginobili enters the game for K. Martin
4:40.0,R. McCallum enters the game for J. Farmar,,16-21,,
4:40.0,V. Carter enters the game for T. Allen,,16-21,,
4:40.0,M. Barnes makes free throw 2 of 2,1,17-21,,
4:22.0,,,17-21,,L. Aldridge misses 2-pt shot from 16 ft
4:22.0,Defensive rebound by R. McCallum,,17-21,,
4:06.0,V. Carter misses 3-pt shot from 24 ft,,17-21,,
4:04.0,,,17-21,,Defensive rebound by K. Anderson
3:56.0,,,17-23,2,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:44.0,C. Andersen makes 3-pt shot from 24 ft (assist by V. Carter),3,20-23,,
3:29.0,,,20-23,,Shooting foul by J. Green (drawn by T. Parker)
3:29.0,,,20-24,1,T. Parker makes free throw 1 of 2
3:29.0,,,20-24,,D. West enters the game for T. Duncan
3:29.0,R. Hollins enters the game for M. Barnes,,20-24,,
3:29.0,L. Stephenson enters the game for J. Green,,20-24,,
3:29.0,,,20-25,1,T. Parker makes free throw 2 of 2
3:17.0,,,20-25,,Def 3 sec tech foul by L. Aldridge
3:17.0,V. Carter makes technical free throw,1,21-25,,
3:17.0,,,21-25,,A. Miller enters the game for T. Parker
3:17.0,Memphis full timeout,,21-25,,
3:08.0,R. McCallum misses 3-pt shot from 24 ft,,21-25,,
3:07.0,,,21-25,,Defensive rebound by D. West
2:51.0,,,21-25,,K. Anderson misses 2-pt shot from 1 ft
2:50.0,Defensive rebound by C. Andersen,,21-25,,
2:37.0,,,21-25,,Personal foul by K. Anderson
2:37.0,,,21-25,,K. Martin enters the game for K. Anderson
2:37.0,J. Martin enters the game for C. Andersen,,21-25,,
2:30.0,Turnover by V. Carter (lost ball; steal by A. Miller),,21-25,,
