time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Jordan (L. Williams gains possession),,,,Jump ball: R. Hibbert vs. D. Jordan (L. Williams gains possession)
11:39.0,,,0-0,,K. Bryant misses 2-pt shot from 14 ft
11:39.0,,,0-0,,Offensive rebound by L. Nance
11:35.0,,,0-0,,L. Nance misses 2-pt shot from 14 ft
11:34.0,Defensive rebound by D. Jordan,,0-0,,
11:20.0,B. Griffin makes 2-pt shot from 1 ft,2,2-0,,
11:02.0,,,2-2,2,R. Hibbert makes 2-pt shot from 15 ft (assist by J. Clarkson)
10:45.0,J. Redick misses 3-pt shot from 24 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by L. Nance
10:33.0,,,2-2,,Turnover by L. Nance (bad pass; steal by C. Paul)
10:28.0,,,2-2,,Violation by L. Nance (kicked ball)
10:24.0,C. Paul makes 2-pt shot from 17 ft,2,4-2,,
10:12.0,Personal foul by J. Redick (drawn by L. Nance),,4-2,,
10:02.0,,,4-2,,Turnover by K. Bryant (bad pass; steal by C. Paul)
9:56.0,B. Griffin makes 2-pt shot from 1 ft,2,6-2,,
9:47.0,,,6-4,2,R. Hibbert makes 2-pt shot at rim (assist by L. Williams)
9:35.0,C. Paul misses 3-pt shot from 25 ft,,6-4,,
9:31.0,Offensive rebound by D. Jordan,,6-4,,
9:31.0,D. Jordan makes 2-pt shot from 11 ft,2,8-4,,
9:07.0,,,8-6,2,R. Hibbert makes 2-pt shot from 2 ft (assist by K. Bryant)
8:48.0,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin),2,10-6,,
8:35.0,,,10-8,2,R. Hibbert makes 2-pt shot from 17 ft (assist by J. Clarkson)
8:21.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,12-8,,
8:09.0,,,12-8,,Turnover by J. Clarkson (bad pass; steal by D. Jordan)
7:48.0,C. Paul makes 2-pt shot from 4 ft,2,14-8,,
7:35.0,,,14-8,,Shooting foul by B. Griffin (drawn by L. Williams)
7:35.0,,,14-8,,L. Williams misses free throw 1 of 2
7:35.0,,,14-8,,Offensive rebound by Team
7:35.0,,,14-9,1,L. Williams makes free throw 2 of 2
7:24.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,17-9,,
7:09.0,,,17-9,,K. Bryant misses 2-pt shot from 12 ft
7:08.0,Defensive rebound by D. Jordan,,17-9,,
6:51.0,C. Paul misses 3-pt shot from 25 ft,,17-9,,
