time,New Orleans,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (N. Cole gains possession),,,,Jump ball: S. Adams vs. A. Davis (N. Cole gains possession)
11:46.0,A. Davis makes 2-pt shot from 21 ft (assist by N. Cole),2,2-0,,
11:28.0,,,2-0,,Turnover by K. Durant (bad pass; steal by A. Gee)
11:22.0,A. Davis makes 2-pt shot from 11 ft (assist by A. Gee),2,4-0,,
11:03.0,,,4-0,,R. Westbrook misses 3-pt shot from 23 ft
11:03.0,,,4-0,,Offensive rebound by S. Adams
10:59.0,,,4-0,,Turnover by S. Adams (bad pass; steal by A. Davis)
10:51.0,O. Asik makes 2-pt shot at rim (assist by N. Cole),2,6-0,,
10:32.0,,,6-3,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Ibaka)
10:15.0,N. Cole misses 2-pt shot from 3 ft,,6-3,,
10:14.0,,,6-3,,Defensive rebound by S. Ibaka
10:08.0,,,6-5,2,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant)
9:52.0,Turnover by A. Davis (bad pass),,6-5,,
9:38.0,,,6-5,,R. Westbrook misses 2-pt shot from 13 ft
9:38.0,Defensive rebound by O. Asik,,6-5,,
9:28.0,A. Davis misses 3-pt shot from 24 ft,,6-5,,
9:28.0,,,6-5,,Defensive rebound by Team
9:07.0,,,6-5,,K. Durant misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by N. Cole,,6-5,,
8:52.0,A. Davis misses 2-pt shot from 9 ft (block by S. Ibaka),,6-5,,
8:51.0,,,6-5,,Defensive rebound by R. Westbrook
8:46.0,,,6-7,2,R. Westbrook makes 2-pt shot from 1 ft
8:33.0,N. Cole misses 2-pt shot from 15 ft,,6-7,,
8:33.0,,,6-7,,Defensive rebound by R. Westbrook
8:22.0,,,6-7,,R. Westbrook misses 2-pt shot from 5 ft
8:21.0,Defensive rebound by A. Davis,,6-7,,
8:15.0,D. Cunningham makes 2-pt shot from 15 ft (assist by A. Davis),2,8-7,,
7:55.0,,,8-9,2,S. Adams makes 2-pt shot from 8 ft (assist by S. Ibaka)
7:43.0,N. Cole makes 2-pt shot from 13 ft,2,10-9,,
7:28.0,,,10-11,2,K. Durant makes 2-pt shot from 12 ft (assist by R. Westbrook)
7:20.0,,,10-11,,Personal foul by R. Westbrook (drawn by N. Cole)
7:16.0,N. Cole misses 2-pt shot from 8 ft,,10-11,,
7:15.0,,,10-11,,Defensive rebound by D. Waiters
7:01.0,,,10-11,,S. Ibaka misses 2-pt shot from 18 ft
7:01.0,Defensive rebound by O. Asik,,10-11,,
6:50.0,Shooting foul by S. Ibaka (drawn by A. Davis),,10-11,,
6:50.0,A. Davis misses free throw 1 of 2,,10-11,,
6:50.0,Offensive rebound by Team,,10-11,,
6:50.0,A. Davis makes free throw 2 of 2,1,11-11,,
