time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Plumlee (G. Antetokounmpo gains possession),,,,Jump ball: A. Johnson vs. M. Plumlee (G. Antetokounmpo gains possession)
11:43.0,,,0-0,,O. Mayo misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by J. Sullinger,,0-0,,
11:25.0,A. Bradley makes 2-pt shot at rim (assist by J. Sullinger),2,2-0,,
11:12.0,,,2-0,,J. Parker misses 2-pt shot from 14 ft
11:11.0,Defensive rebound by J. Sullinger,,2-0,,
11:02.0,Turnover by I. Thomas (bad pass),,2-0,,
10:47.0,,,2-0,,O. Mayo misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by J. Sullinger,,2-0,,
10:39.0,,,2-0,,Personal foul by O. Mayo (drawn by I. Thomas)
10:29.0,A. Bradley misses 3-pt shot from 24 ft,,2-0,,
10:27.0,,,2-0,,Defensive rebound by J. Parker
10:23.0,,,2-2,2,J. Parker makes 2-pt shot at rim
10:08.0,J. Sullinger makes 2-pt shot from 19 ft (assist by A. Bradley),2,4-2,,
9:55.0,,,4-2,,Turnover by K. Middleton (bad pass; steal by J. Crowder)
9:52.0,A. Bradley makes 2-pt shot at rim (assist by J. Crowder),2,6-2,,
9:41.0,Personal foul by I. Thomas (drawn by O. Mayo),,6-2,,
9:31.0,,,6-2,,K. Middleton misses 2-pt shot from 12 ft
9:30.0,Defensive rebound by J. Sullinger,,6-2,,
9:19.0,I. Thomas misses 2-pt shot from 3 ft,,6-2,,
9:18.0,,,6-2,,Defensive rebound by K. Middleton
9:11.0,,,6-4,2,K. Middleton makes 2-pt shot from 1 ft
9:02.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger),2,8-4,,
9:02.0,Shooting foul by O. Mayo (drawn by J. Crowder),,8-4,,
9:02.0,,,8-4,,M. Carter-Williams enters the game for O. Mayo
9:02.0,J. Crowder makes free throw 1 of 1,1,9-4,,
8:54.0,,,9-6,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
8:41.0,Turnover by J. Sullinger (bad pass; steal by J. Parker),,9-6,,
8:41.0,Personal foul by J. Crowder (drawn by G. Antetokounmpo),,9-6,,
8:33.0,,,9-6,,K. Middleton misses 2-pt shot from 16 ft
8:32.0,Defensive rebound by J. Crowder,,9-6,,
8:29.0,A. Bradley makes 2-pt shot at rim (assist by J. Crowder),2,11-6,,
8:20.0,,,11-6,,Turnover by M. Carter-Williams (bad pass; steal by A. Johnson)
8:16.0,Turnover by A. Bradley (bad pass),,11-6,,
8:02.0,,,11-6,,M. Plumlee misses 2-pt shot from 16 ft
8:00.0,Defensive rebound by J. Sullinger,,11-6,,
7:43.0,J. Sullinger misses 2-pt shot from 5 ft (block by M. Plumlee),,11-6,,
7:41.0,,,11-6,,Defensive rebound by M. Plumlee
7:33.0,Personal block foul by A. Johnson (drawn by J. Parker),,11-6,,
7:33.0,,,11-6,,G. Monroe enters the game for M. Plumlee
7:18.0,,,11-6,,J. Parker misses 2-pt shot from 14 ft
7:17.0,Defensive rebound by A. Bradley,,11-6,,
7:05.0,Shooting foul by K. Middleton (drawn by I. Thomas),,11-6,,
7:05.0,I. Thomas makes free throw 1 of 2,1,12-6,,
7:05.0,I. Thomas makes free throw 2 of 2,1,13-6,,
6:50.0,,,13-8,2,M. Carter-Williams makes 2-pt shot from 4 ft
6:36.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Sullinger),3,16-8,,
6:17.0,,,16-10,2,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
6:04.0,J. Crowder makes 2-pt shot from 20 ft (assist by A. Bradley),2,18-10,,
5:47.0,,,18-10,,G. Monroe misses 2-pt shot at rim
5:45.0,Defensive rebound by A. Johnson,,18-10,,
5:41.0,,,18-10,,Personal block foul by M. Carter-Williams (drawn by I. Thomas)
5:41.0,,,18-10,,Milwaukee full timeout
5:41.0,,,18-10,,J. Bayless enters the game for J. Parker
5:30.0,J. Crowder makes 2-pt shot from 14 ft (assist by I. Thomas),2,20-10,,
5:14.0,,,20-10,,G. Monroe misses 2-pt shot from 1 ft
5:12.0,,,20-10,,Offensive rebound by G. Monroe
5:11.0,,,20-12,2,G. Monroe makes 2-pt shot from 1 ft
4:53.0,I. Thomas makes 2-pt shot from 1 ft,2,22-12,,
4:38.0,,,22-12,,G. Antetokounmpo misses 2-pt shot from 18 ft
4:37.0,Defensive rebound by A. Bradley,,22-12,,
4:34.0,Offensive foul by A. Johnson,,22-12,,
4:34.0,Turnover by A. Johnson (offensive foul),,22-12,,
4:34.0,M. Smart enters the game for J. Sullinger,,22-12,,
4:34.0,E. Turner enters the game for A. Bradley,,22-12,,
4:25.0,,,22-12,,Shooting foul by A. Johnson (drawn by G. Antetokounmpo)
4:25.0,,,22-13,1,G. Antetokounmpo makes free throw 1 of 2
4:25.0,,,22-14,1,G. Antetokounmpo makes free throw 2 of 2
4:12.0,M. Smart misses 3-pt shot from 26 ft,,22-14,,
4:10.0,,,22-14,,Defensive rebound by G. Monroe
3:58.0,,,22-14,,G. Antetokounmpo misses 2-pt shot from 6 ft
3:57.0,Defensive rebound by J. Crowder,,22-14,,
