time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. K. Towns (B. Knight gains possession),,,,Jump ball: A. Len vs. K. Towns (B. Knight gains possession)
11:39.0,,,0-0,,Turnover by E. Bledsoe (bad pass; steal by R. Rubio)
11:34.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,2-0,,
11:23.0,,,2-0,,E. Bledsoe misses 2-pt shot from 7 ft
11:21.0,,,2-0,,Offensive rebound by B. Knight
11:19.0,,,2-0,,A. Len misses 2-pt shot from 2 ft (block by K. Towns)
11:18.0,Jump ball: A. Len vs. K. Towns (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. K. Towns (E. Bledsoe gains possession)
11:18.0,,,2-0,,Offensive rebound by Team
11:14.0,,,2-0,,B. Knight misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by K. Martin,,2-0,,
10:48.0,K. Towns misses 2-pt shot from 9 ft,,2-0,,
10:44.0,,,2-0,,Defensive rebound by P. Tucker
10:32.0,,,2-0,,J. Leuer misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by K. Martin,,2-0,,
10:20.0,Shooting foul by J. Leuer (drawn by K. Garnett),,2-0,,
10:20.0,K. Garnett makes free throw 1 of 2,1,3-0,,
10:20.0,K. Garnett makes free throw 2 of 2,1,4-0,,
10:07.0,,,4-0,,P. Tucker misses 2-pt shot from 5 ft
10:04.0,Defensive rebound by K. Garnett,,4-0,,
9:55.0,K. Martin misses 3-pt shot from 25 ft,,4-0,,
9:53.0,,,4-0,,Defensive rebound by J. Leuer
9:39.0,,,4-0,,Shooting foul by A. Wiggins (drawn by A. Len)
9:39.0,,,4-1,1,A. Len makes free throw 1 of 2
9:39.0,,,4-2,1,A. Len makes free throw 2 of 2
9:21.0,K. Towns makes 2-pt shot from 2 ft,2,6-2,,
9:04.0,,,6-2,,Shooting foul by K. Towns (drawn by A. Len)
9:04.0,,,6-3,1,A. Len makes free throw 1 of 2
9:04.0,,,6-4,1,A. Len makes free throw 2 of 2
8:55.0,,,6-4,,Personal foul by A. Len (drawn by K. Towns)
8:49.0,R. Rubio misses 2-pt shot from 21 ft,,6-4,,
8:47.0,,,6-4,,Defensive rebound by J. Leuer
8:42.0,Personal foul by R. Rubio (drawn by B. Knight),,6-4,,
8:37.0,,,6-4,,Turnover by B. Knight (bad pass)
8:29.0,,,6-4,,Shooting block foul by J. Leuer (drawn by R. Rubio)
8:29.0,R. Rubio misses free throw 1 of 2,,6-4,,
8:29.0,Offensive rebound by Team,,6-4,,
8:29.0,,,6-4,,M. Teletovic enters the game for J. Leuer
8:29.0,R. Rubio makes free throw 2 of 2,1,7-4,,
8:16.0,,,7-4,,Turnover by B. Knight (bad pass; steal by R. Rubio)
8:14.0,Turnover by A. Wiggins (bad pass; steal by B. Knight),,7-4,,
8:05.0,,,7-4,,M. Teletovic misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by R. Rubio,,7-4,,
8:01.0,,,7-4,,Personal foul by B. Knight (drawn by A. Wiggins)
7:54.0,K. Martin makes 3-pt shot from 23 ft (assist by R. Rubio),3,10-4,,
7:36.0,,,10-7,3,B. Knight makes 3-pt shot from 22 ft (assist by A. Len)
7:17.0,A. Wiggins makes 2-pt shot from 18 ft (assist by K. Garnett),2,12-7,,
7:07.0,,,12-7,,Shooting foul by K. Towns (drawn by A. Len)
7:07.0,,,12-8,1,A. Len makes free throw 1 of 2
7:07.0,G. Dieng enters the game for K. Towns,,12-8,,
7:07.0,,,12-9,1,A. Len makes free throw 2 of 2
6:49.0,K. Martin makes 2-pt shot from 6 ft,2,14-9,,
6:37.0,,,14-11,2,E. Bledsoe makes 2-pt shot from 1 ft
6:24.0,R. Rubio misses 3-pt shot from 24 ft,,14-11,,
6:22.0,,,14-11,,Defensive rebound by A. Len
6:07.0,,,14-11,,Turnover by E. Bledsoe (bad pass)
6:02.0,Minnesota full timeout,,14-11,,
6:02.0,N. Bjelica enters the game for K. Garnett,,14-11,,
5:56.0,A. Wiggins misses 2-pt shot from 20 ft,,14-11,,
5:54.0,,,14-11,,Defensive rebound by B. Knight
5:35.0,,,14-13,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
5:20.0,Shooting foul by P. Tucker (drawn by A. Wiggins),,14-13,,
5:20.0,A. Wiggins makes free throw 1 of 2,1,15-13,,
5:20.0,A. Wiggins makes free throw 2 of 2,1,16-13,,
5:04.0,Shooting block foul by G. Dieng (drawn by A. Len),,16-13,,
5:04.0,,,16-14,1,A. Len makes free throw 1 of 2
5:04.0,,,16-14,,T. Warren enters the game for P. Tucker
5:04.0,,,16-15,1,A. Len makes free throw 2 of 2
4:49.0,K. Martin misses 2-pt shot from 15 ft,,16-15,,
4:46.0,Offensive rebound by R. Rubio,,16-15,,
4:41.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,18-15,,
4:27.0,,,18-15,,Offensive foul by M. Teletovic
4:27.0,,,18-15,,Turnover by M. Teletovic (offensive foul)
