time,Detroit,pts.away,score,pts.home,San Antonio
0:34.0,,,24-26,,P. Mills misses 2-pt shot from 19 ft
0:33.0,Defensive rebound by R. Bullock,,24-26,,
0:16.0,R. Bullock makes 2-pt shot from 13 ft (assist by A. Baynes),2,26-26,,
0:03.0,,,26-28,2,K. Leonard makes 2-pt shot from 17 ft
0:00.0,K. Caldwell-Pope misses 3-pt shot from 36 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Morris misses 2-pt shot from 17 ft,,26-28,,
11:42.0,,,26-28,,Defensive rebound by P. Mills
11:30.0,,,26-28,,K. Anderson misses 2-pt shot from 13 ft
11:29.0,Defensive rebound by A. Baynes,,26-28,,
11:06.0,M. Morris makes 2-pt shot at rim,2,28-28,,
10:52.0,,,28-28,,P. Mills misses 2-pt shot from 17 ft
10:51.0,Defensive rebound by R. Bullock,,28-28,,
10:44.0,Shooting foul by D. West (drawn by A. Baynes),,28-28,,
10:44.0,A. Baynes makes free throw 1 of 2,1,29-28,,
10:44.0,A. Baynes makes free throw 2 of 2,1,30-28,,
10:29.0,,,30-28,,Offensive foul by D. West
10:29.0,,,30-28,,Turnover by D. West (offensive foul)
10:13.0,M. Morris makes 2-pt shot from 16 ft,2,32-28,,
10:04.0,Personal foul by M. Morris (drawn by B. Diaw),,32-28,,
9:53.0,,,32-28,,D. West misses 2-pt shot from 15 ft
9:52.0,Defensive rebound by D. Hilliard,,32-28,,
9:49.0,Offensive foul by A. Baynes,,32-28,,
9:49.0,Turnover by A. Baynes (offensive foul),,32-28,,
9:31.0,,,32-28,,D. West misses 2-pt shot from 7 ft
9:30.0,Defensive rebound by M. Morris,,32-28,,
9:26.0,Turnover by M. Morris (traveling),,32-28,,
9:13.0,,,32-30,2,K. Anderson makes 2-pt shot from 11 ft (assist by P. Mills)
9:13.0,,,32-30,,Shooting foul by S. Blake (drawn by K. Anderson)
9:13.0,,,32-31,1,K. Anderson makes free throw 1 of 1
8:59.0,S. Blake misses 2-pt shot from 19 ft,,32-31,,
8:58.0,,,32-31,,Defensive rebound by B. Diaw
8:42.0,,,32-33,2,B. Diaw makes 2-pt shot from 4 ft (assist by P. Mills)
8:23.0,A. Baynes makes 2-pt shot from 5 ft (assist by D. Hilliard),2,34-33,,
8:09.0,,,34-36,3,B. Diaw makes 3-pt shot from 23 ft (assist by P. Mills)
7:53.0,D. Hilliard misses 3-pt shot from 23 ft,,34-36,,
7:52.0,,,34-36,,Defensive rebound by K. Anderson
7:43.0,,,34-38,2,K. Anderson makes 2-pt shot from 14 ft
7:36.0,Detroit full timeout,,34-38,,
7:36.0,A. Drummond enters the game for A. Baynes,,34-38,,
7:29.0,M. Morris misses 2-pt shot from 18 ft,,34-38,,
7:28.0,,,34-38,,Defensive rebound by K. Anderson
7:19.0,,,34-40,2,D. West makes 2-pt shot from 2 ft (assist by P. Mills)
7:08.0,Turnover by S. Blake (bad pass),,34-40,,
7:08.0,,,34-40,,T. Parker enters the game for P. Mills
6:47.0,,,34-40,,B. Diaw misses 2-pt shot from 19 ft
6:46.0,Defensive rebound by S. Blake,,34-40,,
6:39.0,,,34-40,,Violation by J. Simmons (def goaltending)
6:39.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,36-40,,
6:19.0,,,36-40,,D. West misses 2-pt shot from 19 ft
6:18.0,Defensive rebound by R. Bullock,,36-40,,
6:08.0,S. Blake makes 3-pt shot from 25 ft,3,39-40,,
6:08.0,,,39-40,,San Antonio full timeout
6:08.0,,,39-40,,L. Aldridge enters the game for B. Diaw
6:08.0,,,39-40,,T. Duncan enters the game for K. Anderson
6:08.0,,,39-40,,D. Green enters the game for J. Simmons
6:08.0,,,39-40,,K. Leonard enters the game for D. West
6:08.0,T. Harris enters the game for S. Blake,,39-40,,
6:08.0,R. Jackson enters the game for M. Morris,,39-40,,
6:08.0,K. Caldwell-Pope enters the game for D. Hilliard,,39-40,,
5:55.0,,,39-40,,D. Green misses 2-pt shot from 17 ft
5:54.0,Defensive rebound by A. Drummond,,39-40,,
5:38.0,R. Bullock makes 3-pt shot from 26 ft (assist by T. Harris),3,42-40,,
5:11.0,,,42-40,,K. Leonard misses 2-pt shot from 19 ft
5:09.0,Defensive rebound by A. Drummond,,42-40,,
4:57.0,Turnover by A. Drummond (lost ball),,42-40,,
4:42.0,,,42-40,,D. Green misses 3-pt shot from 23 ft
4:40.0,Defensive rebound by A. Drummond,,42-40,,
4:35.0,R. Jackson misses 3-pt shot from 26 ft,,42-40,,
4:33.0,,,42-40,,Defensive rebound by T. Duncan
4:22.0,,,42-40,,Turnover by L. Aldridge (bad pass; steal by R. Jackson)
4:16.0,T. Harris makes 2-pt shot from 1 ft,2,44-40,,
4:01.0,,,44-40,,L. Aldridge misses 2-pt shot from 19 ft
4:00.0,Defensive rebound by A. Drummond,,44-40,,
3:49.0,R. Jackson makes 2-pt shot from 2 ft,2,46-40,,
3:31.0,,,46-40,,Turnover by T. Parker (dbl dribble)
3:16.0,T. Harris misses 2-pt shot from 15 ft,,46-40,,
3:15.0,,,46-40,,Defensive rebound by T. Parker
3:11.0,Personal foul by K. Caldwell-Pope (drawn by T. Parker),,46-40,,
3:03.0,,,46-42,2,T. Duncan makes 2-pt shot from 6 ft (assist by K. Leonard)
2:50.0,R. Jackson misses 2-pt shot from 7 ft,,46-42,,
2:49.0,,,46-42,,Defensive rebound by K. Leonard
2:41.0,,,46-44,2,K. Leonard makes 2-pt shot from 2 ft
2:30.0,,,46-44,,Personal foul by K. Leonard (drawn by R. Jackson)
2:30.0,Official timeout,,46-44,,
2:30.0,A. Baynes enters the game for A. Drummond,,46-44,,
2:17.0,T. Harris makes 3-pt shot from 24 ft (assist by R. Jackson),3,49-44,,
1:56.0,,,49-46,2,T. Duncan makes 2-pt shot from 6 ft
1:41.0,,,49-46,,Personal foul by T. Parker (drawn by R. Jackson)
1:32.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Green),,49-46,,
1:23.0,,,49-48,2,L. Aldridge makes 2-pt shot from 3 ft (assist by T. Duncan)
1:08.0,T. Harris makes 2-pt shot at rim (assist by R. Jackson),2,51-48,,
0:50.0,,,51-50,2,K. Leonard makes 2-pt shot from 2 ft
0:31.0,Turnover by R. Jackson (bad pass; steal by T. Duncan),,51-50,,
0:13.0,,,51-52,2,K. Leonard makes 2-pt shot from 8 ft
0:01.0,R. Jackson misses 2-pt shot from 17 ft,,51-52,,
0:00.0,,,51-52,,Defensive rebound by K. Leonard
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Morris misses 2-pt shot from 15 ft,,51-52,,
11:45.0,,,51-52,,Defensive rebound by L. Aldridge
11:25.0,,,51-54,2,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green)
11:06.0,A. Drummond misses 2-pt shot from 1 ft,,51-54,,
11:04.0,,,51-54,,Defensive rebound by T. Duncan
10:49.0,,,51-56,2,T. Parker makes 2-pt shot from 13 ft (assist by L. Aldridge)
10:27.0,M. Morris makes 3-pt shot from 24 ft (assist by T. Harris),3,54-56,,
10:04.0,,,54-58,2,T. Parker makes 2-pt shot from 18 ft
9:50.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,54-58,,
9:48.0,,,54-58,,Defensive rebound by K. Leonard
