time,Detroit,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gasol (E. Ilyasova gains possession),,,,Jump ball: A. Drummond vs. M. Gasol (E. Ilyasova gains possession)
11:47.0,Turnover by R. Jackson (bad pass; steal by T. Allen),,0-0,,
11:27.0,,,0-0,,M. Gasol misses 2-pt shot from 12 ft
11:26.0,Defensive rebound by M. Morris,,0-0,,
11:16.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,3-0,,
10:56.0,,,3-0,,Z. Randolph misses 2-pt shot from 3 ft
10:56.0,,,3-0,,Offensive rebound by Team
10:48.0,,,3-0,,T. Allen misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by E. Ilyasova,,3-0,,
10:40.0,R. Jackson makes 2-pt shot at rim (assist by E. Ilyasova),2,5-0,,
10:13.0,,,5-0,,C. Lee misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by A. Drummond,,5-0,,
9:55.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,5-0,,
9:54.0,,,5-0,,Defensive rebound by M. Gasol
9:43.0,,,5-2,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Gasol)
9:18.0,E. Ilyasova misses 3-pt shot from 25 ft,,5-2,,
9:17.0,,,5-2,,Defensive rebound by T. Allen
9:00.0,,,5-2,,Z. Randolph misses 2-pt shot from 13 ft
8:59.0,Defensive rebound by E. Ilyasova,,5-2,,
8:51.0,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by M. Morris),2,7-2,,
8:33.0,,,7-4,2,M. Chalmers makes 2-pt shot from 8 ft
8:09.0,M. Morris makes 2-pt shot from 8 ft,2,9-4,,
7:46.0,,,9-4,,C. Lee misses 2-pt shot from 1 ft
7:46.0,,,9-4,,Offensive rebound by Team
7:46.0,Loose ball foul by E. Ilyasova (drawn by Z. Randolph),,9-4,,
7:38.0,,,9-6,2,M. Chalmers makes 2-pt shot from 1 ft
7:26.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,11-6,,
7:03.0,,,11-6,,Shooting foul by R. Jackson (drawn by M. Chalmers)
7:03.0,,,11-7,1,M. Chalmers makes free throw 1 of 2
7:03.0,,,11-8,1,M. Chalmers makes free throw 2 of 2
6:51.0,M. Morris misses 2-pt shot from 14 ft,,11-8,,
6:48.0,Offensive rebound by E. Ilyasova,,11-8,,
6:48.0,E. Ilyasova misses 2-pt shot from 1 ft,,11-8,,
6:47.0,Offensive rebound by A. Drummond,,11-8,,
6:47.0,A. Drummond misses 2-pt shot at rim,,11-8,,
6:46.0,,,11-8,,Defensive rebound by M. Gasol
6:40.0,,,11-10,2,M. Chalmers makes 2-pt shot at rim
6:19.0,M. Morris misses 3-pt shot from 23 ft,,11-10,,
6:18.0,Offensive rebound by A. Drummond,,11-10,,
6:18.0,A. Drummond misses 2-pt shot at rim,,11-10,,
6:16.0,Offensive rebound by E. Ilyasova,,11-10,,
6:11.0,E. Ilyasova makes 2-pt shot from 4 ft,2,13-10,,
5:59.0,,,13-10,,Offensive charge foul by Z. Randolph
5:59.0,,,13-10,,Turnover by Z. Randolph (offensive foul)
5:59.0,,,13-10,,Memphis full timeout
5:50.0,K. Caldwell-Pope makes 2-pt shot from 5 ft,2,15-10,,
5:50.0,Loose ball foul by A. Drummond (drawn by M. Gasol),,15-10,,
5:33.0,,,15-12,2,C. Lee makes 2-pt shot from 5 ft (assist by M. Gasol)
5:09.0,E. Ilyasova misses 3-pt shot from 24 ft,,15-12,,
5:08.0,,,15-12,,Defensive rebound by C. Lee
4:56.0,,,15-14,2,Z. Randolph makes 2-pt shot from 5 ft
4:42.0,A. Drummond misses 2-pt shot from 4 ft (block by M. Gasol),,15-14,,
4:42.0,,,15-14,,Defensive rebound by Team
4:42.0,,,15-14,,M. Barnes enters the game for T. Allen
4:16.0,,,15-14,,M. Chalmers misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by A. Drummond,,15-14,,
3:59.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Morris),3,18-14,,
3:42.0,S. Johnson enters the game for M. Morris,,18-14,,
3:36.0,,,18-14,,M. Barnes misses 2-pt shot from 19 ft
3:36.0,Defensive rebound by A. Drummond,,18-14,,
3:28.0,R. Jackson makes 3-pt shot from 25 ft,3,21-14,,
3:07.0,,,21-14,,C. Lee misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by E. Ilyasova,,21-14,,
2:54.0,A. Drummond misses 2-pt shot from 3 ft,,21-14,,
2:54.0,,,21-14,,Defensive rebound by Team
2:54.0,Detroit full timeout,,21-14,,
2:54.0,,,21-14,,J. Green enters the game for Z. Randolph
2:54.0,B. Jennings enters the game for R. Jackson,,21-14,,
2:36.0,,,21-14,,M. Gasol misses 2-pt shot from 5 ft
2:32.0,,,21-14,,Offensive rebound by J. Green
2:32.0,,,21-16,2,J. Green makes 2-pt shot at rim
2:21.0,Shooting foul by M. Gasol (drawn by A. Drummond),,21-16,,
2:21.0,A. Drummond misses free throw 1 of 2,,21-16,,
2:21.0,Offensive rebound by Team,,21-16,,
2:21.0,A. Drummond makes free throw 2 of 2,1,22-16,,
2:04.0,,,22-16,,C. Lee misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by S. Johnson,,22-16,,
1:46.0,Turnover by A. Drummond (lost ball; steal by M. Gasol),,22-16,,
1:37.0,,,22-19,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Lee)
1:11.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,22-19,,
1:11.0,,,22-19,,Defensive rebound by M. Chalmers
0:59.0,,,22-19,,M. Gasol misses 2-pt shot from 17 ft
0:59.0,Defensive rebound by E. Ilyasova,,22-19,,
0:46.0,E. Ilyasova makes 2-pt shot at rim (assist by B. Jennings),2,24-19,,
0:34.0,,,24-19,,Turnover by M. Chalmers (bad pass)
0:34.0,,,24-19,,V. Carter enters the game for C. Lee
0:23.0,S. Johnson misses 3-pt shot from 25 ft,,24-19,,
0:22.0,Offensive rebound by E. Ilyasova,,24-19,,
0:18.0,E. Ilyasova misses 2-pt shot at rim,,24-19,,
0:18.0,,,24-19,,Defensive rebound by V. Carter
0:18.0,Personal foul by E. Ilyasova (drawn by V. Carter),,24-19,,
0:18.0,A. Tolliver enters the game for E. Ilyasova,,24-19,,
