time,New York,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (C. Frye gains possession)
11:46.0,,,0-2,2,T. Harris makes 2-pt shot from 15 ft
11:46.0,,,0-2,,Shooting foul by C. Anthony (drawn by T. Harris)
11:46.0,,,0-3,1,T. Harris makes free throw 1 of 1
11:31.0,Shooting foul by T. Harris (drawn by C. Anthony),,0-3,,
11:31.0,C. Anthony misses free throw 1 of 3,,0-3,,
11:31.0,Offensive rebound by Team,,0-3,,
11:31.0,C. Anthony makes free throw 2 of 3,1,1-3,,
11:31.0,C. Anthony makes free throw 3 of 3,1,2-3,,
11:15.0,,,2-3,,E. Fournier misses 2-pt shot from 13 ft
11:14.0,Defensive rebound by C. Anthony,,2-3,,
11:00.0,K. Porzingis misses 3-pt shot from 23 ft,,2-3,,
10:59.0,Offensive rebound by R. Lopez,,2-3,,
10:59.0,R. Lopez makes 2-pt shot from 2 ft,2,4-3,,
10:40.0,,,4-5,2,N. Vucevic makes 2-pt shot from 7 ft
10:25.0,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony),3,7-5,,
10:05.0,,,7-5,,E. Fournier misses 2-pt shot from 10 ft
10:04.0,Defensive rebound by A. Afflalo,,7-5,,
9:57.0,C. Anthony misses 2-pt shot from 17 ft,,7-5,,
9:55.0,Offensive rebound by R. Lopez,,7-5,,
9:52.0,C. Anthony makes 2-pt shot from 17 ft (assist by R. Lopez),2,9-5,,
9:38.0,,,9-5,,E. Fournier misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by Team,,9-5,,
9:22.0,Turnover by J. Calderon (traveling),,9-5,,
9:08.0,,,9-5,,N. Vucevic misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by C. Anthony,,9-5,,
9:01.0,Turnover by C. Anthony (bad pass; steal by N. Vucevic),,9-5,,
8:57.0,,,9-5,,N. Vucevic misses 2-pt shot at rim (block by K. Porzingis)
8:57.0,,,9-5,,Offensive rebound by Team
8:55.0,,,9-5,,C. Frye misses 2-pt shot from 1 ft (block by R. Lopez)
8:51.0,Defensive rebound by C. Anthony,,9-5,,
8:33.0,A. Afflalo misses 2-pt shot from 11 ft,,9-5,,
8:31.0,Offensive rebound by R. Lopez,,9-5,,
8:31.0,R. Lopez misses 2-pt shot from 2 ft,,9-5,,
8:29.0,Offensive rebound by R. Lopez,,9-5,,
8:29.0,R. Lopez misses 2-pt shot from 1 ft,,9-5,,
8:27.0,,,9-5,,Defensive rebound by T. Harris
8:12.0,,,9-5,,E. Payton misses 2-pt shot from 17 ft
8:11.0,Defensive rebound by C. Anthony,,9-5,,
7:55.0,R. Lopez makes 2-pt shot from 8 ft,2,11-5,,
7:37.0,,,11-7,2,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic)
7:21.0,K. Porzingis misses 2-pt shot from 7 ft,,11-7,,
7:18.0,,,11-7,,Defensive rebound by T. Harris
