time,Phoenix,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Noel (A. Len gains possession),,,,Jump ball: T. Chandler vs. N. Noel (A. Len gains possession)
11:42.0,A. Len makes 2-pt shot from 17 ft (assist by P. Tucker),2,2-0,,
11:31.0,,,2-0,,R. Covington misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by P. Tucker,,2-0,,
11:11.0,D. Booker misses 2-pt shot from 22 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by I. Smith
10:59.0,,,2-2,2,N. Noel makes 2-pt shot from 1 ft (assist by I. Smith)
10:40.0,A. Len makes 2-pt shot from 3 ft (assist by D. Booker),2,4-2,,
10:27.0,,,4-2,,J. Grant misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by A. Goodwin,,4-2,,
10:19.0,Turnover by P. Tucker (bad pass; steal by N. Noel),,4-2,,
10:16.0,,,4-2,,Shooting foul by A. Len (drawn by N. Noel)
10:16.0,,,4-3,1,N. Noel makes free throw 1 of 2
10:16.0,,,4-4,1,N. Noel makes free throw 2 of 2
10:05.0,D. Booker makes 2-pt shot from 2 ft (assist by P. Tucker),2,6-4,,
9:45.0,,,6-7,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
9:25.0,A. Len makes 2-pt shot from 18 ft (assist by A. Goodwin),2,8-7,,
9:08.0,,,8-7,,N. Stauskas misses 3-pt shot from 23 ft
9:07.0,,,8-7,,Offensive rebound by N. Noel
9:05.0,,,8-7,,N. Noel misses 2-pt shot from 1 ft (block by T. Chandler)
9:03.0,Defensive rebound by A. Len,,8-7,,
8:58.0,P. Tucker misses 2-pt shot from 13 ft (block by J. Grant),,8-7,,
8:55.0,Offensive rebound by A. Goodwin,,8-7,,
8:55.0,Phoenix full timeout,,8-7,,
8:42.0,A. Len misses 2-pt shot from 17 ft,,8-7,,
8:39.0,,,8-7,,Defensive rebound by N. Noel
8:34.0,,,8-7,,J. Grant misses 2-pt shot at rim
8:34.0,Defensive rebound by Team,,8-7,,
8:11.0,P. Tucker misses 3-pt shot from 26 ft,,8-7,,
8:09.0,,,8-7,,Defensive rebound by Team
7:53.0,,,8-7,,I. Smith misses 2-pt shot at rim
7:52.0,Jump ball: A. Len vs. N. Noel (R. Covington gains possession),,,,Jump ball: A. Len vs. N. Noel (R. Covington gains possession)
7:52.0,,,8-7,,Offensive rebound by Team
7:44.0,,,8-10,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
7:30.0,D. Booker misses 3-pt shot from 25 ft,,8-10,,
7:28.0,,,8-10,,Defensive rebound by N. Noel
7:20.0,,,8-10,,N. Stauskas misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by A. Len,,8-10,,
7:12.0,T. Chandler makes 2-pt shot at rim (assist by A. Goodwin),2,10-10,,
7:06.0,,,10-12,2,I. Smith makes 2-pt shot from 4 ft
6:52.0,A. Goodwin misses 2-pt shot from 2 ft (block by N. Noel),,10-12,,
6:50.0,,,10-12,,Defensive rebound by N. Stauskas
6:46.0,,,10-14,2,I. Smith makes 2-pt shot from 1 ft
6:28.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,12-14,,
6:15.0,,,12-16,2,I. Smith makes 2-pt shot from 12 ft
5:56.0,A. Goodwin makes 2-pt shot at rim (assist by T. Chandler),2,14-16,,
5:32.0,,,14-16,,I. Smith misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by A. Len,,14-16,,
5:21.0,P. Tucker makes 3-pt shot from 22 ft (assist by A. Goodwin),3,17-16,,
5:20.0,,,17-16,,Philadelphia full timeout
5:20.0,,,17-16,,R. Holmes enters the game for J. Grant
5:20.0,,,17-16,,H. Thompson enters the game for N. Stauskas
5:06.0,,,17-19,3,R. Covington makes 3-pt shot from 25 ft (assist by R. Holmes)
4:39.0,P. Tucker misses 2-pt shot at rim (block by N. Noel),,17-19,,
4:37.0,,,17-19,,Defensive rebound by N. Noel
4:23.0,,,17-19,,Turnover by N. Noel (bad pass; steal by A. Len)
4:13.0,A. Goodwin misses 2-pt shot from 2 ft,,17-19,,
4:11.0,,,17-19,,Defensive rebound by N. Noel
4:02.0,,,17-19,,R. Covington misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by T. Chandler,,17-19,,
3:51.0,A. Goodwin misses 3-pt shot from 26 ft,,17-19,,
3:50.0,,,17-19,,Defensive rebound by I. Smith
3:45.0,,,17-21,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
3:25.0,Shooting foul by H. Thompson (drawn by D. Booker),,17-21,,
3:25.0,D. Booker misses free throw 1 of 2,,17-21,,
3:25.0,Offensive rebound by Team,,17-21,,
3:25.0,M. Morris enters the game for T. Chandler,,17-21,,
3:25.0,,,17-21,,T. McConnell enters the game for I. Smith
3:25.0,D. Booker makes free throw 2 of 2,1,18-21,,
3:11.0,,,18-21,,R. Covington misses 2-pt shot from 2 ft
3:10.0,,,18-21,,Offensive rebound by R. Holmes
3:10.0,,,18-21,,Shooting foul by A. Len (drawn by R. Holmes)
3:10.0,,,18-21,,R. Holmes misses free throw 1 of 2
3:10.0,,,18-21,,Offensive rebound by Team
3:10.0,T. Warren enters the game for D. Booker,,18-21,,
3:10.0,M. Teletovic enters the game for A. Len,,18-21,,
3:10.0,,,18-21,,J. Grant enters the game for N. Noel
3:10.0,,,18-21,,N. Stauskas enters the game for R. Covington
3:10.0,,,18-21,,R. Holmes misses free throw 2 of 2
3:08.0,Defensive rebound by A. Goodwin,,18-21,,
3:01.0,A. Goodwin misses 2-pt shot from 5 ft (block by R. Holmes),,18-21,,
3:00.0,Offensive rebound by Team,,18-21,,
2:57.0,T. Warren makes 2-pt shot from 10 ft (assist by P. Tucker),2,20-21,,
2:39.0,,,20-21,,Shooting foul by A. Goodwin (drawn by J. Grant)
2:39.0,,,20-22,1,J. Grant makes free throw 1 of 2
2:39.0,,,20-23,1,J. Grant makes free throw 2 of 2
2:21.0,M. Teletovic makes 2-pt shot at rim (assist by A. Goodwin),2,22-23,,
2:21.0,Shooting foul by T. McConnell (drawn by M. Teletovic),,22-23,,
2:21.0,M. Teletovic misses free throw 1 of 1,,22-23,,
2:20.0,,,22-23,,Defensive rebound by T. McConnell
2:16.0,,,22-23,,Turnover by T. McConnell (bad pass; steal by A. Goodwin)
2:10.0,T. Warren makes 2-pt shot from 6 ft (assist by P. Tucker),2,24-23,,
1:47.0,,,24-26,3,H. Thompson makes 3-pt shot from 23 ft (assist by T. McConnell)
1:43.0,Offensive foul by A. Goodwin,,24-26,,
1:43.0,Turnover by A. Goodwin (offensive foul),,24-26,,
1:43.0,L. Brown enters the game for A. Goodwin,,24-26,,
1:32.0,,,24-26,,Turnover by T. McConnell (bad pass)
1:21.0,Turnover by L. Brown (lost ball),,24-26,,
1:05.0,Personal foul by L. Brown (drawn by J. Grant),,24-26,,
0:59.0,,,24-29,3,H. Thompson makes 3-pt shot from 24 ft (assist by J. Grant)
0:52.0,Offensive foul by M. Morris,,24-29,,
0:52.0,Turnover by M. Morris (offensive foul),,24-29,,
0:43.0,,,24-31,2,J. Grant makes 2-pt shot from 1 ft (assist by T. McConnell)
0:27.0,M. Teletovic misses 3-pt shot from 25 ft,,24-31,,
0:26.0,,,24-31,,Defensive rebound by J. Grant
0:04.0,,,24-31,,N. Stauskas misses 2-pt shot from 2 ft (block by M. Teletovic)
0:01.0,,,24-31,,Offensive rebound by T. McConnell
0:01.0,,,24-31,,Turnover by Team (shot clock)
0:00.0,M. Teletovic misses 3-pt shot from 29 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
