time,Sacramento,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Koufos (J. Anderson gains possession),,,,Jump ball: D. Howard vs. K. Koufos (J. Anderson gains possession)
11:36.0,K. Koufos misses 2-pt shot from 11 ft (block by D. Motiejunas),,0-0,,
11:35.0,,,0-0,,Defensive rebound by T. Ariza
11:24.0,,,0-2,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by P. Beverley)
11:11.0,S. Curry misses 2-pt shot from 8 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by D. Howard
11:08.0,,,0-4,2,J. Harden makes 2-pt shot from 2 ft (assist by T. Ariza)
10:41.0,S. Curry misses 3-pt shot from 24 ft,,0-4,,
10:41.0,Offensive rebound by Team,,0-4,,
10:41.0,Turnover by Team (shot clock),,0-4,,
10:19.0,,,0-6,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
10:04.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. McLemore),2,2-6,,
9:50.0,,,2-6,,T. Ariza misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by W. Cauley-Stein,,2-6,,
9:37.0,B. McLemore misses 2-pt shot from 7 ft,,2-6,,
9:37.0,,,2-6,,Defensive rebound by Team
9:20.0,Personal foul by B. McLemore,,2-6,,
9:13.0,,,2-6,,J. Harden misses 2-pt shot from 18 ft
9:11.0,,,2-6,,Offensive rebound by D. Motiejunas
9:08.0,,,2-6,,D. Motiejunas misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
9:07.0,,,2-6,,Offensive rebound by T. Ariza
9:06.0,Personal foul by W. Cauley-Stein,,2-6,,
9:01.0,,,2-8,2,D. Howard makes 2-pt shot from 5 ft
8:50.0,Turnover by S. Curry (lost ball; steal by P. Beverley),,2-8,,
8:46.0,,,2-10,2,P. Beverley makes 2-pt shot from 2 ft
8:46.0,Sacramento full timeout,,2-10,,
8:23.0,S. Curry makes 3-pt shot from 22 ft (assist by J. Anderson),3,5-10,,
8:17.0,,,5-10,,Turnover by P. Beverley (lost ball; steal by W. Cauley-Stein)
8:11.0,Turnover by S. Curry (lost ball),,5-10,,
8:04.0,,,5-12,2,D. Howard makes 2-pt shot from 7 ft (assist by P. Beverley)
7:51.0,W. Cauley-Stein misses 2-pt shot from 14 ft,,5-12,,
7:49.0,,,5-12,,Defensive rebound by D. Motiejunas
7:41.0,,,5-15,3,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza)
7:32.0,Turnover by W. Cauley-Stein (traveling),,5-15,,
7:27.0,Shooting block foul by W. Cauley-Stein (drawn by J. Harden),,5-15,,
7:27.0,,,5-16,1,J. Harden makes free throw 1 of 2
7:27.0,Q. Acy enters the game for W. Cauley-Stein,,5-16,,
7:27.0,,,5-17,1,J. Harden makes free throw 2 of 2
7:16.0,K. Koufos misses 2-pt shot from 10 ft,,5-17,,
7:15.0,,,5-17,,Defensive rebound by D. Howard
7:07.0,,,5-17,,J. Harden misses 2-pt shot from 8 ft
7:06.0,,,5-17,,Offensive rebound by D. Howard
7:05.0,,,5-17,,D. Howard misses 2-pt shot from 2 ft (block by K. Koufos)
7:02.0,Defensive rebound by S. Curry,,5-17,,
6:52.0,B. McLemore makes 3-pt shot from 24 ft (assist by J. Anderson),3,8-17,,
6:39.0,,,8-20,3,J. Harden makes 3-pt shot from 24 ft
6:39.0,,,8-20,,Shooting foul by B. McLemore (drawn by J. Harden)
6:39.0,,,8-20,,J. Smith enters the game for D. Motiejunas
6:39.0,,,8-21,1,J. Harden makes free throw 1 of 1
6:28.0,Turnover by S. Curry (lost ball),,8-21,,
6:28.0,D. Dukan enters the game for B. McLemore,,8-21,,
6:19.0,,,8-21,,J. Harden misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by K. Koufos,,8-21,,
6:07.0,Q. Acy misses 3-pt shot from 22 ft,,8-21,,
6:06.0,Offensive rebound by D. Dukan,,8-21,,
6:04.0,Shooting foul by J. Smith (drawn by Q. Acy),,8-21,,
6:04.0,Q. Acy misses free throw 1 of 2,,8-21,,
6:04.0,Offensive rebound by Team,,8-21,,
6:04.0,Q. Acy makes free throw 2 of 2,1,9-21,,
5:50.0,,,9-21,,T. Ariza misses 3-pt shot from 23 ft
5:49.0,Defensive rebound by Team,,9-21,,
5:34.0,J. Anderson makes 3-pt shot from 23 ft,3,12-21,,
5:14.0,,,12-21,,Turnover by J. Smith (3 sec)
5:00.0,Shooting foul by D. Howard (drawn by J. Anderson),,12-21,,
5:00.0,J. Anderson makes free throw 1 of 2,1,13-21,,
5:00.0,J. Anderson misses free throw 2 of 2,,13-21,,
5:00.0,,,13-21,,Defensive rebound by D. Howard
4:48.0,,,13-21,,Turnover by T. Ariza (lost ball; steal by Q. Acy)
4:43.0,J. Anderson misses 3-pt shot from 24 ft,,13-21,,
4:42.0,,,13-21,,Defensive rebound by Team
4:28.0,,,13-21,,T. Ariza misses 3-pt shot from 25 ft
4:27.0,,,13-21,,Offensive rebound by Team
4:27.0,,,13-21,,C. Capela enters the game for D. Howard
4:27.0,E. Moreland enters the game for K. Koufos,,13-21,,
4:16.0,,,13-21,,J. Smith misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by E. Moreland,,13-21,,
3:58.0,Turnover by J. Anderson (lost ball; steal by J. Smith),,13-21,,
3:53.0,,,13-21,,J. Harden misses 2-pt shot from 2 ft
3:51.0,,,13-21,,Offensive rebound by T. Ariza
3:50.0,,,13-23,2,T. Ariza makes 2-pt shot from 1 ft
3:37.0,S. Curry misses 3-pt shot from 25 ft,,13-23,,
3:36.0,,,13-23,,Defensive rebound by C. Capela
3:28.0,,,13-23,,J. Smith misses 3-pt shot from 24 ft
3:27.0,,,13-23,,Offensive rebound by C. Capela
3:23.0,,,13-26,3,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela)
3:09.0,,,13-26,,Personal foul by P. Beverley
3:09.0,,,13-26,,J. Terry enters the game for P. Beverley
3:09.0,,,13-26,,C. Brewer enters the game for T. Ariza
2:55.0,Q. Acy makes 3-pt shot from 25 ft (assist by E. Moreland),3,16-26,,
2:40.0,,,16-28,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
2:17.0,D. Dukan misses 2-pt shot from 16 ft,,16-28,,
2:16.0,Offensive rebound by Team,,16-28,,
2:16.0,,,16-28,,Houston full timeout
2:16.0,B. McLemore enters the game for J. Anderson,,16-28,,
2:14.0,Q. Acy misses 3-pt shot from 23 ft,,16-28,,
2:14.0,Offensive rebound by Team,,16-28,,
2:14.0,Turnover by Team (shot clock),,16-28,,
2:02.0,,,16-28,,J. Terry misses 2-pt shot from 12 ft
2:01.0,Defensive rebound by D. Dukan,,16-28,,
1:48.0,D. Dukan misses 2-pt shot from 21 ft,,16-28,,
1:47.0,,,16-28,,Defensive rebound by J. Terry
1:41.0,,,16-30,2,J. Harden makes 2-pt shot from 1 ft (assist by J. Terry)
1:30.0,B. McLemore makes 2-pt shot from 2 ft (assist by Q. Acy),2,18-30,,
1:13.0,Personal foul by E. Moreland,,18-30,,
1:13.0,,,18-31,1,J. Harden makes free throw 1 of 2
1:13.0,,,18-31,,J. Harden misses free throw 2 of 2
1:13.0,Defensive rebound by Q. Acy,,18-31,,
0:57.0,S. Curry misses 2-pt shot from 14 ft,,18-31,,
0:56.0,Offensive rebound by E. Moreland,,18-31,,
0:54.0,E. Moreland misses 2-pt shot from 5 ft (block by C. Capela),,18-31,,
0:52.0,Offensive rebound by E. Moreland,,18-31,,
0:47.0,S. Curry misses 3-pt shot from 24 ft,,18-31,,
0:45.0,,,18-31,,Defensive rebound by J. Harden
0:39.0,,,18-34,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Smith)
0:21.0,S. Curry misses 3-pt shot from 26 ft,,18-34,,
0:21.0,,,18-34,,Defensive rebound by J. Terry
0:04.0,,,18-34,,J. Harden misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by Q. Acy,,18-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,18-36,2,M. Beasley makes 2-pt shot from 20 ft (assist by P. Beverley)
11:24.0,D. Dukan misses 2-pt shot from 20 ft,,18-36,,
11:22.0,,,18-36,,Defensive rebound by P. Beverley
11:18.0,,,18-38,2,C. Brewer makes 2-pt shot at rim (assist by P. Beverley)
10:56.0,Turnover by B. McLemore (lost ball; steal by P. Beverley),,18-38,,
10:52.0,,,18-40,2,P. Beverley makes 2-pt shot at rim
10:35.0,B. McLemore misses 2-pt shot from 2 ft,,18-40,,
10:34.0,Offensive rebound by W. Cauley-Stein,,18-40,,
10:34.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,20-40,,
10:23.0,,,20-40,,J. Terry misses 3-pt shot from 26 ft
10:22.0,Defensive rebound by W. Cauley-Stein,,20-40,,
10:16.0,D. Dukan misses 3-pt shot from 22 ft,,20-40,,
10:16.0,,,20-40,,Defensive rebound by Team
10:16.0,K. Koufos enters the game for Q. Acy,,20-40,,
10:00.0,,,20-40,,M. Beasley misses 2-pt shot from 16 ft
9:59.0,Defensive rebound by S. Curry,,20-40,,
9:45.0,Q. Acy enters the game for D. Dukan,,20-40,,
9:45.0,J. Anderson enters the game for S. Curry,,20-40,,
9:39.0,Q. Acy misses 3-pt shot from 23 ft,,20-40,,
9:39.0,,,20-40,,Defensive rebound by M. Beasley
9:31.0,,,20-43,3,J. Terry makes 3-pt shot from 25 ft (assist by C. Brewer)
9:12.0,Q. Acy misses 2-pt shot from 2 ft,,20-43,,
9:11.0,,,20-43,,Defensive rebound by C. Capela
9:07.0,,,20-43,,Turnover by C. Brewer (lost ball; steal by J. Anderson)
8:58.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,20-43,,
8:57.0,Offensive rebound by K. Koufos,,20-43,,
8:57.0,K. Koufos makes 2-pt shot from 1 ft,2,22-43,,
8:46.0,,,22-43,,P. Beverley misses 3-pt shot from 23 ft
8:45.0,,,22-43,,Offensive rebound by C. Capela
8:45.0,,,22-45,2,C. Capela makes 2-pt shot at rim
8:40.0,Sacramento full timeout,,22-45,,
8:26.0,B. McLemore misses 3-pt shot from 24 ft,,22-45,,
8:24.0,,,22-45,,Defensive rebound by C. Capela
8:17.0,,,22-45,,Shooting foul by K. Koufos (drawn by M. Beasley)
8:17.0,,,22-46,1,M. Beasley makes free throw 1 of 2
