time,Atlanta,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. I. Mahinmi (L. Allen gains possession),,,,Jump ball: A. Horford vs. I. Mahinmi (L. Allen gains possession)
11:41.0,,,0-2,2,G. Hill makes 2-pt shot from 14 ft
11:22.0,A. Horford misses 2-pt shot from 16 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by P. George
11:10.0,Personal foul by K. Bazemore (drawn by P. George),,0-2,,
11:03.0,,,0-2,,P. George misses 2-pt shot from 19 ft
11:03.0,Defensive rebound by A. Horford,,0-2,,
10:49.0,,,0-2,,Shooting block foul by I. Mahinmi (drawn by J. Teague)
10:49.0,J. Teague makes free throw 1 of 2,1,1-2,,
10:49.0,J. Teague makes free throw 2 of 2,1,2-2,,
10:32.0,,,2-2,,P. George misses 2-pt shot from 16 ft
10:31.0,Defensive rebound by A. Horford,,2-2,,
10:13.0,Turnover by J. Teague (step out of bounds),,2-2,,
9:55.0,,,2-2,,L. Allen misses 2-pt shot from 17 ft
9:55.0,Defensive rebound by J. Teague,,2-2,,
9:45.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,5-2,,
9:27.0,,,5-2,,M. Ellis misses 2-pt shot from 15 ft
9:26.0,Defensive rebound by J. Teague,,5-2,,
9:20.0,K. Bazemore makes 3-pt shot from 25 ft (assist by J. Teague),3,8-2,,
9:20.0,,,8-2,,Indiana full timeout
9:05.0,,,8-5,3,M. Ellis makes 3-pt shot from 25 ft (assist by P. George)
8:49.0,J. Teague makes 2-pt shot from 14 ft,2,10-5,,
8:25.0,,,10-5,,L. Allen misses 2-pt shot from 19 ft
8:24.0,Defensive rebound by A. Horford,,10-5,,
8:09.0,A. Horford misses 2-pt shot from 16 ft,,10-5,,
8:09.0,,,10-5,,Defensive rebound by M. Ellis
8:04.0,,,10-5,,Turnover by M. Ellis (discontinued dribble)
7:49.0,P. Millsap misses 2-pt shot from 7 ft,,10-5,,
7:48.0,,,10-5,,Defensive rebound by L. Allen
7:35.0,,,10-5,,G. Hill misses 3-pt shot from 25 ft (block by K. Korver)
7:34.0,Defensive rebound by K. Bazemore,,10-5,,
7:21.0,K. Korver misses 3-pt shot from 23 ft,,10-5,,
7:20.0,,,10-5,,Defensive rebound by I. Mahinmi
7:08.0,,,10-7,2,P. George makes 2-pt shot from 18 ft
6:55.0,Shooting foul by L. Allen (drawn by J. Teague),,10-7,,
6:55.0,J. Teague makes free throw 1 of 2,1,11-7,,
6:55.0,T. Sefolosha enters the game for K. Bazemore,,11-7,,
6:55.0,J. Teague makes free throw 2 of 2,1,12-7,,
6:44.0,,,12-7,,P. George misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by J. Teague,,12-7,,
6:36.0,J. Teague misses 2-pt shot from 2 ft,,12-7,,
6:35.0,,,12-7,,Defensive rebound by I. Mahinmi
6:14.0,,,12-7,,Shooting foul by P. Millsap (drawn by I. Mahinmi)
6:14.0,,,12-7,,I. Mahinmi misses free throw 1 of 2
6:14.0,,,12-7,,Offensive rebound by Team
6:14.0,K. Bazemore enters the game for K. Korver,,12-7,,
6:14.0,M. Scott enters the game for A. Horford,,12-7,,
6:14.0,,,12-7,,I. Mahinmi misses free throw 2 of 2
6:12.0,,,12-7,,Offensive rebound by L. Allen
6:09.0,,,12-7,,Turnover by L. Allen (bad pass; steal by T. Sefolosha)
6:04.0,M. Scott makes 2-pt shot from 1 ft (assist by K. Bazemore),2,14-7,,
5:42.0,,,14-7,,G. Hill misses 2-pt shot from 2 ft
5:41.0,,,14-7,,Offensive rebound by L. Allen
5:40.0,,,14-9,2,L. Allen makes 2-pt shot from 1 ft
5:22.0,Shooting foul by I. Mahinmi (drawn by P. Millsap),,14-9,,
5:22.0,P. Millsap makes 2-pt shot from 4 ft,2,16-9,,
5:22.0,,,16-9,,J. Hill enters the game for I. Mahinmi
5:22.0,,,16-9,,R. Stuckey enters the game for G. Hill
5:22.0,P. Millsap makes free throw 1 of 1,1,17-9,,
5:10.0,,,17-9,,P. George misses 2-pt shot from 19 ft
5:09.0,,,17-9,,Offensive rebound by L. Allen
5:07.0,,,17-9,,Turnover by L. Allen (bad pass)
4:56.0,Offensive foul by M. Scott,,17-9,,
4:56.0,Turnover by M. Scott (offensive foul),,17-9,,
4:56.0,,,17-9,,S. Hill enters the game for L. Allen
4:56.0,D. Schroder enters the game for J. Teague,,17-9,,
4:31.0,,,17-11,2,J. Hill makes 2-pt shot from 1 ft
4:19.0,T. Sefolosha makes 2-pt shot from 2 ft,2,19-11,,
4:07.0,,,19-11,,M. Ellis misses 2-pt shot from 12 ft
4:06.0,Defensive rebound by K. Bazemore,,19-11,,
3:58.0,P. Millsap misses 3-pt shot from 24 ft,,19-11,,
3:58.0,Offensive rebound by Team,,19-11,,
3:58.0,,,19-11,,Loose ball foul by S. Hill (drawn by M. Scott)
3:49.0,K. Bazemore misses 3-pt shot from 26 ft,,19-11,,
3:48.0,Offensive rebound by Team,,19-11,,
3:46.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Bazemore),2,21-11,,
3:29.0,,,21-11,,S. Hill misses 3-pt shot from 27 ft
3:29.0,,,21-11,,Offensive rebound by Team
3:11.0,,,21-11,,P. George misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by K. Bazemore,,21-11,,
2:56.0,Turnover by M. Scott (lost ball; steal by M. Ellis),,21-11,,
2:50.0,,,21-13,2,M. Ellis makes 2-pt shot at rim
2:50.0,Atlanta full timeout,,21-13,,
2:36.0,M. Scott misses 3-pt shot from 25 ft,,21-13,,
2:35.0,,,21-13,,Defensive rebound by R. Stuckey
2:21.0,,,21-13,,Shooting foul by P. Millsap (drawn by M. Ellis)
2:21.0,,,21-14,1,M. Ellis makes free throw 1 of 2
2:21.0,A. Horford enters the game for P. Millsap,,21-14,,
2:21.0,,,21-15,1,M. Ellis makes free throw 2 of 2
2:07.0,D. Schroder makes 2-pt shot from 18 ft,2,23-15,,
1:58.0,,,23-15,,J. Hill misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by K. Bazemore,,23-15,,
1:40.0,T. Sefolosha makes 2-pt shot from 3 ft,2,25-15,,
1:22.0,Personal foul by D. Schroder (drawn by P. George),,25-15,,
1:22.0,K. Korver enters the game for K. Bazemore,,25-15,,
1:09.0,,,25-18,3,M. Ellis makes 3-pt shot from 23 ft
0:56.0,,,25-18,,Violation by J. Hill (kicked ball)
0:42.0,D. Schroder misses 2-pt shot from 22 ft,,25-18,,
0:42.0,Offensive rebound by Team,,25-18,,
0:42.0,Turnover by Team (shot clock),,25-18,,
