time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: B. Biyombo vs. H. Whiteside (C. Bosh gains possession)
11:36.0,,,0-0,,Turnover by G. Dragic (bad pass; steal by J. Johnson)
11:33.0,L. Scola makes 2-pt shot from 1 ft (assist by J. Johnson),2,2-0,,
11:33.0,Shooting foul by G. Dragic (drawn by L. Scola),,2-0,,
11:33.0,L. Scola makes free throw 1 of 1,1,3-0,,
11:09.0,,,3-0,,H. Whiteside misses 2-pt shot from 9 ft
11:08.0,Defensive rebound by D. DeRozan,,3-0,,
10:51.0,L. Scola makes 2-pt shot from 2 ft,2,5-0,,
10:36.0,,,5-3,3,C. Bosh makes 3-pt shot from 23 ft (assist by D. Wade)
10:18.0,L. Scola misses 2-pt shot from 19 ft,,5-3,,
10:17.0,,,5-3,,Defensive rebound by H. Whiteside
10:06.0,,,5-5,2,G. Dragic makes 2-pt shot from 3 ft
9:48.0,L. Scola makes 2-pt shot from 1 ft,2,7-5,,
9:27.0,,,7-5,,Turnover by D. Wade (lost ball; steal by D. DeRozan)
9:21.0,L. Scola makes 2-pt shot from 3 ft (assist by D. DeRozan),2,9-5,,
9:02.0,,,9-5,,Shooting foul by B. Biyombo (drawn by G. Dragic)
9:02.0,,,9-7,2,G. Dragic makes 2-pt shot from 1 ft
9:02.0,,,9-8,1,G. Dragic makes free throw 1 of 1
8:46.0,D. DeRozan misses 2-pt shot from 20 ft,,9-8,,
8:45.0,,,9-8,,Defensive rebound by H. Whiteside
8:36.0,,,9-8,,Turnover by D. Wade (lost ball; steal by K. Lowry)
8:19.0,D. DeRozan makes 2-pt shot from 6 ft,2,11-8,,
8:00.0,,,11-8,,L. Deng misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by B. Biyombo,,11-8,,
7:43.0,B. Biyombo misses 2-pt shot from 5 ft (block by H. Whiteside),,11-8,,
7:42.0,,,11-8,,Defensive rebound by D. Wade
7:36.0,,,11-10,2,G. Dragic makes 2-pt shot from 15 ft
7:21.0,Turnover by D. DeRozan (traveling),,11-10,,
7:21.0,,,11-10,,J. Winslow enters the game for C. Bosh
7:07.0,,,11-12,2,H. Whiteside makes 2-pt shot from 5 ft (assist by D. Wade)
6:56.0,K. Lowry misses 2-pt shot from 19 ft,,11-12,,
6:55.0,,,11-12,,Defensive rebound by H. Whiteside
6:44.0,,,11-14,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
6:21.0,L. Scola makes 3-pt shot from 24 ft (assist by J. Johnson),3,14-14,,
6:04.0,,,14-14,,Shooting foul by K. Lowry (drawn by L. Deng)
6:04.0,,,14-14,,L. Deng misses free throw 1 of 2
6:04.0,,,14-14,,Offensive rebound by Team
6:04.0,T. Ross enters the game for B. Biyombo,,14-14,,
6:04.0,,,14-15,1,L. Deng makes free throw 2 of 2
5:56.0,,,14-15,,Def 3 sec tech foul by L. Deng
5:56.0,,,14-15,,Miami full timeout
5:56.0,D. DeRozan misses technical free throw,,14-15,,
5:56.0,Offensive rebound by Team,,14-15,,
5:41.0,K. Lowry misses 2-pt shot from 1 ft (block by H. Whiteside),,14-15,,
5:40.0,,,14-15,,Defensive rebound by D. Wade
5:36.0,,,14-15,,Turnover by D. Wade (lost ball; steal by K. Lowry)
5:30.0,K. Lowry misses 3-pt shot from 23 ft,,14-15,,
5:29.0,,,14-15,,Defensive rebound by D. Wade
5:19.0,Jump ball: T. Ross vs. D. Wade (K. Lowry gains possession),,,,Jump ball: T. Ross vs. D. Wade (K. Lowry gains possession)
5:19.0,,,14-15,,Turnover by D. Wade (lost ball; steal by T. Ross)
5:17.0,,,14-15,,Personal foul by J. Winslow (drawn by K. Lowry)
5:05.0,D. DeRozan makes 2-pt shot from 15 ft,2,16-15,,
4:47.0,,,16-15,,D. Wade misses 2-pt shot from 8 ft
4:46.0,,,16-15,,Offensive rebound by H. Whiteside
4:43.0,,,16-17,2,H. Whiteside makes 2-pt shot from 1 ft
4:31.0,K. Lowry makes 2-pt shot from 2 ft,2,18-17,,
4:20.0,,,18-19,2,D. Wade makes 2-pt shot from 21 ft (assist by G. Dragic)
4:06.0,L. Scola misses 3-pt shot from 24 ft,,18-19,,
