time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (J. Jack gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (J. Jack gains possession)
11:38.0,,,0-0,,B. Lopez misses 2-pt shot from 1 ft
11:37.0,,,0-0,,Offensive rebound by B. Lopez
11:35.0,,,0-2,2,B. Lopez makes 2-pt shot at rim
11:20.0,J. Sullinger misses 2-pt shot from 18 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by J. Johnson
11:13.0,,,0-2,,Turnover by J. Jack (lost ball; steal by A. Johnson)
10:55.0,I. Thomas misses 2-pt shot from 14 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by T. Young
10:46.0,,,0-2,,B. Lopez misses 2-pt shot at rim
10:45.0,,,0-2,,Offensive rebound by T. Young
10:44.0,,,0-2,,T. Young misses 2-pt shot from 2 ft
10:43.0,Defensive rebound by J. Sullinger,,0-2,,
10:29.0,Turnover by A. Bradley (bad pass; steal by R. Hollis-Jefferson),,0-2,,
10:06.0,,,0-5,3,J. Johnson makes 3-pt shot from 22 ft (assist by J. Jack)
9:52.0,Shooting foul by T. Young (drawn by A. Bradley),,0-5,,
9:52.0,A. Bradley makes free throw 1 of 2,1,1-5,,
9:52.0,A. Bradley makes free throw 2 of 2,1,2-5,,
9:32.0,,,2-5,,Turnover by B. Lopez (bad pass; steal by A. Bradley)
9:30.0,,,2-5,,Personal foul by R. Hollis-Jefferson (drawn by A. Bradley)
9:16.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,4-5,,
8:56.0,,,4-5,,B. Lopez misses 2-pt shot from 11 ft
8:55.0,,,4-5,,Offensive rebound by T. Young
8:54.0,,,4-7,2,T. Young makes 2-pt shot at rim
8:45.0,I. Thomas misses 3-pt shot from 26 ft,,4-7,,
8:44.0,,,4-7,,Defensive rebound by B. Lopez
8:34.0,,,4-7,,J. Jack misses 2-pt shot from 18 ft
8:33.0,,,4-7,,Offensive rebound by T. Young
8:27.0,,,4-9,2,J. Jack makes 2-pt shot at rim
8:16.0,J. Sullinger makes 3-pt shot from 24 ft (assist by I. Thomas),3,7-9,,
8:01.0,,,7-11,2,R. Hollis-Jefferson makes 2-pt shot from 19 ft (assist by J. Johnson)
7:48.0,J. Sullinger misses 3-pt shot from 25 ft,,7-11,,
7:47.0,,,7-11,,Defensive rebound by J. Jack
7:34.0,,,7-11,,J. Johnson misses 3-pt shot from 22 ft
7:32.0,Defensive rebound by J. Sullinger,,7-11,,
7:30.0,Turnover by J. Sullinger (bad pass; steal by R. Hollis-Jefferson),,7-11,,
7:25.0,,,7-13,2,J. Jack makes 2-pt shot from 9 ft (assist by R. Hollis-Jefferson)
7:24.0,Boston full timeout,,7-13,,
7:11.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Johnson),2,9-13,,
6:57.0,,,9-13,,Offensive charge foul by B. Lopez
6:57.0,,,9-13,,Turnover by B. Lopez (offensive foul)
6:39.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas),3,12-13,,
6:24.0,,,12-13,,T. Young misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by Team,,12-13,,
6:11.0,Turnover by A. Johnson (lost ball; steal by B. Lopez),,12-13,,
6:03.0,Personal foul by A. Johnson (drawn by T. Young),,12-13,,
5:53.0,,,12-15,2,T. Young makes 2-pt shot from 19 ft (assist by R. Hollis-Jefferson)
5:33.0,Turnover by A. Bradley (bad pass; steal by R. Hollis-Jefferson),,12-15,,
5:23.0,,,12-15,,B. Lopez misses 2-pt shot from 6 ft
5:22.0,,,12-15,,Offensive rebound by B. Lopez
5:21.0,,,12-17,2,B. Lopez makes 2-pt shot from 2 ft
5:07.0,I. Thomas makes 2-pt shot from 20 ft,2,14-17,,
4:46.0,,,14-17,,T. Young misses 2-pt shot from 1 ft (block by A. Bradley)
4:44.0,Defensive rebound by J. Sullinger,,14-17,,
4:36.0,,,14-17,,Violation by J. Jack (kicked ball)
4:36.0,K. Olynyk enters the game for A. Johnson,,14-17,,
4:36.0,E. Turner enters the game for I. Thomas,,14-17,,
4:24.0,A. Bradley misses 2-pt shot from 5 ft,,14-17,,
4:23.0,Offensive rebound by J. Sullinger,,14-17,,
4:22.0,J. Sullinger misses 2-pt shot from 1 ft,,14-17,,
4:21.0,Offensive rebound by A. Bradley,,14-17,,
4:06.0,J. Crowder misses 3-pt shot from 25 ft,,14-17,,
4:05.0,,,14-17,,Defensive rebound by T. Young
3:52.0,,,14-17,,Turnover by R. Hollis-Jefferson (turnover)
3:38.0,A. Bradley misses 3-pt shot from 24 ft,,14-17,,
3:37.0,,,14-17,,Defensive rebound by T. Young
3:29.0,,,14-17,,Shooting foul by K. Olynyk (drawn by T. Young)
3:29.0,,,14-17,,T. Young misses free throw 1 of 2
3:29.0,,,14-17,,Offensive rebound by Team
3:29.0,,,14-17,,B. Bogdanovic enters the game for J. Johnson
3:29.0,,,14-18,1,T. Young makes free throw 2 of 2
3:13.0,K. Olynyk misses 2-pt shot from 6 ft,,14-18,,
3:12.0,,,14-18,,Defensive rebound by J. Jack
3:06.0,,,14-18,,Shooting foul by A. Bradley (drawn by J. Jack)
3:06.0,,,14-18,,J. Jack misses free throw 1 of 2
3:06.0,,,14-18,,Offensive rebound by Team
3:06.0,J. Jerebko enters the game for J. Crowder,,14-18,,
3:06.0,,,14-19,1,J. Jack makes free throw 2 of 2
2:51.0,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner),3,17-19,,
2:33.0,,,17-19,,B. Lopez misses 2-pt shot from 7 ft
2:32.0,Defensive rebound by J. Sullinger,,17-19,,
2:21.0,A. Bradley misses 3-pt shot from 22 ft,,17-19,,
2:20.0,Offensive rebound by J. Sullinger,,17-19,,
2:06.0,J. Jerebko misses 2-pt shot at rim,,17-19,,
2:05.0,Offensive rebound by J. Sullinger,,17-19,,
2:00.0,,,17-19,,Personal foul by T. Young (drawn by J. Jerebko)
2:00.0,,,17-19,,Brooklyn full timeout
2:00.0,,,17-19,,S. Larkin enters the game for J. Jack
2:00.0,,,17-19,,A. Bargnani enters the game for T. Young
2:00.0,D. Lee enters the game for J. Sullinger,,17-19,,
1:48.0,Turnover by E. Turner (bad pass; steal by R. Hollis-Jefferson),,17-19,,
1:34.0,,,17-19,,Turnover by B. Bogdanovic (lost ball; steal by E. Turner)
1:29.0,E. Turner makes 2-pt shot from 1 ft,2,19-19,,
1:15.0,,,19-22,3,S. Larkin makes 3-pt shot from 25 ft
0:59.0,K. Olynyk misses 2-pt shot from 10 ft,,19-22,,
0:58.0,,,19-22,,Defensive rebound by B. Lopez
0:47.0,,,19-22,,A. Bargnani misses 2-pt shot from 15 ft
0:46.0,Defensive rebound by J. Jerebko,,19-22,,
0:37.0,D. Lee misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,19-22,,
0:36.0,Offensive rebound by Team,,19-22,,
0:30.0,K. Olynyk misses 2-pt shot from 9 ft,,19-22,,
0:29.0,,,19-22,,Defensive rebound by B. Lopez
0:06.0,,,19-22,,S. Larkin misses 2-pt shot from 3 ft
0:05.0,,,19-22,,Offensive rebound by R. Hollis-Jefferson
0:05.0,,,19-24,2,R. Hollis-Jefferson makes 2-pt shot at rim
0:01.0,A. Bradley misses 2-pt shot from 19 ft,,19-24,,
0:00.0,Offensive rebound by Team,,19-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Jerebko misses 3-pt shot from 25 ft,,19-24,,
11:42.0,,,19-24,,Defensive rebound by R. Hollis-Jefferson
11:24.0,,,19-24,,B. Bogdanovic misses 2-pt shot from 4 ft
11:23.0,Defensive rebound by K. Olynyk,,19-24,,
10:59.0,E. Turner misses 3-pt shot from 25 ft,,19-24,,
10:58.0,Offensive rebound by J. Jerebko,,19-24,,
10:50.0,T. Rozier misses 2-pt shot from 9 ft,,19-24,,
10:49.0,Offensive rebound by K. Olynyk,,19-24,,
10:44.0,T. Rozier makes 3-pt shot from 25 ft (assist by K. Olynyk),3,22-24,,
10:17.0,,,22-24,,A. Bargnani misses 2-pt shot from 13 ft
10:16.0,Defensive rebound by D. Lee,,22-24,,
10:02.0,J. Jerebko misses 3-pt shot from 24 ft,,22-24,,
10:01.0,,,22-24,,Defensive rebound by B. Bogdanovic
9:50.0,,,22-26,2,T. Robinson makes 2-pt shot from 7 ft (assist by S. Larkin)
9:50.0,,,22-26,,Shooting foul by D. Lee (drawn by T. Robinson)
9:50.0,,,22-27,1,T. Robinson makes free throw 1 of 1
9:27.0,E. Turner makes 2-pt shot from 8 ft,2,24-27,,
9:08.0,,,24-29,2,A. Bargnani makes 2-pt shot from 13 ft
8:55.0,K. Olynyk makes 3-pt shot from 24 ft,3,27-29,,
8:39.0,Personal foul by K. Olynyk (drawn by S. Larkin),,27-29,,
8:39.0,A. Johnson enters the game for K. Olynyk,,27-29,,
8:39.0,,,27-29,,J. Johnson enters the game for R. Hollis-Jefferson
8:24.0,,,27-32,3,B. Bogdanovic makes 3-pt shot from 27 ft
8:10.0,D. Lee misses 2-pt shot from 3 ft (block by T. Robinson),,27-32,,
8:09.0,Offensive rebound by D. Lee,,27-32,,
8:08.0,D. Lee misses 2-pt shot from 4 ft (block by A. Bargnani),,27-32,,
8:07.0,,,27-32,,Defensive rebound by J. Johnson
8:02.0,,,27-32,,Shooting foul by E. Turner (drawn by J. Johnson)
8:02.0,,,27-32,,J. Johnson misses free throw 1 of 2
8:02.0,,,27-32,,Offensive rebound by Team
8:02.0,,,27-32,,S. Karasev enters the game for B. Bogdanovic
8:02.0,,,27-33,1,J. Johnson makes free throw 2 of 2
7:51.0,Turnover by J. Jerebko (offensive foul),,27-33,,
7:51.0,Offensive foul by J. Jerebko,,27-33,,
7:51.0,Violation by Team (delay of game),,27-33,,
7:37.0,,,27-35,2,S. Larkin makes 2-pt shot from 22 ft
7:23.0,Turnover by J. Jerebko (lost ball; steal by T. Robinson),,27-35,,
7:20.0,,,27-37,2,T. Robinson makes 2-pt shot at rim (assist by S. Larkin)
7:04.0,Turnover by T. Rozier (bad pass; steal by J. Johnson),,27-37,,
6:58.0,,,27-39,2,A. Bargnani makes 2-pt shot from 13 ft (assist by J. Johnson)
6:58.0,Boston full timeout,,27-39,,
6:58.0,I. Thomas enters the game for J. Jerebko,,27-39,,
6:58.0,J. Crowder enters the game for D. Lee,,27-39,,
6:58.0,J. Sullinger enters the game for T. Rozier,,27-39,,
6:44.0,E. Turner makes 2-pt shot from 15 ft,2,29-39,,
6:21.0,,,29-41,2,J. Johnson makes 2-pt shot from 11 ft
6:07.0,,,29-41,,Personal foul by A. Bargnani (drawn by A. Johnson)
5:55.0,J. Sullinger makes 2-pt shot from 12 ft (assist by J. Crowder),2,31-41,,
5:40.0,,,31-41,,Turnover by J. Johnson (lost ball)
5:30.0,I. Thomas makes 2-pt shot from 2 ft,2,33-41,,
5:19.0,,,33-41,,S. Larkin misses 3-pt shot from 25 ft
5:17.0,,,33-41,,Offensive rebound by T. Robinson
5:16.0,,,33-41,,T. Robinson misses 2-pt shot from 2 ft
5:15.0,,,33-41,,Offensive rebound by T. Robinson
5:13.0,,,33-41,,T. Robinson misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by J. Sullinger,,33-41,,
5:03.0,J. Crowder misses 3-pt shot from 24 ft,,33-41,,
5:02.0,,,33-41,,Defensive rebound by T. Robinson
4:52.0,Personal foul by A. Johnson (drawn by A. Bargnani),,33-41,,
4:42.0,,,33-43,2,A. Bargnani makes 2-pt shot from 19 ft (assist by J. Johnson)
4:24.0,I. Thomas misses 3-pt shot from 24 ft,,33-43,,
4:23.0,,,33-43,,Defensive rebound by A. Bargnani
4:05.0,,,33-46,3,J. Johnson makes 3-pt shot from 25 ft
3:48.0,Offensive foul by J. Sullinger,,33-46,,
3:48.0,Turnover by J. Sullinger (offensive foul),,33-46,,
3:48.0,A. Bradley enters the game for E. Turner,,33-46,,
3:35.0,,,33-49,3,J. Johnson makes 3-pt shot from 25 ft (assist by S. Larkin)
3:21.0,J. Sullinger misses 2-pt shot from 2 ft (block by T. Robinson),,33-49,,
3:19.0,,,33-49,,Defensive rebound by S. Karasev
3:15.0,,,33-49,,Brooklyn full timeout
3:15.0,K. Olynyk enters the game for A. Johnson,,33-49,,
3:01.0,,,33-51,2,A. Bargnani makes 2-pt shot from 18 ft (assist by S. Larkin)
2:45.0,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas),2,35-51,,
2:23.0,,,35-51,,T. Robinson misses 2-pt shot from 11 ft
2:22.0,Defensive rebound by J. Sullinger,,35-51,,
2:09.0,A. Bradley misses 3-pt shot from 23 ft,,35-51,,
2:08.0,,,35-51,,Defensive rebound by S. Karasev
1:55.0,,,35-53,2,A. Bargnani makes 2-pt shot from 14 ft (assist by S. Larkin)
1:44.0,Shooting foul by S. Larkin (drawn by I. Thomas),,35-53,,
1:44.0,I. Thomas makes free throw 1 of 2,1,36-53,,
