time,Oklahoma City,pts.away,score,pts.home,New Orleans
1:28.0,,,26-31,,T. Douglas enters the game for N. Cole
1:20.0,,,26-33,2,J. Holiday makes 2-pt shot from 1 ft (assist by T. Douglas)
1:03.0,K. Durant misses 2-pt shot from 20 ft,,26-33,,
1:02.0,Offensive rebound by Team,,26-33,,
1:02.0,,,26-33,,Loose ball foul by A. Gee (drawn by S. Ibaka)
1:02.0,S. Ibaka makes free throw 1 of 2,1,27-33,,
1:02.0,S. Ibaka misses free throw 2 of 2,,27-33,,
0:59.0,,,27-33,,Defensive rebound by T. Douglas
0:44.0,,,27-35,2,J. Holiday makes 2-pt shot from 10 ft
0:30.0,D. Waiters makes 3-pt shot from 23 ft (assist by K. Durant),3,30-35,,
0:18.0,,,30-35,,A. Davis misses 2-pt shot from 10 ft
0:16.0,Defensive rebound by E. Kanter,,30-35,,
0:00.0,K. Durant makes 2-pt shot from 12 ft,2,32-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-37,2,T. Douglas makes 2-pt shot from 3 ft
11:21.0,R. Foye makes 2-pt shot from 2 ft (assist by D. Waiters),2,34-37,,
11:11.0,,,34-40,3,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday)
10:52.0,Turnover by K. Durant (lost ball),,34-40,,
10:39.0,,,34-42,2,R. Anderson makes 2-pt shot from 20 ft (assist by J. Holiday)
10:32.0,Oklahoma City full timeout,,34-42,,
10:22.0,E. Kanter misses 2-pt shot from 3 ft,,34-42,,
10:21.0,,,34-42,,Defensive rebound by A. Davis
10:03.0,,,34-44,2,J. Holiday makes 2-pt shot from 16 ft
9:56.0,,,34-44,,Personal block foul by J. Holiday (drawn by D. Waiters)
9:56.0,K. Singler enters the game for E. Kanter,,34-44,,
9:52.0,K. Durant makes 2-pt shot at rim (assist by N. Collison),2,36-44,,
9:40.0,Personal foul by D. Waiters (drawn by J. Holiday),,36-44,,
9:40.0,R. Westbrook enters the game for D. Waiters,,36-44,,
9:27.0,,,36-44,,Turnover by R. Anderson (offensive goaltending)
9:10.0,K. Durant makes 2-pt shot from 13 ft,2,38-44,,
8:59.0,,,38-44,,T. Douglas misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by R. Westbrook,,38-44,,
8:45.0,R. Westbrook makes 2-pt shot from 9 ft,2,40-44,,
8:39.0,,,40-44,,Offensive charge foul by J. Holiday
8:39.0,,,40-44,,Turnover by J. Holiday (offensive foul)
8:39.0,,,40-44,,N. Cole enters the game for J. Holiday
8:39.0,,,40-44,,New Orleans full timeout
8:39.0,,,40-44,,A. Gee enters the game for A. Davis
8:39.0,,,40-44,,A. Ajinca enters the game for T. Douglas
8:23.0,K. Durant makes 2-pt shot from 11 ft (assist by R. Westbrook),2,42-44,,
8:04.0,,,42-44,,R. Anderson misses 2-pt shot from 13 ft
8:03.0,Defensive rebound by K. Durant,,42-44,,
7:58.0,Turnover by K. Durant (discontinued dribble),,42-44,,
7:58.0,S. Ibaka enters the game for N. Collison,,42-44,,
7:44.0,,,42-44,,A. Ajinca misses 2-pt shot from 5 ft (block by S. Ibaka)
7:43.0,Defensive rebound by K. Durant,,42-44,,
7:32.0,Shooting foul by N. Cole (drawn by R. Westbrook),,42-44,,
7:32.0,R. Westbrook makes free throw 1 of 2,1,43-44,,
7:32.0,R. Westbrook makes free throw 2 of 2,1,44-44,,
7:29.0,,,44-44,,Turnover by N. Cole (bad pass; steal by R. Foye)
7:25.0,R. Foye misses 2-pt shot from 2 ft (block by A. Ajinca),,44-44,,
7:22.0,,,44-44,,Defensive rebound by N. Cole
7:18.0,,,44-46,2,R. Anderson makes 2-pt shot at rim (assist by N. Cole)
7:03.0,Turnover by R. Westbrook (bad pass; steal by D. Cunningham),,44-46,,
6:55.0,,,44-46,,R. Anderson misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by K. Durant,,44-46,,
