time,Orlando,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Smith (J. Clarkson gains possession),,,,Jump ball: R. Hibbert vs. J. Smith (J. Clarkson gains possession)
11:35.0,,,0-0,,J. Randle misses 2-pt shot from 1 ft
11:33.0,,,0-0,,Offensive rebound by J. Randle
11:33.0,,,0-2,2,J. Randle makes 2-pt shot at rim
11:19.0,J. Smith misses 2-pt shot from 17 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by J. Randle
11:16.0,Personal foul by J. Smith,,0-2,,
11:08.0,,,0-2,,Turnover by D. Russell (lost ball; steal by E. Payton)
11:03.0,Turnover by E. Payton (lost ball),,0-2,,
10:42.0,,,0-2,,R. Hibbert misses 2-pt shot from 4 ft
10:40.0,Defensive rebound by E. Payton,,0-2,,
10:29.0,Shooting foul by D. Russell (drawn by E. Payton),,0-2,,
10:29.0,E. Payton misses free throw 1 of 2,,0-2,,
10:29.0,Offensive rebound by Team,,0-2,,
10:29.0,E. Payton misses free throw 2 of 2,,0-2,,
10:28.0,,,0-2,,Defensive rebound by J. Randle
10:02.0,,,0-5,3,J. Clarkson makes 3-pt shot from 25 ft (assist by R. Hibbert)
9:40.0,J. Smith makes 2-pt shot from 2 ft (assist by A. Gordon),2,2-5,,
9:11.0,,,2-7,2,J. Randle makes 2-pt shot from 6 ft
9:01.0,A. Gordon misses 3-pt shot from 24 ft,,2-7,,
9:01.0,,,2-7,,Defensive rebound by N. Young
8:42.0,,,2-7,,N. Young misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by J. Smith,,2-7,,
8:35.0,E. Fournier makes 2-pt shot from 2 ft,2,4-7,,
8:15.0,,,4-9,2,D. Russell makes 2-pt shot from 11 ft (assist by J. Clarkson)
8:02.0,A. Gordon misses 3-pt shot from 24 ft,,4-9,,
8:01.0,,,4-9,,Defensive rebound by J. Randle
7:47.0,,,4-9,,J. Randle misses 2-pt shot from 2 ft (block by J. Smith)
7:45.0,Defensive rebound by A. Gordon,,4-9,,
7:40.0,V. Oladipo makes 2-pt shot from 1 ft (assist by A. Gordon),2,6-9,,
7:22.0,,,6-9,,N. Young misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by A. Gordon,,6-9,,
7:08.0,V. Oladipo makes 2-pt shot from 17 ft,2,8-9,,
6:49.0,,,8-9,,J. Randle misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by V. Oladipo,,8-9,,
6:42.0,V. Oladipo makes 2-pt shot from 17 ft,2,10-9,,
6:32.0,,,10-9,,D. Russell misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by E. Fournier,,10-9,,
6:21.0,E. Payton makes 3-pt shot from 24 ft (assist by E. Fournier),3,13-9,,
6:02.0,,,13-9,,Turnover by J. Clarkson (bad pass)
5:42.0,V. Oladipo misses 2-pt shot from 9 ft,,13-9,,
5:40.0,,,13-9,,Defensive rebound by D. Russell
5:19.0,,,13-11,2,J. Randle makes 2-pt shot from 4 ft (assist by J. Clarkson)
5:03.0,E. Payton makes 2-pt shot from 15 ft,2,15-11,,
4:43.0,,,15-11,,J. Clarkson misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by J. Smith,,15-11,,
4:32.0,J. Smith misses 2-pt shot from 19 ft,,15-11,,
4:30.0,,,15-11,,Defensive rebound by J. Clarkson
4:20.0,,,15-13,2,J. Clarkson makes 2-pt shot from 2 ft
4:06.0,E. Payton makes 2-pt shot from 6 ft,2,17-13,,
3:59.0,,,17-13,,LA Lakers full timeout
3:59.0,D. Dedmon enters the game for J. Smith,,17-13,,
3:59.0,,,17-13,,B. Bass enters the game for R. Hibbert
3:59.0,,,17-13,,M. Huertas enters the game for D. Russell
3:52.0,,,17-15,2,M. Huertas makes 2-pt shot from 1 ft
3:35.0,E. Payton misses 2-pt shot from 10 ft,,17-15,,
3:32.0,Offensive rebound by D. Dedmon,,17-15,,
3:29.0,D. Dedmon makes 2-pt shot from 10 ft,2,19-15,,
3:08.0,,,19-15,,J. Randle misses 2-pt shot from 16 ft
3:07.0,Defensive rebound by D. Dedmon,,19-15,,
2:57.0,Turnover by D. Dedmon (lost ball; steal by J. Randle),,19-15,,
2:53.0,,,19-17,2,J. Randle makes 2-pt shot from 1 ft
2:28.0,E. Payton misses 2-pt shot from 9 ft,,19-17,,
2:26.0,Offensive rebound by E. Payton,,19-17,,
2:21.0,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton),3,22-17,,
2:10.0,,,22-17,,Turnover by J. Randle (lost ball; steal by V. Oladipo)
2:07.0,V. Oladipo makes 2-pt shot at rim,2,24-17,,
1:40.0,,,24-17,,N. Young misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by V. Oladipo,,24-17,,
1:30.0,V. Oladipo misses 2-pt shot from 11 ft,,24-17,,
1:25.0,,,24-17,,Defensive rebound by M. Huertas
1:14.0,,,24-20,3,J. Clarkson makes 3-pt shot from 25 ft (assist by B. Bass)
1:07.0,Orlando full timeout,,24-20,,
1:07.0,M. Hezonja enters the game for E. Fournier,,24-20,,
1:07.0,E. Ilyasova enters the game for A. Gordon,,24-20,,
1:07.0,B. Jennings enters the game for E. Payton,,24-20,,
1:07.0,,,24-20,,M. World Peace enters the game for N. Young
1:07.0,,,24-20,,L. Nance enters the game for J. Randle
0:54.0,V. Oladipo misses 3-pt shot from 24 ft,,24-20,,
0:53.0,Offensive rebound by D. Dedmon,,24-20,,
0:49.0,M. Hezonja misses 3-pt shot from 24 ft,,24-20,,
0:47.0,,,24-20,,Defensive rebound by J. Clarkson
0:27.0,,,24-20,,J. Clarkson misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by E. Ilyasova,,24-20,,
0:18.0,D. Dedmon makes 2-pt shot from 12 ft (assist by B. Jennings),2,26-20,,
0:02.0,,,26-20,,J. Clarkson misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by M. Hezonja,,26-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,B. Jennings misses 3-pt shot from 25 ft,,26-20,,
11:37.0,,,26-20,,Defensive rebound by L. Nance
11:14.0,,,26-23,3,M. World Peace makes 3-pt shot from 24 ft (assist by B. Bass)
10:57.0,M. Hezonja misses 2-pt shot from 21 ft,,26-23,,
10:55.0,,,26-23,,Defensive rebound by B. Bass
10:50.0,,,26-23,,Shooting foul by M. Hezonja (drawn by B. Bass)
10:50.0,,,26-24,1,B. Bass makes free throw 1 of 2
10:50.0,,,26-25,1,B. Bass makes free throw 2 of 2
10:34.0,E. Ilyasova misses 2-pt shot from 18 ft,,26-25,,
10:33.0,,,26-25,,Defensive rebound by B. Bass
10:20.0,,,26-25,,M. Huertas misses 2-pt shot from 18 ft
10:18.0,Defensive rebound by E. Ilyasova,,26-25,,
10:09.0,B. Jennings misses 2-pt shot from 4 ft,,26-25,,
10:08.0,,,26-25,,Defensive rebound by B. Bass
10:02.0,,,26-25,,J. Clarkson misses 2-pt shot from 3 ft (block by D. Dedmon)
10:00.0,,,26-25,,Offensive rebound by L. Nance
9:54.0,Personal foul by D. Dedmon,,26-25,,
9:47.0,,,26-27,2,L. Nance makes 2-pt shot from 15 ft (assist by M. Huertas)
9:31.0,,,26-27,,D. Russell enters the game for J. Clarkson
9:20.0,C. Watson misses 3-pt shot from 25 ft,,26-27,,
9:19.0,,,26-27,,Defensive rebound by M. World Peace
9:13.0,,,26-27,,Turnover by B. Bass (3 sec)
9:01.0,B. Jennings misses 2-pt shot from 19 ft,,26-27,,
9:00.0,Offensive rebound by Team,,26-27,,
8:52.0,B. Jennings misses 2-pt shot from 4 ft,,26-27,,
8:50.0,,,26-27,,Defensive rebound by B. Bass
8:50.0,,,26-27,,Turnover by B. Bass (bad pass)
8:50.0,Official timeout,,26-27,,
8:50.0,E. Fournier enters the game for B. Jennings,,26-27,,
8:42.0,E. Ilyasova misses 2-pt shot from 15 ft,,26-27,,
8:40.0,,,26-27,,Defensive rebound by L. Nance
8:28.0,,,26-27,,D. Russell misses 3-pt shot from 22 ft
8:26.0,Defensive rebound by D. Dedmon,,26-27,,
8:10.0,M. Hezonja makes 2-pt shot from 17 ft,2,28-27,,
8:10.0,Shooting foul by B. Bass (drawn by M. Hezonja),,28-27,,
8:10.0,M. Hezonja makes free throw 1 of 1,1,29-27,,
7:53.0,Personal foul by D. Dedmon,,29-27,,
7:41.0,,,29-27,,M. Huertas misses 2-pt shot from 3 ft
7:36.0,Defensive rebound by D. Dedmon,,29-27,,
7:30.0,Turnover by M. Hezonja (lost ball; steal by D. Russell),,29-27,,
7:26.0,,,29-29,2,D. Russell makes 2-pt shot from 1 ft
7:17.0,,,29-29,,Personal foul by M. World Peace
7:10.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by C. Watson),2,31-29,,
6:57.0,,,31-29,,L. Nance misses 2-pt shot from 18 ft
6:55.0,Defensive rebound by D. Dedmon,,31-29,,
6:46.0,E. Ilyasova misses 2-pt shot from 21 ft,,31-29,,
6:44.0,,,31-29,,Defensive rebound by M. Huertas
6:38.0,,,31-29,,B. Bass misses 2-pt shot from 1 ft
6:37.0,,,31-29,,Offensive rebound by L. Nance
6:33.0,,,31-31,2,L. Nance makes 2-pt shot from 2 ft
6:23.0,E. Fournier makes 2-pt shot from 19 ft (assist by C. Watson),2,33-31,,
6:02.0,,,33-31,,B. Bass misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by E. Ilyasova,,33-31,,
5:54.0,C. Watson makes 2-pt shot from 4 ft (assist by E. Fournier),2,35-31,,
5:48.0,,,35-31,,LA Lakers full timeout
5:48.0,A. Gordon enters the game for D. Dedmon,,35-31,,
5:48.0,V. Oladipo enters the game for M. Hezonja,,35-31,,
5:48.0,J. Smith enters the game for E. Ilyasova,,35-31,,
