time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Stoudemire vs. C. Zeller (G. Dragic gains possession),,,,Jump ball: A. Stoudemire vs. C. Zeller (G. Dragic gains possession)
11:36.0,,,0-0,,D. Wade misses 2-pt shot from 4 ft
11:35.0,Defensive rebound by N. Batum,,0-0,,
11:31.0,,,0-0,,Violation by A. Stoudemire (kicked ball)
11:22.0,Turnover by N. Batum (lost ball; steal by G. Dragic),,0-0,,
11:17.0,,,0-2,2,G. Dragic makes 2-pt shot from 1 ft
10:56.0,K. Walker misses 2-pt shot from 10 ft (block by L. Deng),,0-2,,
10:55.0,,,0-2,,Defensive rebound by G. Dragic
10:43.0,,,0-4,2,J. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic)
10:27.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,3-4,,
10:09.0,,,3-7,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
9:52.0,C. Lee makes 2-pt shot from 16 ft,2,5-7,,
9:38.0,,,5-9,2,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic)
9:21.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,8-9,,
9:07.0,,,8-9,,L. Deng misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by N. Batum,,8-9,,
8:56.0,C. Zeller misses 2-pt shot from 17 ft,,8-9,,
8:55.0,,,8-9,,Defensive rebound by D. Wade
8:41.0,,,8-9,,Turnover by D. Wade (bad pass)
8:28.0,N. Batum misses 2-pt shot from 14 ft,,8-9,,
8:27.0,,,8-9,,Defensive rebound by L. Deng
8:09.0,,,8-9,,G. Dragic misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by C. Zeller,,8-9,,
8:03.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,11-9,,
7:37.0,,,11-9,,G. Dragic misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by K. Walker,,11-9,,
7:28.0,C. Lee makes 3-pt shot from 24 ft (assist by K. Walker),3,14-9,,
