time,Orlando,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. C. Zeller (C. Lee gains possession),,,,Jump ball: N. Vucevic vs. C. Zeller (C. Lee gains possession)
11:40.0,,,0-2,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
11:29.0,Turnover by E. Ilyasova (lost ball; steal by C. Zeller),,0-2,,
11:21.0,,,0-2,,J. Lin misses 2-pt shot from 9 ft
11:19.0,,,0-2,,Offensive rebound by J. Lin
11:16.0,,,0-2,,M. Williams misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by N. Vucevic,,0-2,,
11:01.0,E. Fournier misses 3-pt shot from 22 ft,,0-2,,
11:00.0,,,0-2,,Defensive rebound by M. Williams
10:49.0,,,0-4,2,C. Lee makes 2-pt shot from 19 ft
10:32.0,M. Hezonja misses 2-pt shot from 15 ft,,0-4,,
10:31.0,,,0-4,,Defensive rebound by M. Williams
10:23.0,,,0-4,,K. Walker misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by M. Hezonja,,0-4,,
10:13.0,E. Fournier makes 3-pt shot from 25 ft (assist by M. Hezonja),3,3-4,,
9:56.0,,,3-7,3,J. Lin makes 3-pt shot from 25 ft (assist by K. Walker)
9:36.0,Shooting foul by K. Walker (drawn by E. Payton),,3-7,,
9:36.0,E. Payton misses free throw 1 of 2,,3-7,,
9:36.0,Offensive rebound by Team,,3-7,,
9:36.0,E. Payton misses free throw 2 of 2,,3-7,,
9:35.0,,,3-7,,Defensive rebound by M. Williams
9:20.0,,,3-7,,C. Lee misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by E. Ilyasova,,3-7,,
9:08.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by E. Payton),2,5-7,,
8:41.0,,,5-9,2,C. Lee makes 2-pt shot from 14 ft
8:23.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,7-9,,
8:04.0,,,7-11,2,M. Williams makes 2-pt shot from 20 ft (assist by C. Lee)
7:53.0,N. Vucevic misses 2-pt shot from 6 ft,,7-11,,
7:51.0,,,7-11,,Defensive rebound by C. Zeller
7:44.0,,,7-13,2,K. Walker makes 2-pt shot from 1 ft
7:33.0,,,7-13,,Violation by K. Walker (kicked ball)
7:24.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier),2,9-13,,
7:11.0,,,9-13,,C. Lee misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by E. Ilyasova,,9-13,,
