time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Hickson (D. Favors gains possession),,,,Jump ball: R. Gobert vs. J. Hickson (D. Favors gains possession)
11:39.0,R. Gobert misses 2-pt shot from 2 ft,,0-0,,
11:39.0,Offensive rebound by Team,,0-0,,
11:22.0,R. Gobert misses 2-pt shot from 2 ft,,0-0,,
11:22.0,Offensive rebound by D. Favors,,0-0,,
11:12.0,R. Neto misses 3-pt shot from 24 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by G. Harris
11:00.0,,,0-0,,Turnover by G. Harris (discontinued dribble)
10:43.0,Offensive charge foul by D. Favors,,0-0,,
10:43.0,Turnover by D. Favors (offensive foul),,0-0,,
10:19.0,,,0-2,2,K. Faried makes 2-pt shot from 3 ft
9:59.0,D. Favors makes 2-pt shot from 1 ft,2,2-2,,
9:46.0,Personal foul by R. Hood (drawn by K. Faried),,2-2,,
9:36.0,,,2-2,,E. Mudiay misses 2-pt shot from 14 ft
9:35.0,Defensive rebound by R. Gobert,,2-2,,
9:28.0,Shooting foul by E. Mudiay (drawn by R. Gobert),,2-2,,
9:28.0,R. Gobert misses free throw 1 of 2,,2-2,,
9:28.0,Offensive rebound by Team,,2-2,,
9:28.0,R. Gobert makes free throw 2 of 2,1,3-2,,
9:25.0,,,3-2,,Turnover by J. Hickson (bad pass; steal by R. Neto)
9:11.0,G. Hayward makes 2-pt shot from 13 ft,2,5-2,,
9:05.0,,,5-4,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
8:38.0,R. Neto makes 2-pt shot from 22 ft (assist by R. Gobert),2,7-4,,
8:26.0,,,7-6,2,G. Harris makes 2-pt shot from 14 ft
8:06.0,D. Favors misses 2-pt shot from 13 ft,,7-6,,
8:06.0,,,7-6,,Defensive rebound by K. Faried
7:55.0,,,7-8,2,J. Hickson makes 2-pt shot from 10 ft (assist by K. Faried)
7:39.0,R. Hood misses 3-pt shot from 27 ft,,7-8,,
7:38.0,,,7-8,,Defensive rebound by J. Hickson
7:22.0,,,7-11,3,E. Mudiay makes 3-pt shot from 24 ft (assist by G. Harris)
7:06.0,G. Hayward misses 3-pt shot from 24 ft,,7-11,,
7:04.0,,,7-11,,Defensive rebound by E. Mudiay
6:51.0,Personal block foul by G. Hayward (drawn by D. Gallinari),,7-11,,
6:43.0,,,7-11,,E. Mudiay misses 2-pt shot from 17 ft
6:39.0,,,7-11,,Offensive rebound by J. Hickson
6:39.0,,,7-13,2,J. Hickson makes 2-pt shot from 1 ft
6:24.0,R. Gobert misses 2-pt shot from 3 ft,,7-13,,
6:23.0,,,7-13,,Defensive rebound by K. Faried
6:16.0,Loose ball foul by G. Hayward (drawn by E. Mudiay),,7-13,,
6:16.0,A. Burks enters the game for G. Hayward,,7-13,,
6:02.0,,,7-13,,D. Gallinari misses 2-pt shot from 3 ft
6:02.0,Defensive rebound by R. Gobert,,7-13,,
5:47.0,R. Gobert misses 2-pt shot at rim (block by J. Hickson),,7-13,,
5:46.0,,,7-13,,Defensive rebound by E. Mudiay
5:41.0,,,7-15,2,K. Faried makes 2-pt shot from 1 ft (assist by G. Harris)
5:19.0,D. Favors misses 2-pt shot from 1 ft,,7-15,,
5:17.0,Offensive rebound by D. Favors,,7-15,,
5:17.0,D. Favors makes 2-pt shot from 2 ft,2,9-15,,
5:09.0,Shooting block foul by R. Hood (drawn by D. Gallinari),,9-15,,
5:09.0,,,9-15,,Denver full timeout
5:09.0,C. Johnson enters the game for R. Hood,,9-15,,
5:09.0,,,9-15,,D. Gallinari misses free throw 1 of 2
5:09.0,,,9-15,,Offensive rebound by Team
5:09.0,,,9-16,1,D. Gallinari makes free throw 2 of 2
4:48.0,D. Favors misses 2-pt shot from 16 ft,,9-16,,
4:47.0,,,9-16,,Defensive rebound by E. Mudiay
4:33.0,,,9-16,,J. Hickson misses 2-pt shot from 5 ft
4:32.0,Defensive rebound by A. Burks,,9-16,,
4:12.0,A. Burks misses 2-pt shot from 8 ft,,9-16,,
4:11.0,,,9-16,,Defensive rebound by E. Mudiay
3:55.0,,,9-16,,J. Hickson misses 2-pt shot from 15 ft
3:52.0,,,9-16,,Offensive rebound by K. Faried
3:52.0,,,9-16,,K. Faried misses 2-pt shot from 1 ft
3:50.0,,,9-16,,Offensive rebound by K. Faried
3:46.0,,,9-18,2,K. Faried makes 2-pt shot from 1 ft
3:30.0,Turnover by R. Gobert (bad pass),,9-18,,
3:30.0,,,9-18,,D. Arthur enters the game for K. Faried
3:30.0,T. Booker enters the game for D. Favors,,9-18,,
3:30.0,T. Burke enters the game for R. Neto,,9-18,,
3:20.0,Personal foul by T. Burke (drawn by E. Mudiay),,9-18,,
3:20.0,,,9-19,1,E. Mudiay makes free throw 1 of 2
3:20.0,,,9-19,,R. Foye enters the game for G. Harris
3:20.0,,,9-19,,N. Jokic enters the game for J. Hickson
3:20.0,,,9-20,1,E. Mudiay makes free throw 2 of 2
3:07.0,C. Johnson misses 2-pt shot from 16 ft,,9-20,,
3:03.0,Offensive rebound by R. Gobert,,9-20,,
3:03.0,R. Gobert makes 2-pt shot from 1 ft,2,11-20,,
2:53.0,Personal foul by C. Johnson (drawn by D. Gallinari),,11-20,,
2:53.0,Utah full timeout,,11-20,,
2:53.0,,,11-21,1,D. Gallinari makes free throw 1 of 2
2:53.0,,,11-22,1,D. Gallinari makes free throw 2 of 2
2:35.0,T. Booker misses 2-pt shot from 15 ft,,11-22,,
2:34.0,,,11-22,,Defensive rebound by D. Gallinari
2:22.0,,,11-24,2,D. Gallinari makes 2-pt shot from 22 ft (assist by E. Mudiay)
2:13.0,A. Burks misses 2-pt shot from 23 ft,,11-24,,
2:11.0,,,11-24,,Defensive rebound by E. Mudiay
2:03.0,,,11-24,,Turnover by E. Mudiay (bad pass; steal by A. Burks)
1:58.0,C. Johnson makes 3-pt shot from 22 ft (assist by A. Burks),3,14-24,,
1:36.0,,,14-24,,J. Nelson enters the game for E. Mudiay
1:36.0,T. Lyles enters the game for R. Gobert,,14-24,,
1:36.0,J. Ingles enters the game for C. Johnson,,14-24,,
1:29.0,,,14-24,,D. Arthur misses 2-pt shot from 21 ft
1:28.0,Defensive rebound by T. Lyles,,14-24,,
1:08.0,T. Booker makes 2-pt shot from 16 ft (assist by A. Burks),2,16-24,,
0:54.0,,,16-24,,R. Foye misses 2-pt shot from 21 ft
0:53.0,Defensive rebound by T. Burke,,16-24,,
0:49.0,T. Burke misses 2-pt shot from 2 ft (block by D. Gallinari),,16-24,,
0:49.0,Offensive rebound by Team,,16-24,,
0:49.0,,,16-24,,W. Barton enters the game for D. Gallinari
0:36.0,Turnover by T. Burke (bad pass; steal by W. Barton),,16-24,,
0:29.0,,,16-24,,Turnover by N. Jokic (traveling)
0:06.0,T. Burke makes 3-pt shot from 24 ft,3,19-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-26,2,D. Arthur makes 2-pt shot from 15 ft (assist by R. Foye)
11:19.0,T. Burke makes 2-pt shot from 18 ft (assist by T. Booker),2,21-26,,
11:01.0,,,21-29,3,R. Foye makes 3-pt shot from 25 ft (assist by J. Nelson)
10:54.0,Turnover by A. Burks (lost ball; steal by J. Nelson),,21-29,,
10:49.0,,,21-31,2,W. Barton makes 2-pt shot at rim (assist by J. Nelson)
10:49.0,Utah full timeout,,21-31,,
10:49.0,G. Hayward enters the game for A. Burks,,21-31,,
10:34.0,T. Burke misses 2-pt shot from 15 ft,,21-31,,
10:34.0,Offensive rebound by T. Booker,,21-31,,
