time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Plumlee (J. Sullinger gains possession),,,,Jump ball: A. Johnson vs. M. Plumlee (J. Sullinger gains possession)
11:53.0,,,0-0,,Turnover by I. Thomas (bad pass; steal by O. Mayo)
11:46.0,O. Mayo misses 2-pt shot from 20 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by A. Johnson
11:33.0,,,0-2,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley)
11:33.0,,,0-2,,Shooting foul by J. Parker (drawn by J. Crowder)
11:33.0,,,0-3,1,J. Crowder makes free throw 1 of 1
11:30.0,,,0-3,,Violation by J. Crowder (kicked ball)
11:21.0,Turnover by J. Parker (bad pass; steal by A. Bradley),,0-3,,
11:16.0,,,0-3,,A. Bradley misses 2-pt shot at rim
11:16.0,,,0-3,,Offensive rebound by A. Johnson
11:16.0,,,0-5,2,A. Johnson makes 2-pt shot at rim
11:06.0,,,0-5,,Shooting block foul by A. Johnson (drawn by M. Plumlee)
11:06.0,M. Plumlee makes free throw 1 of 2,1,1-5,,
11:06.0,M. Plumlee makes free throw 2 of 2,1,2-5,,
10:50.0,,,2-7,2,J. Crowder makes 2-pt shot from 16 ft
10:35.0,J. Parker misses 2-pt shot from 1 ft,,2-7,,
10:34.0,,,2-7,,Defensive rebound by A. Johnson
10:31.0,,,2-9,2,J. Crowder makes 2-pt shot at rim (assist by A. Johnson)
10:13.0,O. Mayo misses 3-pt shot from 23 ft,,2-9,,
10:12.0,,,2-9,,Defensive rebound by J. Crowder
10:07.0,,,2-9,,I. Thomas misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by G. Antetokounmpo,,2-9,,
9:56.0,J. Parker makes 2-pt shot from 18 ft (assist by G. Antetokounmpo),2,4-9,,
9:35.0,,,4-9,,A. Bradley misses 3-pt shot from 24 ft
9:33.0,,,4-9,,Offensive rebound by Team
9:21.0,,,4-9,,I. Thomas misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by G. Antetokounmpo,,4-9,,
9:04.0,M. Plumlee misses 2-pt shot from 7 ft,,4-9,,
9:03.0,,,4-9,,Defensive rebound by A. Johnson
8:59.0,,,4-11,2,A. Bradley makes 2-pt shot at rim (assist by J. Crowder)
8:40.0,J. Parker misses 2-pt shot from 17 ft,,4-11,,
8:39.0,,,4-11,,Defensive rebound by J. Sullinger
8:31.0,,,4-11,,Turnover by I. Thomas (traveling)
8:15.0,K. Middleton makes 2-pt shot from 11 ft (assist by G. Antetokounmpo),2,6-11,,
8:00.0,,,6-13,2,A. Bradley makes 2-pt shot from 20 ft (assist by I. Thomas)
7:42.0,K. Middleton makes 2-pt shot from 14 ft,2,8-13,,
7:29.0,,,8-15,2,I. Thomas makes 2-pt shot from 1 ft
7:19.0,K. Middleton makes 2-pt shot from 12 ft,2,10-15,,
7:10.0,,,10-15,,Shooting foul by G. Antetokounmpo (drawn by A. Johnson)
7:10.0,,,10-15,,A. Johnson misses free throw 1 of 2
7:10.0,,,10-15,,Offensive rebound by Team
