time,Chicago,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. P. Gasol (D. Green gains possession),,,,Jump ball: A. Bogut vs. P. Gasol (D. Green gains possession)
11:38.0,,,0-2,2,K. Thompson makes 2-pt shot from 9 ft
11:22.0,J. Butler makes 2-pt shot from 18 ft (assist by T. Snell),2,2-2,,
10:54.0,,,2-2,,K. Thompson misses 2-pt shot from 13 ft
10:54.0,,,2-2,,Offensive rebound by Team
10:54.0,,,2-2,,Turnover by Team (shot clock)
10:39.0,T. Snell misses 2-pt shot from 18 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by D. Green
10:34.0,,,2-4,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
10:15.0,N. Mirotic makes 2-pt shot from 19 ft (assist by K. Hinrich),2,4-4,,
10:07.0,,,4-4,,D. Green misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by K. Hinrich,,4-4,,
10:00.0,K. Hinrich makes 2-pt shot from 16 ft,2,6-4,,
9:50.0,,,6-7,3,S. Curry makes 3-pt shot from 24 ft
9:27.0,N. Mirotic makes 2-pt shot from 19 ft,2,8-7,,
9:11.0,,,8-7,,H. Barnes misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by P. Gasol,,8-7,,
9:02.0,T. Snell misses 2-pt shot from 2 ft (block by A. Bogut),,8-7,,
9:01.0,,,8-7,,Defensive rebound by H. Barnes
8:54.0,,,8-7,,K. Thompson misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by P. Gasol,,8-7,,
8:41.0,N. Mirotic misses 3-pt shot from 25 ft,,8-7,,
8:40.0,,,8-7,,Defensive rebound by S. Curry
8:34.0,,,8-7,,S. Curry misses 2-pt shot from 3 ft
8:33.0,Defensive rebound by N. Mirotic,,8-7,,
8:24.0,P. Gasol makes 2-pt shot from 3 ft (assist by N. Mirotic),2,10-7,,
8:15.0,,,10-7,,Turnover by S. Curry (bad pass; steal by K. Hinrich)
8:11.0,K. Hinrich misses 3-pt shot from 25 ft,,10-7,,
8:11.0,,,10-7,,Defensive rebound by D. Green
7:56.0,,,10-9,2,H. Barnes makes 2-pt shot from 18 ft
7:41.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,12-9,,
7:30.0,,,12-11,2,S. Curry makes 2-pt shot from 8 ft
7:12.0,N. Mirotic misses 2-pt shot from 3 ft (block by A. Bogut),,12-11,,
7:09.0,,,12-11,,Defensive rebound by H. Barnes
7:01.0,,,12-11,,S. Curry misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by P. Gasol,,12-11,,
6:51.0,,,12-11,,Personal foul by A. Bogut (drawn by P. Gasol)
6:45.0,K. Hinrich makes 2-pt shot from 4 ft (assist by P. Gasol),2,14-11,,
6:30.0,,,14-11,,Shooting foul by N. Mirotic (drawn by H. Barnes)
6:30.0,,,14-12,1,H. Barnes makes free throw 1 of 2
6:30.0,,,14-12,,H. Barnes misses free throw 2 of 2
6:29.0,Defensive rebound by N. Mirotic,,14-12,,
6:13.0,K. Hinrich makes 3-pt shot from 23 ft (assist by J. Butler),3,17-12,,
6:05.0,,,17-12,,Turnover by S. Curry (bad pass; steal by K. Hinrich)
6:01.0,K. Hinrich makes 2-pt shot at rim (assist by J. Butler),2,19-12,,
5:48.0,,,19-12,,S. Curry misses 3-pt shot from 27 ft
5:48.0,Defensive rebound by P. Gasol,,19-12,,
5:35.0,P. Gasol makes 2-pt shot from 2 ft (assist by J. Butler),2,21-12,,
5:33.0,,,21-12,,Golden State full timeout
5:33.0,,,21-12,,A. Iguodala enters the game for H. Barnes
5:33.0,J. Noah enters the game for P. Gasol,,21-12,,
5:33.0,E. Moore enters the game for K. Hinrich,,21-12,,
5:19.0,,,21-12,,Turnover by D. Green (turnover)
5:06.0,J. Butler makes 2-pt shot at rim (assist by N. Mirotic),2,23-12,,
4:43.0,,,23-12,,A. Iguodala misses 2-pt shot from 19 ft
4:43.0,,,23-12,,Offensive rebound by A. Bogut
4:38.0,,,23-15,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut)
4:20.0,Shooting foul by K. Thompson (drawn by J. Butler),,23-15,,
4:20.0,J. Butler makes free throw 1 of 2,1,24-15,,
4:20.0,,,24-15,,F. Ezeli enters the game for A. Bogut
4:20.0,J. Butler makes free throw 2 of 2,1,25-15,,
4:07.0,,,25-15,,D. Green misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by J. Butler,,25-15,,
3:54.0,N. Mirotic misses 3-pt shot from 26 ft,,25-15,,
3:54.0,,,25-15,,Defensive rebound by D. Green
3:40.0,,,25-17,2,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson)
3:27.0,N. Mirotic misses 2-pt shot from 1 ft,,25-17,,
3:25.0,,,25-17,,Defensive rebound by F. Ezeli
3:12.0,,,25-20,3,S. Curry makes 3-pt shot from 26 ft (assist by F. Ezeli)
3:12.0,Chicago full timeout,,25-20,,
3:12.0,T. Gibson enters the game for T. Snell,,25-20,,
3:12.0,D. McDermott enters the game for N. Mirotic,,25-20,,
3:12.0,,,25-20,,S. Livingston enters the game for K. Thompson
2:30.0,J. Butler makes 2-pt shot from 13 ft (assist by E. Moore),2,27-20,,
2:30.0,,,27-22,2,S. Livingston makes 2-pt shot from 10 ft
2:30.0,,,27-22,,Personal foul by F. Ezeli (drawn by J. Butler)
2:30.0,J. Butler misses free throw 1 of 2,,27-22,,
2:30.0,Offensive rebound by Team,,27-22,,
2:30.0,J. Butler misses free throw 2 of 2,,27-22,,
2:29.0,Offensive rebound by J. Noah,,27-22,,
2:13.0,E. Moore misses 2-pt shot from 19 ft,,27-22,,
2:12.0,,,27-22,,Defensive rebound by S. Livingston
2:02.0,,,27-24,2,D. Green makes 2-pt shot from 9 ft
